,Open,High,Low,Close,Volume,DeliveryPct
2023-01-23,1950.0,1960.0,1911.0,1950.1,73219.0,51.29
2023-01-24,1954.35,1960.0,1942.0,1947.85,32766.0,67.16
2023-01-25,1949.95,1949.95,1890.1,1918.05,25529.0,59.44
2023-01-26,1949.95,1949.95,1890.1,1918.05,25529.0,59.44
2023-01-27,1929.0,1946.4,1837.1,1871.5,51372.0,52.8
2023-01-30,1702.0,1865.95,1702.0,1844.9,57935.0,25.28
2023-01-31,1842.0,1857.75,1800.0,1827.1,66694.0,50.51
2023-02-01,1827.3,1927.95,1827.3,1891.95,71863.0,51.23
2023-02-02,1888.05,1925.0,1835.0,1886.6,29367.0,28.73
2023-02-03,1891.3,1911.0,1884.9,1899.25,27545.0,61.91
2023-02-06,1907.0,1912.0,1848.6,1861.7,106212.0,79.02
2023-02-07,1861.05,1949.0,1821.15,1839.9,57719.0,66.33
2023-02-08,1815.05,1845.95,1807.75,1838.35,26331.0,53.04
2023-02-09,1841.0,1851.0,1820.1,1824.65,21985.0,40.89
2023-02-10,1821.0,1868.95,1812.65,1856.95,30977.0,56.69
2023-02-13,1856.95,1860.0,1840.05,1852.7,6354.0,68.81
2023-02-14,1869.0,1869.0,1805.6,1837.1,20161.0,53.75
2023-02-15,1850.0,1859.95,1833.9,1839.0,13728.0,65.7
2023-02-16,1839.0,1844.8,1810.55,1822.7,15448.0,47.86
2023-02-17,1858.95,1865.7,1809.05,1813.3,20585.0,53.96
2023-02-20,1830.0,1898.0,1810.0,1831.25,51850.0,48.65
2023-02-21,1848.9,1848.9,1793.0,1812.95,37579.0,60.35
2023-02-22,1805.0,1810.0,1770.0,1785.25,92217.0,72.27
2023-02-23,1784.35,1798.95,1780.35,1785.55,70015.0,70.23
2023-02-24,1800.0,1800.0,1763.55,1776.7,70704.0,79.26
2023-02-27,1785.0,1793.95,1756.1,1779.75,54243.0,63.66
2023-02-28,1789.9,1796.6,1708.0,1723.45,68434.0,58.47
2023-03-01,1730.45,1779.0,1700.05,1773.3,67272.0,55.94
2023-03-02,489.95,489.95,435.55,441.05,215418.0,31.9
2023-03-03,443.95,450.55,440.1,446.8,98417.0,59.54
2023-03-06,445.0,455.0,440.05,446.6,123558.0,56.64
2023-03-07,445.0,455.0,440.05,446.6,123558.0,56.64
2023-03-08,446.0,450.2,440.0,442.3,104280.0,58.52
2023-03-09,442.0,448.9,435.0,440.1,147189.0,41.05
2023-03-10,430.1,446.8,430.1,442.4,160061.0,59.78
2023-03-13,440.0,443.8,425.05,430.2,246586.0,42.86
2023-03-14,430.2,440.0,420.25,423.65,149544.0,43.84
2023-03-15,429.0,434.95,425.05,432.3,94911.0,49.96
2023-03-16,432.25,439.4,427.65,433.1,151171.0,69.45
2023-03-17,435.0,435.0,423.05,424.4,158085.0,64.47
2023-03-20,425.0,440.0,415.0,417.95,118805.0,62.9
2023-03-21,419.0,423.65,395.1,401.45,279207.0,69.89
2023-03-22,401.0,435.0,398.05,428.7,402438.0,38.52
2023-03-23,427.0,432.55,413.2,429.6,175154.0,53.41
2023-03-24,422.0,434.85,419.95,429.1,138825.0,68.03
2023-03-27,427.0,432.85,411.15,428.65,119069.0,63.85
2023-03-28,428.55,437.95,422.0,435.95,182283.0,66.9
2023-03-29,436.4,440.0,425.1,438.6,157615.0,75.88
2023-03-30,436.4,440.0,425.1,438.6,157615.0,75.88
2023-03-31,405.0,434.9,404.95,430.7,456185.0,55.1
2023-04-03,427.0,435.5,418.3,422.0,82023.0,48.31
2023-04-04,427.0,435.5,418.3,422.0,82023.0,48.31
2023-04-05,422.0,435.65,421.45,428.45,126199.0,60.36
2023-04-06,440.0,444.4,429.0,439.8,1336993.0,91.75
2023-04-07,440.0,444.4,429.0,439.8,1336993.0,91.75
2023-04-10,442.95,442.95,431.0,432.2,905345.0,97.7
2023-04-11,435.15,435.15,423.0,425.6,251213.0,83.39
2023-04-12,425.6,429.6,420.65,427.45,41227.0,52.3
2023-04-13,428.0,433.5,427.0,428.15,41075.0,54.61
2023-04-14,428.0,433.5,427.0,428.15,41075.0,54.61
2023-04-17,428.15,442.4,395.8,403.4,6070499.0,86.18
2023-04-18,403.5,414.95,403.5,407.5,276773.0,54.27
2023-04-19,411.3,417.85,403.65,415.1,534435.0,88.69
2023-04-20,416.0,416.9,408.9,409.85,183907.0,68.07
2023-04-21,409.85,412.2,404.25,407.0,146745.0,66.72
2023-04-24,412.25,416.95,407.0,415.95,141834.0,71.24
2023-04-25,415.95,418.75,412.9,415.9,259300.0,84.66
2023-04-26,417.95,417.95,403.2,411.05,163583.0,54.38
2023-04-27,414.7,416.9,410.3,415.45,75452.0,83.49
