,Open,High,Low,Close,Volume,DeliveryPct
2024-05-15,315.0,343.7,292.0,329.45,71401006.0,52.53
2024-05-16,342.5,362.35,341.0,361.1,26767907.0,41.16
2024-05-17,365.0,371.3,345.2,351.15,11970918.0,35.29
2024-05-20,351.5,354.6,347.25,348.3,812114.0,55.25
2024-05-21,345.1,349.7,337.0,342.7,3451610.0,63.53
2024-05-22,342.05,348.75,336.0,343.35,2578275.0,68.23
2024-05-23,342.0,346.0,330.6,333.35,1932691.0,72.55
2024-05-24,331.35,344.05,330.75,341.9,1967592.0,64.63
2024-05-27,342.7,343.7,334.05,340.35,1155410.0,59.19
2024-05-28,340.0,343.7,329.2,331.4,1531935.0,69.75
2024-05-29,330.0,340.5,330.0,338.8,1311578.0,46.36
2024-05-30,340.0,347.2,338.6,340.05,2451103.0,61.37
2024-05-31,344.0,345.0,338.45,343.5,1070427.0,79.0
2024-06-03,352.0,352.0,342.3,347.9,1412802.0,63.76
2024-06-04,345.0,345.9,315.0,334.9,2827855.0,72.38
2024-06-05,335.0,341.8,316.0,339.2,899800.0,54.44
2024-06-06,345.0,354.2,342.0,346.1,1353606.0,50.9
2024-06-07,346.1,369.0,343.05,366.2,3637561.0,61.99
2024-06-10,365.0,398.0,365.0,385.55,3766316.0,48.31
2024-06-11,397.3,404.0,376.05,380.1,3261149.0,50.9
2024-06-12,383.0,392.9,377.8,390.75,1980788.0,62.29
2024-06-13,395.0,397.75,386.1,395.5,1523716.0,58.61
2024-06-14,398.0,431.85,396.5,420.15,4444304.0,53.84
2024-06-17,398.0,431.85,396.5,420.15,4444304.0,53.84
2024-06-18,425.4,432.45,409.5,413.85,1689479.0,41.27
2024-06-19,418.0,419.2,400.4,402.75,1546366.0,57.72
2024-06-20,404.0,424.2,393.5,397.25,2661359.0,54.31
2024-06-21,399.0,408.5,386.7,396.2,1422794.0,48.52
2024-06-24,394.0,400.65,385.55,388.2,1187350.0,60.99
2024-06-25,390.1,394.0,385.0,390.3,893183.0,51.14
2024-06-26,392.4,412.5,389.2,407.75,2187950.0,58.23
2024-06-27,410.2,428.6,405.15,413.15,2066538.0,48.64
2024-06-28,416.05,417.3,402.15,408.75,757998.0,48.62
2024-07-01,408.55,430.0,406.2,418.85,1283257.0,47.67
2024-07-02,417.95,426.0,411.65,422.6,1118761.0,54.69
2024-07-03,428.0,445.95,421.85,440.05,2692765.0,44.52
2024-07-04,441.9,445.45,430.0,438.1,1483252.0,56.93
2024-07-05,436.8,447.55,420.3,435.35,1568529.0,48.82
2024-07-08,437.2,443.0,430.05,431.8,510741.0,48.92
2024-07-09,432.3,438.45,425.1,429.55,409922.0,48.43
2024-07-10,427.0,432.4,414.05,419.9,739036.0,54.14
2024-07-11,422.85,429.55,422.85,426.25,391995.0,50.57
2024-07-12,428.85,444.9,425.0,438.8,1378258.0,53.01
2024-07-15,440.4,449.0,424.4,445.85,3518244.0,77.46
2024-07-16,448.5,472.4,447.85,457.05,2490403.0,49.0
2024-07-17,448.5,472.4,447.85,457.05,2490403.0,49.0
2024-07-18,473.0,484.0,462.1,465.9,2092007.0,38.23
2024-07-19,465.9,470.0,444.65,450.4,1500766.0,56.34
2024-07-22,447.9,481.5,442.55,476.85,1660095.0,45.94
2024-07-23,480.2,486.95,429.2,460.05,2633081.0,42.11
2024-07-24,459.45,480.05,453.05,461.85,1195222.0,59.29
2024-07-25,454.3,464.5,444.0,447.15,567289.0,45.93
2024-07-26,449.7,455.95,441.1,443.65,1322078.0,75.74
2024-07-29,445.1,462.4,445.1,459.15,794542.0,48.72
2024-07-30,459.0,465.75,445.2,452.5,746458.0,50.19
2024-07-31,452.5,459.95,437.9,446.45,744074.0,54.69
2024-08-01,447.9,453.85,437.1,439.7,344318.0,51.93
2024-08-02,434.1,438.0,425.65,427.15,436277.0,51.59
2024-08-05,415.1,420.0,401.25,406.9,703432.0,46.95
2024-08-06,418.0,423.85,400.6,402.4,421429.0,44.92
2024-08-07,410.15,424.45,407.25,412.7,451245.0,54.79
2024-08-08,415.0,431.9,410.05,418.45,955736.0,39.91
2024-08-09,431.75,432.9,423.15,427.3,598058.0,69.03
2024-08-12,440.0,440.0,420.25,421.75,698916.0,55.25
2024-08-13,415.0,420.2,396.05,400.25,1578326.0,66.49
2024-08-14,402.9,402.9,383.5,385.5,750852.0,57.75
2024-08-15,402.9,402.9,383.5,385.5,750852.0,57.75
2024-08-16,388.5,401.7,381.85,394.4,1371483.0,66.22
2024-08-19,396.85,398.05,390.05,393.95,1195049.0,77.88
2024-08-20,396.0,399.0,389.3,391.2,342003.0,54.45
2024-08-21,391.05,408.3,388.8,405.15,986821.0,51.79
2024-08-22,408.0,412.85,405.05,407.45,464512.0,55.94
2024-08-23,408.95,410.35,399.4,400.65,318688.0,51.85
2024-08-26,403.9,403.9,390.05,397.6,620650.0,50.08
2024-08-27,398.65,405.85,394.8,397.25,701604.0,73.78
2024-08-28,400.0,401.0,385.2,386.7,998237.0,69.47
2024-08-29,387.0,395.1,376.1,383.9,1253683.0,53.58
2024-08-30,388.7,389.4,381.4,384.45,558284.0,61.23
2024-09-02,385.05,391.75,384.45,389.8,821886.0,61.72
2024-09-03,404.45,428.45,403.0,418.95,5274081.0,41.74
2024-09-04,415.0,420.65,411.25,416.5,1366308.0,61.35
2024-09-05,419.0,435.9,413.2,433.65,1657070.0,45.37
2024-09-06,434.7,451.45,433.05,443.45,2383466.0,54.91
2024-09-09,444.45,444.5,422.0,428.4,975765.0,45.2
2024-09-10,430.0,439.95,428.4,437.2,521744.0,52.04
2024-09-11,435.05,442.5,433.0,436.7,1007520.0,68.88
2024-09-12,439.8,462.0,439.0,457.8,1644626.0,54.82
2024-09-13,458.7,476.0,457.4,462.8,1793954.0,48.68
2024-09-16,469.0,477.0,458.0,466.6,1404325.0,51.27
2024-09-17,467.75,470.15,453.75,455.5,842245.0,51.46
2024-09-18,455.9,464.0,451.8,457.55,807540.0,48.71
2024-09-19,462.0,466.85,454.7,459.7,1222907.0,56.37
2024-09-20,460.7,466.0,452.05,464.25,981248.0,58.45
2024-09-23,489.0,503.15,469.4,498.9,3692511.0,48.04
2024-09-24,500.8,516.8,494.4,510.45,3160160.0,46.03
2024-09-25,508.2,512.05,496.0,506.95,1104931.0,57.73
2024-09-26,506.45,506.45,476.0,479.65,1175115.0,58.27
2024-09-27,474.0,497.5,473.45,488.35,1228488.0,51.12
2024-09-30,482.0,494.45,463.4,469.25,1185222.0,40.98
2024-10-01,479.9,479.9,453.65,458.05,1540248.0,45.14
2024-10-02,479.9,479.9,453.65,458.05,1540248.0,45.14
2024-10-03,450.0,463.65,442.0,443.4,728469.0,47.55
2024-10-04,443.7,449.4,428.5,435.5,847770.0,47.96
2024-10-07,444.4,447.95,421.95,428.15,1020494.0,40.53
2024-10-08,430.0,470.95,425.2,449.05,2878166.0,20.25
2024-10-09,453.3,464.9,437.0,439.4,1299224.0,45.06
2024-10-10,449.9,449.9,437.95,440.7,584569.0,42.86
2024-10-11,440.7,444.0,439.0,440.9,221260.0,42.87
2024-10-14,443.3,460.5,441.0,444.95,1291764.0,40.2
2024-10-15,447.7,463.7,445.05,458.5,1317273.0,40.47
2024-10-16,453.3,455.4,445.5,446.75,618054.0,56.5
2024-10-17,447.8,453.45,435.25,437.7,548081.0,59.52
2024-10-18,432.65,439.95,425.35,439.05,359586.0,37.17
2024-10-21,439.05,449.15,420.45,430.05,615050.0,56.55
2024-10-22,435.0,440.0,415.2,419.25,557834.0,33.07
2024-10-23,417.65,426.9,410.0,420.0,417947.0,39.96
2024-10-24,424.9,424.9,412.3,414.7,247185.0,34.32
2024-10-25,416.0,431.0,410.3,419.6,1505479.0,42.48
2024-10-28,415.0,434.0,408.0,431.05,534345.0,39.14
2024-10-29,425.5,455.0,425.5,450.4,567618.0,37.03
2024-10-30,445.3,463.2,445.3,452.6,738542.0,49.66
2024-10-31,452.4,454.0,437.15,439.5,308749.0,39.83
2024-11-01,446.35,447.8,442.15,444.65,49297.0,62.96
2024-11-04,440.7,454.0,439.35,451.4,613766.0,45.52
2024-11-05,450.4,455.7,442.35,449.65,429474.0,42.02
2024-11-06,450.0,460.0,443.15,457.2,595293.0,40.89
2024-11-07,462.0,471.85,458.15,464.1,1429876.0,34.42
2024-11-08,469.0,477.5,456.0,459.85,769062.0,36.34
2024-11-11,458.65,458.8,432.0,435.85,873304.0,41.71
2024-11-12,436.75,439.9,427.75,428.95,535823.0,44.58
2024-11-13,428.9,429.6,415.75,423.9,410688.0,46.87
2024-11-14,424.75,451.0,424.0,434.85,1857926.0,20.58
2024-11-18,434.05,434.7,419.05,422.4,448369.0,41.64
2024-11-19,426.0,432.8,419.0,424.25,449073.0,47.55
2024-11-20,426.0,432.8,419.0,424.25,449073.0,47.55
2024-11-21,423.7,433.0,410.35,422.95,1096990.0,37.18
2024-11-22,424.0,424.45,413.05,416.8,422079.0,40.43
2024-11-25,425.5,428.65,393.1,400.25,4134336.0,62.42
2024-11-26,402.9,409.7,400.05,406.2,603462.0,45.05
2024-11-27,406.0,428.0,406.0,423.9,1654793.0,49.29
2024-11-28,423.5,434.7,416.15,418.05,828000.0,55.11
2024-11-29,419.4,435.0,418.15,432.75,1426164.0,46.74
2024-12-02,431.1,437.0,425.8,433.35,416903.0,47.78
2024-12-03,435.7,444.0,433.35,435.45,501369.0,43.42
2024-12-04,437.55,442.05,432.05,440.55,322512.0,42.24
2024-12-05,441.7,444.25,432.25,434.15,277481.0,41.5
2024-12-06,435.1,435.75,426.75,430.15,424497.0,45.72
2024-12-09,430.3,431.95,423.0,426.5,289458.0,44.91
2024-12-10,428.0,434.45,420.2,422.2,442610.0,53.76
2024-12-11,423.0,426.45,417.7,418.5,332386.0,58.87
2024-12-12,419.4,438.6,418.05,435.7,2341591.0,30.41
2024-12-13,434.4,440.0,432.35,438.75,646357.0,47.3
2024-12-16,438.0,440.0,429.4,437.05,529020.0,49.61
2024-12-17,436.95,438.65,427.95,429.95,372420.0,66.36
2024-12-18,428.45,449.95,426.05,433.75,2048925.0,26.97
2024-12-19,427.95,428.95,421.7,424.85,455230.0,47.64
2024-12-20,425.0,434.8,422.5,424.25,485373.0,57.59
2024-12-23,425.95,432.4,419.25,425.6,314361.0,38.35
2024-12-24,422.0,426.7,421.0,423.05,220760.0,56.46
2024-12-25,422.0,426.7,421.0,423.05,220760.0,56.46
2024-12-26,422.0,427.0,420.95,426.2,333825.0,52.84
2024-12-27,427.65,427.9,423.15,424.55,282837.0,66.36
2024-12-30,424.55,437.95,419.1,434.25,406055.0,58.8
2024-12-31,430.7,431.05,420.25,422.6,298514.0,46.79
2025-01-01,422.95,426.4,419.0,419.8,268266.0,62.25
2025-01-02,421.9,424.35,419.35,421.2,208986.0,55.23
2025-01-03,421.95,430.4,421.9,428.2,347572.0,50.12
2025-01-06,428.75,428.75,419.0,421.15,247737.0,46.86
2025-01-07,421.1,426.0,419.95,424.05,218934.0,54.32
2025-01-08,425.15,426.9,420.5,422.85,157593.0,41.73
2025-01-09,422.85,425.0,420.55,422.45,158750.0,54.54
2025-01-10,420.05,443.85,419.05,422.95,1383406.0,20.08
2025-01-13,421.4,429.15,398.3,405.7,613533.0,52.1
2025-01-14,409.8,415.4,403.6,404.95,421874.0,67.76
2025-01-15,408.4,410.0,395.95,397.2,503364.0,63.75
2025-01-16,401.0,408.5,392.6,395.5,418995.0,69.12
2025-01-17,414.5,418.0,394.0,397.25,2300423.0,29.86
2025-01-20,399.4,402.85,390.0,395.85,292764.0,48.02
2025-01-21,398.4,406.25,395.0,401.55,556453.0,29.89
2025-01-22,403.7,410.05,389.95,399.2,313945.0,26.3
2025-01-23,394.0,402.9,392.7,395.55,428454.0,54.4
2025-01-24,396.75,398.4,382.45,384.65,187325.0,41.67
2025-01-27,376.05,381.0,361.6,364.15,671606.0,63.6
2025-01-28,365.45,400.55,346.05,391.1,2004271.0,39.43
2025-01-29,389.1,399.25,378.0,397.45,558659.0,25.37
2025-01-30,392.0,398.2,385.85,387.4,192714.0,35.38
2025-01-31,389.85,399.7,388.75,398.5,162426.0,45.41
2025-02-03,390.0,400.0,381.0,390.85,219384.0,31.7
2025-02-04,390.95,396.0,387.1,392.0,154067.0,48.85
2025-02-05,394.0,396.9,389.5,391.25,182412.0,51.81
2025-02-06,392.95,396.0,385.9,392.95,233553.0,49.94
2025-02-07,399.0,411.5,398.15,401.15,2693439.0,18.41
2025-02-10,399.55,403.95,383.05,384.3,446934.0,64.72
2025-02-11,385.0,388.8,376.25,384.9,575705.0,61.94
2025-02-12,384.95,391.3,367.75,389.55,657938.0,57.56
2025-02-13,388.3,395.75,383.8,392.8,407013.0,70.25
2025-02-14,393.75,394.0,373.8,384.5,493262.0,55.14
2025-02-17,384.0,396.0,377.25,392.65,551303.0,49.75
2025-02-18,392.65,394.95,380.85,391.4,229263.0,52.57
2025-02-19,385.6,394.2,382.25,385.15,283477.0,46.75
2025-02-20,385.15,390.95,375.0,381.0,487920.0,50.11
2025-02-21,378.0,389.8,377.0,379.75,232952.0,49.75
2025-02-24,378.75,379.75,364.1,366.25,261078.0,53.61
2025-02-25,361.6,385.3,361.6,379.1,810223.0,47.25
2025-02-27,379.1,388.75,378.0,383.15,987652.0,68.34
