,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,588.95,588.95,579.95,584.3,18717.0,
2016-08-17,585.0,598.0,578.2,597.55,70243.0,
2016-08-18,596.0,613.0,592.15,602.15,95109.0,
2016-08-19,602.9,606.05,591.05,594.05,23007.0,
2016-08-22,597.0,602.95,586.25,599.35,29745.0,
2016-08-23,595.0,599.7,579.0,581.05,34318.0,
2016-08-24,582.85,604.75,575.0,602.3,100237.0,
2016-08-25,604.05,609.7,590.4,593.6,44125.0,
2016-08-26,590.0,611.1,589.35,605.75,31911.0,
2016-08-29,613.0,619.0,607.5,616.35,54775.0,
2016-08-30,619.95,635.0,616.25,627.75,78610.0,
2016-08-31,630.0,630.95,615.5,619.5,30878.0,
2016-09-01,624.95,625.05,614.05,616.05,11783.0,
2016-09-02,617.05,625.0,615.0,617.15,16020.0,
2016-09-06,630.0,630.0,616.65,621.7,24095.0,
2016-09-07,619.95,625.75,619.0,620.05,21834.0,
2016-09-08,610.15,629.95,610.15,622.25,28508.0,
2016-09-09,620.0,628.85,606.0,607.55,35960.0,
2016-09-12,592.25,608.0,592.25,596.1,19825.0,
2016-09-14,602.65,604.8,593.2,596.05,23354.0,
2016-09-15,595.9,600.0,592.0,595.35,22517.0,
2016-09-16,601.05,606.1,578.05,588.35,114098.0,
2016-09-19,590.05,600.5,590.05,597.2,16578.0,
2016-09-20,596.6,623.0,596.6,619.7,96029.0,
2016-09-21,626.0,629.0,613.2,617.2,70075.0,
2016-09-22,627.75,627.75,616.35,620.3,43903.0,
2016-09-23,624.0,630.0,620.5,625.8,102407.0,
2016-09-26,631.95,633.0,622.15,626.05,38575.0,
2016-09-27,628.95,629.95,605.3,610.0,54585.0,
2016-09-28,613.0,623.95,607.0,608.3,30255.0,
2016-09-29,614.9,617.0,582.7,605.85,132687.0,
2016-09-30,608.3,625.0,600.0,620.65,32735.0,
2016-10-03,625.0,648.0,621.55,644.75,98512.0,
2016-10-04,675.0,678.9,665.0,676.25,192032.0,
2016-10-05,677.95,687.0,670.0,676.75,94393.0,
2016-10-06,682.0,683.8,661.0,673.15,37254.0,
2016-10-07,680.0,681.0,660.0,669.15,33006.0,
2016-10-10,675.5,695.0,666.0,692.55,144438.0,
2016-10-13,690.0,725.95,687.6,720.45,169170.0,
2016-10-14,721.0,732.0,715.95,724.8,52987.0,
2016-10-17,724.8,729.95,701.65,705.3,33093.0,
2016-10-18,725.0,743.7,725.0,739.85,189838.0,
2016-10-19,745.95,759.9,736.25,740.4,66013.0,
2016-10-20,738.0,743.7,725.05,735.5,35016.0,
2016-10-21,735.5,742.5,732.25,734.95,16012.0,
2016-10-24,735.55,738.75,730.1,735.75,19843.0,
2016-10-25,733.5,761.9,733.5,757.6,83071.0,
2016-10-26,750.05,764.0,750.05,755.25,23946.0,
2016-10-27,756.9,760.0,740.0,742.35,32910.0,
2016-10-28,747.0,759.0,741.3,757.0,35913.0,
2016-11-01,752.9,753.85,737.0,746.0,61467.0,
