,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,1194.0,1197.95,1167.2,1169.8,29578.0,
2016-08-17,1174.45,1194.0,1161.0,1171.9,32060.0,
2016-08-18,1179.0,1189.5,1165.1,1167.95,25499.0,
2016-08-19,1167.0,1180.0,1158.0,1161.0,35222.0,
2016-08-22,1168.8,1168.8,1141.15,1153.25,19005.0,
2016-08-23,1166.5,1166.5,1148.0,1150.9,25990.0,
2016-08-24,1157.45,1169.0,1151.1,1160.15,24749.0,
2016-08-25,1169.9,1179.9,1151.0,1158.3,25147.0,
2016-08-26,1158.0,1169.9,1144.25,1148.2,19802.0,
2016-08-29,1149.0,1160.95,1144.0,1149.1,14216.0,
2016-08-30,1150.0,1167.0,1149.9,1154.7,26237.0,
2016-08-31,1154.7,1170.4,1154.0,1158.45,32541.0,
2016-09-01,1159.9,1169.0,1153.15,1157.15,37871.0,
2016-09-02,1161.9,1164.0,1145.0,1147.0,18181.0,
2016-09-06,1155.0,1175.55,1150.0,1167.85,74672.0,
2016-09-07,1175.0,1199.0,1168.0,1180.0,103722.0,
2016-09-08,1180.0,1199.85,1170.15,1185.25,110182.0,
2016-09-09,1185.0,1194.0,1175.1,1185.9,27584.0,
2016-09-12,1185.0,1185.0,1150.0,1170.45,51140.0,
2016-09-14,1149.1,1174.4,1149.1,1169.3,25867.0,
2016-09-15,1175.95,1181.05,1153.3,1178.1,39697.0,
2016-09-16,1185.0,1190.0,1157.35,1170.95,52493.0,
2016-09-19,1170.0,1180.0,1150.3,1158.7,31640.0,
2016-09-20,1164.9,1167.55,1156.0,1157.8,14447.0,
2016-09-21,1160.0,1173.0,1147.25,1150.6,36221.0,
2016-09-22,1170.0,1170.0,1152.65,1158.0,24244.0,
2016-09-23,1158.1,1163.5,1150.0,1151.8,8941.0,
2016-09-26,1159.8,1159.8,1131.0,1141.55,12479.0,
2016-09-27,1147.5,1171.5,1143.0,1151.7,42182.0,
2016-09-28,1152.0,1164.8,1146.5,1156.95,49164.0,
2016-09-29,1156.95,1167.95,1107.0,1123.2,30052.0,
2016-09-30,1124.95,1156.5,1107.0,1141.9,18152.0,
2016-10-03,1150.0,1174.5,1137.05,1169.7,24595.0,
2016-10-04,1169.0,1182.0,1158.25,1172.4,21859.0,
2016-10-05,1180.8,1187.95,1149.0,1171.35,63894.0,
2016-10-06,1171.35,1180.0,1162.0,1170.25,78458.0,
2016-10-07,1170.0,1170.0,1137.05,1147.5,30112.0,
2016-10-10,1154.9,1158.5,1147.0,1149.6,53304.0,
2016-10-13,1155.0,1171.0,1134.35,1160.8,70415.0,
2016-10-14,1160.0,1166.8,1150.0,1155.4,31024.0,
2016-10-17,1155.0,1158.75,1141.6,1154.15,37052.0,
2016-10-18,1156.55,1164.9,1137.35,1142.25,79054.0,
2016-10-19,1152.0,1155.6,1135.45,1148.05,90609.0,
2016-10-20,1148.0,1154.0,1125.1,1129.65,34793.0,
2016-10-21,1135.0,1140.45,1118.0,1124.2,38014.0,
2016-10-24,1125.8,1134.95,1089.2,1092.1,71555.0,
2016-10-25,1095.0,1110.0,1076.0,1080.6,46567.0,
2016-10-26,1085.0,1096.55,1050.0,1055.5,81994.0,
2016-10-27,1054.95,1085.0,1031.5,1066.2,251569.0,
2016-10-28,1061.0,1094.0,1050.1,1089.1,77331.0,
2016-11-01,1108.7,1111.1,1079.0,1098.1,52236.0,
2016-11-02,1090.1,1095.0,1071.05,1089.4,30288.0,
2016-11-03,1088.0,1095.95,1072.0,1085.9,31422.0,
2016-11-04,1090.0,1091.0,1044.0,1088.5,35661.0,
2016-11-07,1096.0,1123.7,1087.55,1100.2,42003.0,
2016-11-08,1106.8,1106.8,1067.25,1088.35,45054.0,
2016-11-09,1049.0,1068.9,931.35,1051.65,91067.0,
2016-11-10,1088.0,1088.0,1036.6,1062.2,126272.0,
2016-11-11,1060.0,1084.0,1046.25,1070.9,59487.0,
2016-11-15,1073.0,1082.45,1036.6,1071.55,26397.0,
2016-11-16,1085.0,1095.0,1042.0,1054.25,51804.0,
2016-11-17,1060.0,1083.6,1041.15,1053.1,24663.0,
2016-11-18,1063.9,1063.95,1043.95,1053.2,19622.0,
2016-11-21,1048.5,1056.0,1036.05,1049.6,19116.0,
2016-11-22,1047.5,1082.05,1040.2,1069.35,16696.0,
2016-11-23,1069.35,1078.95,1057.0,1064.9,19028.0,
2016-11-24,1060.05,1067.0,1051.0,1055.7,13565.0,
2016-11-25,1055.0,1065.95,1054.3,1060.5,15700.0,
2016-11-28,1065.0,1069.0,1058.0,1060.2,31898.0,
2016-11-29,1060.3,1069.0,1049.6,1051.5,32679.0,
2016-11-30,1055.05,1063.0,1051.0,1061.1,21135.0,
2016-12-01,1059.85,1061.1,1049.7,1052.5,25367.0,
2016-12-02,1059.95,1059.95,1045.1,1049.7,18599.0,
2016-12-05,1041.15,1053.45,1038.5,1042.8,104253.0,
2016-12-06,1059.75,1059.8,1042.0,1049.25,10321.0,
2016-12-07,1049.3,1051.95,1037.0,1042.75,14878.0,
2016-12-08,1045.0,1059.7,1045.0,1052.1,12565.0,
2016-12-09,1051.9,1056.95,1047.0,1049.85,18592.0,
2016-12-12,1047.0,1054.45,1026.65,1049.25,8101.0,
2016-12-13,1049.25,1052.0,1046.0,1050.2,7076.0,
2016-12-14,1055.05,1055.05,1042.6,1047.6,4568.0,
2016-12-15,1054.7,1054.7,1042.6,1050.65,8666.0,
2016-12-16,1050.55,1080.0,1043.25,1065.6,24233.0,
2016-12-19,1067.0,1067.0,1046.2,1051.45,9216.0,
2016-12-20,1059.95,1060.0,1043.0,1051.95,9563.0,
2016-12-21,1050.05,1055.95,1040.5,1043.2,5728.0,
2016-12-22,1043.2,1045.95,1026.05,1029.85,9896.0,
2016-12-23,1038.0,1040.0,1021.0,1026.4,7445.0,
2016-12-26,1028.0,1039.0,1017.55,1031.85,19076.0,
2016-12-27,1034.05,1045.0,1020.0,1034.6,9847.0,
2016-12-28,1046.0,1046.0,1026.0,1031.75,11908.0,
2016-12-29,1042.8,1042.8,1022.0,1028.05,19096.0,
2016-12-30,1032.05,1050.0,1030.1,1043.75,9832.0,
2017-01-02,1056.8,1056.8,1035.0,1036.9,13985.0,
2017-01-03,1040.2,1055.0,1037.05,1045.35,24275.0,
2017-01-04,1054.0,1054.0,1037.0,1038.65,14219.0,
2017-01-05,1049.7,1054.8,1031.2,1035.75,35700.0,
2017-01-06,1044.95,1049.0,1033.5,1044.35,26378.0,
2017-01-09,1054.0,1054.0,1034.5,1036.8,17897.0,
2017-01-10,1039.0,1199.0,1029.15,1175.5,1148087.0,
2017-01-11,1161.0,1169.4,1123.1,1132.5,380156.0,
2017-01-12,1133.0,1149.5,1103.4,1125.3,133120.0,
2017-01-13,1128.0,1144.95,1110.0,1132.5,65440.0,
2017-01-16,1134.0,1140.0,1120.0,1126.2,42054.0,
2017-01-17,1119.0,1132.95,1105.0,1111.55,36071.0,
2017-01-18,1110.9,1149.0,1105.3,1147.15,140334.0,
2017-01-19,1147.0,1160.0,1131.0,1149.55,69654.0,
2017-01-20,1148.0,1148.0,1123.0,1131.85,29278.0,
2017-01-23,1148.7,1148.7,1112.5,1117.7,28955.0,
2017-01-24,1117.1,1128.2,1113.2,1116.05,54601.0,
2017-01-25,1124.9,1127.9,1046.45,1105.8,63446.0,
2017-01-27,1117.6,1123.9,1107.0,1110.65,33763.0,
2017-01-30,1116.9,1122.0,1092.0,1103.0,32002.0,
2017-01-31,1112.8,1115.0,1091.3,1095.8,45631.0,
2017-02-01,1095.0,1123.95,1092.6,1108.55,41417.0,
2017-02-02,1119.5,1129.9,1098.0,1107.3,76685.0,
2017-02-03,1118.95,1118.95,1105.0,1106.55,20507.0,
2017-02-06,1108.0,1141.9,1108.0,1125.15,100302.0,
2017-02-07,1128.0,1194.95,1120.05,1183.15,377546.0,
2017-02-08,1186.0,1212.0,1185.0,1207.65,185417.0,
2017-02-09,1210.0,1230.0,1181.25,1225.6,353614.0,
2017-02-10,1230.0,1265.0,1225.0,1258.0,183007.0,
2017-02-13,1260.0,1260.0,1212.0,1220.55,60953.0,
2017-02-14,1224.0,1226.0,1186.25,1193.6,41527.0,
2017-02-15,1198.0,1198.1,1165.05,1170.4,41294.0,
2017-02-16,1176.0,1236.0,1171.0,1227.3,181387.0,
2017-02-17,1235.0,1239.5,1221.5,1231.8,64670.0,
2017-02-20,1239.4,1239.4,1223.1,1229.65,31581.0,
2017-02-21,1234.7,1235.0,1215.0,1225.85,16493.0,
2017-02-22,1223.0,1228.8,1195.55,1209.65,30689.0,
2017-02-23,1198.5,1210.9,1190.05,1194.95,33351.0,
2017-02-27,1195.0,1209.8,1175.0,1195.7,50156.0,
2017-02-28,1203.1,1218.0,1190.55,1198.2,32424.0,
2017-03-01,1199.0,1242.25,1186.6,1235.85,132479.0,
2017-03-02,1243.0,1244.0,1207.1,1211.85,42294.0,
2017-03-03,1211.85,1235.0,1210.0,1228.4,24343.0,
2017-03-06,1230.0,1237.95,1192.55,1200.4,26793.0,
2017-03-07,1208.0,1225.0,1201.0,1204.0,28396.0,
2017-03-08,1203.8,1225.0,1186.0,1202.6,62200.0,
2017-03-09,1202.6,1213.95,1193.05,1197.5,11414.0,
2017-03-10,1212.6,1212.6,1190.0,1193.9,10908.0,
2017-03-14,1214.9,1223.9,1186.8,1197.5,100135.0,
2017-03-15,1195.0,1228.8,1195.0,1210.35,103839.0,
2017-03-16,1215.0,1223.85,1201.1,1205.35,26271.0,
2017-03-17,1214.0,1225.0,1202.0,1214.6,59308.0,
2017-03-20,1220.1,1222.9,1208.0,1216.0,31738.0,
2017-03-21,1218.2,1221.0,1192.05,1196.7,21929.0,
2017-03-22,1196.5,1210.95,1185.0,1190.25,33412.0,
2017-03-23,1203.9,1203.9,1188.1,1190.3,15404.0,
2017-03-24,1190.45,1204.95,1182.35,1198.8,58058.0,
2017-03-27,1203.9,1203.9,1180.2,1185.1,17306.0,
2017-03-28,1185.1,1195.0,1180.0,1190.9,72041.0,
2017-03-29,1190.0,1222.0,1188.0,1214.55,78200.0,
2017-03-30,1214.55,1273.85,1201.5,1263.2,270587.0,
2017-03-31,1245.0,1292.0,1242.0,1279.9,196449.0,
2017-04-03,1285.0,1330.0,1282.5,1321.55,117066.0,
2017-04-05,1320.2,1333.0,1305.0,1320.75,438664.0,
2017-04-06,1320.0,1326.15,1295.5,1303.25,28986.0,
2017-04-07,1300.5,1388.75,1300.5,1379.85,160940.0,
2017-04-10,1374.2,1459.0,1356.65,1405.95,293573.0,
2017-04-11,1407.5,1455.0,1400.2,1447.7,153782.0,
2017-04-12,1451.0,1462.3,1435.05,1457.7,644352.0,
2017-04-13,1440.5,1468.3,1440.5,1452.9,60987.0,
2017-04-17,1451.0,1468.0,1416.75,1456.8,59659.0,
2017-04-18,1456.0,1484.0,1401.0,1412.4,87056.0,
