,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,149.9,151.45,147.3,150.75,603163.0,
2016-08-17,150.25,153.1,148.05,150.8,336508.0,
2016-08-18,149.85,164.8,149.5,163.45,1808579.0,
2016-08-19,163.2,168.25,158.2,164.85,1315699.0,
2016-08-22,166.2,169.0,162.45,165.15,1059623.0,
2016-08-23,165.35,177.7,165.35,169.35,2661330.0,
2016-08-24,170.0,170.85,165.4,166.6,550500.0,
2016-08-25,167.2,169.85,162.0,163.1,517149.0,
2016-08-26,164.25,166.2,161.15,163.75,364870.0,
2016-08-29,163.95,164.9,162.0,163.05,257969.0,
2016-08-30,162.85,169.8,162.4,165.75,583918.0,
2016-08-31,166.1,169.0,154.4,155.7,1766845.0,
2016-09-01,156.85,160.0,152.0,152.9,1026086.0,
2016-09-02,152.9,155.05,150.8,151.95,507959.0,
2016-09-06,153.9,157.0,148.5,151.6,564114.0,
2016-09-07,154.2,155.15,150.0,150.9,757556.0,
2016-09-08,151.3,154.0,150.5,151.8,538555.0,
2016-09-09,151.8,154.0,149.7,151.05,455779.0,
2016-09-12,148.5,151.4,145.95,146.3,324270.0,
2016-09-14,146.2,147.9,145.45,146.9,294110.0,
2016-09-15,147.0,149.8,146.05,146.5,351629.0,
2016-09-16,147.6,148.2,142.5,144.35,3054438.0,
2016-09-19,144.6,145.85,143.0,144.35,409961.0,
2016-09-20,144.75,148.45,141.1,142.5,2005694.0,
2016-09-21,142.5,144.95,137.6,138.1,1350186.0,
2016-09-22,140.8,143.0,137.0,137.7,1356481.0,
2016-09-23,138.6,141.6,138.55,140.4,424024.0,
2016-09-26,141.0,142.8,139.45,141.45,404956.0,
2016-09-27,141.6,142.85,139.1,139.35,266581.0,
2016-09-28,139.6,143.5,139.0,141.9,512446.0,
2016-09-29,141.8,143.3,137.0,138.05,1349616.0,
2016-09-30,137.0,139.6,136.5,137.85,252121.0,
2016-10-03,139.35,142.0,139.0,141.45,448732.0,
2016-10-04,141.45,145.0,140.8,142.15,336688.0,
2016-10-05,142.3,150.0,142.3,145.25,1349288.0,
2016-10-06,145.95,147.2,144.0,144.65,569532.0,
2016-10-07,144.55,148.9,144.1,144.4,504472.0,
2016-10-10,145.5,146.4,141.9,142.4,346428.0,
2016-10-13,141.75,144.5,138.0,140.3,509553.0,
2016-10-14,141.0,141.7,139.05,140.1,228860.0,
2016-10-17,140.2,143.55,139.1,140.05,463060.0,
2016-10-18,140.5,143.5,140.4,143.1,802647.0,
2016-10-19,143.35,147.3,141.3,145.65,1079035.0,
2016-10-20,148.0,149.3,146.15,148.3,516904.0,
2016-10-21,148.9,152.7,146.4,151.45,485328.0,
2016-10-24,152.0,158.8,151.95,156.25,1157189.0,
2016-10-25,156.25,167.8,155.0,163.3,1990975.0,
2016-10-26,163.5,169.8,160.55,163.35,1442854.0,
2016-10-27,162.6,163.0,157.1,159.65,757340.0,
2016-10-28,160.35,163.0,157.6,160.2,766316.0,
2016-11-01,164.9,164.9,161.0,162.65,413438.0,
2016-11-02,162.0,162.0,157.05,159.05,350279.0,
2016-11-03,158.2,161.5,153.7,155.15,526061.0,
2016-11-04,155.5,156.5,148.35,149.95,2064194.0,
2016-11-07,154.3,155.7,152.55,153.5,676980.0,
2016-11-08,155.25,155.25,151.45,153.6,172156.0,
2016-11-09,132.1,149.0,130.0,145.9,1091351.0,
2016-11-10,147.8,151.85,147.8,150.1,270508.0,
2016-11-11,149.0,149.0,144.25,145.15,257806.0,
2016-11-15,143.6,145.7,136.0,137.15,586216.0,
2016-11-16,140.3,140.3,131.55,137.15,443975.0,
2016-11-17,137.5,140.1,134.05,134.65,489327.0,
2016-11-18,134.9,136.0,132.0,133.4,728708.0,
2016-11-21,135.0,135.0,126.85,127.8,405851.0,
2016-11-22,128.9,131.6,127.95,130.1,1588030.0,
2016-11-23,131.25,139.5,130.1,139.05,744974.0,
2016-11-24,139.0,141.0,135.5,139.05,423747.0,
2016-11-25,140.5,143.0,138.0,140.95,774210.0,
2016-11-28,142.35,143.5,137.55,139.4,596759.0,
2016-11-29,140.3,142.3,140.0,141.0,224020.0,
2016-11-30,142.3,142.5,138.0,139.55,261077.0,
2016-12-01,140.95,141.0,137.8,138.2,118700.0,
2016-12-02,138.0,142.0,137.6,140.75,170573.0,
2016-12-05,142.0,142.0,137.45,138.35,158278.0,
2016-12-06,138.3,139.9,136.0,137.0,151634.0,
2016-12-07,137.75,137.95,136.05,136.8,145656.0,
2016-12-08,137.1,143.7,137.1,140.9,530024.0,
2016-12-09,142.0,142.3,139.95,140.7,123563.0,
2016-12-12,140.6,142.0,139.65,140.55,163218.0,
2016-12-13,140.15,141.9,138.0,139.1,93780.0,
2016-12-14,139.0,139.9,137.35,138.95,196568.0,
2016-12-15,138.0,141.2,138.0,139.45,452914.0,
2016-12-16,138.5,140.8,138.15,139.05,128501.0,
2016-12-19,139.0,139.95,137.8,138.05,105680.0,
2016-12-20,138.1,138.95,132.5,133.9,141942.0,
2016-12-21,134.0,135.55,132.0,132.6,118522.0,
2016-12-22,133.7,133.7,128.4,131.15,209951.0,
2016-12-23,131.7,132.5,130.0,131.9,559640.0,
2016-12-26,131.0,131.85,129.5,130.1,615866.0,
2016-12-27,131.35,133.5,130.0,132.7,91956.0,
2016-12-28,133.4,134.75,129.55,130.2,274699.0,
2016-12-29,131.0,137.4,130.25,136.25,298470.0,
2016-12-30,137.5,140.0,136.7,138.05,178742.0,
2017-01-02,138.5,138.65,136.1,137.65,152058.0,
