,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,41.65,43.5,41.55,42.85,158575.0,
2016-08-17,43.1,43.3,42.4,43.05,116495.0,
2016-08-18,43.15,44.2,42.75,43.25,130331.0,
2016-08-19,43.4,44.35,43.05,43.65,109994.0,
2016-08-22,43.65,44.2,42.6,42.9,197378.0,
2016-08-23,42.6,43.95,42.6,43.35,95625.0,
2016-08-24,43.4,43.5,42.7,42.8,65393.0,
2016-08-25,43.15,43.9,43.05,43.15,79929.0,
2016-08-26,43.3,43.5,42.15,42.4,67486.0,
2016-08-29,43.15,43.6,42.3,43.0,112246.0,
2016-08-30,42.8,44.0,42.8,43.4,85017.0,
2016-08-31,43.1,46.2,43.0,45.65,637857.0,
2016-09-01,44.75,45.65,43.55,43.95,161967.0,
2016-09-02,43.95,45.6,43.85,45.2,168575.0,
2016-09-06,45.5,45.7,44.8,45.0,111835.0,
2016-09-07,45.1,45.35,44.3,44.75,82345.0,
2016-09-08,45.2,46.6,43.9,44.3,185521.0,
2016-09-09,44.6,45.4,43.7,44.5,122886.0,
2016-09-12,43.6,43.8,42.15,42.55,130424.0,
2016-09-14,42.95,43.75,42.5,43.15,116433.0,
2016-09-15,43.1,43.6,42.75,42.85,58755.0,
2016-09-16,43.05,43.9,42.7,42.8,140751.0,
2016-09-19,43.9,43.9,42.85,43.55,99087.0,
2016-09-20,43.65,44.5,43.25,43.5,87964.0,
2016-09-21,43.5,44.2,42.0,42.75,218565.0,
2016-09-22,43.25,43.8,42.05,43.5,138311.0,
2016-09-23,43.55,45.8,43.4,44.6,363215.0,
2016-09-26,44.4,44.8,43.2,43.45,130447.0,
2016-09-27,43.8,46.2,42.8,45.75,377214.0,
2016-09-28,47.7,48.0,45.85,46.2,662734.0,
2016-09-29,46.3,46.6,41.0,42.6,393617.0,
2016-09-30,42.0,43.85,41.55,43.55,134693.0,
2016-10-03,43.65,45.45,43.65,45.25,140917.0,
2016-10-04,44.7,45.1,44.4,44.5,51813.0,
2016-10-05,44.5,46.75,44.5,45.55,220366.0,
2016-10-06,45.55,46.8,44.05,44.6,220011.0,
2016-10-07,44.6,45.5,43.8,44.2,128698.0,
2016-10-10,44.6,46.8,44.05,45.45,307199.0,
2016-10-13,45.7,45.7,43.5,44.4,122214.0,
2016-10-14,45.05,45.05,43.8,44.05,73822.0,
2016-10-17,44.4,44.9,43.2,43.25,61285.0,
2016-10-18,43.75,44.2,43.4,43.7,102678.0,
2016-10-19,44.1,44.95,43.7,44.1,119009.0,
2016-10-20,44.35,45.8,44.15,44.6,165637.0,
2016-10-21,44.75,45.4,44.25,44.3,96767.0,
2016-10-24,44.8,45.7,43.85,44.5,116613.0,
2016-10-25,44.5,47.9,44.25,46.25,458046.0,
2016-10-26,46.2,47.4,45.5,46.1,206084.0,
2016-10-27,46.0,46.0,45.2,45.55,58601.0,
2016-10-28,45.1,46.5,44.5,45.55,62745.0,
2016-11-01,47.0,56.2,45.9,56.2,3356673.0,
2016-11-02,57.1,59.7,55.0,55.65,5307515.0,
2016-11-03,54.8,59.3,54.05,54.55,2153628.0,
2016-11-04,55.2,56.3,48.8,50.55,1013667.0,
2016-11-07,51.5,53.5,51.5,52.2,442822.0,
2016-11-08,52.8,53.0,50.4,51.5,334371.0,
2016-11-09,44.0,49.45,41.2,48.5,774762.0,
