,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,75.2,75.8,73.5,73.9,3591869.0,
2016-08-17,74.0,75.55,73.85,74.4,2996065.0,
2016-08-18,74.7,75.8,74.4,74.75,2438266.0,
2016-08-19,74.9,78.35,74.75,76.95,7164709.0,
2016-08-22,76.95,76.95,74.55,75.0,3091690.0,
2016-08-23,74.9,75.4,73.7,74.45,2213879.0,
2016-08-24,74.2,75.35,74.1,74.85,2651441.0,
2016-08-25,75.0,75.35,73.0,73.25,3724664.0,
2016-08-26,73.35,74.0,71.7,72.25,2378177.0,
2016-08-29,70.6,74.25,70.55,72.75,5899090.0,
2016-08-30,73.0,73.9,72.75,73.35,2411488.0,
2016-08-31,73.65,73.95,72.6,72.8,2112304.0,
2016-09-01,72.9,73.5,70.2,70.5,2712230.0,
2016-09-02,70.85,71.75,70.65,71.1,1890352.0,
2016-09-06,71.55,72.85,71.55,72.1,2209617.0,
2016-09-07,72.4,73.8,71.7,72.45,2546141.0,
2016-09-08,72.75,74.9,72.2,74.45,3286784.0,
2016-09-09,74.75,74.75,73.25,73.45,1701015.0,
2016-09-12,72.5,72.5,67.1,69.95,2346615.0,
2016-09-14,70.05,71.75,70.0,71.3,2167342.0,
2016-09-15,71.5,72.0,70.4,71.15,987221.0,
2016-09-16,71.5,72.5,68.55,69.1,6658479.0,
2016-09-19,69.5,70.65,69.3,70.0,1556246.0,
2016-09-20,70.2,71.35,70.2,70.5,2598567.0,
2016-09-21,70.9,71.75,70.3,70.95,2383940.0,
2016-09-22,71.6,72.25,70.75,71.85,2483877.0,
2016-09-23,72.4,72.85,71.35,71.6,2359971.0,
2016-09-26,71.4,72.1,69.95,70.25,1955410.0,
2016-09-27,70.65,71.4,70.35,70.5,1832541.0,
2016-09-28,70.5,71.8,70.5,71.15,1430433.0,
2016-09-29,71.7,72.1,64.1,64.9,5058328.0,
2016-09-30,64.8,66.3,63.3,65.7,3074896.0,
2016-10-03,66.0,67.35,66.0,67.0,1326961.0,
2016-10-04,67.5,68.7,67.0,68.0,2594335.0,
2016-10-05,68.4,68.8,67.1,67.65,1582629.0,
2016-10-06,68.0,68.55,66.15,66.75,1633790.0,
2016-10-07,67.15,68.35,66.3,67.85,2956857.0,
2016-10-10,68.35,70.35,67.1,69.05,4932347.0,
2016-10-13,68.95,69.7,67.05,67.4,2189833.0,
2016-10-14,67.8,68.5,67.1,67.6,2161935.0,
2016-10-17,67.9,68.95,66.5,67.4,3056855.0,
2016-10-18,67.95,68.75,67.7,68.55,1109854.0,
2016-10-19,68.9,69.6,68.4,69.15,2055706.0,
2016-10-20,69.5,71.65,69.3,71.15,2649883.0,
2016-10-21,71.5,72.25,70.6,71.4,2736427.0,
2016-10-24,71.9,72.8,71.1,71.4,2729507.0,
2016-10-25,70.0,70.5,66.8,67.5,6806517.0,
2016-10-26,67.5,68.1,67.0,67.3,2306069.0,
2016-10-27,67.45,67.45,66.35,66.95,2459748.0,
