,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,27.15,27.25,26.4,27.1,3928164.0,
2016-08-17,27.0,27.95,26.85,27.75,4258276.0,
2016-08-18,27.8,28.05,27.5,27.55,3391984.0,
2016-08-19,27.6,28.2,27.5,28.0,4525020.0,
2016-08-22,28.1,28.35,27.6,28.2,4146704.0,
2016-08-23,28.15,28.35,27.75,27.9,2779301.0,
2016-08-24,27.95,28.15,27.75,28.05,1899071.0,
2016-08-25,28.05,28.35,26.95,27.35,21019064.0,
2016-08-26,27.5,27.65,26.75,27.1,3597960.0,
2016-08-29,27.05,27.3,26.75,27.15,1938931.0,
2016-08-30,27.3,27.7,27.2,27.55,2361839.0,
2016-08-31,27.6,28.1,27.25,27.65,5261945.0,
2016-09-01,27.8,27.85,26.6,26.9,4420180.0,
2016-09-02,27.0,27.35,26.8,27.2,2426508.0,
2016-09-06,27.2,27.6,27.0,27.1,3321212.0,
2016-09-07,27.3,27.7,27.1,27.4,3648468.0,
2016-09-08,27.45,27.85,27.3,27.7,3216834.0,
2016-09-09,28.1,29.35,27.8,28.85,16223977.0,
2016-09-12,28.2,28.7,27.1,27.4,6097334.0,
2016-09-14,27.5,27.85,27.2,27.7,3297873.0,
2016-09-15,27.75,27.9,27.35,27.5,2113966.0,
2016-09-16,27.75,28.05,27.1,27.65,7968511.0,
2016-09-19,27.65,27.9,27.45,27.65,2503703.0,
2016-09-20,28.0,28.2,27.7,27.85,3299753.0,
2016-09-21,27.75,28.1,27.5,27.65,2047289.0,
2016-09-22,28.0,28.05,27.55,27.9,2858814.0,
2016-09-23,27.9,28.2,27.7,27.8,3468418.0,
2016-09-26,27.8,28.0,27.45,27.5,2005120.0,
2016-09-27,27.6,27.75,27.25,27.35,2352067.0,
2016-09-28,27.3,27.6,27.3,27.35,2776011.0,
2016-09-29,27.45,27.65,24.8,25.05,9492886.0,
2016-09-30,25.1,25.2,24.6,24.9,10570312.0,
2016-10-03,25.15,25.75,25.1,25.65,4165012.0,
2016-10-04,25.65,26.05,25.6,25.75,3477005.0,
2016-10-05,25.95,26.05,25.65,25.7,2715935.0,
2016-10-06,25.9,26.4,25.25,25.4,5161300.0,
2016-10-07,25.4,26.1,25.2,25.9,11783813.0,
2016-10-10,25.95,26.25,25.75,25.9,2942515.0,
2016-10-13,25.8,25.85,25.0,25.2,4404589.0,
2016-10-14,25.35,26.2,25.25,26.05,10051152.0,
2016-10-17,26.15,26.9,25.5,26.5,13293803.0,
2016-10-18,26.7,27.15,26.5,26.65,12067234.0,
2016-10-19,26.65,27.35,26.6,27.05,13151366.0,
2016-10-20,27.15,27.8,27.1,27.65,12525001.0,
2016-10-21,27.6,27.85,27.4,27.7,5931567.0,
2016-10-24,27.95,28.2,26.7,26.95,15065741.0,
2016-10-25,26.95,27.1,25.6,25.8,24281634.0,
2016-10-26,25.9,26.6,25.7,25.95,7422824.0,
2016-10-27,26.0,27.25,25.7,26.8,119562566.0,
2016-10-28,26.3,27.65,26.15,27.35,17439525.0,
2016-11-01,27.3,27.65,27.05,27.15,6203431.0,
2016-11-02,26.9,26.95,26.45,26.55,4950453.0,
2016-11-03,26.45,26.95,26.15,26.25,4680606.0,
2016-11-04,26.35,26.65,25.2,25.35,7184973.0,
2016-11-07,25.75,26.35,25.6,25.8,5186127.0,
2016-11-08,26.0,26.05,25.55,25.9,3897645.0,
2016-11-09,24.2,24.85,23.15,24.6,11174979.0,
2016-11-10,25.5,26.3,25.15,25.85,6827381.0,
2016-11-11,25.75,25.75,24.85,25.1,5230827.0,
2016-11-15,25.0,25.2,24.2,24.35,5384464.0,
2016-11-16,24.5,24.8,24.0,24.05,3179227.0,
2016-11-17,24.15,24.9,24.0,24.45,3567506.0,
