,Open,High,Low,Close,Volume,DeliveryPct
2024-04-23,855.0,953.2,775.05,926.2,212645.0,44.61
2024-04-24,950.0,968.3,891.0,908.2,35784.0,50.49
2024-04-25,916.25,916.25,870.3,885.95,13788.0,71.48
2024-04-26,894.2,894.2,828.0,854.1,15124.0,70.79
2024-04-29,854.1,854.1,834.0,840.8,6264.0,69.68
2024-04-30,869.0,869.0,821.6,833.05,7376.0,59.99
2024-05-01,869.0,869.0,821.6,833.05,7376.0,59.99
2024-05-02,848.95,848.95,821.6,825.9,5691.0,81.64
2024-05-03,844.6,862.1,822.3,830.4,3538.0,46.86
2024-05-06,831.0,842.55,806.0,814.2,10524.0,57.12
2024-05-07,826.4,826.4,769.15,784.15,13783.0,61.59
2024-05-08,780.2,798.05,767.2,785.15,5224.0,49.27
2024-05-09,783.85,800.95,753.25,778.2,11761.0,71.96
2024-05-10,778.55,835.35,732.2,764.45,33011.0,34.63
2024-05-13,736.0,786.25,736.0,762.45,19741.0,39.04
2024-05-14,768.4,832.2,768.4,823.0,16864.0,51.76
2024-05-15,832.8,848.0,804.15,829.95,15961.0,41.37
2024-05-16,834.0,864.4,822.5,855.45,16161.0,69.08
2024-05-17,862.0,920.0,851.1,891.3,34119.0,55.91
2024-05-20,881.0,913.3,870.0,877.25,4040.0,65.4
2024-05-21,877.25,888.0,831.15,841.65,13616.0,50.25
2024-05-22,854.25,864.95,830.85,851.15,12935.0,23.93
2024-05-23,838.4,854.95,836.15,838.15,6763.0,50.94
2024-05-24,839.95,900.0,838.15,867.45,159652.0,77.9
2024-05-27,880.45,897.95,832.5,840.25,16184.0,56.26
2024-05-28,840.25,844.35,810.25,815.65,12829.0,59.98
2024-05-29,816.0,849.95,800.0,813.55,21694.0,39.6
2024-05-30,840.0,841.4,807.0,812.85,14460.0,58.26
2024-05-31,893.3,893.3,817.65,825.55,90501.0,47.27
2024-06-03,889.8,947.0,815.05,924.1,193245.0,38.58
2024-06-04,900.2,920.35,783.3,823.15,93025.0,38.57
2024-06-05,823.15,870.05,795.0,854.65,52379.0,62.57
2024-06-06,878.0,990.0,840.45,970.3,639912.0,72.74
2024-06-07,976.95,1084.45,975.0,1057.25,222656.0,39.58
2024-06-10,1068.0,1068.0,1000.0,1037.0,214117.0,66.3
2024-06-11,1041.0,1128.0,1032.0,1046.35,156421.0,38.97
2024-06-12,1051.6,1095.0,1032.0,1085.4,74805.0,41.35
2024-06-13,1101.7,1143.05,1091.95,1108.0,114108.0,54.87
2024-06-14,1115.0,1150.0,1111.1,1120.65,54532.0,42.44
2024-06-17,1115.0,1150.0,1111.1,1120.65,54532.0,42.44
2024-06-18,1137.45,1139.0,1039.35,1067.55,66395.0,49.96
2024-06-19,1067.55,1087.0,989.45,1009.95,64080.0,47.02
2024-06-20,1030.2,1120.0,1030.2,1096.05,143692.0,28.08
2024-06-21,1143.0,1143.05,1096.2,1131.1,65520.0,45.89
2024-06-24,1143.05,1169.8,1118.65,1145.0,79968.0,44.53
2024-06-25,1147.0,1157.35,1120.65,1149.8,51539.0,55.78
2024-06-26,1168.9,1174.0,1137.45,1146.25,47125.0,47.92
2024-06-27,1165.0,1165.0,1105.05,1138.0,49780.0,43.48
2024-06-28,1149.0,1180.0,1135.8,1157.25,47153.0,37.35
2024-07-01,1175.0,1176.8,1121.05,1140.45,41907.0,38.66
2024-07-02,1151.0,1165.0,1124.5,1155.25,55372.0,38.48
2024-07-03,1154.15,1166.0,1129.05,1135.85,34733.0,43.07
2024-07-04,1149.95,1153.95,1125.6,1141.4,19761.0,50.48
2024-07-05,1148.0,1149.95,1121.4,1127.95,17956.0,52.82
2024-07-08,1144.0,1165.0,1110.85,1147.2,31646.0,47.13
2024-07-09,1156.0,1177.0,1135.05,1144.25,28126.0,51.16
2024-07-10,1165.0,1165.0,1110.05,1150.6,25991.0,36.79
2024-07-11,1156.0,1156.0,1132.2,1135.05,20149.0,57.25
2024-07-12,1150.0,1150.0,1115.0,1121.35,19363.0,52.66
2024-07-15,1121.35,1134.3,1092.0,1098.6,30116.0,50.12
2024-07-16,1107.0,1107.0,1049.0,1066.25,53053.0,44.99
2024-07-17,1107.0,1107.0,1049.0,1066.25,53053.0,44.99
2024-07-18,1066.25,1076.2,1030.0,1056.2,31385.0,52.53
2024-07-19,1074.0,1074.0,1005.0,1014.45,21388.0,49.13
2024-07-22,1014.45,1033.75,995.55,1001.15,22766.0,48.05
2024-07-23,1002.3,1019.0,959.4,996.85,34143.0,38.55
2024-07-24,1003.55,1048.7,984.85,1023.0,60212.0,43.48
2024-07-25,1025.0,1042.55,1003.15,1031.65,25893.0,56.49
2024-07-26,1032.0,1062.0,1011.5,1049.0,25646.0,50.92
2024-07-29,1049.0,1090.55,1025.4,1033.7,32962.0,46.3
2024-07-30,1033.6,1036.8,1019.45,1026.2,32302.0,70.28
2024-07-31,1029.9,1071.0,1029.9,1033.05,21370.0,43.0
2024-08-01,1048.55,1074.0,1032.65,1057.7,25382.0,31.41
2024-08-02,1057.7,1081.0,1027.6,1049.9,34079.0,45.64
2024-08-05,991.0,1048.9,986.75,993.3,52840.0,48.82
2024-08-06,1006.4,1025.9,991.35,1004.25,30761.0,50.85
2024-08-07,1010.0,1095.0,1010.0,1078.75,51130.0,42.64
2024-08-08,1180.4,1280.0,1123.1,1233.1,887417.0,24.8
2024-08-09,1349.95,1443.0,1310.25,1412.0,1084980.0,16.8
2024-08-12,1400.0,1460.0,1305.05,1454.85,533784.0,17.38
2024-08-13,1465.0,1469.9,1370.0,1405.15,150106.0,45.37
2024-08-14,1433.0,1433.0,1337.35,1391.7,105611.0,39.74
2024-08-15,1433.0,1433.0,1337.35,1391.7,105611.0,39.74
2024-08-16,1371.0,1420.0,1371.0,1387.95,48998.0,49.31
2024-08-19,1399.0,1429.0,1378.0,1389.6,105291.0,58.39
2024-08-20,1391.0,1528.55,1390.0,1506.25,148565.0,49.26
2024-08-21,1534.0,1605.1,1530.0,1599.95,158169.0,41.59
2024-08-22,1639.45,1674.9,1624.95,1645.7,97163.0,57.62
2024-08-23,1658.15,1723.0,1571.0,1720.3,145903.0,59.07
2024-08-26,1738.0,1808.9,1665.0,1772.4,173484.0,33.47
2024-08-27,1805.0,1830.0,1702.7,1738.3,254186.0,36.44
2024-08-28,1750.0,1772.0,1690.0,1710.75,86060.0,51.43
2024-08-29,1686.6,1730.0,1625.25,1685.45,85293.0,53.75
2024-08-30,1695.05,1709.65,1640.0,1690.4,64673.0,58.39
2024-09-02,1708.0,1743.0,1649.05,1682.05,61907.0,48.64
2024-09-03,1698.75,1724.95,1655.0,1665.6,37739.0,50.95
2024-09-04,1650.0,1679.9,1640.0,1661.6,35743.0,62.13
2024-09-05,1670.0,1690.0,1654.65,1663.95,16635.0,53.1
2024-09-06,1678.95,1678.95,1601.25,1644.2,40315.0,43.01
2024-09-09,1640.05,1644.15,1566.0,1615.75,39171.0,53.2
2024-09-10,1615.75,1645.45,1604.0,1626.55,23423.0,63.88
2024-09-11,1626.55,1634.9,1556.0,1589.5,42271.0,57.78
2024-09-12,1589.5,1630.4,1563.5,1605.95,29749.0,55.9
2024-09-13,1635.0,1686.2,1550.05,1681.65,77171.0,58.78
2024-09-16,1722.7,1748.0,1611.55,1643.75,64587.0,43.32
2024-09-17,1648.95,1660.05,1596.8,1632.5,43235.0,51.42
2024-09-18,1665.0,1699.7,1650.05,1667.0,70683.0,49.79
2024-09-19,1699.8,1699.8,1630.05,1645.8,48140.0,48.61
2024-09-20,1672.85,1718.3,1647.0,1690.2,55102.0,58.71
2024-09-23,1720.0,1774.0,1696.05,1703.5,116695.0,49.8
2024-09-24,1750.0,1755.0,1683.05,1697.85,64835.0,54.64
2024-09-25,1701.0,1724.0,1685.55,1690.5,23901.0,59.77
2024-09-26,1690.0,1710.0,1679.65,1705.5,47353.0,70.6
2024-09-27,1753.0,1790.75,1690.0,1704.1,181586.0,51.94
2024-09-30,1709.0,1789.3,1709.0,1789.3,86304.0,62.0
2024-10-01,1790.0,1825.0,1770.0,1824.45,128322.0,49.03
2024-10-02,1790.0,1825.0,1770.0,1824.45,128322.0,49.03
2024-10-03,1771.1,1823.8,1760.0,1773.4,83656.0,54.56
2024-10-04,1757.5,1818.0,1705.55,1801.8,96551.0,56.53
2024-10-07,1813.0,1820.0,1711.75,1713.95,82460.0,70.12
2024-10-08,1705.0,1724.0,1660.55,1703.25,63549.0,45.47
2024-10-09,1728.8,1829.9,1708.55,1828.6,159082.0,51.14
2024-10-10,1829.9,1829.9,1806.05,1828.9,84908.0,42.6
2024-10-11,1829.9,1829.9,1782.0,1801.65,32155.0,57.09
2024-10-14,1801.65,1850.0,1732.95,1780.0,273319.0,48.48
2024-10-15,1848.0,1848.0,1800.05,1839.65,85884.0,41.36
2024-10-16,1848.0,1850.0,1828.55,1843.05,107811.0,47.73
2024-10-17,1844.95,1850.0,1811.5,1849.45,67114.0,47.35
2024-10-18,1848.95,1848.95,1756.05,1827.5,74643.0,41.74
2024-10-21,1840.0,1900.0,1839.9,1867.85,148841.0,41.92
2024-10-22,1776.05,1811.7,1620.6,1646.4,371003.0,32.96
2024-10-23,1659.95,1719.0,1605.45,1646.0,111019.0,33.69
2024-10-24,1649.6,1682.8,1641.75,1665.75,50125.0,41.21
2024-10-25,1651.0,1665.75,1560.0,1615.4,114598.0,49.33
2024-10-28,1615.35,1645.0,1564.45,1627.0,49937.0,26.72
2024-10-29,1652.9,1658.95,1589.6,1642.5,32991.0,38.51
2024-10-30,1639.6,1704.5,1555.0,1658.35,215376.0,43.9
2024-10-31,1655.0,1680.95,1615.0,1657.35,55243.0,43.88
2024-11-01,1645.0,1700.0,1645.0,1678.85,14021.0,61.76
2024-11-04,1694.0,1701.9,1632.0,1686.6,54015.0,41.71
2024-11-05,1686.6,1698.0,1659.0,1676.25,36127.0,35.04
2024-11-06,1689.95,1750.0,1672.2,1733.95,67586.0,51.86
2024-11-07,1759.95,1765.95,1677.0,1685.2,44811.0,46.71
2024-11-08,1690.0,1711.45,1635.0,1645.85,60448.0,47.17
2024-11-11,1650.2,1693.25,1635.15,1654.5,71578.0,40.13
2024-11-12,1669.9,1673.45,1617.1,1623.4,47022.0,52.48
2024-11-13,1634.8,1634.8,1550.25,1559.1,76663.0,45.9
2024-11-14,1541.0,1595.6,1541.0,1572.85,32567.0,42.33
2024-11-18,1551.0,1619.0,1551.0,1599.4,64376.0,53.76
2024-11-19,1604.05,1638.75,1586.2,1601.95,45924.0,53.39
2024-11-20,1604.05,1638.75,1586.2,1601.95,45924.0,53.39
2024-11-21,1600.0,1606.6,1555.5,1565.8,38374.0,42.87
2024-11-22,1584.95,1589.95,1550.0,1554.1,31333.0,55.19
2024-11-25,1560.15,1595.75,1550.0,1556.85,51586.0,48.65
2024-11-26,1559.9,1589.9,1555.0,1569.1,24491.0,40.81
2024-11-27,1573.75,1587.85,1558.1,1582.35,24591.0,50.71
2024-11-28,1586.9,1633.0,1582.4,1594.1,25265.0,38.55
2024-11-29,1613.7,1613.7,1570.0,1580.75,16206.0,52.07
2024-12-02,1575.05,1620.0,1559.0,1603.1,29874.0,49.92
2024-12-03,1614.0,1668.35,1596.05,1659.35,41164.0,44.59
