,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,1907.9,1961.0,1905.0,1955.05,170667.0,
2016-08-17,1955.0,1970.0,1926.0,1933.35,147425.0,
2016-08-18,1944.7,1979.75,1933.35,1969.85,147934.0,
2016-08-19,1978.9,1994.95,1958.5,1970.0,122045.0,
2016-08-22,1971.8,2000.0,1962.1,1978.45,105973.0,
2016-08-23,1979.8,1991.95,1970.0,1978.8,66839.0,
2016-08-24,1978.8,2009.95,1978.0,2000.15,124623.0,
2016-08-25,2001.0,2005.5,1945.0,1974.45,126758.0,
2016-08-26,1982.0,1986.95,1955.25,1969.95,54389.0,
2016-08-29,1969.0,1980.0,1926.6,1935.4,105912.0,
2016-08-30,1954.5,1981.8,1922.3,1932.2,228349.0,
2016-08-31,1932.2,1936.65,1891.0,1901.3,229660.0,
2016-09-01,1916.4,1946.3,1891.1,1935.45,173000.0,
2016-09-02,1950.0,1950.0,1914.1,1926.55,94829.0,
2016-09-06,1939.0,1954.8,1925.6,1941.55,89066.0,
2016-09-07,1952.0,1997.0,1932.2,1969.0,171412.0,
2016-09-08,1960.0,1977.8,1932.05,1962.9,144301.0,
2016-09-09,1962.95,2003.0,1940.0,1947.25,193076.0,
2016-09-12,1825.0,1920.45,1825.0,1909.75,95768.0,
2016-09-14,1929.5,1944.55,1910.05,1930.1,131928.0,
2016-09-15,1931.05,1964.5,1931.05,1947.05,61970.0,
2016-09-16,1957.9,1964.0,1931.9,1957.6,103004.0,
2016-09-19,1955.1,1989.9,1955.1,1977.05,56113.0,
2016-09-20,1988.0,2002.0,1928.0,1973.6,126687.0,
2016-09-21,1975.0,1984.55,1958.05,1965.55,55202.0,
2016-09-22,1983.85,2048.95,1962.2,2041.7,452171.0,
2016-09-23,2052.0,2070.9,2035.5,2043.85,261450.0,
2016-09-26,2051.55,2059.05,2020.15,2044.0,163474.0,
2016-09-27,2049.0,2091.0,2047.05,2064.15,216312.0,
2016-09-28,2067.5,2086.0,2052.0,2074.9,108284.0,
2016-09-29,2075.0,2095.9,1965.8,2004.95,170434.0,
2016-09-30,2010.0,2038.0,2000.7,2007.1,72764.0,
2016-10-03,2014.0,2103.5,2014.0,2093.05,145402.0,
2016-10-04,2112.8,2125.0,2029.05,2036.5,263052.0,
2016-10-05,2034.7,2044.95,1966.0,2002.15,192841.0,
2016-10-06,2016.5,2021.75,1954.65,1965.5,137543.0,
2016-10-07,1950.2,1985.0,1950.0,1965.35,122129.0,
2016-10-10,1980.0,1993.65,1948.35,1956.25,125569.0,
2016-10-13,1948.5,1948.5,1908.95,1931.65,84143.0,
2016-10-14,1940.0,1951.95,1922.0,1941.95,65448.0,
2016-10-17,1945.0,1951.2,1890.25,1899.6,101047.0,
2016-10-18,1900.0,1934.95,1891.65,1928.0,68352.0,
2016-10-19,1931.0,1953.0,1919.1,1944.95,57084.0,
2016-10-20,1964.8,1984.4,1944.5,1971.65,195640.0,
2016-10-21,1973.7,1989.8,1960.1,1983.15,127444.0,
2016-10-24,1984.9,1991.9,1959.25,1967.25,89031.0,
2016-10-25,1968.0,2004.0,1961.25,1996.5,101771.0,
2016-10-26,2003.0,2014.0,1913.2,1971.3,354197.0,
2016-10-27,1982.9,1990.0,1936.25,1977.0,123754.0,
2016-10-28,1989.4,2049.95,1971.05,2041.6,145557.0,
2016-11-01,2053.9,2053.9,1990.95,1998.95,102351.0,
2016-11-02,1997.85,1997.9,1935.5,1957.85,150186.0,
2016-11-03,1963.95,1975.0,1935.0,1946.9,51042.0,
2016-11-04,1942.0,1942.0,1852.0,1876.85,135203.0,
2016-11-07,1880.0,1955.55,1829.05,1916.4,246062.0,
2016-11-08,1929.95,1933.9,1871.05,1891.1,138131.0,
2016-11-09,1810.0,1920.0,1712.1,1895.95,152876.0,
2016-11-10,1940.0,1944.0,1909.0,1930.65,73678.0,
2016-11-11,1919.0,1920.0,1795.7,1812.4,116203.0,
2016-11-15,1805.1,1839.0,1683.05,1702.3,157996.0,
2016-11-16,1720.0,1795.45,1700.0,1755.5,144622.0,
2016-11-17,1762.0,1805.4,1756.55,1796.2,98279.0,
2016-11-18,1798.5,1825.1,1789.9,1801.6,82547.0,
2016-11-21,1823.0,1823.0,1740.1,1757.4,103795.0,
2016-11-22,1768.0,1825.0,1749.15,1810.55,78029.0,
2016-11-23,1812.0,1839.8,1791.7,1820.75,118652.0,
2016-11-24,1823.0,1829.95,1762.95,1775.45,84400.0,
2016-11-25,1789.0,1829.25,1782.1,1816.35,138573.0,
2016-11-28,1825.0,1850.0,1810.05,1830.95,64625.0,
2016-11-29,1840.0,1865.0,1829.7,1853.4,69171.0,
2016-11-30,1859.0,1907.9,1845.05,1897.5,97840.0,
2016-12-01,1897.5,1897.5,1860.7,1870.15,207306.0,
2016-12-02,1860.0,1898.85,1837.0,1880.65,79086.0,
2016-12-05,1892.0,1902.95,1868.05,1883.35,110385.0,
2016-12-06,1894.55,1900.85,1870.1,1875.95,65813.0,
2016-12-07,1887.95,1895.0,1857.05,1881.6,52865.0,
2016-12-08,1894.5,1927.0,1882.0,1905.9,89830.0,
2016-12-09,1915.0,1925.0,1870.0,1872.5,86776.0,
2016-12-12,1883.0,1883.0,1826.0,1833.55,79308.0,
2016-12-13,1822.85,1862.0,1805.1,1825.3,126569.0,
2016-12-14,1827.25,1850.0,1822.1,1839.6,45858.0,
2016-12-15,1828.0,1871.95,1812.5,1825.35,141525.0,
2016-12-16,1825.0,1835.75,1772.0,1810.55,125433.0,
2016-12-19,1812.5,1812.5,1773.35,1782.75,64564.0,
2016-12-20,1793.0,1793.0,1735.0,1750.25,116217.0,
2016-12-21,1755.0,1779.0,1746.6,1754.45,53428.0,
2016-12-22,1750.5,1755.95,1695.05,1712.7,115526.0,
2016-12-23,1712.0,1804.75,1665.55,1753.75,244543.0,
2016-12-26,1750.0,1750.0,1677.35,1688.45,101311.0,
2016-12-27,1680.0,1739.95,1675.0,1735.6,124785.0,
2016-12-28,1748.0,1797.85,1719.75,1778.8,104441.0,
2016-12-29,1785.6,1794.0,1742.85,1759.2,139283.0,
2016-12-30,1751.0,1802.9,1749.1,1782.8,73551.0,
2017-01-02,1783.0,1833.9,1771.2,1823.85,99737.0,
2017-01-03,1836.0,1840.0,1788.0,1797.35,105316.0,
2017-01-04,1798.25,1824.0,1760.75,1779.75,78876.0,
2017-01-05,1781.0,1797.95,1780.2,1789.25,46074.0,
2017-01-06,1792.0,1817.0,1781.0,1798.8,70905.0,
2017-01-09,1807.9,1807.95,1763.05,1779.25,47535.0,
2017-01-10,1810.0,1819.7,1783.0,1803.45,132447.0,
2017-01-11,1804.2,1819.0,1790.0,1803.4,63250.0,
2017-01-12,1787.0,1821.6,1770.0,1794.65,89869.0,
2017-01-13,1794.65,1806.1,1783.5,1797.1,51886.0,
2017-01-16,1793.0,1803.0,1777.95,1794.25,50279.0,
2017-01-17,1788.0,1824.95,1781.1,1788.95,197329.0,
2017-01-18,1800.8,1808.0,1772.85,1778.0,78750.0,
2017-01-19,1785.0,1789.8,1761.65,1771.55,56447.0,
2017-01-20,1774.0,1793.75,1762.2,1781.55,78029.0,
2017-01-23,1780.0,1794.0,1772.05,1786.7,45340.0,
2017-01-24,1788.0,1803.65,1526.65,1753.0,4404447.0,
2017-01-25,1788.1,1788.1,1683.0,1707.95,875716.0,
2017-01-27,1687.0,1741.0,1685.55,1728.6,409213.0,
2017-01-30,1711.0,1731.7,1710.0,1717.25,169604.0,
2017-01-31,1717.25,1728.1,1693.8,1704.25,146204.0,
2017-02-01,1698.0,1706.4,1665.0,1696.55,146190.0,
2017-02-02,1696.0,1725.0,1690.2,1701.0,161839.0,
2017-02-03,1704.95,1736.6,1703.0,1723.7,83463.0,
2017-02-06,1725.0,1766.2,1710.4,1751.5,319820.0,
2017-02-07,1751.5,1770.0,1738.8,1747.75,104517.0,
2017-02-08,1750.0,1776.75,1750.0,1760.95,195554.0,
2017-02-09,1760.95,1832.0,1734.0,1804.4,638169.0,
2017-02-10,1809.7,1813.55,1782.0,1794.75,128878.0,
2017-02-13,1800.05,1812.0,1774.05,1803.25,83613.0,
2017-02-14,1803.75,1804.3,1771.75,1785.3,86515.0,
2017-02-15,1781.0,1789.0,1746.35,1754.5,71278.0,
2017-02-16,1750.0,1774.9,1723.9,1764.15,160983.0,
2017-02-17,1767.0,1778.25,1740.0,1746.7,68610.0,
2017-02-20,1746.7,1761.95,1725.6,1741.55,50906.0,
2017-02-21,1754.7,1754.7,1724.0,1728.65,86035.0,
2017-02-22,1735.0,1742.4,1708.0,1715.1,151703.0,
2017-02-23,1720.0,1727.3,1697.35,1706.35,198460.0,
2017-02-27,1712.0,1741.45,1701.0,1735.1,128802.0,
2017-02-28,1740.9,1742.0,1713.6,1717.45,73705.0,
2017-03-01,1728.9,1730.0,1711.1,1716.65,51185.0,
2017-03-02,1718.2,1729.0,1703.95,1710.6,91247.0,
2017-03-03,1708.0,1726.85,1700.1,1723.4,48510.0,
2017-03-06,1724.95,1734.3,1708.2,1717.5,51958.0,
2017-03-07,1717.9,1717.9,1701.15,1709.75,92788.0,
2017-03-08,1709.75,1729.0,1701.5,1719.95,107431.0,
2017-03-09,1714.9,1725.0,1712.25,1716.2,59551.0,
2017-03-10,1721.9,1728.0,1702.3,1713.15,60469.0,
2017-03-14,1721.05,1757.95,1716.45,1753.5,110967.0,
2017-03-15,1764.0,1764.0,1737.35,1743.25,67120.0,
2017-03-16,1745.5,1771.95,1743.8,1763.8,82809.0,
2017-03-17,1774.7,1800.0,1748.0,1794.0,152564.0,
2017-03-20,1812.0,1852.0,1807.0,1821.9,487622.0,
2017-03-21,1832.95,1850.0,1812.55,1844.7,171432.0,
2017-03-22,1849.8,1852.95,1826.0,1831.55,196579.0,
2017-03-23,1838.0,1847.9,1831.05,1840.2,61535.0,
2017-03-24,1840.2,1852.7,1827.0,1834.75,127943.0,
2017-03-27,1828.5,1839.35,1751.0,1796.6,178148.0,
2017-03-28,1808.0,1825.65,1773.55,1785.05,78926.0,
2017-03-29,1798.0,1805.95,1765.0,1774.9,114745.0,
2017-03-30,1789.0,1796.55,1749.95,1754.4,179186.0,
2017-03-31,1761.6,1780.0,1751.05,1760.55,44360.0,
2017-04-03,1765.0,1778.0,1740.5,1746.3,113671.0,
2017-04-05,1759.0,1759.0,1721.0,1725.4,115309.0,
2017-04-06,1723.5,1755.0,1712.95,1746.75,111288.0,
2017-04-07,1746.75,1759.0,1712.55,1722.6,107071.0,
2017-04-10,1722.6,1820.2,1718.0,1731.7,253884.0,
2017-04-11,1731.0,1748.7,1731.0,1741.8,75347.0,
2017-04-12,1744.0,1773.7,1725.8,1759.8,112713.0,
2017-04-13,1760.0,1782.9,1757.95,1775.15,73918.0,
2017-04-17,1775.0,1778.0,1745.45,1759.3,38343.0,
2017-04-18,1760.2,1780.0,1728.05,1740.9,57550.0,
2017-04-19,1740.9,1752.0,1725.3,1733.9,47651.0,
2017-04-20,1744.95,1746.95,1722.6,1725.95,39974.0,
2017-04-21,1739.8,1739.8,1715.0,1720.5,40550.0,
2017-04-24,1716.1,1731.4,1634.0,1649.85,199475.0,
2017-04-25,1650.0,1674.95,1636.0,1656.85,153497.0,
2017-04-26,1653.0,1663.3,1636.85,1640.85,63579.0,
2017-04-27,1636.0,1657.1,1630.25,1645.05,134799.0,
2017-04-28,1647.0,1671.45,1636.0,1652.25,71671.0,
2017-05-02,1664.0,1664.15,1642.5,1651.85,114860.0,
2017-05-03,1655.0,1678.0,1626.1,1659.7,370801.0,
2017-05-04,1662.0,1680.45,1635.65,1641.8,138549.0,
2017-05-05,1658.75,1658.75,1631.0,1635.65,86840.0,
2017-05-08,1635.0,1642.55,1566.2,1582.1,294538.0,
2017-05-09,1580.0,1616.6,1552.95,1584.5,147956.0,
2017-05-10,1597.0,1625.1,1589.4,1598.35,96411.0,
2017-05-11,1606.0,1611.75,1578.05,1589.6,68165.0,
2017-05-12,1585.0,1644.1,1572.55,1616.3,367540.0,
2017-05-15,1610.0,1643.4,1601.0,1633.5,80998.0,
2017-05-16,1632.5,1643.45,1610.0,1634.25,49236.0,
2017-05-17,1620.5,1668.0,1620.5,1654.35,210648.0,
2017-05-18,1640.25,1663.95,1621.85,1633.4,81511.0,
2017-05-19,1640.0,1681.2,1621.5,1670.25,189657.0,
2017-05-22,1670.0,1692.0,1648.0,1677.95,157923.0,
2017-05-23,1687.8,1696.95,1619.0,1676.8,209386.0,
2017-05-24,1672.0,1693.0,1623.3,1657.45,171228.0,
2017-05-25,1650.0,1654.85,1578.05,1616.15,284830.0,
2017-05-26,1615.0,1625.4,1569.15,1602.15,132760.0,
2017-05-29,1597.0,1599.9,1401.65,1536.3,591966.0,
2017-05-30,1520.2,1565.05,1518.0,1549.0,119526.0,
2017-05-31,1560.0,1588.95,1541.4,1569.8,76670.0,
2017-06-01,1569.0,1615.4,1560.0,1606.4,103525.0,
2017-06-02,1629.0,1629.6,1589.0,1607.55,80491.0,
2017-06-05,1613.0,1628.0,1595.0,1604.4,69627.0,
2017-06-06,1618.0,1618.0,1571.65,1580.85,87333.0,
2017-06-07,1580.85,1585.6,1558.0,1562.9,92425.0,
2017-06-08,1577.0,1600.0,1557.0,1569.1,230227.0,
2017-06-09,1572.0,1592.0,1558.25,1570.55,51592.0,
2017-06-12,1560.0,1580.0,1549.5,1559.5,35636.0,
2017-06-13,1557.0,1565.9,1541.0,1544.75,53727.0,
2017-06-14,1545.0,1590.0,1521.75,1585.85,177659.0,
2017-06-15,1587.0,1601.0,1570.2,1579.75,85153.0,
2017-06-16,1575.0,1592.1,1548.0,1559.65,78148.0,
2017-06-19,1568.0,1569.95,1533.5,1544.55,48060.0,
2017-06-20,1542.7,1549.0,1507.2,1535.3,53133.0,
2017-06-21,1540.0,1547.45,1521.05,1534.1,79899.0,
2017-06-22,1544.0,1545.5,1516.15,1522.65,43705.0,
2017-06-23,1522.75,1533.6,1506.0,1513.05,55160.0,
2017-06-27,1512.0,1542.95,1506.0,1517.35,83834.0,
2017-06-28,1519.0,1559.4,1507.05,1548.25,134757.0,
2017-06-29,1550.5,1565.0,1538.0,1547.1,91246.0,
2017-06-30,1541.1,1574.85,1527.1,1544.9,93163.0,
2017-07-03,1543.0,1550.0,1528.05,1532.5,38328.0,
2017-07-04,1529.0,1542.75,1524.2,1528.2,36312.0,
2017-07-05,1535.0,1542.45,1524.05,1537.5,56448.0,
2017-07-06,1530.0,1544.95,1510.0,1516.25,81415.0,
2017-07-07,1519.0,1555.0,1510.0,1549.0,262887.0,
