,Open,High,Low,Close,Volume,DeliveryPct
2025-07-21,723.05,747.0,723.05,730.35,41014089.0,64.84
2025-07-22,731.15,752.7,701.9,732.5,13471449.0,37.22
2025-07-23,741.75,765.9,721.0,756.2,11975338.0,31.39
2025-07-24,766.6,770.0,746.0,758.3,3432005.0,36.55
2025-07-25,753.0,762.7,737.3,757.35,3115418.0,43.09
2025-07-28,750.0,759.95,742.25,755.9,2776920.0,42.27
2025-07-29,747.6,788.35,747.05,782.45,4307521.0,37.43
2025-07-30,786.5,801.85,763.0,770.65,2336388.0,32.01
2025-07-31,753.0,774.7,750.0,759.15,1353708.0,40.16
2025-08-01,759.0,765.8,732.0,738.4,1138993.0,47.85
2025-08-04,738.4,753.9,734.0,752.3,909658.0,41.16
2025-08-05,758.4,762.0,734.0,736.7,627833.0,46.84
2025-08-06,735.45,739.95,711.55,724.5,908026.0,40.47
2025-08-07,720.05,756.7,716.0,749.65,1070979.0,37.22
2025-08-08,749.0,755.5,726.4,729.6,676488.0,27.18
2025-08-11,730.1,760.0,725.05,753.25,946417.0,29.16
2025-08-12,755.0,765.95,741.0,743.45,562786.0,32.18
2025-08-13,748.45,761.85,747.0,754.95,436574.0,42.69
2025-08-14,780.0,836.4,779.0,824.95,10948453.0,18.02
2025-08-18,825.0,825.7,791.2,800.65,3479297.0,41.05
2025-08-19,798.0,823.95,796.25,818.25,1125065.0,27.29
2025-08-20,818.0,857.3,812.35,840.9,2593213.0,29.03
2025-08-21,842.2,860.8,836.5,846.35,815481.0,31.57
2025-08-22,845.0,850.95,811.15,822.9,687734.0,44.05
2025-08-25,828.2,847.85,827.05,843.65,589796.0,31.8
2025-08-26,853.95,864.9,830.0,835.85,1706485.0,31.68
2025-08-28,839.7,845.85,815.2,817.5,684187.0,50.18
2025-08-29,820.9,837.5,816.1,818.05,665988.0,39.5
2025-09-01,826.0,828.4,811.05,814.3,481101.0,34.03
2025-09-02,818.0,821.4,801.2,804.15,464360.0,50.31
2025-09-03,809.8,825.0,802.25,823.65,633538.0,61.9
2025-09-04,829.0,858.0,828.15,844.0,863254.0,42.78
2025-09-05,844.0,847.75,826.25,829.8,369047.0,47.04
2025-09-08,829.75,834.8,813.1,816.1,304414.0,39.5
2025-09-09,818.95,825.95,813.6,818.9,245748.0,35.12
2025-09-10,820.0,832.2,812.5,815.2,349715.0,45.74
2025-09-11,815.3,835.3,815.3,820.9,414905.0,33.45
2025-09-12,824.95,841.95,818.05,833.5,438590.0,37.93
2025-09-15,833.5,840.15,824.0,835.45,284825.0,43.08
2025-09-16,838.4,860.0,828.0,831.8,621254.0,31.9
2025-09-17,836.0,870.0,835.1,864.5,1170779.0,38.08
2025-09-18,866.05,873.5,850.5,857.05,580108.0,41.29
2025-09-19,856.85,862.9,843.0,846.1,294500.0,47.63
2025-09-22,840.7,848.95,827.25,831.25,296350.0,45.2
2025-09-23,838.95,838.95,806.0,821.85,608762.0,50.59
2025-09-24,819.55,823.0,812.75,820.75,222672.0,42.11
2025-09-25,816.0,820.0,801.0,805.0,343261.0,57.47
2025-09-26,798.0,798.0,770.4,780.9,733813.0,49.44
2025-09-29,782.1,784.6,758.2,765.85,436199.0,52.91
2025-09-30,764.7,771.9,759.6,761.2,389301.0,60.12
2025-10-01,767.05,772.9,752.2,770.95,436383.0,52.81
2025-10-03,772.0,773.0,756.5,759.25,270690.0,54.33
2025-10-06,759.65,767.0,745.05,764.4,394309.0,49.16
2025-10-07,764.4,780.75,760.4,777.25,256662.0,49.81
2025-10-08,778.0,784.5,765.4,771.3,207792.0,51.01
2025-10-09,765.5,777.85,765.5,772.75,146161.0,40.36
2025-10-10,772.6,806.0,759.0,800.8,743284.0,41.54
2025-10-13,793.0,797.6,775.2,784.85,326695.0,53.29
2025-10-14,780.4,794.0,771.1,773.7,227603.0,55.7
2025-10-15,773.7,779.5,762.55,775.55,426018.0,65.1
2025-10-16,775.0,791.4,770.0,772.05,301026.0,57.38
2025-10-17,775.8,775.8,753.45,757.6,220104.0,55.2
2025-10-20,758.1,762.85,725.05,727.1,797064.0,52.55
2025-10-21,739.95,749.0,731.65,742.15,89907.0,49.21
2025-10-22,739.95,749.0,731.65,742.15,89907.0,49.21
2025-10-23,745.55,747.75,715.15,717.8,576036.0,52.79
2025-10-24,722.75,732.25,715.9,719.95,919920.0,58.56
2025-10-27,722.05,736.7,715.05,731.15,499962.0,59.35
2025-10-28,734.8,734.8,710.55,713.9,800399.0,66.0
2025-10-29,717.0,729.95,715.05,726.8,315611.0,54.75
2025-10-30,729.4,729.4,715.65,717.35,240683.0,51.33
2025-10-31,715.6,722.95,708.0,710.1,343679.0,53.75
