,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,544.8,544.8,531.05,540.3,11522.0,
2016-08-17,549.8,549.8,535.05,541.2,13070.0,
2016-08-18,548.5,560.0,538.0,552.95,29670.0,
2016-08-19,558.4,564.9,550.0,557.6,24569.0,
2016-08-22,560.05,587.0,555.05,578.55,31721.0,
2016-08-23,589.4,589.4,565.25,569.1,8789.0,
2016-08-24,569.0,578.95,564.15,571.5,18017.0,
2016-08-25,571.55,575.0,560.0,564.95,5000.0,
2016-08-26,568.75,577.0,551.0,554.25,7400.0,
2016-08-29,554.95,558.8,546.0,550.55,4526.0,
2016-08-30,551.0,567.95,551.0,558.25,37691.0,
2016-08-31,560.0,563.8,550.95,554.8,9063.0,
2016-09-01,550.0,564.9,544.0,560.25,10419.0,
2016-09-02,565.0,565.0,558.0,560.3,13828.0,
2016-09-06,560.0,569.9,556.0,564.7,38322.0,
2016-09-07,564.7,587.3,563.0,573.45,15086.0,
2016-09-08,573.0,585.0,573.0,578.7,10170.0,
2016-09-09,575.0,579.0,559.0,560.5,10307.0,
2016-09-12,559.0,559.0,535.35,539.9,8976.0,
2016-09-14,540.05,559.6,535.35,555.85,6921.0,
2016-09-15,551.0,565.0,548.0,563.35,7245.0,
2016-09-16,560.6,573.8,555.1,566.15,12013.0,
2016-09-19,570.0,570.0,556.45,559.4,8958.0,
2016-09-20,565.1,570.7,556.95,565.6,7146.0,
2016-09-21,564.0,575.0,563.0,566.35,4689.0,
2016-09-22,569.9,590.0,564.2,582.9,187164.0,
2016-09-23,591.95,609.0,583.1,583.85,125203.0,
2016-09-26,583.0,588.15,561.0,563.4,12556.0,
2016-09-27,565.0,571.95,562.0,563.25,2737.0,
2016-09-28,567.0,572.9,563.0,567.45,3575.0,
2016-09-29,568.0,569.95,502.35,527.0,36196.0,
2016-09-30,525.0,545.2,511.25,543.05,17460.0,
2016-10-03,540.0,565.9,540.0,561.05,7433.0,
2016-10-04,561.05,566.0,559.05,560.75,1985.0,
2016-10-05,560.0,560.5,556.0,557.55,1846.0,
2016-10-06,559.0,580.0,551.2,554.7,10957.0,
2016-10-07,554.7,565.8,550.1,553.4,11497.0,
2016-10-10,555.0,569.15,555.0,562.75,7855.0,
2016-10-13,555.0,565.0,546.5,553.55,13271.0,
2016-10-14,572.0,572.0,555.15,561.3,19480.0,
2016-10-17,582.7,588.85,566.2,576.15,76047.0,
2016-10-18,575.0,585.45,575.0,580.5,23241.0,
2016-10-19,584.9,588.0,575.0,581.15,23004.0,
2016-10-20,584.45,594.0,580.05,588.35,26637.0,
2016-10-21,589.35,594.0,580.0,585.55,20068.0,
2016-10-24,588.0,599.9,585.25,592.35,23702.0,
2016-10-25,590.25,599.9,585.85,594.2,15465.0,
2016-10-26,576.5,596.0,565.25,584.75,39631.0,
2016-10-27,595.0,595.0,575.1,580.05,20585.0,
2016-10-28,575.45,593.75,575.45,584.7,15056.0,
2016-11-01,601.0,601.0,581.6,589.25,16263.0,
2016-11-02,589.25,589.25,574.2,575.9,15715.0,
2016-11-03,576.0,579.9,556.0,572.1,6149.0,
2016-11-04,576.0,576.0,556.0,557.35,17787.0,
2016-11-07,569.9,582.4,558.0,564.45,15413.0,
2016-11-08,570.0,578.5,560.0,575.7,15364.0,
2016-11-09,565.9,579.0,543.0,563.95,29394.0,
2016-11-10,578.1,594.2,569.35,574.95,274167.0,
2016-11-11,574.95,589.25,566.0,570.45,25574.0,
2016-11-15,577.4,579.95,550.0,555.6,34023.0,
2016-11-16,572.0,572.0,556.0,564.65,20974.0,
2016-11-17,569.9,581.6,560.0,563.7,28784.0,
2016-11-18,569.6,575.2,562.45,570.45,10008.0,
2016-11-21,574.95,575.95,560.0,561.2,23056.0,
2016-11-22,572.8,572.8,552.0,554.9,7665.0,
2016-11-23,565.0,570.0,551.0,559.3,22619.0,
2016-11-24,565.95,579.9,556.7,576.4,14915.0,
2016-11-25,579.25,585.0,570.5,582.5,4499.0,
2016-11-28,582.5,589.35,580.0,585.4,10137.0,
2016-11-29,581.2,590.0,580.5,589.3,14264.0,
2016-11-30,594.95,594.95,582.85,587.0,11760.0,
2016-12-01,583.2,590.0,568.15,575.5,11323.0,
2016-12-02,576.2,577.45,568.05,571.7,4304.0,
2016-12-05,571.75,590.0,565.05,578.1,12239.0,
2016-12-06,572.05,583.8,571.0,572.05,3504.0,
2016-12-07,577.5,580.0,566.55,572.15,7669.0,
2016-12-08,570.2,590.0,570.2,583.25,12050.0,
2016-12-09,579.75,590.0,572.0,583.35,7175.0,
2016-12-12,575.05,591.3,573.5,579.3,16852.0,
2016-12-13,579.3,589.8,570.25,578.65,6108.0,
2016-12-14,572.15,581.0,570.2,573.9,2745.0,
2016-12-15,570.0,578.5,564.5,565.9,5668.0,
2016-12-16,577.05,588.85,568.5,571.4,41457.0,
2016-12-19,577.0,585.0,575.9,579.0,27586.0,
2016-12-20,583.95,584.0,566.7,568.55,13556.0,
2016-12-21,578.0,579.8,569.2,572.95,9763.0,
2016-12-22,570.6,574.9,563.3,566.2,5907.0,
2016-12-23,565.05,579.0,565.0,571.15,7120.0,
2016-12-26,589.4,589.4,560.2,565.3,34915.0,
2016-12-27,561.05,569.0,557.0,567.15,9418.0,
2016-12-28,569.05,576.95,562.45,570.95,7834.0,
2016-12-29,565.1,575.7,565.05,570.6,10034.0,
2016-12-30,572.3,580.0,570.1,574.9,16429.0,
2017-01-02,580.0,584.9,573.55,581.8,8181.0,
2017-01-03,582.05,588.95,581.6,585.95,11411.0,
2017-01-04,586.1,660.0,584.15,647.2,252080.0,
2017-01-05,652.9,666.7,641.6,648.05,112682.0,
2017-01-06,650.0,660.0,606.2,613.1,157661.0,
2017-01-09,619.9,628.45,614.0,623.45,36057.0,
2017-01-10,625.9,625.9,616.1,619.4,28237.0,
2017-01-11,619.05,640.05,616.0,629.8,36049.0,
2017-01-12,625.15,632.0,621.2,624.15,68798.0,
2017-01-13,623.0,635.0,622.0,633.15,24858.0,
2017-01-16,635.0,639.0,629.05,637.55,9939.0,
2017-01-17,642.0,647.0,634.55,645.45,19937.0,
2017-01-18,650.0,659.0,635.0,651.3,41439.0,
2017-01-19,645.05,655.0,640.9,651.65,17869.0,
2017-01-20,654.35,654.35,635.1,639.05,9723.0,
2017-01-23,636.0,639.6,631.0,637.8,4027.0,
2017-01-24,631.0,647.9,631.0,638.6,16441.0,
2017-01-25,638.0,641.9,637.8,639.3,3218.0,
2017-01-27,637.8,643.0,624.15,630.35,11490.0,
2017-01-30,630.1,634.0,620.0,621.95,11142.0,
2017-01-31,631.0,632.0,620.05,622.5,13128.0,
2017-02-01,625.0,632.0,613.5,629.55,14088.0,
2017-02-02,633.0,690.0,632.7,666.95,214303.0,
2017-02-03,663.0,677.95,654.7,656.5,40076.0,
2017-02-06,656.45,682.0,656.45,678.65,52321.0,
2017-02-07,684.0,684.0,670.2,671.7,14170.0,
2017-02-08,675.95,675.95,669.75,673.55,46622.0,
2017-02-09,681.8,710.0,680.0,704.45,58100.0,
2017-02-10,708.5,782.6,706.25,749.25,171214.0,
2017-02-13,750.0,753.65,731.0,746.15,34307.0,
2017-02-14,739.05,750.0,731.0,746.3,20187.0,
2017-02-15,741.05,744.9,717.3,723.95,23162.0,
2017-02-16,729.75,734.4,712.1,725.8,15240.0,
2017-02-17,728.95,751.85,722.0,729.75,31784.0,
2017-02-20,734.7,747.0,721.05,738.95,16517.0,
2017-02-21,740.85,749.0,732.0,739.8,4840.0,
2017-02-22,735.1,750.05,735.1,742.9,15311.0,
2017-02-23,740.05,750.0,736.0,745.45,10797.0,
2017-02-27,745.45,752.95,740.0,748.85,9230.0,
2017-02-28,748.65,749.8,732.0,736.65,7122.0,
2017-03-01,745.65,750.0,732.1,740.85,18789.0,
2017-03-02,745.45,750.0,731.0,737.1,26265.0,
2017-03-03,735.0,745.0,735.0,742.1,5048.0,
2017-03-06,740.0,750.0,738.3,745.8,11812.0,
2017-03-07,748.95,750.0,742.0,742.9,2999.0,
2017-03-08,734.75,749.7,734.75,743.45,15174.0,
2017-03-09,738.2,745.0,738.0,743.85,12718.0,
2017-03-10,741.8,750.1,735.8,740.1,28979.0,
2017-03-14,753.15,753.2,740.0,745.15,9759.0,
2017-03-15,739.55,746.9,732.5,742.95,3599.0,
2017-03-16,749.0,789.3,745.0,768.1,48925.0,
2017-03-17,764.9,883.3,705.0,708.0,4223907.0,
2017-03-20,715.0,723.7,698.4,713.05,370592.0,
2017-03-21,713.25,718.0,703.0,704.15,69383.0,
2017-03-22,695.0,711.0,688.0,709.3,184370.0,
