,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,974.95,992.95,952.0,960.6,43592.0,
2016-08-17,972.85,1005.0,951.0,995.45,57111.0,
2016-08-18,1006.8,1009.0,980.1,1001.15,34682.0,
2016-08-19,1010.0,1010.0,976.0,980.1,8170.0,
2016-08-22,979.95,980.0,961.0,974.2,8193.0,
2016-08-23,965.0,999.0,965.0,970.95,6855.0,
2016-08-24,976.95,988.8,970.7,983.95,3383.0,
2016-08-25,987.9,1007.0,960.0,979.0,16588.0,
2016-08-26,971.9,983.0,965.25,968.15,8431.0,
2016-08-29,981.55,981.6,968.0,968.55,3018.0,
2016-08-30,980.1,980.1,956.3,960.9,6265.0,
2016-08-31,957.0,975.2,957.0,972.5,10374.0,
2016-09-01,978.8,978.8,954.8,957.6,8068.0,
2016-09-02,974.0,974.0,918.0,947.6,16368.0,
2016-09-06,930.0,978.0,930.0,936.15,21161.0,
2016-09-07,953.85,955.0,931.0,946.3,15897.0,
2016-09-08,940.0,946.25,935.0,942.2,12412.0,
2016-09-09,937.15,944.05,931.05,934.6,2916.0,
2016-09-12,920.0,935.0,917.0,923.8,5375.0,
2016-09-14,928.0,955.0,921.0,946.05,4531.0,
2016-09-15,950.0,950.0,928.6,932.85,3152.0,
2016-09-16,940.0,944.3,921.0,923.95,9169.0,
2016-09-19,940.0,940.0,914.8,926.9,3736.0,
2016-09-20,936.0,936.0,912.75,920.1,3951.0,
2016-09-21,928.0,928.0,864.0,892.1,21660.0,
2016-09-22,900.0,905.0,845.0,859.55,52069.0,
2016-09-23,876.0,876.0,845.0,850.25,39790.0,
2016-09-26,859.1,888.0,850.25,885.5,37004.0,
2016-09-27,890.0,899.5,880.0,890.8,10807.0,
2016-09-28,889.4,894.85,871.1,890.7,4791.0,
2016-09-29,905.95,906.9,811.0,834.0,18215.0,
2016-09-30,815.0,873.05,815.0,869.1,13423.0,
2016-10-03,850.1,874.0,850.1,862.55,10546.0,
2016-10-04,851.0,880.0,851.0,867.85,48550.0,
2016-10-05,860.0,876.0,857.2,865.55,8827.0,
2016-10-06,852.55,872.9,852.55,859.35,6914.0,
2016-10-07,845.0,876.95,845.0,869.55,3743.0,
2016-10-10,869.55,886.0,853.0,879.25,7047.0,
2016-10-13,905.0,905.0,857.2,863.0,8946.0,
2016-10-14,855.1,888.0,855.1,882.7,5712.0,
2016-10-17,870.0,895.0,860.1,884.8,5785.0,
2016-10-18,873.0,935.05,873.0,926.75,20735.0,
2016-10-19,910.05,945.0,910.05,938.85,11305.0,
2016-10-20,923.0,949.0,923.0,939.05,4928.0,
2016-10-21,930.0,945.0,924.0,935.2,12175.0,
2016-10-24,916.9,949.9,916.9,940.95,6256.0,
2016-10-25,941.0,941.0,919.05,922.1,3436.0,
2016-10-26,920.0,934.05,909.5,928.5,4306.0,
2016-10-27,918.5,922.15,911.1,912.95,1727.0,
2016-10-28,910.0,935.35,910.0,916.8,8010.0,
2016-11-01,896.0,925.25,837.0,915.65,58215.0,
2016-11-02,895.65,920.0,885.0,896.75,16695.0,
2016-11-03,882.3,939.0,882.3,923.85,24651.0,
2016-11-04,923.85,935.0,920.0,929.6,20319.0,
2016-11-07,929.6,939.0,912.0,934.45,4983.0,
2016-11-08,940.25,941.0,930.5,940.05,3541.0,
2016-11-09,920.0,939.9,821.0,923.6,32837.0,
2016-11-10,949.1,952.5,924.95,949.65,21336.0,
2016-11-11,925.0,935.0,894.05,914.15,45270.0,
2016-11-15,914.0,914.0,840.0,869.15,46699.0,
2016-11-16,851.8,902.0,834.4,891.05,5292.0,
2016-11-17,901.6,905.05,881.0,895.25,10116.0,
2016-11-18,886.05,900.9,885.0,896.55,4597.0,
2016-11-21,887.8,896.95,860.7,877.4,13935.0,
2016-11-22,880.0,886.9,861.0,879.0,8310.0,
2016-11-23,869.3,889.95,868.0,870.8,8728.0,
2016-11-24,871.0,899.0,867.05,889.5,5740.0,
2016-11-25,899.0,904.9,871.1,874.15,6478.0,
2016-11-28,877.3,897.0,870.0,893.4,6689.0,
2016-11-29,912.3,912.3,875.8,896.95,5191.0,
2016-11-30,911.3,925.25,882.95,924.3,12554.0,
2016-12-01,940.1,948.0,902.2,914.35,7242.0,
2016-12-02,914.0,930.0,890.0,896.55,7433.0,
2016-12-05,900.0,901.0,870.2,878.4,7262.0,
2016-12-06,879.0,893.55,867.7,872.35,7329.0,
2016-12-07,858.0,898.0,826.1,846.2,14219.0,
2016-12-08,843.3,872.9,843.3,863.25,8914.0,
2016-12-09,869.95,869.95,850.1,852.75,7376.0,
2016-12-12,853.0,874.0,853.0,867.65,1713.0,
2016-12-13,885.0,894.0,868.1,890.85,16678.0,
2016-12-14,874.1,894.45,867.6,870.55,3642.0,
2016-12-15,860.05,905.4,860.0,896.4,6917.0,
2016-12-16,896.3,923.7,883.6,909.9,24460.0,
2016-12-19,909.9,921.7,883.5,893.65,9748.0,
2016-12-20,900.0,915.0,880.15,894.6,21689.0,
2016-12-21,887.1,918.0,887.0,913.05,11242.0,
2016-12-22,930.0,958.6,878.0,880.5,32252.0,
2016-12-23,893.95,899.7,880.1,891.15,5573.0,
2016-12-26,895.0,903.95,876.0,882.05,6651.0,
2016-12-27,896.0,903.75,876.15,898.5,30374.0,
2016-12-28,918.0,921.25,885.5,891.7,880497.0,
2016-12-29,900.0,925.0,895.25,914.0,17741.0,
2016-12-30,924.0,925.0,902.05,915.3,7513.0,
2017-01-02,930.0,930.0,887.8,919.7,2915.0,
2017-01-03,928.5,940.0,917.95,925.15,139251.0,
2017-01-04,949.0,949.0,924.3,939.5,35652.0,
2017-01-05,949.0,951.0,930.6,941.9,7369.0,
2017-01-06,959.0,959.0,938.15,953.1,6865.0,
2017-01-09,959.0,959.0,940.0,942.4,6674.0,
2017-01-10,958.9,958.9,944.0,951.0,13207.0,
2017-01-11,953.45,968.0,951.4,960.6,18772.0,
2017-01-12,976.0,1089.0,971.3,995.65,133044.0,
2017-01-13,1004.7,1020.85,977.6,1009.55,25078.0,
2017-01-16,1018.95,1022.0,1000.05,1015.3,9203.0,
2017-01-17,1016.0,1050.0,1011.6,1035.7,20466.0,
2017-01-18,1036.0,1042.0,1024.0,1027.65,11745.0,
2017-01-19,1044.0,1075.0,1025.0,1042.8,24556.0,
2017-01-20,1050.0,1050.0,1001.1,1014.4,3671.0,
2017-01-23,1002.0,1049.4,1002.0,1038.45,4378.0,
2017-01-24,1059.0,1059.0,1028.0,1044.8,5436.0,
2017-01-25,1040.0,1050.0,1020.6,1029.25,4866.0,
2017-01-27,1020.05,1045.0,1019.95,1028.8,6602.0,
2017-01-30,1029.95,1050.0,1000.0,1045.6,23047.0,
2017-01-31,1025.1,1060.0,1025.1,1046.45,16157.0,
2017-02-01,1059.95,1087.0,1046.5,1073.0,12149.0,
2017-02-02,1078.0,1094.0,1073.1,1079.9,7418.0,
2017-02-03,1089.95,1104.0,1077.9,1100.2,10934.0,
2017-02-06,1113.5,1124.0,1105.0,1116.05,8012.0,
2017-02-07,1114.95,1130.0,1095.0,1111.25,6699.0,
2017-02-08,1127.8,1128.2,1105.1,1122.1,4559.0,
2017-02-09,1128.65,1147.65,1117.0,1123.35,11783.0,
2017-02-10,1128.1,1138.4,1110.0,1119.5,3869.0,
2017-02-13,1140.95,1141.0,1090.05,1097.0,11700.0,
2017-02-14,1113.95,1117.0,1086.1,1097.8,1953.0,
2017-02-15,1111.15,1120.0,1080.6,1101.05,6055.0,
2017-02-16,1112.65,1112.65,1070.1,1098.9,17921.0,
2017-02-17,1109.7,1109.7,1077.0,1089.1,14591.0,
2017-02-20,1089.1,1107.0,1084.0,1088.2,7128.0,
2017-02-21,1084.95,1096.2,1069.95,1086.5,10156.0,
2017-02-22,1085.0,1086.65,1055.1,1069.95,4156.0,
2017-02-23,1071.35,1090.0,1060.6,1079.85,9986.0,
2017-02-27,1071.85,1119.8,1062.2,1104.35,451034.0,
2017-02-28,1120.05,1120.05,1075.0,1083.15,12747.0,
2017-03-01,1085.65,1105.0,1080.1,1101.05,10873.0,
2017-03-02,1095.7,1097.75,1040.05,1058.1,12086.0,
2017-03-03,1048.15,1070.0,1037.05,1050.0,6884.0,
2017-03-06,1050.05,1084.9,1040.05,1075.55,27855.0,
2017-03-07,1092.0,1099.0,1050.05,1098.35,36827.0,
2017-03-08,1109.0,1109.0,1080.75,1099.35,18368.0,
2017-03-09,1098.4,1110.0,1093.1,1107.75,5593.0,
2017-03-10,1112.05,1115.0,1081.2,1103.1,9091.0,
2017-03-14,1120.95,1121.0,1100.0,1105.25,3519.0,
2017-03-15,1095.05,1119.0,1070.0,1096.15,8186.0,
2017-03-16,1095.6,1153.0,1085.0,1143.5,38353.0,
2017-03-17,1158.2,1172.8,1127.15,1130.0,26832.0,
2017-03-20,1139.1,1149.8,1122.7,1127.9,8601.0,
2017-03-21,1139.3,1139.3,1111.0,1119.25,7437.0,
2017-03-22,1119.2,1119.25,1094.1,1102.45,41112.0,
2017-03-23,1102.35,1125.0,1098.0,1118.25,12686.0,
2017-03-24,1129.7,1194.4,1122.45,1169.4,20090.0,
2017-03-27,1180.0,1186.95,1141.2,1165.1,11697.0,
2017-03-28,1147.35,1190.0,1147.35,1183.3,14034.0,
2017-03-29,1180.3,1185.0,1150.0,1171.9,10929.0,
2017-03-30,1171.9,1198.0,1162.05,1184.9,29948.0,
2017-03-31,1187.65,1187.65,1171.0,1174.45,4201.0,
2017-04-03,1186.45,1212.15,1179.45,1202.55,21937.0,
2017-04-05,1194.9,1210.15,1184.7,1207.25,10591.0,
2017-04-06,1213.8,1213.8,1168.0,1180.1,20703.0,
2017-04-07,1177.95,1208.95,1176.25,1200.4,11374.0,
2017-04-10,1204.0,1219.25,1185.2,1204.6,16756.0,
2017-04-11,1205.05,1237.9,1201.9,1216.05,20828.0,
2017-04-12,1204.0,1233.1,1195.65,1219.4,33253.0,
2017-04-13,1224.8,1239.9,1205.9,1212.0,30302.0,
2017-04-17,1233.5,1237.0,1195.15,1204.0,36655.0,
2017-04-18,1217.95,1231.85,1202.0,1220.6,17184.0,
2017-04-19,1227.05,1227.05,1191.25,1204.2,15516.0,
2017-04-20,1217.05,1251.05,1209.2,1247.35,19808.0,
2017-04-21,1274.0,1284.0,1244.05,1271.1,14196.0,
2017-04-24,1284.95,1357.9,1282.1,1310.9,24241.0,
2017-04-25,1310.0,1374.0,1258.5,1359.1,33706.0,
2017-04-26,1360.0,1446.9,1331.95,1391.7,46470.0,
2017-04-27,1395.0,1453.2,1392.0,1443.6,37760.0,
2017-04-28,1443.6,1483.9,1410.0,1468.3,16893.0,
2017-05-02,1468.25,1500.0,1460.0,1482.7,16544.0,
2017-05-03,1500.0,1500.0,1470.05,1478.9,9760.0,
2017-05-04,1487.25,1493.7,1472.0,1485.65,4484.0,
2017-05-05,1491.85,1504.9,1470.0,1504.05,10605.0,
2017-05-08,1505.0,1505.0,1470.0,1489.05,5624.0,
2017-05-09,1500.0,1500.0,1458.15,1471.35,5372.0,
2017-05-10,1470.0,1486.3,1450.0,1459.55,4210.0,
2017-05-11,1454.15,1487.9,1412.0,1422.45,14431.0,
2017-05-12,1449.0,1449.0,1390.0,1418.65,11404.0,
2017-05-15,1414.95,1446.8,1402.0,1436.4,5135.0,
2017-05-16,1440.0,1440.0,1395.15,1418.1,11419.0,
2017-05-17,1400.0,1436.15,1400.0,1413.95,4663.0,
2017-05-18,1400.0,1424.95,1399.7,1400.65,13830.0,
2017-05-19,1381.2,1429.2,1347.55,1357.75,19256.0,
2017-05-22,1366.0,1420.0,1365.95,1389.5,29462.0,
2017-05-23,1393.6,1404.55,1311.3,1391.75,14180.0,
2017-05-24,1395.0,1397.0,1323.2,1332.3,8714.0,
2017-05-25,1333.15,1445.4,1311.0,1430.8,17207.0,
2017-05-26,1436.9,1436.9,1388.0,1408.75,5476.0,
2017-05-29,1390.0,1448.7,1380.0,1412.2,8767.0,
2017-05-30,1439.0,1443.9,1393.1,1424.95,4961.0,
2017-05-31,1444.95,1447.35,1405.0,1421.75,5722.0,
2017-06-01,1407.8,1458.9,1407.8,1450.4,4741.0,
2017-06-02,1423.15,1474.9,1412.4,1466.4,3928.0,
2017-06-05,1466.4,1485.0,1448.85,1470.9,12802.0,
2017-06-06,1487.9,1487.9,1454.3,1484.7,8190.0,
2017-06-07,1490.0,1520.0,1484.95,1518.0,16457.0,
2017-06-08,1531.7,1699.0,1513.8,1683.15,64160.0,
2017-06-09,1690.0,1698.95,1653.6,1673.7,16810.0,
2017-06-12,1689.7,1689.7,1632.55,1645.15,11282.0,
2017-06-13,1668.9,1668.9,1611.0,1630.35,6261.0,
2017-06-14,1646.0,1659.0,1610.0,1625.7,9889.0,
2017-06-15,1625.6,1635.0,1610.2,1627.7,3599.0,
2017-06-16,1659.75,1675.9,1618.1,1638.25,7565.0,
2017-06-19,1654.95,1669.0,1630.75,1663.35,5582.0,
2017-06-20,1654.0,1741.9,1654.0,1686.95,21753.0,
2017-06-21,1700.0,1703.95,1656.25,1661.7,5456.0,
2017-06-22,1685.7,1692.1,1598.9,1614.2,17069.0,
2017-06-23,1628.95,1649.95,1576.35,1592.95,13645.0,
2017-06-27,1595.05,1606.2,1520.05,1533.35,11341.0,
2017-06-28,1552.1,1552.1,1510.0,1521.15,7484.0,
2017-06-29,1532.0,1566.2,1524.95,1536.25,13746.0,
2017-06-30,1538.0,1550.25,1538.0,1549.1,11522.0,
2017-07-03,1565.95,1607.0,1553.0,1598.4,9780.0,
2017-07-04,1610.0,1635.6,1589.05,1602.95,21409.0,
2017-07-05,1611.0,1628.0,1592.0,1598.0,9653.0,
2017-07-06,1612.0,1614.0,1590.0,1595.1,7301.0,
2017-07-07,1593.0,1601.5,1571.35,1597.95,4832.0,
2017-07-10,1610.0,1683.0,1430.5,1600.6,3466.0,
2017-07-11,1609.9,1610.0,1592.1,1596.2,7069.0,
2017-07-12,1585.0,1608.0,1564.2,1592.4,14347.0,
2017-07-13,1592.35,1610.0,1580.0,1598.65,34708.0,
2017-07-14,1608.0,1608.0,1570.0,1585.75,9156.0,
2017-07-17,1585.0,1600.0,1578.1,1592.2,13285.0,
2017-07-18,1595.0,1595.0,1560.0,1581.0,16895.0,
2017-07-19,1581.0,1600.0,1573.05,1589.0,10870.0,
2017-07-20,1589.1,1603.0,1585.05,1597.95,6815.0,
2017-07-21,1598.0,1601.0,1585.25,1597.2,4962.0,
2017-07-24,1595.0,1608.0,1590.0,1594.45,4486.0,
2017-07-25,1595.0,1598.0,1571.0,1580.7,8250.0,
2017-07-26,1587.0,1600.0,1575.0,1597.7,11196.0,
2017-07-27,1605.0,1605.0,1575.25,1579.9,11915.0,
2017-07-28,1581.0,1602.45,1581.0,1599.95,5258.0,
2017-07-31,1648.0,1648.0,1580.0,1591.55,8520.0,
2017-08-01,1600.0,1609.0,1562.6,1572.05,18836.0,
2017-08-02,1577.6,1593.0,1570.0,1585.55,6236.0,
2017-08-03,1575.05,1599.0,1552.55,1570.9,58502.0,
2017-08-04,1590.0,1590.0,1560.0,1568.45,3494.0,
2017-08-07,1570.2,1605.95,1570.2,1591.75,13567.0,
2017-08-08,1581.0,1638.9,1571.1,1598.85,19402.0,
2017-08-09,1582.0,1598.0,1572.5,1581.6,5848.0,
2017-08-10,1572.0,1582.45,1536.15,1549.65,6716.0,
2017-08-11,1520.0,1570.0,1465.0,1556.15,9355.0,
2017-08-14,1602.0,1602.0,1500.0,1526.3,7065.0,
2017-08-16,1554.85,1554.85,1481.0,1496.45,8686.0,
2017-08-17,1496.4,1530.05,1490.0,1527.45,4766.0,
2017-08-18,1511.6,1531.0,1505.6,1524.75,6367.0,
2017-08-21,1524.75,1540.0,1505.1,1538.05,4727.0,
2017-08-22,1528.75,1535.0,1498.8,1520.6,4293.0,
2017-08-23,1504.25,1523.7,1498.0,1504.35,3296.0,
2017-08-24,1498.0,1500.05,1437.45,1467.5,17786.0,
2017-08-28,1487.45,1525.0,1455.0,1516.15,5195.0,
2017-08-29,1497.2,1542.2,1497.2,1524.55,3309.0,
2017-08-30,1546.8,1574.0,1514.5,1568.55,6808.0,
2017-08-31,1586.0,1586.0,1562.5,1572.05,4287.0,
2017-09-01,1600.1,1610.0,1580.0,1585.0,6707.0,
2017-09-04,1595.0,1602.0,1550.0,1585.65,3623.0,
2017-09-05,1568.0,1605.15,1568.0,1591.3,5994.0,
2017-09-06,1590.0,1610.0,1574.05,1605.3,4126.0,
2017-09-07,1604.0,1642.0,1600.0,1613.6,9323.0,
2017-09-08,1619.0,1650.95,1600.0,1633.05,10716.0,
2017-09-11,1634.0,1704.7,1617.05,1689.45,30799.0,
2017-09-12,1690.0,1780.0,1665.1,1735.9,34124.0,
2017-09-13,1734.3,1753.0,1685.05,1697.85,16557.0,
2017-09-14,1712.0,1741.0,1699.55,1734.45,12015.0,
2017-09-15,1734.5,1807.0,1717.1,1796.95,27790.0,
2017-09-18,1796.95,1900.0,1775.0,1883.35,30588.0,
2017-09-19,1927.0,1945.0,1830.75,1840.75,54063.0,
2017-09-20,1852.0,1895.0,1821.0,1834.05,15526.0,
2017-09-21,1847.85,1860.0,1787.0,1789.65,13415.0,
2017-09-22,1789.7,1793.95,1745.1,1759.45,8724.0,
2017-09-25,1775.0,1775.0,1667.95,1721.45,8277.0,
2017-09-26,1732.0,1752.0,1680.0,1736.35,8318.0,
2017-09-27,1754.95,1754.95,1670.0,1700.3,7143.0,
2017-09-28,1711.0,1720.0,1665.0,1701.6,11637.0,
2017-09-29,1702.05,1736.0,1672.55,1694.2,13184.0,
2017-10-03,1730.0,1830.0,1701.3,1796.1,23502.0,
2017-10-04,1807.0,1879.7,1798.0,1869.45,18243.0,
2017-10-05,1891.0,1891.0,1870.0,1875.3,6964.0,
2017-10-06,1887.0,1887.0,1852.55,1869.7,8923.0,
2017-10-09,1869.7,1935.0,1869.7,1916.55,10285.0,
2017-10-10,1884.2,1938.6,1881.0,1927.55,7118.0,
2017-10-11,1934.0,1953.35,1874.95,1890.9,4715.0,
2017-10-12,1909.95,1945.2,1879.95,1891.3,4878.0,
2017-10-13,1891.35,1916.95,1871.45,1894.05,4684.0,
2017-10-16,1968.3,1968.3,1856.2,1915.85,64503.0,
2017-10-17,1939.95,1939.95,1905.0,1913.3,24534.0,
2017-10-18,1919.95,1939.8,1902.3,1912.95,4557.0,
2017-10-19,1915.0,1937.0,1915.0,1928.65,2455.0,
2017-10-23,1928.0,1934.95,1835.1,1859.25,20586.0,
2017-10-24,1871.0,1874.7,1851.2,1870.45,4379.0,
2017-10-25,1879.95,1880.05,1841.2,1860.5,4629.0,
2017-10-26,1869.85,1869.85,1788.55,1823.55,8834.0,
2017-10-27,1835.0,1872.0,1817.2,1862.35,3501.0,
2017-10-30,1860.05,1872.3,1830.0,1858.3,3240.0,
2017-10-31,1874.5,1874.8,1827.95,1864.25,7613.0,
2017-11-01,1859.05,1874.8,1856.05,1873.05,36671.0,
2017-11-02,1873.05,1873.45,1840.4,1848.9,2997.0,
2017-11-03,1837.0,1869.0,1837.0,1860.8,3325.0,
2017-11-06,1924.8,1960.1,1875.0,1890.55,98869.0,
2017-11-07,1900.0,1934.45,1868.05,1888.8,9664.0,
2017-11-08,1900.0,1931.95,1877.1,1892.75,40498.0,
2017-11-09,1882.0,1949.0,1875.5,1924.8,22780.0,
2017-11-10,1924.95,1925.0,1866.2,1921.0,18997.0,
2017-11-13,1900.0,1920.0,1869.3,1894.6,58601.0,
2017-11-14,1894.55,1921.45,1875.0,1897.85,17375.0,
2017-11-15,1870.0,1909.5,1859.9,1888.6,8095.0,
2017-11-16,1860.0,1900.0,1860.0,1877.75,12086.0,
2017-11-17,1897.7,1906.0,1870.05,1880.5,11560.0,
2017-11-20,1870.0,1899.95,1870.0,1898.85,7291.0,
2017-11-21,1910.0,1910.0,1843.1,1849.65,19269.0,
2017-11-22,1861.0,1898.85,1861.0,1889.3,22040.0,
2017-11-23,1855.0,1900.1,1849.0,1859.35,18516.0,
2017-11-24,1860.0,1900.9,1813.9,1861.85,23201.0,
2017-11-27,1874.0,1894.95,1855.55,1876.55,18805.0,
2017-11-28,1889.0,1889.0,1848.0,1860.1,7925.0,
2017-11-29,1866.3,1971.0,1864.95,1942.7,21001.0,
2017-11-30,1940.0,1990.0,1930.05,1979.85,103553.0,
