,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,170.05,173.4,170.05,172.75,2063622.0,
2016-08-17,172.75,177.0,170.75,175.65,2395507.0,
2016-08-18,175.5,178.5,175.35,177.35,1624689.0,
2016-08-19,177.4,178.8,174.5,175.5,1333543.0,
2016-08-22,175.95,176.25,168.45,170.8,3146195.0,
2016-08-23,169.5,173.9,168.1,172.5,2343873.0,
2016-08-24,172.6,174.8,171.0,174.15,2411252.0,
2016-08-25,174.6,176.7,172.6,173.8,1979466.0,
2016-08-26,173.5,177.3,171.4,176.7,1629274.0,
2016-08-29,178.6,185.7,178.6,184.2,4846688.0,
2016-08-30,185.0,186.4,183.45,185.0,2381932.0,
2016-08-31,184.85,186.2,181.15,183.05,2079953.0,
2016-09-01,184.3,188.75,182.0,186.1,4992181.0,
2016-09-02,186.95,195.9,186.65,194.5,6293256.0,
2016-09-06,196.45,203.95,196.25,202.45,6547672.0,
2016-09-07,203.75,207.7,203.0,206.0,3457581.0,
2016-09-08,206.5,210.5,204.7,207.75,2817238.0,
2016-09-09,209.5,215.9,208.5,212.85,4866480.0,
2016-09-12,209.8,210.0,201.8,203.7,1937247.0,
2016-09-14,205.0,214.85,203.0,213.25,5335005.0,
2016-09-15,214.8,219.9,213.6,215.5,4719164.0,
2016-09-16,216.0,217.95,208.25,213.45,3749895.0,
2016-09-19,215.2,222.2,214.45,221.35,5757699.0,
2016-09-20,222.85,223.7,216.05,217.25,5620605.0,
2016-09-21,216.5,219.5,213.2,215.1,3723720.0,
2016-09-22,218.0,218.7,212.8,215.7,2828200.0,
2016-09-23,216.0,223.0,213.9,221.0,4590732.0,
2016-09-26,221.0,221.75,215.6,216.25,2195480.0,
2016-09-27,217.6,219.85,214.05,215.25,2597505.0,
2016-09-28,214.0,221.65,210.6,220.45,6489227.0,
2016-09-29,221.7,225.0,207.8,210.5,7063592.0,
2016-09-30,210.0,221.4,210.0,219.95,3633516.0,
2016-10-03,222.0,225.65,220.45,223.85,2873544.0,
2016-10-04,224.1,225.9,219.3,220.6,2607046.0,
2016-10-05,222.65,233.35,221.8,229.45,7048803.0,
2016-10-06,230.95,234.75,225.05,227.5,4734834.0,
2016-10-07,230.1,231.0,222.65,223.8,2240468.0,
2016-10-10,224.1,228.9,223.1,223.7,2038308.0,
2016-10-13,223.3,224.65,215.0,223.3,3176077.0,
2016-10-14,222.75,223.65,215.6,216.75,3257357.0,
2016-10-17,216.75,216.75,208.2,209.5,3341161.0,
2016-10-18,210.5,220.9,206.1,219.7,5967957.0,
2016-10-19,220.2,220.6,211.2,211.75,4508177.0,
2016-10-20,212.0,215.15,210.45,212.3,3409691.0,
2016-10-21,214.0,215.3,209.7,212.95,2446018.0,
2016-10-24,214.9,215.05,209.1,209.8,2001973.0,
2016-10-25,209.8,213.75,209.2,212.05,2096346.0,
2016-10-26,211.0,216.1,207.4,208.3,3284971.0,
2016-10-27,207.2,210.5,198.7,199.6,4846243.0,
2016-10-28,200.0,203.75,199.0,201.9,2506033.0,
2016-11-01,201.8,209.35,201.3,205.9,3268615.0,
2016-11-02,204.35,204.35,198.35,199.2,1886663.0,
2016-11-03,199.1,204.55,196.65,197.5,2484882.0,
2016-11-04,198.15,200.95,190.1,193.15,2504600.0,
2016-11-07,198.4,198.4,193.0,193.55,1844271.0,
2016-11-08,194.9,199.0,190.55,197.55,3727718.0,
2016-11-09,182.55,197.4,177.8,195.65,6049755.0,
2016-11-10,197.0,203.35,194.7,195.55,2886090.0,
2016-11-11,193.0,198.9,191.5,192.7,2835153.0,
2016-11-15,194.9,194.9,182.1,186.75,3119302.0,
2016-11-16,190.0,191.95,183.05,184.2,3105884.0,
2016-11-17,183.0,187.5,182.65,185.6,1497150.0,
2016-11-18,186.6,190.3,183.25,189.2,2019695.0,
2016-11-21,189.7,189.85,178.65,181.55,2571775.0,
2016-11-22,182.0,184.9,178.55,183.6,1858610.0,
2016-11-23,184.2,184.5,176.1,177.95,3927960.0,
2016-11-24,175.0,179.5,173.3,178.05,4103030.0,
2016-11-25,179.8,181.75,177.65,180.85,1460448.0,
2016-11-28,181.0,185.95,180.75,181.9,2212790.0,
2016-11-29,184.75,185.85,181.8,184.1,1576827.0,
2016-11-30,186.0,192.0,186.0,190.9,4014074.0,
2016-12-01,192.25,192.5,187.5,188.15,1902668.0,
2016-12-02,187.0,187.45,181.3,182.05,1875276.0,
2016-12-05,182.0,187.5,179.6,186.5,2068990.0,
2016-12-06,187.9,191.4,187.5,189.35,2078436.0,
2016-12-07,189.4,190.9,186.5,188.7,1533694.0,
2016-12-08,192.0,196.0,190.9,194.5,2700524.0,
2016-12-09,197.0,198.8,194.45,197.75,2185182.0,
2016-12-12,197.0,197.5,192.8,194.2,2224388.0,
2016-12-13,194.0,197.25,192.95,196.8,1570751.0,
2016-12-14,197.85,198.8,195.0,197.55,1893893.0,
2016-12-15,196.9,203.2,195.45,201.3,4181174.0,
2016-12-16,201.95,202.35,193.5,194.85,2790785.0,
2016-12-19,194.2,196.85,192.1,195.75,2068003.0,
2016-12-20,196.25,197.8,191.7,195.35,3089581.0,
2016-12-21,195.4,195.75,189.8,192.45,5455440.0,
2016-12-22,189.95,192.1,187.6,189.65,1798771.0,
2016-12-23,189.7,191.5,187.9,189.35,1328790.0,
2016-12-26,189.0,189.35,183.9,185.2,1303544.0,
2016-12-27,184.8,188.6,179.65,187.85,2207500.0,
2016-12-28,188.8,189.0,182.5,183.15,2405817.0,
2016-12-29,183.0,186.0,182.35,185.35,3051743.0,
2016-12-30,185.4,186.7,183.6,184.9,2138316.0,
2017-01-02,187.0,187.85,183.85,185.85,1781042.0,
2017-01-03,186.9,188.25,185.4,187.25,1360567.0,
2017-01-04,187.7,189.4,184.5,185.3,1244450.0,
2017-01-05,185.6,188.65,185.6,187.7,1595767.0,
2017-01-06,187.65,191.85,186.75,188.9,2580440.0,
2017-01-09,189.75,189.9,185.0,186.25,1325132.0,
2017-01-10,186.6,195.9,186.1,194.45,2495539.0,
2017-01-11,197.0,198.6,195.65,197.1,3622122.0,
2017-01-12,197.35,198.55,193.35,194.8,2046050.0,
2017-01-13,194.8,194.8,185.05,187.75,5589804.0,
2017-01-16,185.25,188.5,184.6,186.85,2842194.0,
2017-01-17,187.5,191.5,187.3,187.85,2488815.0,
2017-01-18,188.55,190.4,186.6,188.95,2435356.0,
2017-01-19,188.75,188.75,184.7,185.6,2291906.0,
2017-01-20,185.85,186.95,182.65,183.75,2066552.0,
2017-01-23,184.0,186.7,183.3,184.7,1211178.0,
2017-01-24,185.35,186.5,184.05,185.05,2431531.0,
2017-01-25,185.6,187.45,184.4,186.75,3912026.0,
2017-01-27,188.0,189.8,186.1,187.35,1741509.0,
2017-01-30,187.3,187.4,183.3,183.9,1390787.0,
2017-01-31,183.4,183.5,179.0,180.4,2025683.0,
2017-02-01,180.3,189.0,176.25,186.95,7118554.0,
2017-02-02,187.0,188.75,182.1,184.45,2558578.0,
2017-02-03,184.2,187.3,181.3,183.3,2777653.0,
2017-02-06,184.0,184.9,181.35,182.15,1670342.0,
2017-02-07,181.7,185.0,180.45,182.65,2725144.0,
2017-02-08,182.3,186.65,181.45,185.9,2462154.0,
2017-02-09,186.3,187.85,182.25,183.6,1739437.0,
2017-02-10,183.6,184.25,181.05,182.45,2590030.0,
2017-02-13,183.3,183.3,178.25,179.25,1726610.0,
2017-02-14,180.0,180.0,174.5,175.45,1972119.0,
2017-02-15,174.55,176.85,173.35,174.2,2517954.0,
2017-02-16,174.3,179.7,171.6,178.9,4054456.0,
2017-02-17,179.95,181.5,176.6,179.5,2274487.0,
2017-02-20,179.0,182.0,178.15,179.75,2545288.0,
2017-02-21,180.45,180.85,178.85,180.0,2152875.0,
2017-02-22,180.85,182.8,178.9,179.9,3638530.0,
2017-02-23,180.7,185.15,179.6,184.45,4030414.0,
2017-02-27,185.2,187.0,183.75,185.05,2991680.0,
2017-02-28,185.8,189.45,185.1,187.6,3301330.0,
2017-03-01,188.95,191.15,184.6,185.65,2229344.0,
2017-03-02,186.9,187.65,180.6,181.4,1864411.0,
2017-03-03,180.8,184.0,179.65,183.45,2264868.0,
2017-03-06,184.2,184.45,181.8,182.7,1515319.0,
2017-03-07,182.4,183.5,180.55,181.25,1249252.0,
2017-03-08,180.25,182.35,177.8,179.9,1628933.0,
2017-03-09,179.9,182.55,179.05,179.5,2079204.0,
2017-03-10,181.9,181.9,178.45,179.1,1590706.0,
2017-03-14,183.0,187.3,181.25,186.1,3340317.0,
2017-03-15,187.2,196.5,187.0,194.1,9848960.0,
2017-03-16,195.7,198.65,194.6,196.25,3822845.0,
2017-03-17,197.4,199.8,191.8,198.85,4872998.0,
2017-03-20,204.0,205.9,202.0,203.0,8999554.0,
2017-03-21,204.0,205.95,199.2,204.95,4512017.0,
2017-03-22,203.8,207.95,202.1,204.65,7102360.0,
2017-03-23,206.6,208.0,204.0,206.5,4474217.0,
2017-03-24,206.7,211.3,205.1,209.25,6289999.0,
2017-03-27,208.75,211.9,206.6,210.6,4714879.0,
2017-03-28,211.0,212.5,203.3,203.95,4666644.0,
2017-03-29,203.5,210.5,200.65,209.4,6029056.0,
2017-03-30,211.1,211.1,207.15,207.9,2759080.0,
2017-03-31,208.9,210.9,207.6,208.7,1893678.0,
2017-04-03,209.0,211.45,208.65,210.25,1688873.0,
2017-04-05,211.5,214.15,210.9,211.95,2484413.0,
2017-04-06,212.0,215.3,210.3,212.85,3386136.0,
2017-04-07,211.5,216.5,210.0,213.45,3579041.0,
2017-04-10,216.0,218.0,214.15,216.7,3368676.0,
