,Open,High,Low,Close,Volume,DeliveryPct
2021-08-24,333.0,354.8,333.0,346.9,32581493.0,65.94
2021-08-25,352.0,356.5,334.15,348.15,3883290.0,50.79
2021-08-26,347.0,353.0,345.55,351.55,2794709.0,63.12
2021-08-27,351.55,359.0,347.0,355.2,4421191.0,64.45
2021-08-30,354.0,358.0,353.1,355.75,2333990.0,69.0
2021-08-31,356.0,377.7,356.0,369.45,5823315.0,53.29
2021-09-01,371.0,381.4,367.05,377.7,4708569.0,58.69
2021-09-02,377.0,380.7,365.15,367.0,1384495.0,55.68
2021-09-03,366.0,379.55,366.0,375.8,1886892.0,58.69
2021-09-06,377.0,377.85,369.3,374.7,1193895.0,67.85
2021-09-07,375.0,376.9,366.8,369.25,1462019.0,58.9
2021-09-08,371.0,371.25,359.05,360.45,714841.0,65.12
2021-09-09,361.95,366.4,360.0,361.15,661118.0,53.71
2021-09-10,361.95,366.4,360.0,361.15,661118.0,53.71
2021-09-13,361.15,363.95,360.1,362.2,526976.0,66.21
2021-09-14,361.0,365.9,360.05,361.3,423733.0,74.18
2021-09-15,359.1,364.9,359.1,360.3,557475.0,67.83
2021-09-16,360.3,362.95,353.3,356.7,862593.0,74.28
2021-09-17,354.0,355.0,340.95,346.9,679293.0,62.14
2021-09-20,342.0,349.0,335.1,336.8,484887.0,52.41
2021-09-21,334.0,348.4,319.25,344.75,761629.0,55.14
2021-09-22,347.0,351.5,336.6,343.05,444049.0,61.39
2021-09-23,347.0,353.65,337.3,338.65,563826.0,65.65
2021-09-24,342.0,346.4,337.05,339.7,383835.0,63.13
2021-09-27,338.0,344.7,278.6,336.9,448833.0,36.0
2021-09-28,336.0,339.9,328.25,332.05,468146.0,44.38
2021-09-29,330.45,336.55,330.05,332.65,181597.0,39.02
2021-09-30,335.65,337.4,313.0,316.45,1492199.0,46.8
2021-10-01,317.0,322.0,303.0,308.4,1224476.0,70.63
2021-10-04,310.5,315.0,310.0,310.65,315760.0,63.64
2021-10-05,312.35,341.9,309.05,339.15,1762675.0,46.9
2021-10-06,342.0,349.0,319.85,322.45,1841887.0,45.55
2021-10-07,326.25,328.95,322.0,323.4,477820.0,61.52
2021-10-08,324.0,331.95,320.55,322.25,212087.0,52.49
2021-10-11,325.0,330.0,322.0,324.7,425755.0,63.63
2021-10-12,324.7,334.9,321.0,331.0,580331.0,60.24
2021-10-13,332.0,334.7,325.0,326.8,421703.0,64.04
2021-10-14,327.0,333.4,324.35,326.0,475899.0,56.92
2021-10-15,327.0,333.4,324.35,326.0,475899.0,56.92
2021-10-18,325.05,331.5,320.65,321.55,320672.0,63.59
2021-10-19,322.0,336.0,319.2,319.95,391991.0,53.22
2021-10-20,320.0,322.5,307.0,311.95,236500.0,56.89
2021-10-21,313.8,317.45,310.45,312.95,126720.0,45.73
2021-10-22,312.1,323.0,312.1,313.65,219950.0,51.82
2021-10-25,312.1,318.7,296.0,311.55,455881.0,59.44
2021-10-26,315.0,324.7,307.35,322.2,756645.0,69.31
2021-10-27,324.45,329.0,320.5,325.2,463968.0,71.61
2021-10-28,320.1,329.8,320.1,324.8,480804.0,80.36
2021-10-29,322.25,331.0,322.05,330.0,260522.0,65.14
2021-11-01,339.95,339.95,329.7,334.9,334492.0,60.2
2021-11-02,335.7,342.0,332.5,338.7,291524.0,72.87
2021-11-03,340.1,348.0,336.95,343.55,419616.0,63.92
2021-11-04,340.1,348.0,336.95,343.55,419616.0,63.92
2021-11-05,345.0,350.0,345.0,347.35,218028.0,72.51
2021-11-08,349.7,360.35,347.3,358.15,1012267.0,75.0
2021-11-09,355.0,364.4,351.1,358.4,604489.0,67.62
2021-11-10,357.5,358.85,345.15,349.75,418817.0,68.72
2021-11-11,349.05,354.0,347.1,350.1,208519.0,61.86
2021-11-12,346.1,360.0,345.5,358.7,747044.0,74.82
2021-11-15,362.0,363.0,350.25,351.15,391383.0,68.81
2021-11-16,349.1,366.4,349.1,359.85,3639847.0,73.92
2021-11-17,361.0,361.0,349.8,354.0,616579.0,77.64
2021-11-18,354.0,355.0,347.1,350.1,752145.0,83.3
2021-11-19,354.0,355.0,347.1,350.1,752145.0,83.3
2021-11-22,348.0,349.9,341.1,343.95,687083.0,79.46
2021-11-23,343.65,354.95,342.4,348.4,454617.0,78.53
2021-11-24,350.0,350.0,330.9,333.75,418619.0,79.35
2021-11-25,333.8,336.1,318.65,327.15,380936.0,59.41
2021-11-26,324.05,324.05,297.0,302.55,474123.0,65.02
2021-11-29,301.9,309.8,296.05,308.85,733796.0,84.46
2021-11-30,305.55,319.2,305.55,312.9,238513.0,64.33
2021-12-01,314.5,318.0,307.8,308.95,153651.0,74.94
2021-12-02,306.5,319.6,306.4,317.7,70316.0,48.74
2021-12-03,317.7,321.0,310.25,312.8,152960.0,72.2
2021-12-06,313.0,318.2,306.55,309.85,883814.0,90.05
2021-12-07,314.75,314.75,309.7,311.05,97981.0,57.53
2021-12-08,312.7,323.0,311.7,318.9,712489.0,85.12
2021-12-09,322.0,338.0,319.25,336.8,392553.0,54.13
2021-12-10,338.8,338.8,333.85,336.9,108659.0,49.29
2021-12-13,335.55,340.35,335.55,337.7,237904.0,57.16
2021-12-14,334.1,344.0,331.45,342.6,187608.0,49.03
2021-12-15,347.2,347.2,341.0,343.75,278055.0,80.93
2021-12-16,343.75,353.0,343.75,350.05,499123.0,72.98
2021-12-17,346.0,355.0,344.8,351.25,862094.0,60.77
2021-12-20,337.25,351.7,331.4,348.55,723690.0,72.13
2021-12-21,346.0,351.45,340.05,344.7,199340.0,57.44
2021-12-22,341.95,351.3,341.95,348.4,145805.0,50.62
2021-12-23,349.8,349.8,332.95,334.1,136173.0,42.92
2021-12-24,337.95,345.45,334.0,336.2,69452.0,42.34
2021-12-27,339.15,341.85,325.2,332.95,134823.0,45.16
2021-12-28,332.95,337.95,330.0,333.45,88323.0,53.32
2021-12-29,331.0,345.0,331.0,341.95,152343.0,62.64
2021-12-30,341.95,344.35,337.55,339.4,108254.0,76.99
2021-12-31,336.3,346.0,335.0,339.9,92472.0,67.01
2022-01-03,344.75,350.5,342.2,348.45,214083.0,56.83
2022-01-04,346.0,353.0,340.05,347.65,106346.0,57.88
2022-01-05,350.0,350.0,311.1,342.9,150148.0,33.28
2022-01-06,340.25,360.0,340.15,358.9,1022373.0,58.97
2022-01-07,358.7,359.0,351.05,357.6,355475.0,56.1
2022-01-10,361.0,363.85,356.1,359.9,404060.0,57.04
2022-01-11,354.1,361.8,346.2,350.0,278409.0,57.26
2022-01-12,354.7,355.2,348.0,349.3,186330.0,54.49
2022-01-13,351.0,354.15,348.05,351.35,100884.0,59.13
2022-01-14,350.05,375.0,350.05,366.4,1367860.0,40.96
2022-01-17,367.1,372.0,361.05,364.05,288299.0,55.54
2022-01-18,364.25,365.4,343.0,348.0,346132.0,67.33
2022-01-19,348.0,361.95,347.0,351.45,177951.0,41.0
2022-01-20,350.6,355.85,347.25,351.3,73002.0,54.1
2022-01-21,348.25,371.5,348.25,367.5,844780.0,50.48
2022-01-24,366.4,366.4,345.35,351.3,204888.0,57.63
2022-01-25,347.3,357.4,345.25,351.65,118941.0,53.14
2022-01-26,347.3,357.4,345.25,351.65,118941.0,53.14
2022-01-27,347.3,355.55,346.05,350.1,655578.0,90.01
2022-01-28,354.75,367.8,352.55,360.65,247906.0,43.15
2022-01-31,360.0,370.0,349.25,361.5,362576.0,36.95
2022-02-01,363.0,376.85,355.8,363.9,650790.0,34.3
2022-02-02,365.0,393.8,365.0,390.4,2478478.0,36.63
2022-02-03,390.1,394.9,382.0,382.95,553404.0,53.2
2022-02-04,386.7,388.15,365.0,369.85,415428.0,50.32
2022-02-07,369.9,379.0,360.85,370.1,290640.0,41.25
2022-02-08,372.0,373.2,354.1,357.5,651965.0,65.87
2022-02-09,360.0,369.4,360.0,366.7,181430.0,49.79
2022-02-10,365.0,375.5,365.0,369.2,274605.0,49.29
2022-02-11,368.0,377.85,363.1,366.6,297682.0,45.63
2022-02-14,360.0,364.65,353.0,358.1,271313.0,51.54
2022-02-15,358.1,362.9,352.7,360.05,226103.0,53.18
2022-02-16,361.7,371.4,361.7,366.85,356375.0,87.26
2022-02-17,368.8,369.45,364.45,366.1,126622.0,71.66
2022-02-18,366.0,374.4,352.3,355.25,162324.0,38.29
2022-02-21,353.0,354.5,346.15,349.3,355450.0,78.85
2022-02-22,344.85,347.75,335.25,338.35,187913.0,64.76
2022-02-23,340.0,345.6,339.9,341.75,99869.0,47.2
2022-02-24,325.25,339.75,314.25,322.9,734358.0,79.48
2022-02-25,325.9,337.0,325.9,329.95,187666.0,66.58
2022-02-28,324.0,352.0,324.0,343.75,135300.0,36.17
2022-03-01,324.0,352.0,324.0,343.75,135300.0,36.17
2022-03-02,335.3,343.75,330.1,338.3,121858.0,63.79
2022-03-03,339.8,342.5,330.05,335.15,262747.0,61.74
2022-03-04,332.1,335.25,328.8,331.15,174509.0,65.04
2022-03-07,321.25,349.4,321.25,346.05,1317456.0,88.26
2022-03-08,345.0,348.0,335.05,339.15,113244.0,56.66
2022-03-09,342.9,345.0,336.0,339.1,97156.0,50.87
2022-03-10,344.3,348.9,340.0,346.9,113532.0,44.54
2022-03-11,346.0,374.4,346.0,370.4,483356.0,43.73
2022-03-14,369.7,372.85,360.95,368.7,148626.0,40.07
2022-03-15,369.9,374.85,360.15,369.05,149092.0,34.71
2022-03-16,367.0,373.55,362.4,364.95,165388.0,46.93
