,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,193.15,194.75,188.15,190.55,25185.0,
2016-08-17,190.0,193.0,185.9,191.0,157918.0,
2016-08-18,192.8,194.45,189.05,191.0,111627.0,
2016-08-19,191.0,195.0,189.7,194.55,41816.0,
2016-08-22,194.0,197.0,191.0,192.05,20763.0,
2016-08-23,192.05,192.95,187.0,187.95,31761.0,
2016-08-24,187.3,189.0,186.2,188.15,68902.0,
2016-08-25,188.95,191.0,186.2,186.7,52976.0,
2016-08-26,188.0,189.65,185.4,188.15,31859.0,
2016-08-29,187.6,189.8,185.0,188.8,15070.0,
2016-08-30,188.9,193.0,185.55,191.75,28613.0,
2016-08-31,191.2,199.0,189.0,196.2,51605.0,
2016-09-01,197.9,207.0,195.35,201.7,125390.0,
2016-09-02,204.5,205.4,200.0,201.0,23484.0,
2016-09-06,202.95,205.0,199.0,200.3,26799.0,
2016-09-07,201.0,201.95,197.4,199.25,27430.0,
2016-09-08,199.9,200.95,195.55,197.75,22766.0,
2016-09-09,197.0,199.0,195.0,195.45,14605.0,
2016-09-12,193.9,193.9,187.0,187.85,19098.0,
2016-09-14,189.0,193.9,187.0,192.45,24567.0,
2016-09-15,191.35,193.9,189.0,190.95,17936.0,
2016-09-16,191.9,194.9,189.55,192.8,61194.0,
2016-09-19,192.8,194.95,188.15,190.4,13787.0,
2016-09-20,190.0,192.8,188.55,188.95,8169.0,
2016-09-21,189.0,192.5,187.35,187.8,10972.0,
2016-09-22,189.95,203.8,187.75,200.25,148174.0,
2016-09-23,201.0,206.9,200.4,204.6,98022.0,
2016-09-26,205.95,205.95,197.3,198.4,35768.0,
2016-09-27,197.5,200.85,196.05,197.1,32354.0,
2016-09-28,198.6,198.6,193.1,194.6,17930.0,
2016-09-29,196.7,198.0,180.0,184.95,75849.0,
2016-09-30,187.0,189.0,185.15,187.2,27145.0,
2016-10-03,187.95,200.95,187.95,198.65,77329.0,
2016-10-04,198.05,201.0,198.0,198.0,19393.0,
2016-10-05,199.95,201.0,198.0,200.3,21679.0,
2016-10-06,201.0,204.7,198.0,200.5,36211.0,
2016-10-07,201.0,203.25,199.05,201.4,13559.0,
2016-10-10,203.9,208.0,201.3,203.3,44431.0,
2016-10-13,203.3,203.3,191.0,196.3,46633.0,
2016-10-14,196.45,202.9,195.0,201.0,18441.0,
2016-10-17,200.3,201.0,188.5,189.4,46294.0,
2016-10-18,191.0,198.5,178.0,197.3,57534.0,
2016-10-19,197.9,199.0,193.0,195.3,81597.0,
2016-10-20,196.1,203.2,195.3,200.3,63631.0,
2016-10-21,200.1,202.0,199.1,200.45,19938.0,
2016-10-24,201.0,205.0,199.5,200.0,27562.0,
2016-10-25,201.45,204.0,200.0,200.1,33200.0,
2016-10-26,200.05,202.0,195.0,195.3,13721.0,
2016-10-27,195.2,196.85,193.0,194.5,6184.0,
2016-10-28,194.0,197.0,193.05,196.25,5542.0,
2016-11-01,196.95,197.0,192.1,193.0,23981.0,
2016-11-02,192.05,194.0,185.5,190.15,57600.0,
2016-11-03,192.65,192.65,189.5,190.0,25518.0,
2016-11-04,191.05,194.05,189.95,192.15,13617.0,
2016-11-07,192.0,197.0,190.0,191.65,12260.0,
2016-11-08,204.0,209.9,199.0,201.95,274820.0,
2016-11-09,183.0,197.0,170.0,194.25,89098.0,
2016-11-10,197.95,206.0,197.0,198.75,20863.0,
2016-11-11,197.9,197.95,191.0,192.15,21770.0,
2016-11-15,190.0,190.0,163.0,169.7,996343.0,
2016-11-16,170.55,179.45,170.55,175.15,177132.0,
2016-11-17,178.7,178.75,172.0,173.1,11103.0,
2016-11-18,173.0,181.0,172.0,179.65,33632.0,
2016-11-21,178.35,180.35,172.0,173.65,38526.0,
