,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,1135.5,1147.8,1126.9,1129.65,921462.0,
2016-08-17,1115.0,1127.7,1108.15,1113.55,742834.0,
2016-08-18,1119.75,1119.75,1102.55,1107.35,1263890.0,
2016-08-19,1101.35,1126.9,1101.35,1113.5,864966.0,
2016-08-22,1121.0,1121.0,1105.0,1113.9,827995.0,
2016-08-23,1112.7,1129.65,1108.15,1126.25,684493.0,
2016-08-24,1130.0,1130.2,1115.6,1118.85,417969.0,
2016-08-25,1120.1,1126.5,1102.8,1105.9,554850.0,
2016-08-26,1106.25,1127.55,1091.05,1123.3,869672.0,
2016-08-29,1123.3,1124.65,1104.15,1111.85,452947.0,
2016-08-30,1115.0,1148.0,1110.0,1146.2,674826.0,
2016-08-31,1157.0,1173.9,1149.0,1157.9,1668417.0,
2016-09-01,1159.85,1164.05,1142.0,1156.95,621894.0,
2016-09-02,1158.95,1172.0,1151.3,1167.55,710106.0,
2016-09-06,1175.0,1213.9,1170.6,1204.15,1131704.0,
2016-09-07,1208.0,1209.0,1170.7,1177.2,1092266.0,
2016-09-08,1179.0,1190.0,1171.0,1182.6,888245.0,
2016-09-09,1181.9,1181.9,1168.0,1171.75,575102.0,
2016-09-12,1156.35,1163.0,1137.0,1154.6,465079.0,
2016-09-14,1150.1,1178.95,1150.1,1163.6,704633.0,
2016-09-15,1170.0,1175.5,1160.0,1173.55,616127.0,
2016-09-16,1173.6,1181.25,1152.0,1155.15,1136226.0,
2016-09-19,1157.2,1172.0,1157.2,1163.6,550698.0,
2016-09-20,1164.0,1173.7,1162.6,1165.05,966451.0,
2016-09-21,1165.9,1176.0,1165.9,1170.6,615798.0,
2016-09-22,1182.3,1197.0,1175.0,1192.0,913747.0,
2016-09-23,1201.0,1203.5,1185.0,1191.2,668223.0,
2016-09-26,1195.0,1195.0,1174.9,1183.0,817715.0,
2016-09-27,1184.2,1203.0,1184.2,1192.55,532323.0,
2016-09-28,1193.0,1201.0,1188.1,1193.5,566690.0,
2016-09-29,1194.35,1203.35,1160.0,1167.35,1125599.0,
2016-09-30,1167.0,1179.95,1156.0,1160.7,478253.0,
2016-10-03,1170.0,1199.0,1165.4,1193.0,747111.0,
2016-10-04,1202.0,1203.0,1179.4,1192.55,503642.0,
2016-10-05,1188.0,1224.0,1185.0,1208.75,1080751.0,
2016-10-06,1210.1,1222.4,1201.7,1209.5,746006.0,
2016-10-07,1208.0,1210.0,1180.8,1184.6,873434.0,
2016-10-10,1189.0,1219.0,1189.0,1212.65,570180.0,
2016-10-13,1227.0,1227.3,1208.85,1216.6,1391322.0,
2016-10-14,1216.1,1220.0,1202.25,1205.75,354200.0,
2016-10-17,1208.1,1208.4,1178.5,1182.3,365921.0,
