,Open,High,Low,Close,Volume,DeliveryPct
2021-01-13,367.3,369.9,355.1,363.8,1171644.0,68.54
2021-01-14,364.6,364.6,353.0,361.1,949106.0,82.02
2021-01-15,360.5,368.0,357.35,359.95,1026453.0,78.44
2021-01-18,362.0,362.1,341.0,352.25,956310.0,64.01
2021-01-19,349.95,360.85,349.3,358.7,903527.0,74.14
2021-01-20,358.25,364.4,356.45,362.4,791203.0,67.97
2021-01-21,365.0,365.6,354.0,356.75,1014163.0,78.98
2021-01-22,356.75,365.0,348.5,363.6,929784.0,63.34
2021-01-25,369.45,389.0,368.0,377.65,2678649.0,57.48
2021-01-26,369.45,389.0,368.0,377.65,2678649.0,57.48
2021-01-27,375.0,385.0,371.75,380.1,1432418.0,64.0
2021-01-28,377.95,382.2,363.4,379.3,1133260.0,65.4
2021-01-29,382.3,389.4,377.75,381.05,1112580.0,68.34
2021-02-01,385.25,391.2,381.05,389.1,2008106.0,53.56
2021-02-02,392.0,406.95,387.2,401.1,1676396.0,43.36
2021-02-03,405.8,413.15,382.15,389.65,1325312.0,45.77
2021-02-04,395.8,400.0,386.0,388.05,652627.0,58.15
2021-02-05,391.0,395.35,379.0,382.05,441742.0,56.82
2021-02-08,385.75,388.65,380.55,382.7,968925.0,79.2
2021-02-09,384.0,385.45,380.15,382.85,825573.0,74.85
2021-02-10,384.9,384.9,376.2,382.3,786555.0,76.17
2021-02-11,384.25,390.0,377.15,379.2,909606.0,76.84
2021-02-12,381.5,383.4,378.25,382.55,1219553.0,74.37
2021-02-15,387.0,435.0,386.1,426.95,4704910.0,39.0
2021-02-16,441.0,508.9,437.0,497.0,9004169.0,28.35
2021-02-17,521.0,542.8,497.2,509.95,5856367.0,32.19
2021-02-18,515.0,538.0,506.6,509.6,3727434.0,45.35
2021-02-19,513.0,519.9,458.65,497.65,2497892.0,34.77
2021-02-22,502.5,510.2,490.0,497.95,1714429.0,41.95
2021-02-23,507.0,508.45,478.0,486.0,899932.0,41.6
2021-02-24,490.0,509.05,474.1,500.15,847307.0,38.66
2021-02-25,504.0,508.25,495.1,500.4,1189419.0,57.48
2021-02-26,490.1,518.95,488.05,512.2,1551014.0,50.45
2021-03-01,523.3,529.45,516.5,525.45,1103126.0,48.4
2021-03-02,530.0,584.45,528.05,574.3,3268799.0,32.34
2021-03-03,588.0,689.15,584.0,662.75,7899553.0,22.84
2021-03-04,645.0,701.7,630.0,688.75,4035492.0,32.76
2021-03-05,698.0,724.7,677.05,700.35,2833940.0,30.81
2021-03-08,717.9,749.45,706.0,716.2,1884720.0,40.75
2021-03-09,729.0,729.4,680.85,704.5,1667389.0,40.34
2021-03-10,710.0,725.0,685.1,717.75,1729560.0,47.08
2021-03-11,710.0,725.0,685.1,717.75,1729560.0,47.08
2021-03-12,728.0,745.0,728.0,738.0,2474722.0,68.89
2021-03-15,754.0,758.7,742.0,749.1,1916677.0,68.79
2021-03-16,755.85,755.85,742.0,747.6,1378624.0,80.12
2021-03-17,747.0,778.95,740.0,744.0,1872965.0,64.39
2021-03-18,755.0,766.0,715.0,744.8,1585218.0,68.49
