,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,750.0,751.2,729.0,733.95,1666669.0,
2016-08-17,733.95,751.4,732.25,749.15,1011947.0,
2016-08-18,753.0,762.4,744.3,753.65,925884.0,
2016-08-19,750.8,766.5,748.85,765.05,1259276.0,
2016-08-22,767.75,774.0,745.2,750.15,2097448.0,
2016-08-23,750.0,750.0,730.4,736.6,2729952.0,
2016-08-24,759.3,790.95,750.1,787.8,7364073.0,
2016-08-25,798.0,804.8,788.0,789.85,4776503.0,
2016-08-26,791.0,797.2,784.05,789.95,1998554.0,
2016-08-29,792.5,798.2,780.65,786.65,2185406.0,
2016-08-30,794.0,802.0,788.3,798.55,1541064.0,
2016-08-31,803.45,805.0,788.0,790.85,1836797.0,
2016-09-01,790.6,792.35,770.0,773.4,1603565.0,
2016-09-02,775.0,784.9,766.35,779.6,1435953.0,
2016-09-06,785.0,786.9,773.55,777.65,1104637.0,
2016-09-07,780.0,789.9,778.05,783.25,1120056.0,
2016-09-08,787.6,809.9,777.0,807.2,2545948.0,
2016-09-09,811.15,818.5,799.4,802.35,2741200.0,
2016-09-12,792.0,798.0,779.6,782.35,1358801.0,
2016-09-14,783.0,790.0,776.8,783.2,906566.0,
2016-09-15,785.0,801.0,778.1,782.6,1594700.0,
2016-09-16,786.0,799.6,783.1,785.15,1464908.0,
2016-09-19,788.95,806.0,788.05,804.85,1902581.0,
2016-09-20,810.0,814.5,801.75,805.95,2023790.0,
2016-09-21,809.9,814.65,803.55,807.65,1511927.0,
2016-09-22,814.0,859.75,811.25,856.95,7694607.0,
2016-09-23,860.45,862.9,832.35,841.15,3445219.0,
2016-09-26,842.0,849.0,835.0,838.7,1622232.0,
2016-09-27,842.0,864.9,839.05,860.55,3242810.0,
2016-09-28,871.1,882.8,866.15,869.35,3685022.0,
2016-09-29,876.0,876.5,784.35,825.25,4591243.0,
2016-09-30,829.9,859.8,818.05,855.45,2665449.0,
2016-10-03,862.0,873.95,860.0,870.0,1421425.0,
2016-10-04,870.0,883.0,864.25,867.85,1140725.0,
2016-10-05,872.95,873.0,860.3,866.35,1320553.0,
2016-10-06,874.0,895.0,851.4,856.85,2835229.0,
2016-10-07,841.6,875.0,834.5,855.8,19421500.0,
2016-10-10,859.95,863.7,849.1,856.75,1248029.0,
2016-10-13,853.95,853.95,817.65,821.05,2225473.0,
2016-10-14,825.2,829.6,813.1,823.55,1777821.0,
2016-10-17,830.0,830.0,806.05,809.5,1185530.0,
2016-10-18,815.0,837.95,812.0,835.05,1672372.0,
2016-10-19,839.45,840.4,825.1,827.95,1120956.0,
2016-10-20,833.05,833.05,822.3,825.85,969072.0,
2016-10-21,827.95,827.95,819.0,822.8,853057.0,
2016-10-24,825.1,825.9,814.7,818.4,1067056.0,
2016-10-25,819.5,831.25,819.0,824.9,1027160.0,
