,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,593.95,593.95,580.0,583.3,11126973.0,
2016-08-17,588.2,598.0,585.2,589.5,9879769.0,
2016-08-18,591.1,597.3,590.8,593.15,12089285.0,
2016-08-19,595.4,597.6,586.1,588.55,9209878.0,
2016-08-22,589.9,589.95,579.4,580.25,9499230.0,
2016-08-23,581.25,585.0,580.1,582.5,6963978.0,
2016-08-24,584.85,584.85,578.65,583.4,5835501.0,
2016-08-25,586.8,594.0,585.0,586.55,17177795.0,
2016-08-26,586.5,589.0,580.3,586.4,7531289.0,
2016-08-29,586.4,597.0,586.0,589.15,12461059.0,
2016-08-30,592.0,599.25,588.55,591.15,11834475.0,
2016-08-31,591.5,603.85,580.7,596.85,120541914.0,
2016-09-01,597.05,603.0,592.0,596.65,10204784.0,
2016-09-02,597.7,602.0,594.25,599.2,7279782.0,
2016-09-06,602.5,637.8,602.5,635.9,15252302.0,
2016-09-07,637.75,638.3,622.5,625.1,11869960.0,
2016-09-08,626.0,634.0,619.75,629.35,8039571.0,
2016-09-09,615.1,624.7,611.7,613.1,9795054.0,
2016-09-12,597.8,601.85,588.4,592.1,8471237.0,
2016-09-14,593.0,604.65,590.45,601.8,5915220.0,
2016-09-15,601.05,603.0,583.3,588.75,7145326.0,
2016-09-16,592.25,612.4,592.25,602.2,19309804.0,
2016-09-19,603.0,606.0,592.85,594.35,5311980.0,
2016-09-20,598.8,599.0,589.15,592.95,4538973.0,
2016-09-21,596.5,600.35,594.5,598.9,5480087.0,
2016-09-22,610.0,612.0,590.0,591.8,10205715.0,
2016-09-23,595.6,596.1,555.7,557.45,30222177.0,
2016-09-26,559.1,560.0,545.3,547.4,14880674.0,
2016-09-27,551.0,554.25,538.7,541.0,9085199.0,
2016-09-28,543.15,550.65,540.5,549.1,10240083.0,
2016-09-29,554.45,554.85,523.45,539.3,16581655.0,
2016-09-30,535.0,547.15,530.6,541.35,5781645.0,
2016-10-03,542.95,552.3,542.9,550.9,5276340.0,
2016-10-04,553.0,553.35,541.0,546.6,5690321.0,
2016-10-05,550.0,550.65,533.25,535.7,8222912.0,
2016-10-06,531.7,535.0,524.05,530.8,10646794.0,
2016-10-07,530.0,539.4,530.0,533.85,7702773.0,
2016-10-10,538.0,538.75,530.3,531.55,3261598.0,
