,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,2780.8,2802.45,2740.05,2750.2,100241.0,
2016-08-17,2766.95,2779.95,2700.0,2716.8,91741.0,
2016-08-18,2737.95,2748.95,2657.0,2711.7,78129.0,
2016-08-19,2731.0,2757.0,2689.0,2698.9,71542.0,
2016-08-22,2712.55,2749.0,2705.5,2718.0,73675.0,
2016-08-23,2727.95,2735.0,2655.6,2682.4,89090.0,
2016-08-24,2692.7,2727.0,2692.7,2711.4,58518.0,
2016-08-25,2721.65,2727.15,2675.5,2688.25,61638.0,
2016-08-26,2708.85,2823.95,2691.4,2808.0,227483.0,
2016-08-29,2826.7,2845.0,2802.0,2815.9,122056.0,
2016-08-30,2825.0,2859.0,2814.0,2844.5,98384.0,
2016-08-31,2850.0,2997.0,2846.0,2967.3,356075.0,
2016-09-01,2962.0,3077.0,2930.0,3030.55,297297.0,
2016-09-02,3030.0,3113.0,3030.0,3052.5,157450.0,
2016-09-06,3079.7,3088.0,3055.0,3073.5,106428.0,
2016-09-07,3062.5,3099.0,3040.0,3057.35,107109.0,
2016-09-08,3076.7,3155.0,3050.0,3129.4,350855.0,
2016-09-09,3164.0,3164.0,3017.0,3034.4,128166.0,
2016-09-12,2970.0,2996.95,2884.95,2942.9,158032.0,
2016-09-14,2970.0,2997.9,2880.0,2903.4,137915.0,
2016-09-15,2927.0,2986.55,2910.1,2966.15,109780.0,
2016-09-16,2994.5,3019.95,2862.1,2895.05,182523.0,
2016-09-19,2911.0,2978.75,2910.75,2964.0,101284.0,
2016-09-20,2980.0,3109.8,2974.95,3096.2,273623.0,
2016-09-21,3115.0,3199.0,3109.95,3174.95,228765.0,
2016-09-22,3199.0,3300.0,3146.2,3254.2,282425.0,
2016-09-23,3279.0,3424.8,3260.0,3294.65,327849.0,
2016-09-26,3323.0,3355.2,3245.0,3287.0,174130.0,
2016-09-27,3301.0,3317.8,3258.3,3272.65,135971.0,
2016-09-28,3262.0,3265.0,3203.0,3234.65,200871.0,
2016-09-29,3265.0,3309.7,2974.9,3105.7,301395.0,
2016-09-30,3103.0,3198.0,3040.05,3069.55,269368.0,
2016-10-03,3109.0,3201.9,3102.0,3194.65,167480.0,
2016-10-04,3236.9,3240.5,3174.2,3199.85,182588.0,
2016-10-05,3228.0,3228.0,3110.4,3154.65,116651.0,
2016-10-06,3187.9,3188.0,3152.0,3159.45,159232.0,
2016-10-07,3168.0,3168.0,3111.0,3149.85,90612.0,
2016-10-10,3153.15,3166.85,3110.0,3119.9,107671.0,
2016-10-13,3114.9,3130.0,3089.0,3117.6,147343.0,
