,Open,High,Low,Close,Volume,DeliveryPct
2024-09-16,150.0,165.0,146.0,165.0,636727334.0,51.38
2024-09-17,175.5,181.5,174.1,181.5,246750377.0,33.59
2024-09-18,181.0,188.5,171.1,173.66,262499718.0,28.44
2024-09-19,172.98,175.75,156.29,160.12,162885712.0,34.23
2024-09-20,162.01,168.2,161.45,163.73,74914958.0,30.35
2024-09-23,165.75,166.75,160.4,161.63,33914099.0,40.93
2024-09-24,161.7,162.4,158.05,158.68,27382743.0,49.79
2024-09-25,157.8,160.0,153.14,154.17,32117117.0,46.49
2024-09-26,154.0,163.24,150.4,157.89,82292061.0,20.7
2024-09-27,158.0,160.4,156.55,157.15,21754244.0,37.02
2024-09-30,156.75,156.84,153.51,154.06,17314972.0,43.36
2024-10-01,155.0,156.8,152.55,152.92,14893316.0,55.06
2024-10-02,155.0,156.8,152.55,152.92,14893316.0,55.06
2024-10-03,149.0,151.91,148.67,150.6,19278895.0,48.77
2024-10-04,152.5,153.75,148.3,150.6,28716395.0,30.19
2024-10-07,150.6,151.34,135.54,136.03,61077251.0,46.95
2024-10-08,135.4,149.63,130.35,149.63,65871963.0,23.35
2024-10-09,152.55,159.62,152.12,155.27,71834457.0,22.51
2024-10-10,156.5,157.9,148.0,150.84,22236338.0,35.91
2024-10-11,150.84,152.74,149.6,150.88,12286184.0,33.5
2024-10-14,150.88,151.05,140.3,141.91,47858709.0,59.74
2024-10-15,143.8,145.24,138.0,139.9,31179031.0,48.9
2024-10-16,139.95,143.5,139.27,140.55,23483251.0,34.26
2024-10-17,140.6,141.67,137.65,138.23,18515750.0,51.57
2024-10-18,138.0,140.9,135.85,139.33,18526453.0,32.43
2024-10-21,140.74,142.0,136.03,136.58,15522983.0,47.01
2024-10-22,141.0,142.33,135.01,136.25,37108671.0,31.84
2024-10-23,136.5,138.49,134.75,136.83,16796959.0,35.61
2024-10-24,136.0,136.25,130.86,131.3,20083662.0,55.21
2024-10-25,131.85,133.25,128.26,131.34,24904712.0,34.43
2024-10-28,132.97,133.0,130.06,130.9,14815998.0,42.29
2024-10-29,131.0,132.4,129.31,131.78,12656708.0,39.89
2024-10-30,131.8,136.85,130.34,134.34,18344655.0,33.84
2024-10-31,134.5,136.3,132.74,134.11,10985009.0,33.29
2024-11-01,135.6,138.0,135.5,137.84,7668931.0,58.52
2024-11-04,138.0,138.25,134.25,135.33,8810870.0,44.67
2024-11-05,134.39,136.2,133.15,135.13,8984362.0,37.26
2024-11-06,135.5,138.73,134.9,137.66,11427410.0,42.27
2024-11-07,138.0,141.5,136.61,138.36,14649948.0,34.95
2024-11-08,138.36,138.78,135.02,135.46,6783776.0,48.01
2024-11-11,134.0,134.73,132.67,132.92,5990699.0,50.82
2024-11-12,133.09,134.38,130.5,130.91,7649915.0,56.56
2024-11-13,130.0,130.84,128.17,129.3,7793485.0,51.8
2024-11-14,129.3,130.99,128.6,129.65,7658399.0,51.06
2024-11-18,130.03,130.7,126.99,127.39,10089105.0,52.49
2024-11-19,127.84,129.4,127.0,127.51,7845123.0,50.26
2024-11-20,127.84,129.4,127.0,127.51,7845123.0,50.26
2024-11-21,127.51,127.79,125.41,125.84,8044438.0,50.41
2024-11-22,125.8,128.4,125.34,126.95,6739102.0,45.24
2024-11-25,130.0,133.0,128.9,129.34,10271749.0,43.53
2024-11-26,129.34,130.14,128.2,128.89,6732010.0,41.92
2024-11-27,129.29,132.9,128.31,132.12,13450391.0,44.28
2024-11-28,133.0,140.7,132.15,136.8,27675675.0,28.52
2024-11-29,137.54,137.95,134.51,135.87,7816261.0,38.06
2024-12-02,135.0,136.18,133.71,134.71,7333989.0,39.81
2024-12-03,135.0,139.4,134.97,136.54,12733607.0,36.78
2024-12-04,137.37,141.2,136.88,138.39,14357066.0,33.6
2024-12-05,139.0,147.7,138.74,146.69,55584743.0,33.57
2024-12-06,147.4,147.7,143.53,144.06,19095449.0,40.23
2024-12-09,143.99,145.66,142.01,142.65,14912458.0,40.2
2024-12-10,143.93,143.93,139.65,140.12,9309126.0,48.94
2024-12-11,140.15,142.86,139.85,141.4,10677797.0,37.47
2024-12-12,139.45,139.6,132.11,132.75,56981587.0,59.4
2024-12-13,133.45,133.54,130.9,132.46,25450132.0,50.96
2024-12-16,133.0,133.1,129.85,130.5,18484378.0,59.13
2024-12-17,131.0,131.55,128.51,128.82,16545229.0,63.14
2024-12-18,129.0,129.71,127.0,127.12,14079231.0,59.75
2024-12-19,125.57,129.4,125.13,127.44,14579226.0,47.65
2024-12-20,128.0,128.9,125.8,126.29,9387913.0,57.72
2024-12-23,127.9,127.9,125.33,125.56,8145584.0,53.11
2024-12-24,126.0,127.6,124.89,126.96,5724887.0,39.5
2024-12-25,126.0,127.6,124.89,126.96,5724887.0,39.5
2024-12-26,127.0,127.59,125.5,125.67,6342035.0,60.11
2024-12-27,126.76,128.63,125.32,126.88,8550056.0,46.02
2024-12-30,126.88,129.81,126.0,127.7,10224146.0,40.39
2024-12-31,128.0,128.15,126.52,127.42,5229565.0,45.87
2025-01-01,127.5,129.08,126.97,127.08,5238958.0,48.12
2025-01-02,127.5,127.88,125.94,126.38,9894411.0,63.62
2025-01-03,126.59,128.2,126.0,126.08,10182517.0,58.58
2025-01-06,127.67,128.25,122.45,122.78,14603306.0,48.06
2025-01-07,123.0,123.25,120.5,120.78,12970931.0,53.0
2025-01-08,121.95,124.56,120.88,123.46,16675682.0,32.52
2025-01-09,123.45,123.45,120.6,120.9,5654550.0,50.48
2025-01-10,120.2,120.8,117.32,118.51,8943538.0,43.16
2025-01-13,116.05,117.28,111.52,112.12,16238333.0,53.26
2025-01-14,112.44,116.45,111.78,115.85,14891431.0,42.47
2025-01-15,116.15,116.55,113.5,114.07,8490247.0,51.83
2025-01-16,115.5,118.49,113.2,113.71,14127582.0,49.91
2025-01-17,114.25,114.76,111.93,113.42,13610730.0,53.0
2025-01-20,114.0,116.97,112.86,114.23,12809265.0,39.77
2025-01-21,114.5,115.2,112.82,113.21,6500213.0,44.53
2025-01-22,113.01,113.51,109.62,111.1,11634423.0,50.34
2025-01-23,111.0,112.25,109.64,110.02,10655216.0,52.99
2025-01-24,110.5,111.49,108.55,109.14,8652288.0,47.77
2025-01-27,108.0,108.1,104.79,105.74,11640645.0,54.17
2025-01-28,108.95,115.84,103.1,111.16,42006641.0,24.28
2025-01-29,111.3,117.1,110.26,115.87,18331409.0,33.55
2025-01-30,116.0,117.39,114.3,114.78,10479314.0,32.95
2025-01-31,115.0,116.7,114.21,116.41,8490326.0,42.78
2025-02-03,114.51,116.44,113.5,115.54,7281515.0,38.17
2025-02-04,115.6,116.89,115.05,115.79,5048864.0,47.91
2025-02-05,116.9,118.65,114.31,114.92,9907972.0,56.15
2025-02-06,115.5,121.25,114.85,118.59,10207470.0,62.77
2025-02-07,120.49,122.55,119.13,119.92,13721364.0,35.85
2025-02-10,119.92,119.92,116.03,116.86,5060873.0,41.54
2025-02-11,116.0,116.28,110.71,112.01,9721747.0,46.63
2025-02-12,110.5,113.85,108.21,112.89,11775918.0,30.23
2025-02-13,112.9,114.3,111.8,112.46,5780837.0,38.78
2025-02-14,112.62,113.19,108.6,109.72,7295495.0,45.26
2025-02-17,109.0,110.69,106.76,109.44,8636592.0,33.09
2025-02-18,109.44,109.98,107.52,108.41,5154623.0,42.86
2025-02-19,107.88,109.5,106.9,109.03,7778169.0,37.42
2025-02-20,108.5,114.3,108.27,113.86,11736909.0,33.49
2025-02-21,113.86,115.95,113.0,113.54,8415656.0,36.47
2025-02-24,112.8,114.98,111.18,113.43,7865405.0,39.96
2025-02-25,113.01,115.4,112.89,113.91,5486810.0,42.01
2025-02-27,113.98,114.35,111.02,111.53,6022308.0,41.79
2025-02-28,110.0,110.56,107.65,108.73,9174929.0,49.93
2025-03-03,108.73,111.0,105.05,110.1,13326442.0,43.89
2025-03-04,108.0,111.27,108.0,110.86,8288571.0,37.48
2025-03-05,110.1,113.37,110.1,112.24,7616110.0,42.08
2025-03-06,113.9,114.8,113.01,114.46,6400659.0,45.5
2025-03-07,114.3,117.35,113.65,116.38,8715580.0,42.11
2025-03-10,116.38,117.76,115.0,115.33,6538842.0,45.93
2025-03-11,113.25,114.85,113.0,113.51,6485493.0,53.18
2025-03-12,114.0,116.38,113.5,115.89,6512550.0,54.18
2025-03-13,116.37,117.23,115.0,115.25,4805289.0,59.57
2025-03-17,115.25,116.66,114.5,115.09,6279861.0,59.47
2025-03-18,116.02,119.49,115.15,117.63,13840174.0,54.95
2025-03-19,119.2,125.25,118.81,121.59,27835210.0,51.7
2025-03-20,122.8,123.13,118.88,121.14,14546046.0,57.65
2025-03-21,121.5,126.99,118.55,123.61,75600670.0,58.19
2025-03-24,126.0,126.5,121.2,121.64,16070684.0,61.6
2025-03-25,122.85,123.74,118.88,119.63,12808904.0,60.12
2025-03-26,119.63,120.07,115.65,115.99,11700585.0,50.59
2025-03-27,115.8,127.58,115.16,125.48,32169741.0,60.92
2025-03-28,126.24,126.9,122.73,123.29,16795731.0,38.06
2025-04-01,121.15,124.2,121.0,121.69,6768024.0,36.99
2025-04-02,122.0,123.95,120.25,121.58,9350556.0,43.0
2025-04-03,120.93,125.5,120.65,124.62,12183590.0,45.45
2025-04-04,124.0,124.49,120.5,121.56,8020551.0,46.58
