,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,112.25,113.75,109.7,110.65,951405.0,
2016-08-18,111.5,118.0,107.75,116.95,3067404.0,
2016-08-19,117.25,119.9,117.0,118.3,1405779.0,
2016-08-22,118.25,119.0,114.45,115.25,914190.0,
2016-08-23,111.3,114.75,110.1,111.95,936269.0,
2016-08-24,112.3,113.9,110.05,110.75,688122.0,
2016-08-25,111.1,111.95,108.0,109.95,769039.0,
2016-08-26,111.15,112.45,107.95,108.8,1167543.0,
2016-08-29,109.0,110.3,107.0,107.65,677241.0,
2016-08-30,108.3,109.0,106.5,106.9,619162.0,
2016-08-31,107.85,110.0,106.5,107.25,1671536.0,
2016-09-01,107.5,108.35,104.05,104.75,590110.0,
2016-09-02,103.4,105.0,102.5,102.95,1574821.0,
2016-09-06,103.7,104.8,103.4,103.95,435886.0,
2016-09-07,104.6,105.75,102.05,102.6,1061238.0,
2016-09-08,103.3,104.4,102.4,102.95,728969.0,
2016-09-09,103.75,108.4,102.5,105.3,3246513.0,
2016-09-12,103.8,106.0,101.5,103.05,1356942.0,
2016-09-14,103.0,105.35,101.6,102.55,925810.0,
2016-09-15,102.7,103.85,101.7,102.45,786402.0,
2016-09-16,103.65,112.9,103.2,107.05,4587229.0,
2016-09-19,110.0,114.0,109.25,110.05,4969638.0,
2016-09-20,110.8,112.5,109.1,111.2,1962062.0,
2016-09-21,112.0,112.0,109.25,110.55,1071877.0,
2016-09-22,111.9,114.4,110.4,113.45,1688232.0,
2016-09-23,114.0,114.8,112.05,112.55,1989554.0,
2016-09-26,112.0,112.7,109.4,109.85,729195.0,
2016-09-27,110.7,111.0,107.55,109.0,772191.0,
2016-09-28,109.05,111.85,108.05,110.9,957400.0,
2016-09-29,111.7,113.85,102.7,103.35,2062905.0,
2016-09-30,104.0,108.6,103.85,107.75,1167076.0,
2016-10-03,108.45,110.45,107.45,107.9,1047060.0,
2016-10-04,108.45,110.0,108.35,109.0,959708.0,
2016-10-05,109.9,111.5,109.3,110.95,1568441.0,
2016-10-06,111.3,113.0,109.4,110.3,1348763.0,
2016-10-07,110.75,118.25,110.3,117.7,4186922.0,
2016-10-10,117.95,118.7,114.55,115.75,1223266.0,
2016-10-13,115.65,119.2,112.9,113.75,2211857.0,
2016-10-14,114.0,115.15,111.55,112.15,693934.0,
2016-10-17,112.15,114.85,111.5,113.15,1118657.0,
2016-10-18,113.0,115.35,112.4,113.85,637203.0,
2016-10-19,114.0,117.0,113.55,114.95,1030543.0,
2016-10-20,115.8,117.0,115.35,116.55,1225878.0,
2016-10-21,117.0,121.9,115.0,120.45,2063517.0,
2016-10-24,121.0,122.15,119.6,120.85,908484.0,
2016-10-25,120.8,120.9,115.15,117.05,1037288.0,
2016-10-26,117.0,118.2,114.0,115.0,468422.0,
2016-10-27,113.75,117.2,113.55,114.45,770425.0,
2016-10-28,115.0,116.6,112.8,115.4,597150.0,
2016-11-01,116.25,116.4,112.3,112.75,505578.0,
2016-11-02,111.6,111.7,109.05,109.75,1158881.0,
2016-11-03,108.5,111.7,108.1,108.8,589735.0,
2016-11-04,108.2,110.65,103.9,104.6,673093.0,
