,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,149.5,152.4,149.15,151.35,6673777.0,
2016-08-18,152.15,154.9,151.85,154.5,6548857.0,
2016-08-19,155.95,162.8,155.1,161.65,14267416.0,
2016-08-22,160.95,162.35,157.7,160.05,8026440.0,
2016-08-23,160.3,165.0,158.35,164.3,15115837.0,
2016-08-24,164.3,165.25,162.35,163.15,6766596.0,
2016-08-25,163.95,164.8,161.4,161.95,10027674.0,
2016-08-26,161.75,163.2,157.6,158.3,5393070.0,
2016-08-29,158.4,160.7,157.1,160.05,4125681.0,
2016-08-30,161.0,164.75,160.55,164.15,6148036.0,
2016-08-31,164.5,165.7,161.9,162.95,8047620.0,
2016-09-01,163.5,164.25,160.6,161.25,6466506.0,
2016-09-02,161.7,166.9,161.15,166.35,8185748.0,
2016-09-06,168.0,170.9,167.6,169.5,9021719.0,
2016-09-07,171.25,177.65,170.5,174.8,16469703.0,
2016-09-08,175.5,177.45,173.3,174.75,6806480.0,
2016-09-09,174.6,174.85,171.25,171.95,7304893.0,
2016-09-12,167.95,167.95,161.15,161.75,8733499.0,
2016-09-14,162.0,168.7,161.75,168.3,7533651.0,
2016-09-15,168.35,168.9,164.15,166.6,5395997.0,
2016-09-16,168.25,171.35,164.15,164.75,11408056.0,
2016-09-19,166.95,167.9,165.4,166.45,3003890.0,
2016-09-20,167.15,168.35,165.35,166.7,3272265.0,
2016-09-21,166.25,168.3,163.9,164.35,4207634.0,
2016-09-22,167.1,170.0,166.65,169.45,5591092.0,
2016-09-23,169.95,172.4,168.2,169.15,6444029.0,
2016-09-26,168.5,169.4,165.5,166.35,5315511.0,
2016-09-27,167.15,167.7,163.55,164.0,3742387.0,
2016-09-28,163.9,169.7,163.5,168.45,6284089.0,
2016-09-29,169.5,170.9,159.55,161.9,11281815.0,
2016-09-30,160.5,168.2,160.05,167.4,7164669.0,
2016-10-03,168.1,170.6,167.75,168.9,5528006.0,
2016-10-04,169.5,171.4,165.65,169.85,16698890.0,
2016-10-05,172.5,173.2,168.5,169.45,11698120.0,
2016-10-06,169.95,169.95,163.5,164.5,6697536.0,
2016-10-07,164.7,165.7,162.6,163.85,7061560.0,
2016-10-10,164.5,165.2,161.4,161.95,3950523.0,
2016-10-13,161.25,161.35,151.2,154.25,12034390.0,
