,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,111.95,113.85,110.15,112.6,6706086.0,
2016-08-18,113.3,114.15,112.3,112.65,3901724.0,
2016-08-19,112.8,114.2,111.4,113.25,6000584.0,
2016-08-22,113.9,114.8,112.4,113.8,4430878.0,
2016-08-23,114.0,115.5,112.5,115.05,5748042.0,
2016-08-24,114.8,115.95,113.35,114.4,5505666.0,
2016-08-25,114.75,115.8,112.0,113.05,5726498.0,
2016-08-26,113.4,114.4,110.55,110.9,4246009.0,
2016-08-29,110.9,111.7,109.9,111.35,3146965.0,
2016-08-30,111.9,117.4,111.9,116.5,7659265.0,
2016-08-31,116.95,119.3,116.5,117.25,7450067.0,
2016-09-01,116.7,118.0,113.0,114.15,4153555.0,
2016-09-02,114.65,117.6,114.15,117.05,4086382.0,
2016-09-06,118.4,120.2,117.2,119.4,6265899.0,
2016-09-07,120.0,125.9,118.7,123.0,11115364.0,
2016-09-08,123.9,126.1,123.1,124.1,5174266.0,
2016-09-09,124.0,124.95,121.5,123.4,5397663.0,
2016-09-12,120.1,121.85,114.9,115.9,4984084.0,
2016-09-14,116.1,121.8,115.3,121.3,5154351.0,
2016-09-15,121.5,121.5,117.5,119.15,4407968.0,
2016-09-16,120.3,123.4,116.1,116.55,8715480.0,
2016-09-19,118.4,118.6,116.6,117.15,3379242.0,
2016-09-20,117.8,118.45,116.4,116.8,3136685.0,
2016-09-21,117.5,117.9,115.2,115.85,2754127.0,
2016-09-22,119.6,119.9,117.2,119.65,4352403.0,
2016-09-23,120.0,120.5,118.2,118.45,4061303.0,
2016-09-26,117.95,119.75,117.1,117.7,3760199.0,
2016-09-27,118.3,118.75,116.1,116.55,3026909.0,
2016-09-28,116.7,121.15,116.6,120.0,4807962.0,
2016-09-29,121.2,121.8,109.55,110.15,9674968.0,
2016-09-30,110.4,114.0,108.0,112.5,6582397.0,
2016-10-03,113.95,116.8,113.7,116.4,3656595.0,
2016-10-04,117.0,121.3,115.4,119.05,6860647.0,
2016-10-05,120.0,121.85,119.05,119.65,5434949.0,
2016-10-06,119.4,120.45,115.7,116.65,4672771.0,
2016-10-07,117.25,118.25,116.0,116.95,4269812.0,
2016-10-10,117.7,118.5,115.75,116.1,2102516.0,
2016-10-13,115.0,115.3,109.45,111.0,5859136.0,
2016-10-14,111.6,112.9,110.65,112.05,3575069.0,
2016-10-17,112.3,113.55,110.15,110.7,3359840.0,
2016-10-18,111.5,113.3,110.2,112.7,3218947.0,
2016-10-19,112.95,113.85,112.3,112.8,2592986.0,
2016-10-20,112.95,115.8,112.95,114.45,4552538.0,
2016-10-21,114.45,114.5,112.15,113.35,3036755.0,
2016-10-24,114.1,115.9,113.9,114.95,3197241.0,
2016-10-25,115.15,115.65,113.65,114.05,2253616.0,
2016-10-26,113.6,115.7,112.6,114.15,3439597.0,
2016-10-27,113.1,114.45,112.05,113.55,2724206.0,
2016-10-28,113.9,115.75,113.55,114.85,2562939.0,
2016-11-01,114.3,115.5,113.3,113.85,1460779.0,
2016-11-02,112.4,112.5,108.7,109.1,4083659.0,
2016-11-03,108.6,110.75,108.15,108.75,2541459.0,
2016-11-04,109.75,109.75,105.7,106.25,2632923.0,
2016-11-07,107.15,109.4,106.7,108.7,2629608.0,
2016-11-08,109.0,109.9,107.8,109.0,2056221.0,
2016-11-09,102.0,110.65,99.65,109.75,6562333.0,
2016-11-10,112.0,125.2,111.0,124.15,21205199.0,
2016-11-11,122.9,128.75,120.75,122.05,13150957.0,
2016-11-15,123.95,126.9,118.1,123.25,11054523.0,
2016-11-16,126.6,127.4,120.0,121.1,6221454.0,
2016-11-17,121.55,123.65,118.85,119.8,4435328.0,
2016-11-18,120.6,124.0,119.05,121.5,4781031.0,
2016-11-21,122.95,123.4,116.4,117.15,7795290.0,
2016-11-22,118.55,118.9,114.15,117.15,5097412.0,
2016-11-23,118.0,118.6,116.2,117.3,2683883.0,
