,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,535.5,547.7,534.0,542.15,406262.0,
2016-08-18,546.0,548.9,540.4,546.3,514543.0,
2016-08-19,548.0,553.5,544.55,551.05,464081.0,
2016-08-22,549.0,559.7,547.35,557.2,619919.0,
2016-08-23,558.8,558.8,540.75,544.15,647908.0,
2016-08-24,543.0,547.4,534.0,543.4,413181.0,
2016-08-25,543.0,546.8,530.6,536.65,428397.0,
2016-08-26,533.1,541.0,532.05,533.75,175480.0,
2016-08-29,534.0,538.15,525.1,532.75,270640.0,
2016-08-30,532.75,540.75,532.6,535.45,412796.0,
2016-08-31,536.0,538.6,532.6,534.45,654573.0,
2016-09-01,534.45,547.6,532.45,537.85,581231.0,
2016-09-02,539.2,543.8,536.9,538.15,199550.0,
2016-09-06,540.0,540.25,532.6,534.55,338978.0,
2016-09-07,536.95,543.9,534.0,537.35,370663.0,
2016-09-08,535.1,542.35,535.1,538.5,197358.0,
2016-09-09,539.0,548.0,537.0,542.85,518371.0,
2016-09-12,538.9,538.9,526.0,530.0,457416.0,
2016-09-14,528.8,528.8,511.05,525.95,715845.0,
2016-09-15,526.05,534.3,520.05,532.05,534254.0,
2016-09-16,533.3,537.2,524.45,526.25,508804.0,
2016-09-19,532.0,532.0,519.1,523.35,618237.0,
2016-09-20,523.0,527.0,519.0,521.55,417644.0,
2016-09-21,520.0,520.0,508.35,510.3,615004.0,
2016-09-22,512.5,516.4,507.65,511.5,897304.0,
2016-09-23,512.0,520.7,502.45,506.65,867894.0,
2016-09-26,506.0,506.0,498.0,501.7,1052110.0,
2016-09-27,501.9,507.05,498.0,499.9,455900.0,
2016-09-28,499.95,505.4,499.5,503.35,280004.0,
2016-09-29,506.0,508.5,475.85,483.35,831212.0,
2016-09-30,475.25,496.65,475.25,490.3,458338.0,
2016-10-03,493.0,501.7,491.15,496.55,237396.0,
2016-10-04,498.0,499.6,487.15,489.05,353932.0,
2016-10-05,490.0,496.35,485.5,492.3,447612.0,
2016-10-06,494.0,496.5,483.0,486.65,294744.0,
2016-10-07,487.0,496.2,485.45,494.65,534863.0,
2016-10-10,497.0,507.5,495.25,501.05,567161.0,
2016-10-13,500.75,505.75,492.3,496.2,536169.0,
2016-10-14,495.0,498.45,484.75,486.8,714482.0,
2016-10-17,485.0,486.8,480.6,482.55,279908.0,
2016-10-18,485.0,490.6,482.25,488.45,274364.0,
2016-10-19,491.5,495.9,486.5,495.15,302068.0,
2016-10-20,497.4,501.65,489.0,494.9,462421.0,
2016-10-21,494.5,497.8,491.1,492.55,238237.0,
