,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,4115.0,4140.0,4009.95,4103.45,4449.0,
2016-08-18,4129.95,4130.0,4060.0,4083.75,2000.0,
2016-08-19,4079.95,4094.0,4011.0,4032.8,11751.0,
2016-08-22,4032.0,4080.0,4030.0,4044.05,27449.0,
2016-08-23,4062.4,4075.0,3975.15,3994.5,7637.0,
2016-08-24,4000.05,4100.05,3994.05,4023.6,56303.0,
2016-08-25,4026.5,4080.0,4010.0,4068.15,9244.0,
2016-08-26,4069.0,4090.0,4011.0,4035.2,11325.0,
2016-08-29,4035.0,4035.0,3951.15,3968.0,18148.0,
2016-08-30,3975.0,4087.7,3968.0,4002.9,15955.0,
2016-08-31,4027.0,4043.9,3985.0,4024.6,26260.0,
2016-09-01,4043.85,4043.9,3889.95,3924.7,24315.0,
2016-09-02,3924.7,4188.0,3924.7,4101.5,9420.0,
2016-09-06,4098.8,4103.95,4060.0,4083.85,6571.0,
2016-09-07,4090.85,4100.0,4030.0,4050.65,5859.0,
2016-09-08,4141.75,4141.75,4005.0,4035.0,56618.0,
2016-09-09,4035.0,4100.0,4015.0,4065.05,4595.0,
2016-09-12,4010.1,4073.0,3980.0,4063.4,46004.0,
2016-09-14,3982.2,4145.0,3982.2,4114.9,5153.0,
2016-09-15,4130.0,4380.05,4100.05,4134.6,23404.0,
2016-09-16,4176.0,4210.0,4057.25,4082.75,16153.0,
2016-09-19,4085.0,4131.9,4058.3,4114.15,11053.0,
2016-09-20,4088.4,4115.0,4059.95,4105.35,42354.0,
2016-09-21,4144.9,4225.0,4130.0,4167.6,14201.0,
2016-09-22,4170.0,4265.0,4145.0,4215.1,19979.0,
2016-09-23,4279.0,4388.85,4215.0,4317.5,52044.0,
2016-09-26,4354.95,4399.95,4300.0,4311.85,6615.0,
2016-09-27,4313.05,4490.95,4242.0,4479.7,30731.0,
2016-09-28,4478.5,4575.0,4450.0,4478.5,13921.0,
2016-09-29,4490.0,4595.0,4199.95,4506.0,18994.0,
2016-09-30,4500.0,4549.9,4376.0,4471.85,14378.0,
