,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,492.75,511.0,488.6,502.3,240230.0,
2016-08-18,503.3,513.7,500.0,504.15,163130.0,
2016-08-19,506.0,512.4,489.05,493.4,97158.0,
2016-08-22,487.0,507.05,487.0,497.25,85488.0,
2016-08-23,499.3,505.3,487.5,493.2,51428.0,
2016-08-24,495.75,528.0,493.85,508.1,522270.0,
2016-08-25,511.25,518.1,498.1,501.9,192335.0,
2016-08-26,501.0,505.35,488.5,492.1,55456.0,
2016-08-29,491.0,497.0,479.1,483.1,54096.0,
2016-08-30,486.35,500.0,482.6,491.3,74301.0,
2016-08-31,494.0,509.5,490.2,502.1,118640.0,
2016-09-01,505.0,508.7,488.35,493.3,56925.0,
2016-09-02,495.0,503.7,488.0,498.0,63387.0,
2016-09-06,495.0,518.0,495.0,509.4,173512.0,
2016-09-07,510.5,598.0,507.0,587.15,1067882.0,
2016-09-08,583.8,607.8,569.65,581.7,376702.0,
2016-09-09,582.0,588.85,560.0,563.05,133881.0,
2016-09-12,555.0,558.0,528.95,534.3,121450.0,
2016-09-14,537.4,613.7,532.05,582.75,801728.0,
2016-09-15,586.0,591.65,555.0,559.8,220349.0,
2016-09-16,564.0,577.0,543.8,551.2,154602.0,
2016-09-19,556.0,596.5,555.3,571.2,375884.0,
2016-09-20,573.7,575.9,555.05,561.75,103168.0,
2016-09-21,559.15,586.0,554.0,577.4,238280.0,
2016-09-22,573.2,585.9,565.5,577.55,240307.0,
2016-09-23,584.05,635.6,584.05,608.15,1236092.0,
2016-09-26,609.0,624.0,590.5,608.05,345930.0,
2016-09-27,614.9,625.95,603.0,607.35,192225.0,
2016-09-28,609.0,619.9,601.55,614.35,154446.0,
2016-09-29,618.95,623.0,511.5,558.1,217616.0,
2016-09-30,564.9,581.75,560.05,570.85,192538.0,
2016-10-03,575.05,614.9,574.0,602.8,266349.0,
2016-10-04,607.7,620.0,603.05,614.45,231420.0,
2016-10-05,617.95,674.0,616.0,655.95,1276719.0,
2016-10-06,656.35,661.8,622.1,630.8,283880.0,
2016-10-07,635.0,657.0,620.0,649.95,233219.0,
2016-10-10,653.2,666.2,635.0,651.15,305187.0,
2016-10-13,651.9,651.9,621.0,632.65,105767.0,
2016-10-14,638.95,647.95,628.0,633.65,103407.0,
2016-10-17,637.95,646.9,624.2,627.95,128412.0,
2016-10-18,632.85,650.75,630.45,641.75,153660.0,
2016-10-19,642.1,652.0,635.25,644.0,124508.0,
2016-10-20,643.95,655.0,638.1,640.35,86925.0,
2016-10-21,640.35,647.0,627.25,629.95,85921.0,
2016-10-24,625.1,643.0,625.0,627.7,68692.0,
2016-10-25,628.05,641.0,624.5,626.25,58045.0,
2016-10-26,627.0,630.2,597.95,607.8,77561.0,
2016-10-27,607.7,610.0,588.5,597.2,57695.0,
2016-10-28,602.5,618.75,600.1,605.45,75423.0,
2016-11-01,607.0,626.0,601.4,611.2,137217.0,
2016-11-02,600.0,604.0,590.0,591.9,52807.0,
2016-11-03,596.0,610.0,575.25,581.65,92766.0,
2016-11-04,586.7,595.0,548.15,564.65,137889.0,
2016-11-07,573.95,590.0,573.9,576.6,66150.0,
2016-11-08,582.6,583.75,554.0,559.3,65177.0,
2016-11-09,510.0,550.0,492.0,540.7,120765.0,
2016-11-10,551.0,570.0,548.35,550.95,52203.0,
2016-11-11,551.0,551.0,523.6,529.7,72292.0,
2016-11-15,534.0,535.5,485.0,496.2,53498.0,
2016-11-16,510.85,511.2,480.5,483.45,46012.0,
2016-11-17,485.0,501.9,473.05,490.3,62518.0,
2016-11-18,487.4,495.95,476.05,487.5,46107.0,
2016-11-21,493.4,493.4,457.0,459.6,45499.0,
2016-11-22,462.05,482.0,441.05,476.85,45610.0,
2016-11-23,481.7,493.7,478.6,490.8,38002.0,
2016-11-24,485.25,505.0,480.0,492.85,38347.0,
2016-11-25,501.9,522.1,495.05,510.15,124181.0,
2016-11-28,510.1,518.9,499.8,506.75,40037.0,
2016-11-29,504.55,520.25,504.55,510.3,41536.0,
2016-11-30,506.8,518.35,506.8,511.4,42001.0,
2016-12-01,515.45,515.45,504.25,505.55,25714.0,
2016-12-02,505.0,508.95,495.1,498.55,38269.0,
2016-12-05,495.0,507.9,490.0,500.0,34739.0,
2016-12-06,500.05,506.0,499.0,499.65,19241.0,
2016-12-07,500.5,511.8,500.0,501.6,35359.0,
2016-12-08,498.1,534.4,498.1,518.6,190297.0,
2016-12-09,520.0,528.5,512.0,517.35,57932.0,
2016-12-12,512.0,520.05,505.15,508.0,32354.0,
2016-12-13,508.0,517.0,503.55,506.8,26998.0,
2016-12-14,512.7,512.85,501.1,502.95,20093.0,
2016-12-15,501.0,513.9,494.1,497.3,15722.0,
2016-12-16,497.35,504.9,488.0,493.95,31415.0,
2016-12-19,494.0,497.95,484.95,489.3,18617.0,
2016-12-20,488.0,493.75,482.25,483.55,14494.0,
2016-12-21,483.9,520.0,482.25,497.5,96261.0,
2016-12-22,492.65,496.95,486.5,489.2,13929.0,
2016-12-23,486.25,507.85,484.5,486.65,49624.0,
2016-12-26,484.3,489.85,472.95,477.4,19212.0,
2016-12-27,477.15,493.8,473.1,490.15,25116.0,
2016-12-28,494.8,534.3,491.25,505.05,89638.0,
2016-12-29,506.0,536.4,504.0,520.35,144765.0,
