,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,998.8,1018.9,984.0,1009.05,264522.0,
2016-08-17,1010.0,1025.0,1010.0,1022.3,179976.0,
2016-08-18,1023.0,1036.05,1019.0,1027.25,281938.0,
2016-08-19,1027.95,1050.0,1012.0,1039.15,240307.0,
2016-08-22,1042.0,1058.65,1014.9,1020.0,431610.0,
2016-08-23,1019.9,1028.8,1012.5,1024.35,232645.0,
2016-08-24,1024.0,1041.8,1021.4,1033.1,155187.0,
2016-08-25,1035.0,1045.9,1030.9,1037.45,161805.0,
2016-08-26,1037.45,1083.4,1037.45,1056.35,665298.0,
2016-08-29,1059.65,1068.5,1042.1,1059.05,238055.0,
2016-08-30,1061.25,1079.55,1056.2,1066.2,183315.0,
2016-08-31,1073.0,1085.0,1062.15,1065.85,190939.0,
2016-09-01,1066.5,1073.1,1058.3,1066.2,127525.0,
2016-09-02,1073.8,1088.0,1062.45,1079.35,251082.0,
2016-09-06,1084.8,1084.8,1062.6,1066.45,95971.0,
2016-09-07,1072.0,1101.0,1055.55,1082.15,215589.0,
2016-09-08,1076.7,1097.0,1075.0,1082.85,136985.0,
2016-09-09,1090.0,1090.0,1062.2,1073.3,93822.0,
2016-09-12,1062.25,1085.95,1036.0,1046.85,170632.0,
2016-09-14,1046.0,1060.9,1018.85,1025.15,369467.0,
2016-09-15,980.0,980.0,892.8,900.15,2385867.0,
2016-09-16,909.55,927.0,891.3,922.05,1119445.0,
2016-09-19,929.9,934.0,907.7,909.95,443613.0,
2016-09-20,913.4,916.8,895.05,905.0,668886.0,
2016-09-21,908.0,915.5,893.3,899.65,275952.0,
2016-09-22,910.0,915.9,906.0,910.9,235056.0,
2016-09-23,914.0,936.05,908.55,914.95,560483.0,
2016-09-26,911.15,928.0,910.5,919.0,217148.0,
2016-09-27,924.0,926.7,900.0,904.55,227715.0,
2016-09-28,907.15,915.9,901.0,908.85,197649.0,
2016-09-29,914.0,918.9,856.55,874.85,359191.0,
2016-09-30,868.0,882.85,859.65,876.05,198295.0,
2016-10-03,896.0,905.25,877.1,901.75,229357.0,
2016-10-04,903.0,922.0,902.25,910.15,229939.0,
2016-10-05,920.0,920.0,900.25,903.35,167022.0,
2016-10-06,908.0,925.0,904.1,912.25,266987.0,
2016-10-07,906.0,922.0,902.25,908.25,122491.0,
2016-10-10,910.85,919.95,902.65,906.55,85386.0,
2016-10-13,908.85,928.0,896.8,912.3,263105.0,
2016-10-14,924.9,949.5,916.1,945.5,645307.0,
2016-10-17,950.0,959.5,921.25,927.2,324803.0,
2016-10-18,931.6,941.5,927.5,933.65,137939.0,
2016-10-19,937.5,943.95,928.35,932.1,99062.0,
2016-10-20,933.15,947.9,933.1,940.55,166911.0,
2016-10-21,939.0,941.0,918.55,927.85,92161.0,
2016-10-24,935.0,953.05,921.5,928.0,130034.0,
2016-10-25,922.5,939.2,910.0,935.1,214683.0,
2016-10-26,929.0,936.15,911.55,914.9,95075.0,
2016-10-27,916.85,929.8,900.15,920.65,219984.0,
2016-10-28,929.0,945.45,921.75,941.05,205077.0,
2016-11-01,937.0,944.0,920.35,924.9,72074.0,
2016-11-02,914.0,920.0,904.1,914.9,158985.0,
2016-11-03,915.45,924.95,887.1,891.55,160380.0,
2016-11-04,888.9,894.95,868.0,877.45,251518.0,
2016-11-07,886.3,905.25,877.05,887.45,217626.0,
2016-11-08,890.1,918.8,890.1,909.65,158425.0,
2016-11-09,835.15,882.85,818.7,869.95,242262.0,
2016-11-10,880.0,919.5,880.0,909.05,141792.0,
2016-11-11,902.0,910.0,866.35,887.7,204054.0,
2016-11-15,880.0,888.65,858.05,863.15,134712.0,
2016-11-16,880.0,880.0,842.5,863.45,155199.0,
2016-11-17,866.45,872.3,815.0,821.65,234863.0,
2016-11-18,814.9,835.0,795.0,821.8,517929.0,
2016-11-21,823.8,833.15,800.0,807.85,158028.0,
2016-11-22,811.3,819.05,780.25,785.05,247631.0,
2016-11-23,795.0,798.4,771.0,786.05,259587.0,
2016-11-24,788.0,796.45,775.95,786.3,260971.0,
2016-11-25,786.3,810.95,775.5,805.05,292243.0,
2016-11-28,810.0,830.0,800.0,825.6,277894.0,
2016-11-29,827.0,844.0,827.0,837.5,167198.0,
2016-11-30,840.1,846.0,835.1,843.05,128234.0,
2016-12-01,846.0,852.1,822.25,830.65,112882.0,
2016-12-02,833.0,833.0,816.95,827.95,141290.0,
2016-12-05,830.0,850.0,818.15,839.5,153716.0,
2016-12-06,845.95,882.0,840.6,873.0,389444.0,
2016-12-07,876.1,886.0,860.1,863.55,211293.0,
2016-12-08,870.0,921.7,870.0,915.4,842979.0,
2016-12-09,922.0,933.3,906.0,927.4,404743.0,
2016-12-12,927.0,933.0,900.0,906.05,194862.0,
2016-12-13,909.0,917.25,892.0,912.3,109550.0,
2016-12-14,913.4,915.9,895.0,897.35,121833.0,
2016-12-15,893.95,931.0,888.1,926.65,364287.0,
2016-12-16,937.8,939.0,913.1,916.55,211415.0,
2016-12-19,919.8,932.0,907.55,914.6,136467.0,
2016-12-20,914.1,931.75,900.55,906.2,223489.0,
2016-12-21,908.1,930.25,908.1,924.7,328732.0,
2016-12-22,929.9,972.0,928.05,963.7,1400137.0,
2016-12-23,981.0,983.0,962.1,971.55,1185014.0,
2016-12-26,965.0,965.05,935.0,950.25,398696.0,
2016-12-27,960.7,989.0,952.35,975.7,808561.0,
2016-12-28,980.75,985.0,970.15,974.4,367041.0,
2016-12-29,977.1,997.95,974.55,986.05,555233.0,
2016-12-30,986.0,1006.95,985.9,1000.6,460675.0,
2017-01-02,1004.0,1006.5,989.15,996.3,150354.0,
2017-01-03,1002.8,1015.95,996.2,1009.3,285489.0,
2017-01-04,1013.8,1023.0,1002.75,1005.8,202005.0,
2017-01-05,1006.4,1017.5,993.6,1001.6,150463.0,
2017-01-06,998.5,1009.0,987.9,993.55,161214.0,
2017-01-09,984.0,1188.0,980.65,1150.75,5793201.0,
2017-01-10,1161.35,1175.5,1133.6,1170.75,2726697.0,
2017-01-11,1174.85,1230.5,1165.1,1219.3,2743020.0,
2017-01-12,1221.05,1242.0,1211.0,1222.75,1449876.0,
2017-01-13,1230.0,1243.9,1200.1,1205.75,1345486.0,
2017-01-16,1208.0,1225.8,1180.3,1212.8,1034522.0,
2017-01-17,1219.0,1227.2,1186.5,1189.45,602874.0,
2017-01-18,1190.0,1209.0,1169.5,1181.85,616910.0,
2017-01-19,1181.0,1199.9,1161.1,1172.25,840107.0,
2017-01-20,1172.0,1183.7,1152.0,1158.55,512975.0,
2017-01-23,1162.0,1241.3,1157.05,1231.9,1523136.0,
2017-01-24,1248.7,1263.0,1222.0,1233.1,1617662.0,
2017-01-25,1258.5,1264.0,1233.8,1238.1,947602.0,
2017-01-27,1240.0,1249.25,1216.0,1220.8,520153.0,
2017-01-30,1221.15,1235.5,1214.8,1221.35,424037.0,
2017-01-31,1225.0,1225.0,1196.0,1203.8,367768.0,
2017-02-01,1206.0,1253.5,1203.6,1243.05,972479.0,
2017-02-02,1239.0,1240.0,1210.45,1215.55,382241.0,
2017-02-03,1216.5,1272.2,1213.85,1256.4,864490.0,
2017-02-06,1269.0,1275.0,1240.0,1244.0,347895.0,
2017-02-07,1246.8,1284.45,1242.15,1263.1,611668.0,
2017-02-08,1264.7,1281.0,1255.7,1274.65,320854.0,
2017-02-09,1282.0,1341.0,1282.0,1330.7,1551271.0,
2017-02-10,1342.0,1344.0,1300.1,1308.45,754072.0,
2017-02-13,1317.4,1329.9,1271.0,1287.0,610133.0,
2017-02-14,1283.0,1319.7,1277.35,1290.1,1010990.0,
2017-02-15,1293.9,1319.95,1251.5,1256.25,925979.0,
2017-02-16,1262.0,1291.2,1255.0,1285.0,296374.0,
2017-02-17,1290.9,1309.0,1272.1,1289.25,366720.0,
2017-02-20,1282.05,1322.0,1280.0,1317.7,623095.0,
2017-02-21,1317.7,1338.4,1302.5,1313.35,432303.0,
2017-02-22,1318.7,1321.0,1289.05,1296.8,274460.0,
2017-02-23,1298.0,1329.95,1280.4,1322.15,701089.0,
2017-02-27,1320.0,1355.95,1316.55,1344.45,699352.0,
2017-02-28,1349.85,1354.0,1335.8,1339.15,271293.0,
2017-03-01,1348.0,1349.95,1325.0,1330.9,250534.0,
2017-03-02,1335.0,1343.3,1291.0,1295.85,373636.0,
2017-03-03,1295.0,1309.85,1288.3,1300.7,217876.0,
2017-03-06,1310.0,1313.0,1295.1,1302.25,224305.0,
2017-03-07,1309.7,1309.7,1286.2,1290.9,212153.0,
2017-03-08,1296.0,1300.9,1270.0,1278.6,269799.0,
