,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,233.0,241.9,232.6,240.5,737080.0,
2016-08-18,241.8,249.0,240.9,247.9,713762.0,
2016-08-19,247.8,253.0,244.0,248.3,692566.0,
2016-08-22,247.9,250.0,245.9,248.15,209654.0,
2016-08-23,248.5,249.1,242.15,243.3,108060.0,
2016-08-24,243.9,245.0,241.4,242.9,387258.0,
2016-08-25,244.35,249.85,241.05,246.15,352586.0,
2016-08-26,248.9,251.95,246.95,250.85,363462.0,
2016-08-29,250.65,261.9,250.0,259.25,929808.0,
2016-08-30,260.15,268.0,260.15,266.45,425027.0,
2016-08-31,267.8,271.3,258.95,260.35,764767.0,
2016-09-01,260.4,271.75,260.35,264.95,667815.0,
2016-09-02,265.2,268.0,256.6,258.1,628185.0,
2016-09-06,263.0,266.8,260.25,261.75,607984.0,
2016-09-07,262.95,264.4,261.5,262.85,600330.0,
2016-09-08,262.95,268.0,258.5,264.3,526189.0,
2016-09-09,263.0,272.0,260.05,268.55,692141.0,
2016-09-12,264.3,276.8,260.6,266.1,1214249.0,
2016-09-14,267.25,271.0,260.65,262.05,698412.0,
2016-09-15,263.75,265.4,260.2,261.15,582966.0,
2016-09-16,262.4,267.0,262.35,265.55,838924.0,
2016-09-19,265.9,268.05,262.6,263.95,223556.0,
2016-09-20,264.0,266.45,263.55,265.55,293918.0,
2016-09-21,265.0,265.9,261.35,262.25,111869.0,
2016-09-22,264.85,265.95,260.5,261.65,224195.0,
2016-09-23,262.95,264.5,259.0,260.2,174693.0,
2016-09-26,260.2,262.2,255.5,256.7,171052.0,
2016-09-27,256.7,264.0,255.3,260.9,338028.0,
2016-09-28,262.25,267.5,262.15,264.9,451038.0,
2016-09-29,265.65,266.5,251.5,256.45,359989.0,
2016-09-30,258.95,261.7,251.3,261.05,172319.0,
2016-10-03,265.0,265.55,258.25,263.8,347351.0,
2016-10-04,263.9,266.45,261.55,263.3,233914.0,
2016-10-05,264.0,269.95,262.35,266.4,595078.0,
2016-10-06,266.2,272.85,265.75,268.55,360559.0,
2016-10-07,268.55,269.85,263.5,264.45,95204.0,
2016-10-10,265.0,269.9,263.3,266.55,134139.0,
2016-10-13,266.55,270.0,261.6,264.15,326625.0,
2016-10-14,266.4,266.75,262.1,264.3,93608.0,
2016-10-17,265.0,266.55,261.6,263.35,326820.0,
2016-10-18,266.9,271.9,265.1,267.9,863032.0,
2016-10-19,269.5,269.5,264.0,266.55,207091.0,
2016-10-20,266.8,268.8,264.0,264.45,183725.0,
2016-10-21,265.0,266.0,262.0,263.35,168502.0,
2016-10-24,263.5,264.65,258.1,258.85,463413.0,
2016-10-25,259.9,261.45,257.0,257.8,241142.0,
2016-10-26,260.4,263.55,256.75,260.1,250004.0,
2016-10-27,263.0,263.0,257.5,259.5,154778.0,
2016-10-28,260.8,261.35,253.75,257.4,218644.0,
2016-11-01,259.8,265.0,259.0,260.85,419379.0,
2016-11-02,258.0,261.5,255.0,260.1,251911.0,
2016-11-03,262.9,268.0,256.0,260.2,975266.0,
2016-11-04,261.5,270.5,255.0,259.75,1394742.0,
2016-11-07,261.55,264.9,254.0,255.65,299984.0,
2016-11-08,256.0,257.9,244.35,245.75,778057.0,
2016-11-09,225.0,236.25,196.6,234.85,951136.0,
2016-11-10,241.0,245.4,228.0,229.45,463920.0,
2016-11-11,229.0,229.0,214.0,215.15,777295.0,
2016-11-15,215.2,216.75,195.0,197.6,864313.0,
2016-11-16,202.0,205.7,196.1,198.65,573288.0,
2016-11-17,200.0,208.9,200.0,202.35,492404.0,
2016-11-18,202.6,203.95,184.85,187.1,1879909.0,
2016-11-21,190.0,191.8,179.25,180.25,1112787.0,
2016-11-22,182.0,187.65,177.95,185.4,1051360.0,
2016-11-23,186.5,200.65,185.55,199.4,1084808.0,
2016-11-24,199.0,214.95,198.05,212.3,1354252.0,
2016-11-25,215.5,222.9,215.5,220.25,1437650.0,
2016-11-28,220.0,228.5,217.5,225.8,799157.0,
2016-11-29,227.5,243.15,227.05,241.15,1816308.0,
