,Open,High,Low,Close,Volume,DeliveryPct
2022-11-16,322.8,334.7,314.2,317.45,27437210.0,50.41
2022-11-17,320.0,334.7,320.0,321.25,4548853.0,28.37
2022-11-18,322.8,324.45,303.0,317.5,2754410.0,30.35
2022-11-21,315.1,315.75,306.1,310.9,1119849.0,42.92
2022-11-22,312.0,316.0,309.05,313.45,1194243.0,60.36
2022-11-23,314.0,344.75,310.55,344.75,4006812.0,52.67
2022-11-24,351.6,379.2,351.6,379.2,9697965.0,26.05
2022-11-25,387.1,410.0,368.1,391.85,9386769.0,24.62
2022-11-28,387.0,431.0,387.0,427.35,6560933.0,29.31
2022-11-29,426.0,446.8,418.9,434.65,6168593.0,27.86
2022-11-30,431.7,441.95,412.95,416.45,3126303.0,38.54
2022-12-01,420.0,430.65,403.4,408.05,1318502.0,31.48
2022-12-02,410.0,417.95,407.5,411.9,829068.0,32.5
2022-12-05,414.0,415.45,396.0,398.3,552058.0,44.36
2022-12-06,400.3,406.25,391.25,395.6,560446.0,34.87
2022-12-07,410.0,415.35,405.0,412.65,2545980.0,22.03
2022-12-08,412.45,415.5,403.0,407.1,957992.0,37.41
2022-12-09,409.1,409.1,391.0,393.3,570979.0,51.74
2022-12-12,394.6,398.95,391.0,394.6,415159.0,39.33
2022-12-13,396.0,396.4,381.6,384.0,362195.0,49.21
2022-12-14,385.0,403.2,380.3,390.25,1222965.0,32.19
2022-12-15,388.7,397.95,385.05,387.45,432752.0,33.35
2022-12-16,385.0,392.8,376.0,385.05,1353175.0,80.04
2022-12-19,386.65,388.0,379.7,385.3,252839.0,48.9
2022-12-20,380.05,384.9,378.85,380.2,161483.0,46.24
2022-12-21,382.15,384.0,361.2,369.05,389627.0,51.52
2022-12-22,369.05,373.85,351.25,363.3,435880.0,45.32
2022-12-23,356.0,356.4,345.15,350.15,856994.0,28.29
2022-12-26,347.0,367.65,347.0,367.65,210930.0,60.07
2022-12-27,375.25,386.0,375.25,386.0,290085.0,53.41
2022-12-28,405.0,405.3,400.0,405.3,499502.0,51.59
2022-12-29,425.55,425.55,420.6,425.55,578705.0,74.54
2022-12-30,446.8,446.8,405.4,436.2,1871999.0,55.54
2023-01-02,436.2,444.25,417.15,421.3,476079.0,46.21
2023-01-03,423.45,442.35,414.9,425.75,842251.0,35.99
2023-01-04,427.85,429.0,412.3,414.85,343325.0,54.18
2023-01-05,417.2,420.65,407.0,412.1,229665.0,44.67
2023-01-06,412.65,421.9,405.25,409.2,257367.0,42.5
2023-01-09,415.1,417.65,400.8,405.95,296782.0,45.13
2023-01-10,405.0,405.0,391.1,393.25,252122.0,55.27
2023-01-11,395.4,412.9,394.75,403.15,327706.0,31.43
2023-01-12,404.0,423.3,398.6,423.3,716466.0,41.83
2023-01-13,431.0,437.0,418.5,433.45,745337.0,42.67
2023-01-16,431.45,431.85,418.5,421.6,214000.0,50.74
2023-01-17,421.85,434.7,416.1,419.8,286514.0,33.99
2023-01-18,421.95,424.45,417.5,418.7,124538.0,47.92
2023-01-19,416.45,426.55,414.15,416.45,171384.0,37.71
2023-01-20,418.9,426.95,417.2,419.1,182600.0,44.83
2023-01-23,420.5,440.05,420.0,426.7,1409332.0,37.75
2023-01-24,427.05,436.8,421.0,426.1,385256.0,29.67
2023-01-25,426.75,447.4,415.0,443.05,713196.0,58.39
2023-01-26,426.75,447.4,415.0,443.05,713196.0,58.39
2023-01-27,440.0,441.5,420.9,420.9,539492.0,72.63
2023-01-30,407.25,416.95,399.85,399.85,387973.0,64.59
2023-01-31,400.0,404.9,379.85,392.9,1336592.0,54.78
2023-02-01,399.7,401.0,381.0,387.1,244369.0,47.7
