,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,838.9,849.8,835.45,843.65,571134.0,
2016-08-18,845.9,883.0,845.0,855.8,2512923.0,
2016-08-19,857.5,858.45,843.8,847.5,1198005.0,
2016-08-22,847.2,888.7,845.05,883.15,2925175.0,
2016-08-23,887.0,897.6,874.2,884.25,1543191.0,
2016-08-24,883.1,892.4,877.25,882.3,857174.0,
2016-08-25,884.25,894.0,861.3,865.55,1745910.0,
2016-08-26,884.0,909.8,882.6,892.45,3895690.0,
2016-08-29,894.95,898.6,884.25,891.75,731415.0,
2016-08-30,904.0,920.85,902.0,912.2,1777359.0,
2016-08-31,916.9,924.0,911.2,916.7,1067928.0,
2016-09-01,915.0,919.5,906.0,910.2,537783.0,
2016-09-02,913.0,917.0,908.2,912.2,288653.0,
2016-09-06,913.2,928.0,913.2,921.5,518806.0,
2016-09-07,926.0,939.0,914.8,932.8,933617.0,
2016-09-08,934.9,935.5,922.5,928.6,683985.0,
2016-09-09,928.0,941.0,902.5,908.15,1293419.0,
2016-09-12,890.0,896.9,871.35,885.8,819507.0,
2016-09-14,885.8,928.4,885.8,924.55,1268846.0,
2016-09-15,924.1,935.5,917.0,928.95,1124888.0,
2016-09-16,932.0,936.65,912.25,921.0,944534.0,
2016-09-19,923.5,942.4,920.4,933.15,1052386.0,
2016-09-20,935.0,967.45,932.0,959.5,2018891.0,
2016-09-21,960.2,965.75,942.75,945.55,1127408.0,
2016-09-22,955.0,966.7,947.35,962.95,871719.0,
2016-09-23,964.9,975.0,956.0,962.45,848970.0,
2016-09-26,960.0,977.6,955.1,968.65,761798.0,
2016-09-27,969.0,984.75,969.0,974.85,952998.0,
2016-09-28,976.0,981.65,968.65,971.7,601267.0,
2016-09-29,974.8,977.15,886.5,923.25,1485519.0,
2016-09-30,920.0,942.0,914.4,933.5,793597.0,
2016-10-03,950.0,967.0,940.5,964.05,569003.0,
2016-10-04,962.0,966.7,942.25,948.6,529048.0,
2016-10-05,957.0,968.0,947.7,956.95,707123.0,
2016-10-06,962.0,971.5,956.0,959.9,730539.0,
2016-10-07,957.2,965.0,936.75,944.3,617022.0,
2016-10-10,952.0,955.95,937.1,944.25,394630.0,
2016-10-13,940.0,956.0,930.3,942.05,963854.0,
2016-10-14,945.9,961.4,945.05,951.95,1378143.0,
2016-10-17,958.35,963.95,936.55,947.4,771897.0,
2016-10-18,954.9,968.7,950.6,965.95,611630.0,
2016-10-19,966.1,1007.0,964.0,1002.85,1590220.0,
2016-10-20,1007.4,1007.4,975.9,980.35,1339869.0,
2016-10-21,982.2,1020.0,977.3,1008.15,4169584.0,
2016-10-24,1010.0,1014.7,966.7,970.65,1503116.0,
2016-10-25,974.0,974.0,937.5,939.5,1656565.0,
2016-10-26,936.8,936.8,898.35,907.1,1547760.0,
2016-10-27,903.85,931.9,894.9,920.85,2436666.0,
2016-10-28,922.0,932.65,920.2,925.65,872258.0,
2016-11-01,931.25,936.9,923.15,925.05,668155.0,
2016-11-02,914.2,924.2,905.05,909.35,824272.0,
2016-11-03,909.95,915.8,901.1,907.1,795474.0,
2016-11-04,922.2,923.5,871.0,878.05,1907092.0,
2016-11-07,885.3,906.75,883.85,898.1,890053.0,
2016-11-08,906.0,909.4,882.0,893.75,553927.0,
2016-11-09,818.25,905.0,804.4,888.35,1543730.0,
2016-11-10,907.0,918.9,897.1,907.35,749210.0,
2016-11-11,901.3,906.95,875.6,880.55,547325.0,
2016-11-15,883.0,889.8,856.65,861.75,681282.0,
2016-11-16,866.0,878.3,858.3,869.45,560811.0,
2016-11-17,874.0,889.0,866.4,882.35,625596.0,
2016-11-18,888.0,888.0,870.05,872.55,426413.0,
2016-11-21,874.5,876.3,840.3,851.95,901213.0,
2016-11-22,856.0,862.1,836.25,847.4,439803.0,
2016-11-23,854.0,866.8,843.55,861.2,843334.0,
2016-11-24,853.0,860.65,848.75,855.3,521247.0,
2016-11-25,862.9,880.85,854.7,877.35,689876.0,
2016-11-28,879.8,888.5,872.2,882.35,389172.0,
2016-11-29,885.1,924.95,883.15,920.1,1304240.0,
2016-11-30,931.0,936.0,914.1,916.8,1302470.0,
2016-12-01,920.0,935.6,918.5,925.25,890545.0,
2016-12-02,933.0,938.0,911.15,913.95,942768.0,
2016-12-05,913.05,923.1,895.05,918.4,683198.0,
2016-12-06,923.0,924.4,910.6,917.75,447896.0,
2016-12-07,921.1,923.9,912.6,917.85,264936.0,
2016-12-08,925.0,930.85,920.9,924.35,377422.0,
2016-12-09,927.7,949.3,925.0,943.65,1008050.0,
2016-12-12,944.4,954.7,934.55,939.95,626726.0,
2016-12-13,944.0,944.0,923.4,935.35,350405.0,
2016-12-14,936.0,943.65,921.05,922.95,418044.0,
2016-12-15,918.0,945.0,914.4,938.15,415309.0,
2016-12-16,936.0,988.95,935.85,982.5,3510774.0,
2016-12-19,990.0,990.0,965.0,967.15,1011444.0,
2016-12-20,968.6,976.0,961.5,964.15,497176.0,
2016-12-21,970.0,971.4,953.1,956.7,453371.0,
2016-12-22,948.0,956.0,935.0,940.35,504987.0,
2016-12-23,935.0,943.0,924.0,930.6,396948.0,
2016-12-26,924.6,926.8,890.35,894.35,711449.0,
2016-12-27,895.45,924.0,881.7,916.95,561849.0,
2016-12-28,920.2,943.0,920.2,926.8,696752.0,
2016-12-29,930.1,950.0,921.5,945.65,701414.0,
2016-12-30,951.3,958.8,946.0,949.85,312567.0,
2017-01-02,946.6,954.3,940.55,951.95,238424.0,
2017-01-03,951.5,953.95,941.3,945.3,241896.0,
2017-01-04,948.0,951.85,932.0,933.9,397319.0,
2017-01-05,937.7,949.85,929.25,946.2,536996.0,
2017-01-06,948.0,970.5,945.55,959.55,714688.0,
2017-01-09,965.7,1019.0,960.3,1013.55,2310496.0,
2017-01-10,1017.45,1026.45,992.95,997.1,1292584.0,
2017-01-11,999.0,1015.55,994.0,1002.7,567493.0,
2017-01-12,1024.0,1051.75,1003.3,1008.85,2991220.0,
2017-01-13,1017.95,1017.95,983.0,994.45,792659.0,
2017-01-16,994.9,1012.0,980.0,997.95,614001.0,
2017-01-17,1000.0,1008.0,991.3,996.6,421838.0,
2017-01-18,992.55,1005.0,988.0,991.5,511833.0,
2017-01-19,990.0,1009.0,990.0,993.4,816811.0,
2017-01-20,992.95,998.7,971.0,973.8,552677.0,
2017-01-23,974.1,1003.2,971.35,998.0,684540.0,
2017-01-24,1003.0,1006.8,991.1,998.95,663685.0,
2017-01-25,1050.0,1050.95,1007.6,1022.6,3192150.0,
2017-01-27,1023.75,1034.2,1015.25,1019.5,621872.0,
2017-01-30,1010.5,1024.55,1003.0,1019.95,368419.0,
2017-01-31,1021.9,1034.55,1006.0,1010.95,767221.0,
2017-02-01,1011.0,1019.1,995.1,1017.2,479043.0,
2017-02-02,1018.0,1065.95,1018.0,1059.3,1245596.0,
2017-02-03,1060.0,1074.0,1050.05,1057.5,593963.0,
2017-02-06,1061.9,1112.5,1061.0,1098.6,977671.0,
2017-02-07,1094.9,1114.9,1085.2,1097.4,648725.0,
2017-02-08,1097.0,1104.3,1084.65,1088.8,315155.0,
2017-02-09,1088.95,1110.0,1085.55,1089.8,418873.0,
2017-02-10,1095.0,1096.5,1074.65,1089.1,326048.0,
2017-02-13,1092.0,1092.1,1067.55,1079.9,278591.0,
2017-02-14,1081.0,1085.2,1071.95,1075.4,227734.0,
2017-02-15,1075.0,1079.0,1051.0,1058.7,188187.0,
2017-02-16,1053.05,1099.45,1052.2,1095.3,522318.0,
2017-02-17,1109.0,1123.0,1102.0,1105.35,714537.0,
2017-02-20,1105.0,1133.45,1092.0,1126.55,666752.0,
2017-02-21,1127.0,1138.5,1115.65,1132.7,381384.0,
2017-02-22,1126.0,1132.0,1106.15,1111.4,298539.0,
2017-02-23,1109.9,1126.0,1108.05,1111.75,416155.0,
2017-02-27,1111.0,1137.55,1095.9,1124.5,495379.0,
2017-02-28,1125.0,1143.8,1118.15,1122.45,622962.0,
2017-03-01,1128.0,1133.45,1113.0,1114.25,364727.0,
2017-03-02,1119.0,1122.0,1022.8,1032.9,1801225.0,
2017-03-03,1022.5,1087.0,1017.55,1071.95,2823034.0,
2017-03-06,1075.95,1079.3,1055.15,1068.45,498736.0,
2017-03-07,1073.0,1088.05,1065.65,1078.15,525601.0,
2017-03-08,1079.0,1092.95,1071.3,1078.55,501757.0,
2017-03-09,1075.45,1081.45,1068.0,1071.3,211939.0,
2017-03-10,1072.05,1077.3,1056.6,1061.15,250623.0,
2017-03-14,1086.8,1098.75,1061.05,1094.4,618347.0,
2017-03-15,1120.0,1125.0,1107.1,1116.45,881743.0,
2017-03-16,1120.0,1128.0,1113.0,1120.2,334578.0,
2017-03-17,1121.25,1128.0,1106.05,1120.45,368569.0,
2017-03-20,1118.1,1134.35,1115.4,1126.6,302828.0,
2017-03-21,1126.45,1152.15,1120.0,1148.15,871089.0,
2017-03-22,1140.0,1146.9,1130.8,1135.1,356319.0,
2017-03-23,1140.0,1143.0,1123.0,1128.6,204686.0,
2017-03-24,1126.1,1147.7,1126.1,1142.7,361853.0,
2017-03-27,1145.0,1145.85,1128.5,1132.45,219750.0,
2017-03-28,1141.9,1145.0,1127.4,1140.25,271864.0,
2017-03-29,1141.4,1162.9,1132.5,1150.45,438603.0,
2017-03-30,1147.0,1147.0,1134.5,1139.05,303780.0,
2017-03-31,1138.0,1149.0,1129.0,1132.3,214254.0,
