,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,5454.9,5470.0,5400.05,5452.5,3283.0,
2016-08-18,5490.0,5575.0,5489.85,5543.7,1649.0,
2016-08-19,5543.0,5545.0,5475.1,5492.85,6035.0,
2016-08-22,5520.0,5532.15,5440.0,5461.15,2196.0,
2016-08-23,5506.15,5506.15,5400.05,5438.75,1546.0,
2016-08-24,5460.0,5469.15,5265.0,5292.45,13377.0,
2016-08-25,5349.0,5393.0,5280.0,5326.65,4608.0,
2016-08-26,5355.0,5355.0,5096.0,5127.1,19576.0,
2016-08-29,5245.0,5245.0,4888.0,5083.05,107922.0,
2016-08-30,5150.0,5225.25,5074.5,5207.5,20318.0,
2016-08-31,5216.85,5480.0,5216.85,5443.65,11982.0,
2016-09-01,5450.0,5614.5,5350.0,5589.95,8866.0,
2016-09-02,5600.0,5614.0,5408.8,5532.75,2536.0,
2016-09-06,5533.0,5592.8,5480.05,5546.05,6190.0,
2016-09-07,5547.0,5690.0,5467.7,5613.35,11223.0,
2016-09-08,5613.0,5640.0,5555.0,5615.8,1927.0,
2016-09-09,5615.0,5720.0,5559.0,5686.2,12321.0,
2016-09-12,5600.0,5636.0,5430.0,5470.15,3177.0,
2016-09-14,5524.5,5550.0,5374.0,5394.75,8758.0,
2016-09-15,5394.0,5500.0,5394.0,5445.35,3745.0,
2016-09-16,5449.95,5580.0,5445.0,5545.85,6588.0,
2016-09-19,5591.0,5614.5,5460.0,5510.15,18467.0,
2016-09-20,5542.0,5542.0,5451.5,5498.3,4952.0,
2016-09-21,5544.0,5550.0,5468.5,5525.25,14393.0,
2016-09-22,5552.05,5575.0,5498.0,5530.4,1674.0,
2016-09-23,5540.0,5540.15,5375.0,5390.25,33031.0,
2016-09-26,5390.05,5423.0,5300.0,5326.25,19989.0,
2016-09-27,5400.0,5400.0,5310.9,5344.75,5506.0,
2016-09-28,5355.0,5530.0,5355.0,5505.05,3228.0,
2016-09-29,5560.1,5560.1,5400.0,5467.35,7354.0,
2016-09-30,5500.0,5549.0,5300.0,5482.15,2599.0,
2016-10-03,5535.0,5550.0,5491.0,5524.5,7813.0,
2016-10-04,5568.0,5574.0,5477.0,5557.6,1636.0,
2016-10-05,5556.0,5620.0,5460.85,5474.5,3122.0,
2016-10-06,5480.0,5539.0,5450.0,5521.8,1957.0,
2016-10-07,5521.0,5521.0,5450.0,5487.8,1139.0,
2016-10-10,5535.0,5600.0,5523.2,5563.2,3388.0,
2016-10-13,5500.7,5500.7,5320.0,5332.95,13097.0,
2016-10-14,5335.0,5356.55,5250.0,5260.3,11947.0,
2016-10-17,5343.0,5343.0,5170.0,5198.2,27653.0,
2016-10-18,5198.05,5231.1,5180.6,5196.2,9723.0,
2016-10-19,5231.0,5231.0,5097.05,5135.15,6695.0,
2016-10-20,5186.15,5186.15,5090.0,5107.4,6456.0,
2016-10-21,5108.0,5119.1,5035.1,5051.5,6977.0,
2016-10-24,5100.0,5119.0,5029.0,5046.7,5932.0,
2016-10-25,5100.0,5150.0,5031.4,5057.55,2956.0,
2016-10-26,5060.0,5130.0,5057.0,5093.0,3769.0,
2016-10-27,5120.0,5180.0,5053.0,5080.45,6231.0,
2016-10-28,5105.0,5105.0,5050.1,5083.2,5601.0,
2016-11-01,5149.0,5175.0,5079.95,5097.8,21587.0,
2016-11-02,5090.05,5135.0,5050.0,5111.15,6359.0,
2016-11-03,5111.05,5149.95,5101.75,5127.75,4361.0,
2016-11-04,5061.0,5175.0,5052.0,5097.2,3314.0,
2016-11-07,5150.0,5150.0,5075.15,5093.9,3010.0,
2016-11-08,5085.0,5110.0,5070.05,5089.65,4263.0,
2016-11-09,4998.9,5078.9,4750.0,5053.6,4540.0,
2016-11-10,5150.0,5150.0,5051.05,5118.35,3013.0,
2016-11-11,5052.15,5133.6,4953.0,4994.8,3970.0,
2016-11-15,4990.0,5098.95,4667.35,4898.45,8828.0,
2016-11-16,4935.0,4935.0,4750.0,4790.65,7895.0,
2016-11-17,4852.9,4852.9,4600.05,4674.65,58219.0,
2016-11-18,4662.9,4674.05,4605.0,4627.3,5005.0,
2016-11-21,4688.65,4688.65,4584.6,4623.1,6843.0,
2016-11-22,4625.0,4641.95,4500.0,4605.15,10628.0,
2016-11-23,4550.15,4680.0,4534.65,4643.25,8449.0,
2016-11-24,4678.95,4678.95,4550.1,4565.7,2795.0,
2016-11-25,4567.25,4650.05,4566.1,4623.9,1597.0,
2016-11-28,4603.05,4640.0,4600.0,4614.4,3042.0,
2016-11-29,4610.05,4615.9,4500.0,4530.7,8602.0,
