,Open,High,Low,Close,Volume,DeliveryPct
2023-11-01,380.0,417.95,378.0,413.4,22439980.0,51.39
2023-11-02,423.0,433.4,403.4,406.95,4315489.0,35.4
2023-11-03,409.8,413.2,386.05,389.85,1466942.0,51.84
2023-11-06,372.0,393.75,357.35,382.5,2137882.0,57.08
2023-11-07,382.0,387.25,376.25,381.7,657524.0,52.96
2023-11-08,385.0,408.8,385.0,405.3,1164406.0,44.81
2023-11-09,406.5,419.9,401.05,404.05,945054.0,48.84
2023-11-10,399.0,402.7,376.65,387.75,666783.0,45.4
2023-11-13,403.0,415.0,398.05,400.25,502996.0,46.09
2023-11-14,403.0,415.0,398.05,400.25,502996.0,46.09
2023-11-15,403.75,406.9,391.35,392.55,444278.0,43.41
2023-11-16,395.0,396.0,384.0,389.15,817395.0,34.97
2023-11-17,391.0,394.0,379.0,381.45,374541.0,62.77
2023-11-20,381.0,398.0,381.0,393.2,518920.0,64.76
2023-11-21,393.95,401.2,384.0,389.65,446158.0,55.82
2023-11-22,390.0,392.0,382.3,385.35,208898.0,56.72
2023-11-23,385.75,386.0,379.3,383.7,236856.0,60.85
2023-11-24,382.0,384.3,370.05,374.3,375797.0,66.36
2023-11-27,382.0,384.3,370.05,374.3,375797.0,66.36
2023-11-28,376.0,377.7,358.6,364.75,450131.0,58.68
2023-11-29,366.9,372.0,362.25,364.45,478518.0,81.4
2023-11-30,366.0,366.8,355.5,360.1,369766.0,66.56
2023-12-01,362.2,364.0,344.75,346.95,736101.0,64.78
2023-12-04,350.55,358.0,332.9,355.4,977080.0,59.31
2023-12-05,355.4,369.95,355.4,360.25,503045.0,48.47
2023-12-06,360.55,362.9,346.05,348.5,349922.0,61.42
2023-12-07,348.65,352.45,341.25,350.05,251113.0,54.84
2023-12-08,351.9,353.45,336.0,339.45,907573.0,62.17
2023-12-11,341.3,341.45,330.95,332.75,248256.0,59.78
2023-12-12,333.0,339.0,319.5,322.1,515490.0,57.15
2023-12-13,320.0,348.7,320.0,343.2,2174828.0,62.76
2023-12-14,346.0,353.0,331.9,333.8,1234411.0,33.96
2023-12-15,335.0,350.95,332.6,347.2,867123.0,57.0
2023-12-18,348.5,358.8,345.05,352.5,510338.0,46.13
2023-12-19,355.0,373.45,352.15,362.0,1235687.0,48.83
2023-12-20,363.9,371.95,348.25,354.55,622099.0,49.8
2023-12-21,356.0,360.6,347.05,358.65,334004.0,62.29
2023-12-22,361.0,368.0,354.55,361.3,469041.0,61.15
2023-12-25,361.0,368.0,354.55,361.3,469041.0,61.15
2023-12-26,358.2,376.0,358.2,369.65,464401.0,42.83
2023-12-27,372.45,376.95,360.3,371.05,343578.0,51.83
2023-12-28,371.45,373.0,361.0,368.95,321445.0,53.18
2023-12-29,369.0,373.0,365.3,368.1,315761.0,76.07
2024-01-01,370.0,374.8,364.55,368.2,235647.0,65.94
2024-01-02,369.0,386.05,365.05,379.0,698090.0,46.14
2024-01-03,381.0,383.8,373.0,373.7,169192.0,51.93
2024-01-04,380.0,392.0,375.65,384.4,585023.0,47.37
2024-01-05,384.95,388.0,372.75,377.15,381206.0,60.91
2024-01-08,386.8,411.9,386.7,403.25,1538113.0,60.76
2024-01-09,403.85,405.95,392.0,397.15,559441.0,67.3
2024-01-10,395.8,396.65,382.0,390.55,426551.0,47.12
2024-01-11,394.95,400.0,385.05,386.15,190808.0,61.6
2024-01-12,388.0,393.0,375.65,378.0,261050.0,57.6
2024-01-15,378.45,380.4,362.0,363.55,450788.0,76.21
2024-01-16,364.95,378.45,360.15,370.4,477879.0,62.67
2024-01-17,367.4,369.6,362.0,363.55,156948.0,58.6
2024-01-18,368.6,375.1,351.0,369.6,270844.0,44.18
2024-01-19,370.0,379.8,370.0,374.25,191425.0,50.23
2024-01-22,372.0,379.4,372.0,372.6,61415.0,57.34
2024-01-23,374.0,374.0,351.0,353.25,183085.0,55.03
2024-01-24,353.25,358.7,350.25,357.95,170039.0,68.78
2024-01-25,357.95,362.05,353.65,359.75,123056.0,66.99
2024-01-26,357.95,362.05,353.65,359.75,123056.0,66.99
2024-01-29,360.85,385.0,357.05,380.95,398690.0,54.27
2024-01-30,377.65,384.0,365.55,367.4,200838.0,60.14
2024-01-31,368.0,368.0,351.95,354.15,402971.0,76.01
2024-02-01,354.15,358.15,346.1,347.45,506507.0,59.55
2024-02-02,350.5,352.4,333.25,334.9,401226.0,67.27
2024-02-05,337.65,337.65,326.1,330.35,440050.0,64.53
2024-02-06,335.35,349.15,324.0,345.75,1240365.0,61.79
2024-02-07,347.95,357.0,341.35,354.05,422369.0,59.62
2024-02-08,355.0,359.7,347.35,354.0,224291.0,50.32
2024-02-09,354.0,363.0,340.85,355.55,278057.0,54.93
2024-02-12,355.55,361.85,339.45,344.05,118731.0,56.01
2024-02-13,344.95,345.0,330.2,335.6,122404.0,63.61
2024-02-14,343.8,343.8,332.05,340.1,51365.0,48.55
2024-02-15,341.0,342.45,333.0,337.4,128255.0,54.35
2024-02-16,342.35,342.9,334.0,341.3,169827.0,62.5
2024-02-19,344.0,355.6,340.05,346.85,193324.0,61.44
2024-02-20,344.05,356.7,344.05,353.65,174272.0,63.36
2024-02-21,356.95,365.1,345.5,348.15,460870.0,56.6
2024-02-22,349.0,351.9,343.0,349.75,264101.0,79.88
2024-02-23,349.8,359.7,346.55,358.05,176890.0,62.09
2024-02-26,363.7,364.3,354.15,362.65,212155.0,43.5
2024-02-27,362.65,366.7,357.65,359.3,382297.0,54.75
2024-02-28,360.0,362.0,347.4,349.95,145525.0,57.31
2024-02-29,348.1,353.95,341.5,344.0,303429.0,68.07
2024-03-01,340.7,350.05,340.5,346.8,142809.0,51.73
2024-03-04,352.0,354.0,344.2,351.3,140136.0,59.94
2024-03-05,353.0,353.0,344.0,346.8,57933.0,55.52
2024-03-06,345.0,345.8,335.3,343.1,174352.0,65.58
2024-03-07,346.9,360.0,341.6,352.35,182475.0,57.27
2024-03-08,346.9,360.0,341.6,352.35,182475.0,57.27
2024-03-11,352.0,352.0,344.4,349.35,105407.0,57.09
2024-03-12,349.25,351.05,335.3,343.05,121881.0,62.2
2024-03-13,347.55,347.55,329.65,336.4,217089.0,76.26
2024-03-14,334.75,346.95,332.9,343.9,158272.0,51.9
2024-03-15,345.9,348.8,340.1,347.3,131807.0,74.36
2024-03-18,347.35,367.4,344.3,361.85,253032.0,64.24
2024-03-19,363.95,367.45,358.4,365.05,266943.0,52.67
2024-03-20,369.9,371.95,355.5,363.95,147289.0,64.08
2024-03-21,369.7,371.45,355.6,364.55,146598.0,57.32
2024-03-22,367.05,371.0,362.0,369.7,143144.0,73.15
2024-03-25,367.05,371.0,362.0,369.7,143144.0,73.15
2024-03-26,371.0,379.45,356.05,373.4,314696.0,53.58
2024-03-27,373.4,378.0,364.2,374.55,282065.0,64.87
2024-03-28,377.65,384.65,371.1,382.9,260324.0,47.27
2024-03-29,377.65,384.65,371.1,382.9,260324.0,47.27
2024-04-01,386.9,398.0,384.2,391.4,268859.0,64.57
2024-04-02,391.95,393.0,380.5,384.15,164997.0,63.57
2024-04-03,384.15,389.8,378.8,385.35,148470.0,61.82
2024-04-04,389.9,403.0,387.15,398.2,297295.0,68.93
2024-04-05,408.0,418.5,397.05,413.75,605372.0,56.49
2024-04-08,417.0,421.65,398.45,401.55,338666.0,52.61
2024-04-09,404.75,405.95,387.55,390.8,201882.0,61.39
2024-04-10,394.0,403.6,388.1,394.75,203897.0,45.04
2024-04-11,394.0,403.6,388.1,394.75,203897.0,45.04
2024-04-12,394.0,405.0,389.8,391.8,272029.0,55.82
2024-04-15,384.0,396.7,375.15,385.75,254663.0,57.05
2024-04-16,387.8,399.45,384.05,390.35,176683.0,57.55
2024-04-17,387.8,399.45,384.05,390.35,176683.0,57.55
2024-04-18,396.3,407.0,391.25,392.7,282856.0,46.68
2024-04-19,389.35,396.55,385.25,392.25,159342.0,54.05
2024-04-22,396.0,401.05,387.05,388.6,157894.0,70.11
2024-04-23,390.05,394.9,374.95,376.75,289720.0,76.05
2024-04-24,383.0,399.9,379.0,381.35,459227.0,72.02
2024-04-25,385.9,392.0,382.0,391.75,79682.0,53.29
2024-04-26,391.75,394.8,378.0,384.6,236306.0,49.9
2024-04-29,386.0,394.4,380.5,390.15,106651.0,59.2
2024-04-30,386.0,397.0,384.4,387.8,212832.0,71.73
2024-05-01,386.0,397.0,384.4,387.8,212832.0,71.73
2024-05-02,383.55,392.95,379.0,380.2,224364.0,72.37
2024-05-03,384.4,384.4,367.6,370.95,233817.0,72.03
2024-05-06,372.2,384.25,366.5,381.05,227303.0,66.4
2024-05-07,377.2,384.0,371.1,380.45,92607.0,60.5
2024-05-08,382.0,382.0,374.05,379.1,82398.0,70.11
2024-05-09,380.0,382.3,374.4,379.95,177572.0,81.01
2024-05-10,379.95,381.6,371.95,380.15,122164.0,77.9
2024-05-13,380.15,382.8,365.3,369.65,125480.0,53.71
2024-05-14,378.4,378.4,369.55,373.1,39917.0,52.27
2024-05-15,376.0,376.0,362.0,364.15,125336.0,75.6
2024-05-16,366.1,369.4,361.85,364.35,59454.0,69.73
2024-05-17,365.45,367.35,359.0,362.55,139138.0,73.52
2024-05-20,365.0,370.05,362.9,367.85,11599.0,73.74
2024-05-21,372.0,374.2,363.2,372.9,92270.0,55.56
2024-05-22,372.9,382.1,369.05,379.2,100805.0,68.26
2024-05-23,379.2,386.0,375.5,378.45,81333.0,61.89
2024-05-24,379.0,380.6,370.1,375.6,51874.0,59.51
2024-05-27,365.0,380.9,364.95,379.3,172216.0,60.76
2024-05-28,380.0,382.3,367.0,372.65,84882.0,57.66
2024-05-29,372.65,377.0,365.85,375.3,66675.0,63.82
2024-05-30,370.0,380.7,368.2,374.9,121031.0,74.01
2024-05-31,381.0,385.0,374.9,382.3,112559.0,83.1
2024-06-03,384.95,391.0,381.7,386.2,144755.0,70.83
2024-06-04,389.0,389.0,347.6,357.4,110291.0,57.73
2024-06-05,362.35,375.1,355.25,368.6,107028.0,55.72
2024-06-06,369.0,377.4,364.85,372.8,72186.0,56.85
2024-06-07,373.3,388.0,370.0,385.35,112702.0,65.29
2024-06-10,391.35,391.35,383.0,385.25,80773.0,73.55
2024-06-11,386.0,393.2,374.1,376.2,130127.0,68.29
2024-06-12,382.0,398.2,377.15,385.15,194100.0,61.0
2024-06-13,385.2,399.65,385.2,391.95,183268.0,69.27
2024-06-14,395.0,401.0,388.8,391.95,107989.0,55.09
2024-06-17,395.0,401.0,388.8,391.95,107989.0,55.09
2024-06-18,385.35,397.0,385.35,393.2,77485.0,46.12
2024-06-19,391.5,411.0,386.3,398.7,204892.0,45.51
2024-06-20,405.0,431.0,399.05,424.8,829156.0,51.37
2024-06-21,435.0,442.8,421.0,424.5,342633.0,52.88
2024-06-24,416.0,420.75,405.15,414.15,170691.0,50.66
2024-06-25,416.0,418.85,406.0,407.7,53404.0,62.43
2024-06-26,409.5,423.75,405.25,416.6,148171.0,57.82
2024-06-27,420.0,420.0,390.4,398.4,119955.0,64.19
2024-06-28,396.5,407.0,394.5,404.0,122408.0,67.31
2024-07-01,408.85,424.8,401.55,417.75,227622.0,56.34
2024-07-02,420.0,425.0,409.15,413.0,143170.0,72.03
2024-07-03,419.3,421.3,409.5,410.65,81151.0,61.42
2024-07-04,416.4,434.95,409.85,423.0,382529.0,52.87
2024-07-05,425.9,439.5,420.2,429.0,259304.0,57.6
2024-07-08,429.9,439.8,423.3,432.45,211263.0,66.99
2024-07-09,437.0,447.0,430.5,434.45,424129.0,52.0
2024-07-10,434.0,438.4,400.0,425.9,262855.0,44.46
2024-07-11,424.45,430.0,417.0,419.6,264923.0,80.57
2024-07-12,422.8,427.4,420.0,424.35,135529.0,66.06
2024-07-15,425.0,429.95,412.0,417.95,212135.0,59.2
2024-07-16,416.0,423.7,415.75,416.95,114213.0,70.54
2024-07-17,416.0,423.7,415.75,416.95,114213.0,70.54
2024-07-18,412.75,416.9,408.8,412.85,102228.0,59.31
2024-07-19,411.75,415.15,403.15,406.45,113296.0,61.89
2024-07-22,415.0,426.6,401.05,417.95,178700.0,59.0
2024-07-23,424.0,455.0,403.4,439.7,1163628.0,46.06
2024-07-24,438.05,467.95,435.85,440.4,950425.0,38.0
2024-07-25,435.1,460.0,433.4,446.4,561651.0,31.86
2024-07-26,446.4,458.0,443.25,446.4,226245.0,39.42
2024-07-29,445.75,453.7,441.5,444.55,246833.0,54.46
2024-07-30,444.55,470.0,443.35,455.35,677167.0,43.61
2024-07-31,458.55,480.0,452.9,473.3,501685.0,42.01
2024-08-01,478.45,515.0,469.0,499.1,848731.0,37.17
2024-08-02,494.9,518.0,483.5,507.45,681526.0,30.01
2024-08-05,499.9,530.0,488.0,518.65,1060942.0,23.32
2024-08-06,525.0,538.5,466.8,470.25,1476170.0,37.0
2024-08-07,469.5,509.9,453.15,501.35,1095543.0,55.44
2024-08-08,505.0,505.0,479.8,485.25,435474.0,71.92
2024-08-09,489.5,492.6,472.0,475.65,244235.0,54.96
2024-08-12,468.0,495.95,466.7,483.1,223711.0,54.0
2024-08-13,482.85,492.7,461.0,463.25,248409.0,48.31
2024-08-14,465.8,467.05,455.2,460.8,102996.0,46.31
2024-08-15,465.8,467.05,455.2,460.8,102996.0,46.31
2024-08-16,461.8,465.7,454.85,460.6,205142.0,62.75
2024-08-19,460.0,471.0,460.0,468.7,118789.0,54.36
2024-08-20,474.5,482.6,464.9,470.35,203409.0,54.39
2024-08-21,468.5,481.0,468.5,479.15,130131.0,60.08
2024-08-22,484.95,485.0,470.2,475.65,201406.0,62.89
2024-08-23,478.35,484.1,470.0,472.85,111198.0,55.44
2024-08-26,473.85,485.25,473.85,481.05,219039.0,61.53
2024-08-27,480.0,504.5,480.0,498.85,533532.0,69.77
