,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,24002.0,24169.25,23826.05,23975.1,17699.0,
2016-08-18,23976.0,24325.0,23976.0,24090.95,12368.0,
2016-08-19,24150.0,24249.95,23853.0,23980.05,15973.0,
2016-08-22,24014.65,24294.0,23645.05,23695.55,12204.0,
2016-08-23,23750.0,23856.2,23475.0,23598.45,12212.0,
2016-08-24,23598.0,23800.0,23300.0,23678.65,8534.0,
2016-08-25,23784.0,24100.05,23561.2,23771.85,22305.0,
2016-08-26,23700.0,23853.9,23591.15,23695.35,9629.0,
2016-08-29,23750.0,23999.95,23560.1,23764.15,7964.0,
2016-08-30,23770.0,24805.0,23770.0,24734.25,24945.0,
2016-08-31,24530.0,24699.45,24075.0,24167.8,25207.0,
2016-09-01,24280.0,24629.95,23957.0,24118.1,13804.0,
2016-09-02,24399.0,24439.9,23902.0,24010.85,12728.0,
2016-09-06,24051.0,24500.0,24051.0,24460.15,14683.0,
2016-09-07,24470.0,24844.25,24211.0,24267.65,11188.0,
2016-09-08,24350.0,24575.0,24292.1,24447.7,10301.0,
2016-09-09,24450.0,24450.0,24070.0,24164.05,18427.0,
2016-09-12,23950.0,24000.0,23400.0,23481.5,13562.0,
2016-09-14,23500.0,23598.75,22950.0,23020.65,25509.0,
2016-09-15,23299.95,23333.8,22990.0,23197.2,9965.0,
2016-09-16,23300.0,23600.15,23116.8,23438.1,20666.0,
2016-09-19,23450.0,23450.0,23153.8,23392.85,13319.0,
2016-09-20,23500.0,23500.0,22991.0,23255.5,9110.0,
2016-09-21,23255.0,23617.35,23200.0,23346.9,19016.0,
2016-09-22,23480.1,23625.5,23327.05,23403.55,7690.0,
2016-09-23,23403.0,23501.15,23226.75,23340.1,8147.0,
2016-09-26,23299.5,23333.6,22720.9,22844.7,12090.0,
2016-09-27,22902.05,23100.0,22611.0,22747.75,6951.0,
2016-09-28,22700.05,23320.0,22621.5,23189.45,21508.0,
2016-09-29,23330.1,23590.0,22459.5,22634.2,27601.0,
2016-09-30,22737.0,22903.4,22524.05,22797.85,10748.0,
2016-10-03,22930.0,23127.0,22695.7,22752.95,20044.0,
2016-10-04,22950.0,23040.0,22702.4,22838.35,15870.0,
2016-10-05,22860.0,22935.0,22707.05,22803.6,6767.0,
2016-10-06,22850.0,23550.0,22761.0,23098.35,36818.0,
2016-10-07,23100.0,23205.0,22860.2,23135.55,11285.0,
2016-10-10,23160.0,23220.55,23030.05,23101.55,13865.0,
