,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,596.0,598.8,583.55,587.35,1957059.0,
2016-08-18,588.1,596.9,585.0,587.1,2535376.0,
2016-08-19,589.0,595.1,581.3,593.2,2603708.0,
2016-08-22,595.0,605.4,593.75,597.5,3289487.0,
2016-08-23,601.0,602.1,571.5,576.1,3760023.0,
2016-08-24,580.0,585.9,575.05,581.75,3660572.0,
2016-08-25,587.0,600.0,581.1,598.25,5646779.0,
2016-08-26,597.9,601.95,593.1,595.75,3074469.0,
2016-08-29,596.95,601.8,593.9,598.8,2451442.0,
2016-08-30,602.8,611.35,601.5,608.25,2978395.0,
2016-08-31,609.0,609.95,597.6,602.6,9920847.0,
2016-09-01,600.3,606.95,583.5,586.8,3724608.0,
2016-09-02,590.0,591.0,581.3,586.75,2598224.0,
2016-09-06,592.5,599.9,588.75,598.6,2275751.0,
2016-09-07,599.9,599.95,587.05,589.8,1646553.0,
2016-09-08,590.0,593.05,584.45,587.2,2110088.0,
2016-09-09,587.1,595.0,585.05,588.55,1825706.0,
2016-09-12,580.35,585.6,563.1,565.9,2745541.0,
2016-09-14,571.6,578.5,566.4,575.35,2397330.0,
2016-09-15,579.8,579.8,565.4,568.15,1934028.0,
2016-09-16,575.0,581.9,569.1,577.95,11505994.0,
2016-09-19,581.0,587.6,579.85,585.2,2150046.0,
2016-09-20,587.0,589.95,582.8,585.75,2093194.0,
2016-09-21,590.0,595.4,580.15,586.8,1773718.0,
2016-09-22,593.0,600.5,588.7,598.8,2585088.0,
2016-09-23,601.3,608.15,600.6,604.65,2083872.0,
2016-09-26,605.0,624.9,595.3,622.45,3162720.0,
2016-09-27,628.2,628.6,608.4,610.75,2788078.0,
2016-09-28,612.0,619.75,609.45,616.3,1387151.0,
2016-09-29,615.7,622.85,600.4,610.15,4478599.0,
2016-09-30,605.0,618.7,604.0,612.6,1758366.0,
2016-10-03,616.0,630.5,615.0,627.75,1837223.0,
2016-10-04,628.25,639.0,628.05,637.45,1619606.0,
2016-10-05,637.7,652.05,627.0,649.9,1679388.0,
2016-10-06,653.7,683.6,652.0,670.7,3359114.0,
2016-10-07,674.9,679.9,656.0,663.55,1916720.0,
2016-10-10,664.0,666.9,653.3,657.8,1568578.0,
2016-10-13,653.0,670.45,645.9,657.1,3260331.0,
2016-10-14,660.95,672.4,659.0,666.85,1741447.0,
2016-10-17,673.8,674.7,656.1,659.1,2027031.0,
2016-10-18,661.0,663.6,646.0,656.75,1755878.0,
2016-10-19,658.05,669.7,655.8,660.6,1825292.0,
2016-10-20,661.0,665.0,654.05,662.15,1548834.0,
2016-10-21,665.0,671.5,661.7,668.25,1321948.0,
2016-10-24,669.5,687.95,667.05,686.2,1880593.0,
2016-10-25,681.1,687.5,673.3,685.45,1785357.0,
2016-10-26,683.4,686.45,670.9,676.05,1908868.0,
