,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,160.0,168.4,159.1,166.25,52308.0,
2016-08-18,166.9,169.2,164.4,167.4,43222.0,
2016-08-19,168.1,173.75,166.1,171.65,60108.0,
2016-08-22,172.35,175.5,170.0,174.95,62411.0,
2016-08-23,175.0,177.45,171.15,171.95,305445.0,
2016-08-24,172.0,173.75,170.15,171.4,7435.0,
2016-08-25,172.0,172.5,168.1,170.4,28909.0,
2016-08-26,170.45,174.0,169.0,169.85,67364.0,
2016-08-29,170.0,172.0,170.0,170.3,9669.0,
2016-08-30,170.0,174.0,170.0,170.05,9829.0,
2016-08-31,170.0,175.0,170.0,170.35,21139.0,
2016-09-01,171.1,172.1,170.0,171.25,13198.0,
2016-09-02,170.0,172.9,170.0,171.05,7326.0,
2016-09-06,170.55,172.85,170.0,170.95,12742.0,
2016-09-07,170.4,174.0,170.05,171.0,24611.0,
2016-09-08,171.65,181.8,171.0,177.95,140926.0,
2016-09-09,179.7,179.7,173.2,174.25,19502.0,
2016-09-12,173.0,173.65,173.0,173.0,32194.0,
2016-09-14,173.0,177.0,173.0,174.7,31385.0,
2016-09-15,174.5,175.9,172.95,173.05,152722.0,
2016-09-16,177.0,177.0,170.7,174.95,19593.0,
2016-09-19,179.0,180.4,176.7,178.55,67332.0,
2016-09-20,178.55,178.55,174.85,175.1,13910.0,
2016-09-21,175.2,177.9,174.95,175.0,22091.0,
2016-09-22,175.0,178.85,173.0,175.0,537914.0,
2016-09-23,174.95,188.9,171.1,181.05,307198.0,
2016-09-26,182.7,186.9,175.0,177.05,69596.0,
2016-09-27,176.75,177.45,173.3,173.85,15420.0,
2016-09-28,178.0,178.0,172.05,173.5,14313.0,
2016-09-29,173.5,177.9,170.0,172.0,156452.0,
2016-09-30,171.0,176.0,166.8,173.55,17312.0,
2016-10-03,174.0,176.0,171.0,175.0,22265.0,
2016-10-04,174.0,176.05,173.0,174.65,14297.0,
2016-10-05,176.95,179.9,172.6,175.1,27801.0,
2016-10-06,175.0,176.85,173.35,174.7,11603.0,
2016-10-07,174.0,176.8,174.0,175.35,10018.0,
2016-10-10,174.15,176.5,174.0,175.65,4163.0,
2016-10-13,172.0,177.8,172.0,175.3,23104.0,
2016-10-14,176.9,184.0,174.5,177.7,228689.0,
2016-10-17,177.0,179.0,171.6,175.7,7824.0,
2016-10-18,178.8,178.8,174.05,175.05,4684.0,
2016-10-19,175.45,179.4,175.45,178.7,24797.0,
2016-10-20,182.0,182.0,174.55,175.6,4472.0,
2016-10-21,175.5,182.0,175.5,179.9,17288.0,
2016-10-24,180.25,181.0,173.95,179.05,9088.0,
