,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,3265.0,3358.25,3265.0,3336.7,262308.0,
2016-08-18,3340.0,3370.0,3305.05,3329.55,152396.0,
2016-08-19,3330.0,3370.0,3316.5,3350.45,121619.0,
2016-08-22,3350.0,3392.9,3344.25,3369.25,160043.0,
2016-08-23,3368.0,3378.0,3340.0,3361.35,74202.0,
2016-08-24,3369.0,3484.0,3340.0,3432.95,341848.0,
2016-08-25,3447.0,3499.0,3443.15,3464.3,371339.0,
2016-08-26,3484.7,3484.7,3392.05,3437.7,143907.0,
2016-08-29,3406.0,3449.0,3390.0,3406.35,73915.0,
2016-08-30,3410.0,3472.0,3410.0,3443.2,74605.0,
2016-08-31,3442.2,3485.95,3420.0,3460.55,144795.0,
2016-09-01,3466.0,3466.0,3400.2,3409.35,88727.0,
2016-09-02,3401.0,3436.95,3342.0,3354.95,145660.0,
2016-09-06,3375.0,3464.0,3344.35,3457.1,175362.0,
2016-09-07,3402.0,3503.5,3402.0,3488.95,199582.0,
2016-09-08,3467.0,3488.45,3450.0,3472.1,107919.0,
2016-09-09,3500.0,3500.0,3445.0,3455.05,76868.0,
2016-09-12,3400.0,3449.9,3370.0,3427.95,117660.0,
2016-09-14,3427.0,3550.0,3426.85,3539.9,218764.0,
2016-09-15,3549.95,3584.25,3525.0,3531.6,153247.0,
2016-09-16,3540.0,3562.0,3453.4,3475.5,156301.0,
2016-09-19,3475.5,3486.0,3400.0,3411.6,174082.0,
2016-09-20,3416.0,3450.95,3399.0,3410.5,147744.0,
2016-09-21,3411.0,3445.0,3357.2,3398.1,181719.0,
2016-09-22,3419.0,3435.0,3376.05,3400.95,249683.0,
2016-09-23,3428.9,3460.0,3375.8,3421.1,162504.0,
2016-09-26,3445.0,3449.15,3396.85,3417.05,155740.0,
2016-09-27,3422.1,3456.0,3411.85,3431.25,87324.0,
2016-09-28,3429.8,3456.0,3390.9,3404.2,126163.0,
2016-09-29,3430.0,3435.0,3199.7,3285.55,168170.0,
2016-09-30,3280.0,3387.3,3250.05,3364.0,120206.0,
2016-10-03,3397.85,3522.0,3380.0,3485.55,129680.0,
2016-10-04,3484.0,3485.0,3436.25,3475.35,92818.0,
2016-10-05,3480.0,3506.0,3440.5,3460.5,206313.0,
2016-10-06,3489.9,3497.95,3441.8,3467.0,59465.0,
2016-10-07,3467.0,3475.0,3379.85,3386.65,168780.0,
2016-10-10,3390.0,3410.75,3370.6,3376.8,54748.0,
2016-10-13,3369.0,3369.0,3289.0,3325.45,161322.0,
2016-10-14,3354.0,3354.0,3295.0,3330.75,70676.0,
2016-10-17,3335.3,3335.45,3287.65,3306.4,108441.0,
2016-10-18,3306.5,3320.6,3245.0,3264.6,139269.0,
2016-10-19,3283.9,3350.0,3280.0,3316.9,173746.0,
2016-10-20,3317.0,3355.0,3301.0,3313.15,121382.0,
2016-10-21,3335.0,3345.0,3304.5,3310.7,63515.0,
2016-10-24,3270.3,3329.55,3270.3,3307.9,73215.0,
2016-10-25,3308.4,3322.65,3279.95,3295.35,91094.0,
2016-10-26,3290.0,3308.85,3250.7,3265.8,87960.0,
2016-10-27,3250.0,3269.15,3195.0,3212.1,217025.0,
2016-10-28,3234.0,3329.0,3231.75,3311.95,107954.0,
2016-11-01,3315.0,3340.0,3267.95,3330.55,128594.0,
2016-11-02,3278.0,3313.95,3271.0,3302.6,118002.0,
2016-11-03,3302.6,3325.5,3252.05,3301.5,129160.0,
2016-11-04,3300.0,3380.0,3222.0,3302.0,227573.0,
2016-11-07,3329.0,3348.0,3285.0,3302.55,210916.0,
2016-11-08,3278.0,3301.7,3215.55,3235.55,453378.0,
2016-11-09,3100.0,3191.7,2929.0,3124.2,225840.0,
2016-11-10,3215.0,3241.85,3169.25,3204.15,137274.0,
2016-11-11,3189.85,3189.85,3030.5,3079.35,216039.0,
2016-11-15,3064.0,3064.0,2781.2,2929.35,579245.0,
2016-11-16,2950.0,3060.0,2926.35,2991.0,235149.0,
2016-11-17,3020.0,3020.0,2920.0,2935.05,202752.0,
2016-11-18,2921.0,2925.0,2871.05,2902.6,290700.0,
2016-11-21,2905.0,2928.15,2876.1,2894.3,91182.0,
2016-11-22,2906.1,2920.0,2851.95,2906.05,177238.0,
2016-11-23,2939.0,2976.0,2895.0,2967.75,129498.0,
2016-11-24,2958.0,2988.0,2916.0,2942.55,155070.0,
2016-11-25,2969.95,2974.45,2921.05,2962.0,87882.0,
2016-11-28,2959.95,2991.1,2928.15,2970.5,89016.0,
2016-11-29,2987.0,3038.4,2972.0,3005.45,104156.0,
2016-11-30,3010.0,3073.95,2951.2,3032.9,237369.0,
2016-12-01,3036.05,3063.95,2996.0,3003.35,94489.0,
2016-12-02,2994.8,3015.0,2964.85,2976.8,169703.0,
2016-12-05,2980.0,3082.8,2980.0,3066.4,108580.0,
2016-12-06,3069.6,3074.0,2997.1,3004.45,89657.0,
2016-12-07,3018.0,3044.6,2982.0,2994.75,117622.0,
2016-12-08,3013.0,3068.0,3001.0,3038.75,84693.0,
2016-12-09,3041.9,3062.8,3021.1,3025.35,317721.0,
2016-12-12,3025.5,3028.5,2970.1,2977.05,137358.0,
2016-12-13,2997.85,2997.85,2924.95,2938.65,192044.0,
2016-12-14,2940.0,2968.0,2935.0,2941.65,116887.0,
2016-12-15,2932.0,2954.0,2907.5,2920.2,108279.0,
2016-12-16,2923.25,2938.15,2881.9,2895.3,194080.0,
2016-12-19,2900.0,2914.75,2865.5,2899.6,110005.0,
2016-12-20,2902.0,2909.8,2866.0,2872.1,200544.0,
2016-12-21,2872.1,2899.0,2827.8,2847.7,200871.0,
2016-12-22,2840.0,2849.25,2799.85,2810.65,92589.0,
2016-12-23,2810.05,2841.15,2772.85,2831.2,91370.0,
2016-12-26,2829.9,2831.4,2780.0,2807.3,68000.0,
2016-12-27,2810.25,2856.85,2781.55,2826.85,78676.0,
2016-12-28,2830.0,2888.0,2830.0,2839.6,123554.0,
2016-12-29,2835.0,2898.0,2828.9,2883.15,90143.0,
2016-12-30,2905.0,2922.0,2870.0,2886.3,110334.0,
2017-01-02,2901.1,2901.1,2865.15,2886.45,52245.0,
2017-01-03,2887.0,2890.0,2851.2,2872.25,127593.0,
2017-01-04,2890.0,2890.0,2830.45,2852.4,136679.0,
2017-01-05,2862.0,2875.0,2852.6,2865.8,116334.0,
2017-01-06,2865.0,2915.0,2845.8,2894.95,397718.0,
2017-01-09,2920.0,2922.3,2875.55,2897.9,172178.0,
2017-01-10,2899.0,2903.0,2875.95,2880.8,273058.0,
2017-01-11,2885.0,2985.0,2885.0,2970.1,345861.0,
2017-01-12,2984.95,2994.95,2918.4,2947.8,130051.0,
2017-01-13,2969.0,2985.0,2925.0,2940.0,104329.0,
2017-01-16,2935.0,2979.8,2923.0,2965.75,106505.0,
2017-01-17,2968.7,3020.2,2955.1,3013.55,164751.0,
2017-01-18,3018.0,3098.7,3014.9,3091.55,269613.0,
2017-01-19,3091.0,3155.0,3066.75,3107.95,257575.0,
2017-01-20,3117.9,3135.1,3064.1,3078.3,112993.0,
2017-01-23,3065.2,3115.0,3065.2,3093.1,72041.0,
2017-01-24,3096.3,3150.5,3081.65,3148.35,151846.0,
2017-01-25,3125.0,3148.0,3098.0,3134.9,95008.0,
2017-01-27,3134.0,3162.0,3091.0,3102.95,134715.0,
2017-01-30,3128.0,3151.4,3100.2,3145.7,130271.0,
2017-01-31,3150.0,3150.0,3109.0,3130.45,154940.0,
2017-02-01,3133.7,3249.8,3112.75,3234.75,211287.0,
2017-02-02,3240.0,3254.65,3189.7,3231.0,230894.0,
2017-02-03,3223.1,3273.85,3210.0,3230.85,135664.0,
2017-02-06,3230.85,3294.4,3230.85,3285.0,134152.0,
2017-02-07,3290.0,3290.0,3210.0,3230.6,113826.0,
2017-02-08,3230.85,3266.2,3192.05,3233.0,129082.0,
2017-02-09,3228.3,3254.65,3205.3,3225.95,112759.0,
