,Open,High,Low,Close,Volume,DeliveryPct
2019-02-26,107.0,108.0,103.6,107.7,727762.0,
2019-02-27,108.25,108.95,106.5,107.4,764963.0,
2019-02-28,107.95,109.75,107.0,108.7,1215243.0,
2019-03-01,108.9,108.9,107.15,107.45,489876.0,
2019-03-05,107.9,108.0,106.5,107.6,541524.0,
2019-03-06,107.95,117.8,107.35,115.5,2928895.0,
2019-03-07,116.0,117.45,107.75,108.25,1891246.0,
2019-03-08,108.5,108.95,102.6,103.9,1655156.0,
2019-03-11,104.5,106.75,104.0,105.3,704994.0,
2019-03-12,106.05,107.3,104.15,104.75,1407053.0,
2019-03-13,105.0,106.0,101.8,102.35,925991.0,
2019-03-14,102.35,103.8,99.0,100.7,1472566.0,
2019-03-15,101.45,104.65,100.1,100.95,1473906.0,
2019-03-18,101.7,104.0,101.0,102.1,858658.0,
2019-03-19,102.75,102.75,99.5,99.95,1171923.0,
2019-03-20,100.25,101.5,96.3,98.4,2213323.0,
2019-03-22,98.95,99.4,94.55,96.2,1751981.0,
2019-03-25,96.5,96.9,93.8,94.55,1015572.0,
2019-03-26,95.35,97.9,94.25,96.45,859301.0,
2019-03-27,97.0,98.0,95.6,97.05,894936.0,
2019-03-28,97.15,99.9,96.65,98.35,1078195.0,
2019-03-29,98.9,99.45,96.1,98.65,1394549.0,
2019-04-01,99.05,104.45,98.55,102.85,1510359.0,
2019-04-02,103.95,104.3,100.1,101.75,825213.0,
2019-04-03,102.0,102.45,100.1,100.65,487430.0,
2019-04-04,100.1,100.9,99.1,100.15,501702.0,
2019-04-05,101.0,104.25,99.8,103.4,869852.0,
2019-04-08,105.0,105.35,101.15,101.45,705044.0,
2019-04-09,101.5,102.3,100.4,100.95,448207.0,
2019-04-10,100.25,101.5,98.3,99.15,646769.0,
2019-04-11,99.4,99.55,97.05,99.25,752210.0,
2019-04-12,98.5,100.15,98.5,99.4,402943.0,
2019-04-15,100.25,103.65,99.6,101.7,1388152.0,
2019-04-16,102.1,103.45,100.75,102.05,1102271.0,
2019-04-18,101.5,102.95,98.85,100.3,1285176.0,
2019-04-22,100.05,101.45,98.7,100.7,1097476.0,
2019-04-23,100.0,100.8,98.85,99.3,613395.0,
2019-04-24,99.75,101.0,97.0,97.5,933858.0,
