,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,255.65,262.0,253.5,260.05,3947869.0,
2016-08-18,262.3,268.4,260.5,264.65,3759476.0,
2016-08-19,265.0,268.1,261.75,266.3,3807307.0,
2016-08-22,267.0,271.0,264.6,267.4,3705621.0,
2016-08-23,267.55,268.35,261.6,265.45,2953266.0,
2016-08-24,265.95,272.0,265.0,271.05,4100069.0,
2016-08-25,271.1,274.9,269.15,270.55,4271628.0,
2016-08-26,270.1,272.25,267.1,268.35,2468834.0,
2016-08-29,267.9,274.9,267.0,273.6,2686310.0,
2016-08-30,274.45,281.75,273.7,280.6,3787614.0,
2016-08-31,281.0,284.05,279.5,280.55,3466916.0,
2016-09-01,280.0,283.45,275.6,277.45,2780959.0,
2016-09-02,278.8,282.4,277.2,281.55,1912227.0,
2016-09-06,284.0,287.8,283.25,287.25,2433330.0,
2016-09-07,288.0,314.5,286.5,306.7,11999403.0,
2016-09-08,308.0,315.75,305.05,309.85,5144950.0,
2016-09-09,310.4,316.9,306.5,311.2,5448412.0,
2016-09-12,301.5,307.7,295.5,297.0,5016455.0,
2016-09-14,298.0,312.4,297.4,311.4,5650680.0,
2016-09-15,311.65,313.75,302.7,304.5,4995883.0,
2016-09-16,308.65,312.45,298.1,300.1,7444504.0,
2016-09-19,303.45,305.55,300.9,303.15,2710325.0,
2016-09-20,307.0,307.9,303.0,304.05,3516765.0,
2016-09-21,304.9,306.0,300.7,302.0,2269578.0,
2016-09-22,308.2,311.4,303.4,308.1,3426057.0,
2016-09-23,309.0,309.0,301.6,302.55,2591852.0,
2016-09-26,300.5,306.2,298.05,304.35,4719920.0,
2016-09-27,305.2,306.8,300.85,302.75,2823671.0,
2016-09-28,302.7,313.9,302.5,312.4,5144251.0,
2016-09-29,315.0,318.85,292.0,297.4,7256913.0,
2016-09-30,296.0,309.65,295.5,308.35,5574632.0,
2016-10-03,312.0,321.95,310.25,319.3,3661931.0,
2016-10-04,321.5,332.8,316.7,330.75,7895322.0,
2016-10-05,334.2,338.9,331.0,335.05,5477094.0,
2016-10-06,335.5,337.15,327.5,329.95,3622321.0,
2016-10-07,328.2,331.45,324.25,328.6,3284801.0,
2016-10-10,330.5,331.7,323.6,324.8,2349182.0,
2016-10-13,319.9,321.4,305.85,310.3,4099951.0,
2016-10-14,313.0,315.35,309.15,313.05,2654107.0,
2016-10-17,315.0,316.95,302.15,304.8,3910808.0,
2016-10-18,308.1,315.4,305.2,314.4,3481253.0,
2016-10-19,316.35,316.35,311.1,314.1,2343624.0,
2016-10-20,315.2,325.2,315.1,322.05,3856328.0,
2016-10-21,322.6,322.6,315.6,319.4,2326470.0,
2016-10-24,319.9,328.9,319.0,325.5,3055144.0,
2016-10-25,325.5,326.95,321.7,323.5,1997133.0,
2016-10-26,319.5,329.0,311.6,314.25,7665910.0,
2016-10-27,309.0,318.2,308.4,315.0,4455839.0,
2016-10-28,317.5,319.4,312.2,313.75,2822956.0,
2016-11-01,314.55,315.9,311.05,311.65,1790925.0,
2016-11-02,304.65,305.95,292.8,294.0,3731121.0,
2016-11-03,294.2,299.4,292.05,295.7,3308573.0,
2016-11-04,294.2,297.75,286.5,289.8,3326037.0,
2016-11-07,297.0,302.55,294.25,299.05,2939219.0,
2016-11-08,300.8,301.8,295.1,296.65,2193536.0,
2016-11-09,267.0,306.8,252.2,300.4,7006892.0,
2016-11-10,310.0,326.9,307.0,320.95,7986456.0,
2016-11-11,316.0,331.15,310.05,311.9,6834299.0,
2016-11-15,315.0,322.25,308.5,316.05,5981901.0,
2016-11-16,322.0,323.8,313.3,319.85,3582324.0,
2016-11-17,321.0,327.9,320.1,324.2,3860858.0,
2016-11-18,326.0,329.8,323.7,326.3,3280381.0,
2016-11-21,329.7,329.7,305.3,307.1,5029884.0,
2016-11-22,311.75,312.9,295.5,302.65,4935762.0,
2016-11-23,305.5,308.25,301.1,304.75,2751218.0,
2016-11-24,303.9,308.45,301.0,305.95,3436794.0,
2016-11-25,308.8,314.8,307.05,310.5,3172620.0,
2016-11-28,303.5,311.9,301.45,309.35,2753417.0,
2016-11-29,310.8,317.5,309.35,310.6,2913967.0,
2016-11-30,312.4,319.55,310.5,318.4,2759065.0,
2016-12-01,321.1,322.0,312.6,314.65,2920789.0,
2016-12-02,312.9,315.55,306.35,308.5,4120862.0,
2016-12-05,308.0,312.95,307.15,311.6,2204853.0,
2016-12-06,316.3,316.8,312.2,313.3,2746424.0,
2016-12-07,315.9,316.9,304.25,308.35,3119210.0,
2016-12-08,311.1,313.45,309.5,311.25,1949195.0,
2016-12-09,313.0,316.85,309.95,315.6,2736668.0,
2016-12-12,314.4,315.0,305.6,306.55,2350881.0,
2016-12-13,306.9,309.0,302.1,304.85,2160539.0,
2016-12-14,305.95,306.6,300.1,301.45,2002907.0,
2016-12-15,298.65,307.0,296.05,304.85,2841555.0,
2016-12-16,304.85,305.5,299.1,300.2,1686012.0,
2016-12-19,300.0,300.7,296.4,297.6,1380947.0,
2016-12-20,297.7,300.5,290.0,291.6,2398706.0,
2016-12-21,290.35,293.0,286.35,288.8,2689715.0,
2016-12-22,288.0,288.0,280.65,282.95,3153873.0,
2016-12-23,282.9,284.5,278.3,279.7,2656154.0,
2016-12-26,277.9,277.9,262.2,263.7,2594485.0,
2016-12-27,264.9,269.9,261.2,267.55,2419979.0,
2016-12-28,267.55,271.0,263.0,263.85,2804936.0,
2016-12-29,262.9,264.0,258.7,260.6,3094055.0,
2016-12-30,261.9,267.4,259.75,262.9,2478619.0,
2017-01-02,265.8,265.85,257.2,262.45,3481735.0,
2017-01-03,261.7,266.85,258.4,264.8,3356890.0,
2017-01-04,265.7,267.8,261.45,263.9,2358045.0,
2017-01-05,265.65,268.8,265.5,266.35,2034127.0,
2017-01-06,266.65,274.0,266.65,270.35,4113249.0,
2017-01-09,271.3,272.55,268.4,270.0,1785354.0,
2017-01-10,270.45,272.3,267.1,268.7,1761539.0,
2017-01-11,271.0,279.9,270.4,276.3,4027101.0,
2017-01-12,277.0,279.0,273.0,275.15,2489029.0,
2017-01-13,276.0,278.35,272.6,276.1,2286153.0,
