,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,1439.95,1441.6,1415.05,1434.65,37982.0,
2016-08-18,1434.05,1445.0,1425.0,1437.25,19583.0,
2016-08-19,1434.7,1438.95,1418.0,1423.9,19620.0,
2016-08-22,1423.0,1445.6,1405.1,1432.95,18024.0,
2016-08-23,1438.95,1499.6,1422.0,1440.35,76991.0,
2016-08-24,1442.0,1490.0,1442.0,1464.75,74734.0,
2016-08-25,1474.95,1499.0,1465.6,1485.5,37410.0,
2016-08-26,1477.0,1509.0,1466.05,1476.25,54642.0,
2016-08-29,1480.0,1499.5,1462.0,1496.85,25445.0,
2016-08-30,1505.0,1505.0,1480.0,1496.85,32872.0,
2016-08-31,1499.65,1501.0,1487.0,1491.35,26159.0,
2016-09-01,1504.95,1516.0,1498.0,1508.8,40705.0,
2016-09-02,1519.75,1545.0,1510.0,1536.25,49425.0,
2016-09-06,1540.0,1788.0,1532.8,1664.6,262921.0,
2016-09-07,1678.0,1682.3,1615.05,1646.95,95306.0,
2016-09-08,1658.0,1700.0,1646.0,1666.65,79046.0,
2016-09-09,1673.0,1697.0,1645.0,1658.15,36108.0,
2016-09-12,1612.25,1675.0,1591.7,1659.25,34680.0,
2016-09-14,1660.0,1669.9,1635.0,1660.75,29136.0,
2016-09-15,1689.0,1689.0,1651.05,1658.85,31389.0,
2016-09-16,1658.0,1700.0,1658.0,1670.25,53720.0,
2016-09-19,1684.8,1700.0,1637.1,1651.1,41093.0,
2016-09-20,1653.1,1674.0,1625.0,1632.6,41787.0,
2016-09-21,1633.85,1652.0,1628.05,1639.25,27382.0,
2016-09-22,1650.0,1680.0,1647.1,1660.7,42362.0,
2016-09-23,1660.0,1677.0,1654.0,1665.7,32410.0,
2016-09-26,1665.0,1665.0,1625.3,1649.1,21230.0,
2016-09-27,1649.0,1650.0,1622.0,1641.6,23517.0,
2016-09-28,1639.0,1651.0,1631.6,1648.2,20115.0,
2016-09-29,1650.55,1697.9,1600.0,1629.5,53883.0,
2016-09-30,1612.15,1655.4,1600.0,1625.2,51347.0,
2016-10-03,1650.0,1696.0,1640.05,1682.25,43510.0,
2016-10-04,1703.0,1734.95,1694.0,1725.15,74952.0,
2016-10-05,1735.0,1755.0,1708.05,1725.85,36867.0,
2016-10-06,1725.05,1749.95,1710.0,1734.7,22311.0,
2016-10-07,1753.85,1753.85,1725.0,1743.9,17074.0,
2016-10-10,1750.5,1760.0,1730.0,1752.4,19751.0,
2016-10-13,1748.9,1770.0,1705.0,1749.55,21305.0,
2016-10-14,1760.0,1863.7,1743.0,1829.55,100739.0,
2016-10-17,1839.9,1878.0,1830.0,1845.65,84105.0,
2016-10-18,1850.0,1889.85,1764.0,1831.55,440947.0,
2016-10-19,1848.9,1850.7,1805.55,1824.75,104264.0,
2016-10-20,1837.95,1843.9,1815.0,1838.35,52689.0,
2016-10-21,1837.9,1837.9,1811.05,1829.9,25866.0,
2016-10-24,1831.0,1850.0,1815.0,1847.55,41369.0,
2016-10-25,1847.85,1850.0,1826.1,1846.4,32589.0,
2016-10-26,1843.0,1843.0,1815.0,1823.25,37831.0,
2016-10-27,1820.0,1835.0,1774.05,1797.15,44386.0,
2016-10-28,1800.0,1837.0,1787.2,1828.95,41460.0,
2016-11-01,1870.0,1871.0,1849.4,1862.1,43010.0,
2016-11-02,1844.9,1852.9,1827.0,1836.5,23637.0,
2016-11-03,1834.9,1860.0,1800.0,1813.85,36951.0,
2016-11-04,1819.9,1820.0,1712.15,1737.0,44416.0,
2016-11-07,1782.95,1782.95,1706.0,1723.9,46874.0,
2016-11-08,1730.05,1742.0,1696.0,1711.1,35277.0,
2016-11-09,1600.0,1699.9,1411.25,1676.1,70942.0,
2016-11-10,1718.5,1725.0,1674.6,1699.05,36103.0,
2016-11-11,1675.0,1694.95,1525.0,1574.85,98332.0,
2016-11-15,1536.0,1536.0,1259.9,1259.9,348473.0,
2016-11-16,1261.0,1460.05,1260.0,1388.45,709076.0,
2016-11-17,1388.0,1460.0,1342.6,1371.6,129526.0,
2016-11-18,1375.9,1539.0,1370.0,1503.7,175085.0,
2016-11-21,1500.0,1587.75,1473.0,1523.25,235153.0,
2016-11-22,1519.4,1569.9,1476.6,1532.45,126667.0,
2016-11-23,1549.0,1560.0,1479.25,1517.7,80759.0,
2016-11-24,1499.0,1535.0,1470.45,1510.7,73458.0,
2016-11-25,1514.2,1535.0,1514.2,1525.1,32755.0,
2016-11-28,1526.75,1539.85,1512.05,1527.65,26139.0,
2016-11-29,1528.0,1745.0,1528.0,1658.7,325438.0,
2016-11-30,1679.0,1729.0,1651.6,1692.75,115886.0,
2016-12-01,1710.0,1716.05,1625.0,1693.8,46582.0,
2016-12-02,1670.0,1691.95,1627.9,1634.75,35786.0,
2016-12-05,1659.95,1659.95,1621.2,1642.55,21434.0,
2016-12-06,1669.0,1719.8,1655.65,1669.9,74411.0,
2016-12-07,1688.1,1699.0,1649.0,1665.35,33188.0,
2016-12-08,1671.0,1694.95,1669.95,1684.7,17982.0,
2016-12-09,1686.5,1699.9,1675.0,1693.85,16125.0,
2016-12-12,1672.05,1695.0,1636.0,1644.95,13857.0,
2016-12-13,1641.0,1644.9,1604.05,1611.9,12717.0,
2016-12-14,1595.0,1630.05,1580.0,1591.95,14043.0,
2016-12-15,1579.95,1674.8,1550.05,1652.3,62954.0,
2016-12-16,1662.0,1698.0,1641.1,1690.6,59038.0,
2016-12-19,1697.0,1718.0,1652.0,1697.85,46939.0,
2016-12-20,1685.0,1709.9,1660.0,1672.15,39437.0,
2016-12-21,1695.0,1695.0,1635.0,1644.1,13541.0,
2016-12-22,1650.05,1650.05,1572.25,1621.05,29175.0,
2016-12-23,1604.65,1634.95,1570.0,1589.6,26664.0,
2016-12-26,1610.0,1610.0,1412.2,1447.05,96976.0,
2016-12-27,1449.0,1523.9,1388.0,1460.1,86402.0,
2016-12-28,1483.85,1518.0,1470.0,1490.55,69686.0,
2016-12-29,1489.0,1509.0,1462.1,1476.0,29940.0,
2016-12-30,1481.0,1595.0,1481.0,1581.15,110138.0,
2017-01-02,1605.5,1740.0,1605.5,1650.5,191205.0,
2017-01-03,1653.65,1695.0,1650.65,1657.85,93352.0,
2017-01-04,1666.05,1680.0,1656.85,1669.45,44645.0,
2017-01-05,1672.1,1696.25,1672.1,1689.2,31949.0,
2017-01-06,1694.0,1748.3,1690.05,1712.5,74850.0,
2017-01-09,1726.0,1750.0,1705.6,1723.9,62329.0,
2017-01-10,1730.0,1730.0,1691.95,1696.65,33021.0,
2017-01-11,1704.95,1712.7,1691.0,1697.2,22917.0,
2017-01-12,1701.0,1727.0,1692.65,1697.95,24358.0,
2017-01-13,1699.75,1719.5,1651.0,1678.9,27681.0,
2017-01-16,1688.95,1748.0,1675.0,1734.95,78257.0,
2017-01-17,1750.0,1785.0,1705.3,1715.8,283337.0,
2017-01-18,1738.9,1755.0,1705.0,1713.2,79314.0,
2017-01-19,1700.0,1714.8,1685.0,1689.55,35136.0,
2017-01-20,1693.0,1708.0,1676.0,1688.1,29395.0,
2017-01-23,1675.0,1733.95,1675.0,1708.5,34886.0,
2017-01-24,1710.35,1733.0,1700.0,1730.45,28216.0,
2017-01-25,1737.85,1748.0,1702.6,1736.4,57300.0,
2017-01-27,1734.95,1771.0,1725.0,1763.45,59054.0,
2017-01-30,1765.0,1845.0,1751.2,1830.9,103472.0,
2017-01-31,1831.0,1887.0,1831.0,1860.3,131198.0,
2017-02-01,1864.85,1925.0,1861.0,1900.2,261343.0,
2017-02-02,1900.0,2025.0,1897.05,1997.9,251922.0,
2017-02-03,1989.15,2015.0,1985.25,2001.4,86843.0,
2017-02-06,2002.0,2050.0,1995.05,2044.9,71225.0,
2017-02-07,2024.1,2080.0,2015.0,2041.8,195000.0,
2017-02-08,2040.0,2056.95,2001.0,2009.65,81913.0,
2017-02-09,2010.0,2019.9,1975.0,1991.85,51310.0,
2017-02-10,1985.1,1999.95,1975.0,1979.1,28107.0,
2017-02-13,1984.0,1984.95,1915.0,1923.6,30914.0,
2017-02-14,1934.8,1948.9,1900.0,1915.35,38749.0,
2017-02-15,1917.95,2030.0,1907.0,1992.7,172399.0,
2017-02-16,2003.9,2025.0,1999.0,2013.1,82616.0,
