,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,269.95,269.95,265.0,266.35,115450.0,
2016-08-18,266.15,268.45,265.0,266.4,160555.0,
2016-08-19,267.8,284.8,265.05,281.05,485813.0,
2016-08-22,282.55,283.7,273.5,275.2,104913.0,
2016-08-23,275.1,278.3,270.1,272.35,86932.0,
2016-08-24,273.8,278.95,271.75,276.35,101128.0,
2016-08-25,276.95,283.95,274.15,275.6,150140.0,
2016-08-26,274.2,278.4,271.5,272.9,47307.0,
2016-08-29,272.9,274.0,268.4,269.8,53953.0,
2016-08-30,271.45,272.95,270.1,270.95,97252.0,
2016-08-31,271.0,281.2,271.0,274.15,179462.0,
2016-09-01,272.3,275.8,270.25,271.45,69068.0,
2016-09-02,270.05,275.6,270.05,272.05,35425.0,
2016-09-06,272.0,283.0,272.0,275.65,167542.0,
2016-09-07,277.5,284.7,273.05,276.95,278367.0,
2016-09-08,274.3,279.4,274.25,278.0,85987.0,
2016-09-09,277.5,278.5,268.0,270.5,116797.0,
2016-09-12,266.8,269.45,262.2,264.25,79984.0,
2016-09-14,265.9,273.0,263.95,270.2,60991.0,
2016-09-15,270.95,271.7,265.0,267.4,47292.0,
2016-09-16,267.95,272.0,265.4,266.6,75109.0,
2016-09-19,265.5,278.0,265.5,273.65,220347.0,
2016-09-20,274.6,274.9,268.1,270.95,73486.0,
2016-09-21,272.9,275.6,269.15,269.85,49791.0,
2016-09-22,273.95,276.4,270.5,274.8,209665.0,
2016-09-23,275.0,282.9,273.0,276.2,245115.0,
2016-09-26,277.1,277.5,271.5,272.9,57827.0,
2016-09-27,273.25,276.0,268.0,269.5,98970.0,
2016-09-28,269.2,276.4,268.0,274.0,83380.0,
2016-09-29,275.9,279.5,256.6,263.7,177704.0,
2016-09-30,263.55,273.8,261.0,272.2,86009.0,
2016-10-03,271.0,278.3,270.3,276.5,68788.0,
2016-10-04,277.0,303.15,274.1,293.2,729107.0,
2016-10-05,295.45,299.45,285.4,288.75,279705.0,
2016-10-06,291.0,307.3,289.15,297.25,368273.0,
2016-10-07,299.0,299.7,290.45,293.45,119542.0,
2016-10-10,296.7,302.4,295.15,299.75,167629.0,
2016-10-13,298.0,298.5,277.45,282.9,258662.0,
2016-10-14,285.0,289.5,283.0,286.85,97022.0,
2016-10-17,287.9,290.7,279.1,281.35,88127.0,
2016-10-18,284.35,287.0,279.0,280.25,122660.0,
2016-10-19,282.0,285.0,279.25,283.2,200856.0,
2016-10-20,281.0,286.45,281.0,284.15,141576.0,
2016-10-21,284.0,285.0,279.0,282.35,103065.0,
2016-10-24,283.95,292.45,282.65,289.1,114904.0,
2016-10-25,289.95,290.5,282.0,283.9,82158.0,
2016-10-26,283.75,286.4,281.1,281.45,33942.0,
2016-10-27,281.95,286.5,278.15,284.6,177222.0,
2016-10-28,285.65,294.0,280.05,281.85,489469.0,
2016-11-01,287.6,287.6,278.0,280.05,241976.0,
2016-11-02,276.0,276.95,270.55,271.2,159215.0,
2016-11-03,271.0,275.0,265.3,266.0,113538.0,
2016-11-04,266.0,269.15,264.8,266.4,133892.0,
2016-11-07,271.8,272.8,261.0,271.25,119981.0,
2016-11-08,274.0,274.0,264.55,266.05,74704.0,
2016-11-09,249.8,264.8,233.0,262.65,132672.0,
2016-11-10,267.0,272.05,263.1,264.65,89699.0,
2016-11-11,260.0,264.45,255.0,258.25,48623.0,
2016-11-15,259.0,260.95,242.0,251.35,128909.0,
2016-11-16,258.0,258.0,245.65,250.65,113363.0,
2016-11-17,255.45,262.8,249.0,254.35,277640.0,
2016-11-18,256.0,258.15,254.15,255.35,42921.0,
2016-11-21,258.0,258.0,244.25,250.1,228016.0,
2016-11-22,250.1,253.5,244.0,251.6,92561.0,
2016-11-23,252.05,260.9,248.6,258.95,92882.0,
2016-11-24,255.0,261.0,253.75,260.15,63968.0,
2016-11-25,260.0,266.95,257.15,264.45,226428.0,
2016-11-28,260.0,267.3,255.0,256.65,111160.0,
2016-11-29,254.0,261.2,254.0,260.0,126489.0,
2016-11-30,260.0,276.25,258.9,266.75,479875.0,
2016-12-01,273.0,273.0,260.75,263.4,69575.0,
2016-12-02,263.0,267.0,256.0,256.65,35590.0,
2016-12-05,255.0,259.85,255.0,258.25,13945.0,
2016-12-06,255.2,260.9,255.2,258.6,208529.0,
2016-12-07,258.0,262.65,256.0,257.15,39750.0,
2016-12-08,259.0,263.7,259.0,260.75,54243.0,
2016-12-09,261.55,264.45,255.2,257.25,43552.0,
2016-12-12,257.05,259.5,251.05,254.65,59044.0,
2016-12-13,254.05,259.3,252.4,257.35,62570.0,
2016-12-14,258.0,259.65,248.25,249.0,110572.0,
2016-12-15,249.0,252.0,239.4,240.85,154448.0,
2016-12-16,242.9,248.65,241.3,246.15,84414.0,
2016-12-19,248.55,248.55,242.5,245.05,33874.0,
2016-12-20,244.0,244.95,236.3,239.85,49763.0,
2016-12-21,240.65,244.7,240.25,242.3,19063.0,
2016-12-22,241.95,241.95,238.1,239.35,21041.0,
2016-12-23,241.45,246.1,239.15,240.85,33120.0,
2016-12-26,243.15,243.9,237.0,240.75,31631.0,
2016-12-27,240.15,246.0,240.0,245.45,30102.0,
2016-12-28,245.55,246.8,241.1,243.05,23335.0,
2016-12-29,242.05,246.0,242.0,243.3,14448.0,
2016-12-30,243.15,250.9,242.2,247.65,389877.0,
2017-01-02,246.0,251.9,246.0,250.35,9636.0,
2017-01-03,249.05,257.6,248.95,253.8,50781.0,
2017-01-04,254.0,256.25,250.1,250.75,22008.0,
2017-01-05,252.45,257.6,252.35,254.75,49558.0,
2017-01-06,257.75,258.0,251.2,253.55,31950.0,
2017-01-09,255.0,258.0,253.9,256.9,23773.0,
2017-01-10,257.95,260.1,253.0,254.55,48675.0,
2017-01-11,257.6,266.5,254.6,264.55,383058.0,
2017-01-12,265.0,266.5,256.2,258.5,296908.0,
2017-01-13,260.95,261.6,252.55,255.65,587027.0,
2017-01-16,256.05,260.0,253.0,255.85,58035.0,
2017-01-17,255.35,257.25,250.25,252.45,96849.0,
2017-01-18,254.0,256.5,249.15,254.1,943504.0,
2017-01-19,253.0,254.4,249.6,250.4,415759.0,
2017-01-20,250.75,253.4,248.0,248.45,626142.0,
2017-01-23,249.9,250.8,246.1,248.95,648565.0,
2017-01-24,250.0,250.6,247.15,249.3,98226.0,
2017-01-25,248.3,257.0,247.55,254.0,305192.0,
2017-01-27,255.5,258.7,252.3,256.2,273402.0,
2017-01-30,255.0,258.45,251.55,256.75,182278.0,
2017-01-31,258.7,258.7,253.05,254.95,114492.0,
2017-02-01,254.0,263.2,251.4,261.4,187452.0,
2017-02-02,260.2,267.4,259.0,261.45,311688.0,
2017-02-03,262.0,263.0,254.55,257.55,113727.0,
2017-02-06,263.9,266.0,257.0,261.8,227171.0,
2017-02-07,262.05,263.55,258.1,260.35,86922.0,
2017-02-08,260.5,266.8,260.5,263.6,214562.0,
2017-02-09,265.0,273.0,262.15,268.15,248890.0,
2017-02-10,271.3,273.0,262.8,263.7,130035.0,
2017-02-13,265.7,265.8,258.0,259.95,102448.0,
2017-02-14,258.05,264.0,257.1,262.15,62907.0,
2017-02-15,263.95,263.95,254.2,257.05,99047.0,
2017-02-16,256.0,263.95,255.05,262.05,64150.0,
2017-02-17,261.8,264.2,259.5,261.85,44607.0,
2017-02-20,262.05,263.8,259.2,261.5,61917.0,
2017-02-21,261.05,263.7,260.0,260.55,53669.0,
2017-02-22,260.05,262.9,257.4,258.55,53588.0,
2017-02-23,259.05,261.6,255.0,257.75,53356.0,
2017-02-27,260.9,260.95,253.55,255.95,33385.0,
2017-02-28,259.75,259.75,254.05,255.75,105174.0,
2017-03-01,257.95,267.0,257.3,261.85,206940.0,
2017-03-02,263.05,265.2,263.0,263.5,132286.0,
2017-03-03,264.15,265.4,262.5,263.85,37574.0,
2017-03-06,263.95,264.45,258.1,261.5,154221.0,
2017-03-07,262.45,262.95,258.0,259.25,35096.0,
2017-03-08,260.85,260.85,256.0,256.45,45865.0,
2017-03-09,255.15,258.9,255.15,257.15,28727.0,
2017-03-10,256.45,258.0,255.0,255.5,33638.0,
2017-03-14,258.2,259.95,252.0,254.1,132798.0,
2017-03-15,254.05,273.0,252.5,269.8,648986.0,
2017-03-16,270.1,276.0,268.4,270.9,401940.0,
2017-03-17,268.85,271.8,265.0,266.35,170339.0,
2017-03-20,268.9,272.0,264.4,269.9,64815.0,
2017-03-21,270.0,271.5,266.55,268.05,95473.0,
2017-03-22,268.7,274.6,267.0,270.45,108967.0,
2017-03-23,269.65,274.0,267.4,269.3,109767.0,
2017-03-24,272.9,286.25,268.0,280.2,597116.0,
2017-03-27,281.9,286.0,279.0,285.2,404155.0,
2017-03-28,284.85,289.8,283.0,284.65,128948.0,
2017-03-29,286.35,289.45,280.5,288.25,213933.0,
2017-03-30,286.15,289.35,285.0,286.55,54668.0,
2017-03-31,288.9,295.0,285.35,290.5,179918.0,
2017-04-03,289.95,295.3,288.6,291.05,93869.0,
2017-04-05,293.15,306.0,292.0,299.45,418643.0,
2017-04-06,298.9,302.8,292.35,301.35,184845.0,
2017-04-07,298.3,303.0,296.05,298.65,93815.0,
2017-04-10,297.35,303.0,297.35,300.15,69451.0,
2017-04-11,300.0,301.45,297.05,299.55,101976.0,
2017-04-12,299.05,301.0,290.0,300.2,137646.0,
2017-04-13,300.8,301.0,293.1,294.95,64071.0,
2017-04-17,291.3,300.0,291.3,296.3,89294.0,
2017-04-18,297.7,300.0,290.55,292.0,112969.0,
2017-04-19,294.0,295.7,290.0,292.4,68735.0,
2017-04-20,293.9,297.25,292.0,293.9,48243.0,
2017-04-21,296.2,300.0,292.2,293.95,68346.0,
2017-04-24,295.25,297.0,294.0,294.6,120678.0,
2017-04-25,297.5,297.5,292.3,293.0,92110.0,
2017-04-26,295.15,296.45,288.4,290.65,40022.0,
2017-04-27,290.3,294.7,289.0,291.65,31814.0,
2017-04-28,292.1,294.8,290.65,292.7,46361.0,
2017-05-02,294.95,294.95,289.4,291.85,39065.0,
2017-05-03,291.65,294.5,290.5,293.1,49032.0,
2017-05-04,292.55,300.0,290.45,297.2,149220.0,
2017-05-05,301.0,301.0,288.1,292.1,75253.0,
2017-05-08,293.25,298.45,291.0,291.8,104195.0,
2017-05-09,294.6,298.9,292.4,297.6,125904.0,
2017-05-10,300.0,303.1,294.55,296.0,136344.0,
2017-05-11,297.0,300.05,292.15,296.15,75159.0,
2017-05-12,297.0,297.5,294.0,295.0,120440.0,
2017-05-15,295.0,312.5,294.9,309.25,686961.0,
2017-05-16,312.6,316.0,310.0,311.9,226567.0,
2017-05-17,314.4,317.0,310.3,311.5,160986.0,
2017-05-18,308.7,310.8,298.65,303.25,92505.0,
2017-05-19,305.8,307.95,295.85,297.6,67236.0,
2017-05-22,298.0,299.15,294.0,295.5,64212.0,
2017-05-23,296.95,296.95,285.0,293.95,663819.0,
2017-05-24,295.0,295.0,288.0,288.6,132102.0,
2017-05-25,290.9,294.0,285.65,289.9,81376.0,
2017-05-26,290.9,301.55,290.05,296.55,76312.0,
2017-05-29,299.1,299.1,291.05,294.05,46653.0,
2017-05-30,296.9,304.0,291.05,300.7,127647.0,
2017-05-31,300.3,303.7,299.7,300.6,104236.0,
2017-06-01,301.05,307.8,297.0,298.45,111660.0,
2017-06-02,300.0,300.0,294.0,297.65,51645.0,
2017-06-05,299.55,299.8,295.0,297.95,21141.0,
2017-06-06,299.95,300.0,294.95,296.4,40839.0,
2017-06-07,296.4,298.5,294.1,295.65,123580.0,
2017-06-08,294.05,296.85,292.6,292.95,35450.0,
2017-06-09,294.45,303.5,292.0,301.85,153538.0,
2017-06-12,299.8,314.0,299.75,311.7,294696.0,
2017-06-13,314.65,331.9,313.05,320.95,369241.0,
2017-06-14,322.8,336.0,318.25,333.2,393796.0,
2017-06-15,333.0,339.5,330.0,336.95,164932.0,
2017-06-16,335.9,340.0,331.0,336.2,113674.0,
2017-06-19,338.6,339.9,330.55,332.15,50912.0,
2017-06-20,332.15,336.0,328.7,330.1,184496.0,
2017-06-21,330.1,333.45,328.0,331.45,97544.0,
2017-06-22,332.2,337.65,328.6,330.05,80878.0,
2017-06-23,330.0,337.15,323.35,331.4,173327.0,
2017-06-27,335.0,335.5,324.0,325.3,70001.0,
2017-06-28,323.6,331.0,321.3,322.85,56194.0,
2017-06-29,332.45,332.45,319.55,322.1,117847.0,
2017-06-30,325.5,326.0,318.0,325.25,68242.0,
2017-07-03,324.95,334.5,324.1,330.65,97091.0,
2017-07-04,330.6,333.25,325.45,331.15,41242.0,
2017-07-05,331.85,334.7,329.0,329.7,87467.0,
2017-07-06,330.05,338.0,330.0,334.15,116751.0,
2017-07-07,330.05,351.0,330.05,342.65,131325.0,
2017-07-10,344.8,345.0,338.85,340.25,20003.0,
2017-07-11,342.7,342.7,335.15,337.5,44136.0,
2017-07-12,338.0,345.8,336.75,341.1,45528.0,
2017-07-13,342.05,357.95,340.0,344.45,147229.0,
2017-07-14,343.4,353.7,342.3,349.35,122002.0,
2017-07-17,350.05,357.0,342.35,347.3,149023.0,
