,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,414.8,417.7,411.1,412.35,591243.0,
2016-08-18,414.0,417.25,403.0,405.1,1385413.0,
2016-08-19,399.0,410.85,396.4,406.1,1835131.0,
2016-08-22,405.0,424.8,404.95,416.9,2363515.0,
2016-08-23,414.0,419.7,411.0,416.8,1266981.0,
2016-08-24,404.2,428.5,404.2,425.65,5264235.0,
2016-08-25,428.4,435.65,423.85,425.75,2665356.0,
2016-08-26,427.4,436.55,421.55,426.55,1306358.0,
2016-08-29,429.4,430.0,424.2,425.75,424735.0,
2016-08-30,427.45,430.0,426.0,426.7,514824.0,
2016-08-31,427.35,451.3,427.35,447.05,2390989.0,
2016-09-01,448.0,474.4,448.0,463.5,3064010.0,
2016-09-02,465.95,470.7,457.2,459.95,1039435.0,
2016-09-06,462.9,474.9,462.9,473.15,1001916.0,
2016-09-07,473.5,473.5,466.55,467.4,860613.0,
2016-09-08,469.0,471.5,463.5,469.65,761732.0,
2016-09-09,471.5,478.65,464.0,471.2,1130346.0,
2016-09-12,470.95,472.5,456.15,464.5,1468844.0,
2016-09-14,463.7,464.2,440.05,444.65,1109962.0,
2016-09-15,442.0,447.65,436.6,439.7,587552.0,
2016-09-16,446.0,448.15,438.0,442.2,713784.0,
2016-09-19,442.0,442.0,420.05,422.55,2772745.0,
2016-09-20,433.45,485.9,433.45,462.45,20565446.0,
2016-09-21,463.4,464.9,454.9,458.3,3244232.0,
2016-09-22,465.0,476.0,459.25,470.45,2835107.0,
2016-09-23,470.5,478.1,466.0,472.1,1642500.0,
2016-09-26,471.0,483.95,465.1,466.9,2431197.0,
2016-09-27,469.9,478.8,468.05,471.25,1471186.0,
2016-09-28,474.0,479.5,472.25,474.15,1594402.0,
2016-09-29,475.0,479.7,453.85,456.25,4824398.0,
2016-09-30,460.0,476.6,456.25,474.95,1822408.0,
2016-10-03,478.7,490.35,477.1,486.75,2430282.0,
2016-10-04,489.4,489.4,481.2,484.95,918072.0,
2016-10-05,486.95,495.3,482.8,486.3,1625933.0,
2016-10-06,486.9,490.75,470.0,474.0,1041228.0,
2016-10-07,481.0,485.9,473.2,481.65,1275620.0,
2016-10-10,482.05,484.65,472.55,474.55,655186.0,
2016-10-13,475.0,475.9,463.0,466.15,1238460.0,
2016-10-14,467.05,471.75,463.5,467.6,653424.0,
2016-10-17,469.85,469.85,460.85,462.55,540450.0,
2016-10-18,466.0,475.9,464.1,473.45,641348.0,
2016-10-19,474.0,474.65,468.55,469.45,575760.0,
2016-10-20,470.9,478.0,470.05,472.3,1032841.0,
2016-10-21,472.9,473.7,463.8,467.35,460239.0,
2016-10-24,467.2,473.0,466.2,467.4,878196.0,
2016-10-25,469.5,471.0,465.45,468.35,406933.0,
2016-10-26,469.0,472.6,464.95,470.0,535472.0,
2016-10-27,470.2,471.65,456.0,457.65,1890616.0,
2016-10-28,447.05,463.0,443.25,458.4,2276370.0,
2016-11-01,458.0,460.85,450.05,452.15,477534.0,
2016-11-02,449.8,449.8,432.5,434.8,1264623.0,
2016-11-03,435.9,441.0,431.5,433.5,446224.0,
2016-11-04,433.9,436.8,420.55,430.0,1623370.0,
2016-11-07,433.0,439.85,431.5,434.35,868772.0,
2016-11-08,436.6,438.85,430.0,434.4,375866.0,
2016-11-09,419.35,438.0,391.55,434.65,1560461.0,
2016-11-10,438.95,445.75,431.0,432.7,1077310.0,
2016-11-11,429.7,430.55,417.0,419.7,752294.0,
2016-11-15,420.0,421.05,393.2,405.55,1756723.0,
2016-11-16,409.0,409.5,395.0,398.3,1560730.0,
2016-11-17,397.8,404.35,392.4,401.05,539179.0,
2016-11-18,398.35,401.55,388.2,391.0,1254185.0,
2016-11-21,392.55,394.9,382.05,385.6,843406.0,
2016-11-22,388.0,392.35,383.1,386.3,865312.0,
2016-11-23,389.85,395.0,386.65,393.25,393853.0,
2016-11-24,393.0,393.2,382.4,384.7,1486426.0,
2016-11-25,387.5,400.55,385.2,397.75,1291449.0,
2016-11-28,397.3,399.3,393.35,395.4,1178126.0,
2016-11-29,396.0,405.75,394.55,401.85,1292994.0,
2016-11-30,404.85,411.1,402.1,407.65,1565882.0,
2016-12-01,407.0,408.3,396.35,397.7,479673.0,
2016-12-02,396.25,396.8,390.3,393.3,368966.0,
2016-12-05,393.4,400.95,391.3,397.9,619358.0,
2016-12-06,397.0,402.1,395.65,398.0,354832.0,
2016-12-07,400.0,401.5,395.8,398.1,288798.0,
2016-12-08,398.7,406.25,398.7,403.65,261413.0,
2016-12-09,405.5,408.95,400.2,400.95,342921.0,
2016-12-12,404.0,404.0,392.25,393.15,306060.0,
2016-12-13,394.05,398.4,387.6,388.75,436550.0,
2016-12-14,389.9,391.5,382.1,383.1,1065007.0,
2016-12-15,380.0,384.4,375.0,376.05,1311976.0,
2016-12-16,375.3,376.55,370.05,371.15,1193492.0,
2016-12-19,372.5,376.8,371.0,374.9,514320.0,
2016-12-20,376.4,377.0,370.15,370.9,330709.0,
2016-12-21,372.35,374.55,370.6,371.8,273882.0,
2016-12-22,371.85,371.85,362.15,362.9,614196.0,
2016-12-23,363.1,369.6,362.2,366.55,515766.0,
2016-12-26,366.0,366.05,356.15,358.0,580404.0,
2016-12-27,359.4,368.8,353.2,367.0,868738.0,
2016-12-28,369.9,375.65,368.5,374.25,1545371.0,
2016-12-29,375.0,379.25,373.95,377.6,1120332.0,
2016-12-30,378.2,385.0,378.2,380.65,505193.0,
2017-01-02,380.45,387.0,379.0,385.5,259088.0,
2017-01-03,386.9,389.0,384.45,385.7,368274.0,
2017-01-04,386.9,388.0,382.3,386.05,357274.0,
2017-01-05,387.45,395.45,386.45,391.5,644796.0,
2017-01-06,392.9,394.05,389.15,390.2,354219.0,
2017-01-09,390.45,391.6,385.35,389.2,262239.0,
2017-01-10,389.3,391.25,387.05,389.05,338384.0,
2017-01-11,389.6,392.9,389.4,392.1,394936.0,
2017-01-12,392.85,398.25,390.1,396.9,1055610.0,
2017-01-13,398.45,400.8,393.5,395.65,393497.0,
2017-01-16,396.3,400.05,393.2,398.35,610386.0,
2017-01-17,397.05,401.65,393.85,395.8,310427.0,
2017-01-18,395.95,397.0,392.5,395.05,672948.0,
2017-01-19,393.75,407.7,393.75,406.55,689211.0,
2017-01-20,407.0,408.55,391.1,393.15,529122.0,
2017-01-23,393.0,399.75,393.0,395.8,315665.0,
2017-01-24,398.7,404.45,396.75,401.95,726556.0,
2017-01-25,404.2,405.9,397.5,399.65,705877.0,
2017-01-27,401.1,405.9,398.45,400.15,476991.0,
2017-01-30,401.8,414.5,401.0,413.15,894515.0,
2017-01-31,415.85,417.75,403.5,405.25,1046957.0,
2017-02-01,405.85,412.0,405.15,408.15,621146.0,
2017-02-02,409.0,417.45,408.0,415.85,776484.0,
2017-02-03,416.3,420.4,412.25,418.35,714225.0,
2017-02-06,418.25,426.95,415.35,422.5,853976.0,
2017-02-07,421.0,424.8,414.0,415.5,330910.0,
2017-02-08,416.85,422.8,411.85,419.6,604945.0,
2017-02-09,421.6,423.65,416.35,418.35,341838.0,
2017-02-10,419.8,420.85,416.25,417.75,249099.0,
2017-02-13,419.45,420.85,412.6,415.2,518460.0,
2017-02-14,414.25,417.7,410.1,416.15,372395.0,
2017-02-15,416.5,419.85,411.1,413.4,768397.0,
2017-02-16,412.4,417.9,407.4,416.35,544035.0,
2017-02-17,419.95,434.8,418.0,432.6,1443678.0,
2017-02-20,434.0,438.8,430.0,431.4,948952.0,
2017-02-21,433.0,435.85,430.1,433.05,1591182.0,
2017-02-22,430.0,434.0,421.25,424.05,1794420.0,
2017-02-23,425.5,426.7,415.85,417.1,1522648.0,
2017-02-27,418.0,422.35,414.0,415.55,689325.0,
2017-02-28,417.9,418.8,406.0,407.0,816227.0,
2017-03-01,409.7,415.5,408.0,410.15,834043.0,
2017-03-02,413.0,415.3,403.55,404.95,548630.0,
2017-03-03,405.45,409.75,402.6,408.2,253871.0,
2017-03-06,408.35,415.85,407.1,412.4,835927.0,
2017-03-07,412.45,414.8,407.45,409.4,397448.0,
2017-03-08,411.4,411.8,407.05,408.45,292805.0,
2017-03-09,408.0,411.8,406.8,409.65,206501.0,
2017-03-10,411.15,412.4,405.55,406.55,195850.0,
2017-03-14,411.0,412.05,404.5,408.3,705601.0,
2017-03-15,409.0,423.1,408.5,415.95,1588165.0,
2017-03-16,418.1,423.0,417.7,422.0,637054.0,
2017-03-17,423.45,428.0,417.05,427.0,917489.0,
2017-03-20,427.95,427.95,420.85,421.7,391686.0,
2017-03-21,423.75,425.0,418.45,419.8,304762.0,
2017-03-22,418.45,418.45,413.05,414.5,345743.0,
2017-03-23,415.3,419.6,414.95,418.5,539607.0,
2017-03-24,419.8,423.95,418.25,419.5,541332.0,
2017-03-27,419.0,421.25,415.2,416.3,238087.0,
2017-03-28,417.25,421.3,413.9,415.75,560581.0,
2017-03-29,416.0,424.75,416.0,422.55,1058614.0,
2017-03-30,423.35,432.8,422.8,429.05,1837206.0,
2017-03-31,432.0,435.95,431.1,432.4,1164259.0,
2017-04-03,432.45,438.0,427.5,433.2,1049248.0,
2017-04-05,432.0,435.45,427.0,427.9,794659.0,
2017-04-06,427.0,430.3,423.9,426.6,369806.0,
2017-04-07,423.55,428.0,422.25,423.3,991291.0,
2017-04-10,424.0,440.35,423.0,432.85,2986963.0,
2017-04-11,434.55,437.4,432.5,434.65,538565.0,
2017-04-12,436.75,436.75,422.35,427.75,1384719.0,
2017-04-13,428.05,434.35,428.05,432.25,582006.0,
2017-04-17,432.3,432.3,426.6,428.45,449364.0,
2017-04-18,430.4,432.85,427.0,429.1,619586.0,
2017-04-19,431.8,437.9,430.35,434.9,1093700.0,
2017-04-20,436.0,436.1,430.0,430.85,693775.0,
2017-04-21,431.05,434.85,426.8,428.55,454172.0,
2017-04-24,430.0,448.5,428.8,446.9,1267130.0,
2017-04-25,450.0,452.8,441.45,442.7,990040.0,
2017-04-26,446.0,446.75,435.6,438.25,587603.0,
2017-04-27,440.9,441.5,435.25,437.4,692868.0,
2017-04-28,438.1,444.9,436.25,438.0,924550.0,
2017-05-02,439.0,443.95,434.35,436.1,772155.0,
2017-05-03,437.8,438.9,433.1,435.2,477162.0,
2017-05-04,435.9,437.6,430.5,434.0,567005.0,
2017-05-05,434.9,444.9,434.05,436.3,876681.0,
2017-05-08,436.9,444.6,434.6,442.05,682662.0,
2017-05-09,447.95,447.95,438.6,439.65,445608.0,
2017-05-10,440.85,444.45,438.85,441.0,776887.0,
2017-05-11,441.2,443.95,438.0,439.9,387624.0,
2017-05-12,440.9,440.9,435.35,437.7,476749.0,
2017-05-15,438.0,452.0,435.5,449.85,2018406.0,
2017-05-16,451.9,452.0,442.25,443.0,534824.0,
2017-05-17,443.6,444.5,438.35,439.55,377225.0,
2017-05-18,437.95,440.0,432.25,433.95,398719.0,
2017-05-19,436.65,446.85,434.0,437.1,886466.0,
2017-05-22,435.0,436.5,421.25,424.95,490688.0,
2017-05-23,425.0,428.25,410.05,411.9,460503.0,
2017-05-24,410.0,420.4,408.1,418.8,1200856.0,
2017-05-25,419.8,423.2,411.05,414.45,771538.0,
2017-05-26,414.45,424.75,414.45,420.5,623334.0,
2017-05-29,421.5,422.95,414.5,416.9,317132.0,
2017-05-30,416.6,425.4,415.25,422.3,829826.0,
2017-05-31,425.0,429.9,420.2,424.15,1709936.0,
2017-06-01,423.0,425.75,415.8,423.2,1027416.0,
2017-06-02,425.0,426.0,415.5,418.4,531324.0,
2017-06-05,419.0,421.35,411.5,412.7,469164.0,
2017-06-06,411.0,415.55,408.25,410.7,528713.0,
2017-06-07,411.45,415.0,411.0,413.85,340084.0,
2017-06-08,418.0,418.75,412.25,412.95,228776.0,
2017-06-09,412.95,415.0,406.1,408.1,423179.0,
2017-06-12,407.5,407.85,401.8,402.9,603418.0,
2017-06-13,403.0,408.7,400.0,401.15,795858.0,
2017-06-14,401.35,403.75,396.65,397.55,565027.0,
2017-06-15,396.4,413.5,396.1,409.5,1922785.0,
2017-06-16,410.0,413.45,407.05,411.3,937341.0,
2017-06-19,412.0,418.0,410.1,412.35,853754.0,
2017-06-20,414.0,416.2,410.45,414.0,1201021.0,
2017-06-21,413.9,419.35,412.1,415.4,838245.0,
2017-06-22,416.0,420.0,410.6,412.0,612198.0,
2017-06-23,412.9,414.0,406.0,409.65,620280.0,
2017-06-27,410.5,411.55,402.2,406.35,494380.0,
2017-06-28,406.95,407.0,402.5,403.55,590036.0,
2017-06-29,404.1,407.6,399.5,400.8,1156871.0,
2017-06-30,401.5,405.9,398.45,404.7,686472.0,
2017-07-03,406.75,407.65,400.7,401.55,308206.0,
2017-07-04,402.25,404.85,398.2,400.3,492935.0,
2017-07-05,400.25,402.3,399.0,399.95,440616.0,
2017-07-06,400.8,403.45,399.0,399.95,819342.0,
2017-07-07,399.2,402.65,398.25,400.1,1011035.0,
2017-07-10,399.25,404.25,399.25,403.0,117943.0,
2017-07-11,403.45,404.25,398.5,399.35,966602.0,
2017-07-12,399.35,409.5,396.15,408.4,1025028.0,
2017-07-13,410.0,412.4,405.0,406.25,826869.0,
2017-07-14,406.9,409.4,401.7,406.3,441910.0,
2017-07-17,409.9,412.0,407.0,408.75,550841.0,
2017-07-18,408.5,409.3,404.0,406.55,508946.0,
2017-07-19,407.0,410.7,406.05,408.55,371492.0,
