,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,267.85,268.9,264.0,267.7,111615.0,
2016-08-18,268.0,269.0,266.75,268.45,91528.0,
2016-08-19,268.5,274.8,267.9,272.65,123156.0,
2016-08-22,272.25,278.4,272.25,276.1,116194.0,
2016-08-23,276.1,286.0,273.9,280.45,271046.0,
2016-08-24,280.35,282.0,276.5,280.8,49010.0,
2016-08-25,279.6,286.0,279.05,280.9,60338.0,
2016-08-26,282.55,284.1,276.0,277.65,45168.0,
2016-08-29,278.2,279.8,271.5,273.3,29919.0,
2016-08-30,280.4,280.4,271.0,272.15,40467.0,
2016-08-31,272.15,274.0,270.15,272.55,69794.0,
2016-09-01,279.4,279.4,270.25,271.55,23855.0,
2016-09-02,271.6,274.45,269.05,269.95,29806.0,
2016-09-06,274.75,274.75,265.25,269.45,44605.0,
2016-09-07,271.65,273.85,263.8,268.95,176464.0,
2016-09-08,267.35,271.25,266.15,269.75,94554.0,
2016-09-09,269.8,271.5,263.85,265.05,31471.0,
2016-09-12,260.0,260.0,255.5,256.8,42145.0,
2016-09-14,254.0,256.95,249.0,250.2,80809.0,
2016-09-15,250.0,264.65,250.0,261.75,75784.0,
2016-09-16,260.75,263.95,259.1,260.1,44477.0,
2016-09-19,259.95,263.7,256.25,262.8,80722.0,
2016-09-20,264.3,267.5,260.5,265.8,57985.0,
2016-09-21,268.95,270.95,265.05,268.5,156053.0,
2016-09-22,270.0,270.5,264.0,269.85,155745.0,
2016-09-23,271.0,271.0,265.0,266.45,28995.0,
2016-09-26,266.4,270.0,254.95,258.05,124054.0,
2016-09-27,258.0,269.95,257.85,268.3,91551.0,
2016-09-28,268.25,269.9,266.65,268.35,97245.0,
2016-09-29,268.95,270.0,241.15,253.8,117805.0,
2016-09-30,257.95,265.85,254.2,261.3,79794.0,
2016-10-03,263.95,268.2,243.0,261.05,981313.0,
2016-10-04,243.0,259.5,242.1,246.0,945162.0,
2016-10-05,247.95,251.0,238.0,241.7,690193.0,
2016-10-06,242.05,244.25,232.3,234.65,236220.0,
2016-10-07,236.0,244.6,236.0,243.35,164887.0,
2016-10-10,248.4,249.5,241.75,248.2,136460.0,
2016-10-13,244.1,247.8,238.3,245.3,113371.0,
2016-10-14,246.0,248.0,244.9,245.8,43339.0,
2016-10-17,248.4,248.4,244.0,245.0,115092.0,
2016-10-18,249.9,249.9,244.5,245.45,54835.0,
2016-10-19,248.4,251.0,245.1,249.3,179668.0,
2016-10-20,253.8,257.05,245.5,248.55,801523.0,
2016-10-21,248.95,251.7,247.45,250.0,87938.0,
2016-10-24,252.8,252.8,247.4,248.85,70002.0,
2016-10-25,249.95,250.2,248.0,249.1,33923.0,
2016-10-26,249.15,259.9,248.2,250.4,942135.0,
2016-10-27,257.9,257.9,249.05,249.9,40656.0,
2016-10-28,250.0,252.5,249.95,250.0,41792.0,
2016-11-01,248.1,252.9,248.1,250.1,114908.0,
2016-11-02,249.0,252.4,245.5,250.1,75610.0,
2016-11-03,252.85,252.85,247.05,250.25,66391.0,
2016-11-04,250.3,251.0,243.5,249.65,127797.0,
2016-11-07,249.7,252.7,248.5,251.55,57224.0,
2016-11-08,251.6,255.8,250.0,250.5,42071.0,
2016-11-09,240.0,252.0,230.05,251.0,97040.0,
2016-11-10,254.8,254.8,248.0,251.7,18791.0,
2016-11-11,247.0,252.95,238.15,240.1,46769.0,
2016-11-15,233.05,239.95,230.0,232.0,80001.0,
2016-11-16,238.7,248.0,232.55,246.8,89617.0,
2016-11-17,240.05,250.0,235.5,240.2,38161.0,
2016-11-18,239.1,251.9,239.1,248.0,86220.0,
2016-11-21,251.25,251.25,236.95,238.7,74778.0,
2016-11-22,239.5,243.9,238.0,239.7,27590.0,
2016-11-23,239.75,244.9,239.0,242.15,18031.0,
2016-11-24,238.5,250.95,238.5,248.7,36754.0,
2016-11-25,251.45,253.95,248.6,251.6,40588.0,
2016-11-28,251.6,252.0,241.0,250.35,40091.0,
2016-11-29,250.4,253.0,247.35,251.7,25984.0,
2016-11-30,251.7,257.0,250.0,255.1,84878.0,
2016-12-01,255.1,271.0,253.0,269.35,186953.0,
2016-12-02,267.5,277.0,261.0,272.85,108535.0,
2016-12-05,281.0,281.0,272.05,275.25,72435.0,
2016-12-06,275.3,279.0,271.2,276.1,38997.0,
2016-12-07,278.0,278.0,270.95,274.15,38264.0,
2016-12-08,274.2,275.95,266.0,267.9,41599.0,
2016-12-09,273.6,273.6,261.15,268.25,25905.0,
2016-12-12,266.75,270.0,257.5,262.1,42967.0,
2016-12-13,262.1,264.4,258.0,260.0,25986.0,
2016-12-14,259.1,267.75,258.95,262.25,22145.0,
2016-12-15,256.2,260.35,255.5,258.4,33900.0,
2016-12-16,257.0,260.95,255.5,259.8,27568.0,
2016-12-19,260.0,263.9,256.15,259.3,14388.0,
2016-12-20,262.0,265.0,254.05,256.4,28381.0,
2016-12-21,260.0,263.5,255.2,257.95,21663.0,
2016-12-22,258.5,258.5,250.0,251.15,54116.0,
2016-12-23,254.7,258.0,252.2,254.05,43733.0,
2016-12-26,251.5,254.9,250.0,252.95,18143.0,
2016-12-27,253.95,255.0,250.0,250.6,174084.0,
2016-12-28,253.7,265.0,251.5,261.3,24522.0,
2016-12-29,264.5,268.0,261.5,266.45,27127.0,
2016-12-30,266.0,267.0,261.8,265.45,32530.0,
2017-01-02,270.0,270.0,263.0,266.7,16262.0,
