,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,878.0,904.85,874.05,886.45,688256.0,
2016-08-18,890.0,893.05,865.65,868.75,459463.0,
2016-08-19,874.0,876.45,861.8,865.0,341827.0,
2016-08-22,864.9,866.0,841.0,845.9,395381.0,
2016-08-23,843.0,859.3,834.65,853.4,466433.0,
2016-08-24,858.0,871.8,856.9,868.95,504075.0,
2016-08-25,869.5,874.0,855.5,859.6,471559.0,
2016-08-26,860.0,869.5,850.55,866.5,317672.0,
2016-08-29,878.0,903.7,875.0,898.65,1288170.0,
2016-08-30,907.0,918.0,901.9,908.05,626487.0,
2016-08-31,909.0,910.35,890.0,893.2,500209.0,
2016-09-01,896.75,910.9,885.25,891.3,487057.0,
2016-09-02,897.0,956.0,894.5,952.7,2641419.0,
2016-09-06,961.6,981.0,947.55,969.55,2471373.0,
2016-09-07,975.95,1021.0,974.0,1015.95,2214787.0,
2016-09-08,1021.5,1039.5,1018.05,1031.0,921378.0,
2016-09-09,1034.0,1057.0,1027.05,1035.9,966825.0,
2016-09-12,1019.0,1022.0,988.0,990.2,625656.0,
2016-09-14,996.65,1053.85,990.2,1045.15,1495258.0,
2016-09-15,1049.45,1093.0,1047.0,1064.45,1736720.0,
2016-09-16,1072.8,1084.0,1041.25,1065.0,1323140.0,
2016-09-19,1073.0,1139.4,1065.2,1128.9,2279881.0,
2016-09-20,1141.0,1153.8,1114.3,1139.35,1738716.0,
2016-09-21,1149.0,1174.4,1145.45,1166.65,1628927.0,
2016-09-22,1181.95,1192.0,1160.0,1180.15,1326174.0,
2016-09-23,1181.0,1204.45,1166.05,1183.15,1718986.0,
2016-09-26,1185.0,1198.35,1177.0,1188.0,983521.0,
2016-09-27,1192.0,1208.95,1182.25,1194.4,925574.0,
2016-09-28,1199.0,1262.15,1183.0,1255.8,1523501.0,
2016-09-29,1270.0,1309.7,1201.8,1229.7,3549895.0,
2016-09-30,1235.0,1332.9,1211.0,1326.4,2125499.0,
2016-10-03,1346.0,1375.75,1339.65,1365.15,1709415.0,
2016-10-04,1374.0,1385.0,1363.0,1369.9,1017225.0,
2016-10-05,1380.0,1409.75,1372.7,1398.1,1467705.0,
2016-10-06,1404.0,1420.0,1375.1,1394.85,1221666.0,
2016-10-07,1402.0,1414.0,1365.0,1372.15,823627.0,
2016-10-10,1385.0,1390.0,1363.0,1367.15,465379.0,
2016-10-13,1369.95,1396.7,1335.15,1388.1,1196365.0,
2016-10-14,1390.0,1394.65,1364.1,1375.3,548601.0,
2016-10-17,1370.0,1370.0,1277.1,1286.65,1566091.0,
2016-10-18,1290.55,1336.85,1247.35,1330.9,2316026.0,
2016-10-19,1330.9,1330.9,1280.6,1285.3,1576758.0,
2016-10-20,1291.0,1310.1,1281.6,1301.75,881832.0,
2016-10-21,1305.0,1321.0,1282.0,1316.25,971311.0,
2016-10-24,1324.95,1326.1,1263.3,1268.0,1096124.0,
2016-10-25,1260.0,1281.4,1246.65,1263.6,1111352.0,
2016-10-26,1254.7,1267.9,1212.6,1221.25,1036862.0,
2016-10-27,1215.0,1233.0,1185.2,1195.9,1400048.0,
2016-10-28,1198.0,1231.55,1192.55,1214.35,762070.0,
2016-11-01,1212.0,1265.0,1212.0,1248.4,1047937.0,
2016-11-02,1234.95,1234.95,1197.45,1203.15,950836.0,
2016-11-03,1200.0,1242.0,1198.6,1233.35,1209759.0,
2016-11-04,1243.0,1246.65,1182.15,1200.35,819598.0,
2016-11-07,1219.0,1233.0,1210.7,1220.3,578062.0,
2016-11-08,1223.0,1316.7,1220.75,1308.8,2137528.0,
2016-11-09,1178.0,1342.1,1113.0,1335.15,1707411.0,
2016-11-10,1355.7,1370.0,1320.4,1328.2,949241.0,
2016-11-11,1310.0,1320.0,1268.15,1274.8,890582.0,
2016-11-15,1278.2,1299.0,1201.2,1232.05,1189441.0,
2016-11-16,1246.0,1278.9,1213.4,1242.5,597235.0,
2016-11-17,1254.95,1270.0,1218.0,1226.75,732533.0,
2016-11-18,1230.5,1230.5,1195.2,1205.6,842120.0,
2016-11-21,1205.0,1214.05,1150.0,1156.7,844222.0,
2016-11-22,1162.4,1176.5,1111.0,1148.55,933360.0,
2016-11-23,1161.0,1166.45,1132.05,1150.0,934417.0,
2016-11-24,1146.0,1164.5,1134.0,1150.9,685983.0,
2016-11-25,1155.0,1167.6,1140.0,1161.05,541071.0,
2016-11-28,1159.95,1214.0,1151.45,1194.8,1043045.0,
2016-11-29,1196.1,1232.3,1193.55,1218.2,844508.0,
2016-11-30,1233.1,1290.0,1224.75,1280.65,1541774.0,
2016-12-01,1292.5,1298.6,1251.85,1260.85,1008270.0,
2016-12-02,1243.0,1255.95,1227.0,1230.75,562881.0,
2016-12-05,1224.1,1269.2,1222.0,1261.55,694633.0,
2016-12-06,1273.0,1303.0,1262.0,1269.05,1124419.0,
2016-12-07,1281.0,1288.2,1242.8,1253.0,688047.0,
2016-12-08,1266.0,1284.0,1257.15,1266.1,626050.0,
2016-12-09,1274.9,1285.0,1255.4,1278.4,667050.0,
2016-12-12,1264.0,1270.05,1234.1,1243.25,558798.0,
2016-12-13,1240.0,1258.85,1225.0,1250.6,517777.0,
2016-12-14,1255.0,1258.0,1236.0,1242.95,490630.0,
2016-12-15,1225.0,1290.0,1225.0,1283.15,917468.0,
2016-12-16,1283.0,1294.5,1242.9,1248.85,1006197.0,
2016-12-19,1274.8,1274.8,1234.2,1251.05,584351.0,
2016-12-20,1259.95,1259.95,1193.05,1204.35,811668.0,
2016-12-21,1196.0,1198.95,1147.0,1151.5,1441078.0,
2016-12-22,1141.0,1148.0,1111.15,1129.1,1376729.0,
2016-12-23,1132.0,1159.35,1121.25,1143.65,973103.0,
2016-12-26,1141.55,1151.5,1115.0,1135.45,664059.0,
2016-12-27,1135.95,1148.55,1060.1,1143.05,2291988.0,
2016-12-28,1130.0,1155.0,1115.55,1128.85,1386427.0,
2016-12-29,1130.0,1174.0,1117.25,1156.45,1077868.0,
2016-12-30,1169.9,1179.45,1153.3,1163.1,767433.0,
2017-01-02,1163.1,1187.0,1130.8,1180.15,969691.0,
2017-01-03,1184.0,1213.0,1177.6,1193.5,1336347.0,
2017-01-04,1204.0,1204.0,1175.1,1180.4,644342.0,
2017-01-05,1185.0,1202.0,1185.0,1192.4,505732.0,
2017-01-06,1198.8,1226.4,1190.0,1197.45,1228559.0,
2017-01-09,1200.0,1207.0,1172.95,1179.7,525807.0,
2017-01-10,1176.0,1228.0,1176.0,1218.15,898077.0,
2017-01-11,1232.0,1245.55,1220.65,1229.3,906671.0,
2017-01-12,1232.95,1233.8,1199.25,1205.2,590959.0,
2017-01-13,1209.0,1213.6,1180.65,1200.9,986956.0,
2017-01-16,1193.7,1196.0,1177.0,1185.1,684068.0,
2017-01-17,1185.0,1226.0,1185.0,1196.5,1106637.0,
2017-01-18,1200.0,1225.0,1191.2,1212.5,713292.0,
2017-01-19,1215.0,1215.1,1178.0,1183.15,841657.0,
2017-01-20,1175.0,1193.9,1165.2,1175.35,546370.0,
2017-01-23,1175.0,1191.6,1165.7,1180.05,511402.0,
2017-01-24,1180.0,1187.0,1163.0,1167.95,537850.0,
2017-01-25,1175.1,1189.35,1157.0,1185.85,732344.0,
2017-01-27,1185.0,1214.0,1184.95,1205.3,947035.0,
2017-01-30,1209.4,1209.4,1175.5,1180.95,489670.0,
2017-01-31,1177.35,1194.1,1152.1,1168.6,836578.0,
2017-02-01,1170.0,1213.4,1160.4,1210.75,934589.0,
2017-02-02,1212.1,1223.7,1186.0,1190.1,622560.0,
2017-02-03,1189.0,1212.5,1180.05,1191.25,1028672.0,
2017-02-06,1195.25,1201.6,1170.4,1176.65,610384.0,
2017-02-07,1171.4,1198.0,1135.55,1146.15,2901650.0,
2017-02-08,1138.1,1170.0,1135.2,1163.45,924307.0,
2017-02-09,1164.25,1167.95,1133.8,1144.2,587334.0,
2017-02-10,1145.0,1162.0,1142.4,1151.7,492083.0,
2017-02-13,1157.0,1164.7,1108.0,1119.65,728031.0,
2017-02-14,1115.0,1125.65,1099.0,1106.25,409508.0,
2017-02-15,1105.0,1105.0,1073.3,1085.85,724387.0,
2017-02-16,1085.65,1135.0,1071.05,1127.35,1152582.0,
2017-02-17,1139.9,1148.0,1118.05,1130.15,939795.0,
2017-02-20,1129.5,1129.95,1117.0,1121.85,472246.0,
2017-02-21,1122.0,1134.4,1110.3,1114.25,581510.0,
2017-02-22,1114.0,1144.95,1110.05,1131.25,1153950.0,
2017-02-23,1135.0,1164.5,1121.75,1156.6,1305307.0,
2017-02-27,1165.0,1179.8,1161.0,1170.4,872408.0,
2017-02-28,1176.3,1194.4,1175.05,1180.55,823399.0,
2017-03-01,1185.0,1205.0,1174.8,1180.3,825643.0,
2017-03-02,1187.8,1187.8,1147.65,1152.15,520470.0,
2017-03-03,1147.0,1172.55,1136.05,1167.9,678229.0,
2017-03-06,1171.9,1178.0,1154.1,1164.35,453683.0,
2017-03-07,1154.0,1176.0,1154.0,1168.15,414403.0,
2017-03-08,1168.1,1178.95,1152.85,1157.75,551201.0,
2017-03-09,1158.0,1179.5,1158.0,1163.5,496472.0,
2017-03-10,1167.65,1173.85,1148.0,1153.9,349639.0,
2017-03-14,1179.0,1231.0,1160.65,1222.85,2001506.0,
2017-03-15,1234.0,1272.0,1233.0,1259.8,2275184.0,
2017-03-16,1270.0,1277.0,1251.5,1256.9,952785.0,
2017-03-17,1266.0,1278.75,1236.0,1267.75,1005365.0,
2017-03-20,1288.0,1299.25,1273.85,1279.35,1318022.0,
2017-03-21,1278.0,1294.0,1259.2,1287.8,882063.0,
2017-03-22,1272.25,1300.0,1272.25,1292.2,1082556.0,
2017-03-23,1309.4,1328.8,1300.15,1322.1,1230259.0,
2017-03-24,1324.0,1333.9,1313.0,1319.85,666827.0,
2017-03-27,1319.0,1341.3,1309.3,1332.3,725623.0,
2017-03-28,1340.0,1343.35,1277.4,1295.6,1008455.0,
2017-03-29,1290.0,1304.0,1274.0,1297.0,1039874.0,
2017-03-30,1307.0,1318.95,1293.4,1313.8,765325.0,
2017-03-31,1319.9,1334.2,1310.0,1324.85,547431.0,
2017-04-03,1327.0,1343.2,1323.2,1335.3,371891.0,
2017-04-05,1335.9,1352.0,1326.65,1337.25,422076.0,
2017-04-06,1337.0,1392.7,1330.0,1387.05,1175774.0,
2017-04-07,1380.9,1398.8,1371.0,1376.95,978719.0,
2017-04-10,1374.8,1396.0,1373.3,1383.7,457798.0,
2017-04-11,1396.0,1471.95,1386.95,1462.5,1586299.0,
2017-04-12,1462.0,1463.8,1418.1,1435.8,698853.0,
2017-04-13,1430.0,1457.9,1425.65,1451.15,595139.0,
2017-04-17,1450.0,1465.0,1426.2,1453.5,574194.0,
2017-04-18,1459.1,1475.0,1418.0,1430.7,699888.0,
2017-04-19,1436.2,1449.3,1422.5,1434.8,623314.0,
2017-04-20,1445.0,1484.0,1425.25,1466.1,959339.0,
2017-04-21,1478.0,1478.0,1430.1,1445.0,710708.0,
2017-04-24,1448.0,1462.0,1432.25,1454.75,603486.0,
2017-04-25,1460.0,1477.0,1446.1,1462.7,796644.0,
2017-04-26,1464.7,1588.0,1460.1,1555.0,2535643.0,
2017-04-27,1544.95,1575.0,1522.9,1542.75,1420185.0,
2017-04-28,1549.95,1550.0,1503.0,1525.9,1659221.0,
2017-05-02,1520.1,1617.0,1510.5,1595.6,1270317.0,
2017-05-03,1600.0,1681.95,1585.1,1657.05,1742297.0,
2017-05-04,1657.05,1680.75,1586.45,1621.95,1411727.0,
2017-05-05,1604.0,1678.0,1597.8,1660.5,1611942.0,
2017-05-08,1668.85,1684.8,1646.15,1667.4,725680.0,
2017-05-09,1675.0,1710.0,1660.0,1699.85,915654.0,
2017-05-10,1710.0,1712.0,1628.0,1647.55,1141744.0,
2017-05-11,1640.0,1668.8,1631.0,1660.55,697504.0,
2017-05-12,1652.2,1663.8,1616.4,1626.8,517508.0,
2017-05-15,1627.2,1653.9,1627.2,1638.05,329120.0,
2017-05-16,1648.0,1720.0,1638.0,1710.95,924299.0,
2017-05-17,1702.15,1897.45,1695.0,1846.35,2841141.0,
2017-05-18,1810.0,1889.8,1786.0,1834.8,3005764.0,
2017-05-19,1850.0,1872.45,1765.0,1782.15,1435577.0,
2017-05-22,1789.0,1809.0,1726.0,1738.9,871607.0,
2017-05-23,1740.0,1785.0,1685.0,1745.65,1290948.0,
2017-05-24,1750.05,1760.95,1686.6,1698.35,972759.0,
2017-05-25,1720.35,1723.0,1635.0,1679.7,1542540.0,
2017-05-26,1675.0,1709.95,1653.5,1681.95,966629.0,
2017-05-29,1681.0,1700.0,1645.05,1672.5,619729.0,
2017-05-30,1670.0,1708.0,1653.0,1672.95,839094.0,
2017-05-31,1673.0,1696.45,1673.0,1683.4,442887.0,
2017-06-01,1690.0,1804.0,1683.05,1790.8,2049745.0,
2017-06-02,1800.05,1869.45,1800.05,1851.5,2029854.0,
2017-06-05,1852.9,1898.25,1813.6,1871.9,1095237.0,
2017-06-06,1879.0,1899.0,1828.3,1892.45,1390502.0,
