,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,654.65,656.7,645.2,652.0,240968.0,
2016-08-18,653.5,658.3,649.0,655.5,132667.0,
2016-08-19,655.5,663.9,652.5,660.05,126343.0,
2016-08-22,660.0,660.0,646.05,654.3,158967.0,
2016-08-23,654.3,658.9,648.0,651.4,190923.0,
2016-08-24,653.0,654.15,646.75,650.5,136209.0,
2016-08-25,651.3,660.0,648.5,658.2,291969.0,
2016-08-26,662.1,664.95,648.85,652.3,153907.0,
2016-08-29,653.4,655.0,646.0,651.9,80458.0,
2016-08-30,653.0,659.5,651.0,655.1,158582.0,
2016-08-31,655.1,669.95,654.05,666.6,401238.0,
2016-09-01,670.0,683.0,658.0,661.05,687971.0,
2016-09-02,664.9,676.9,663.5,674.45,447097.0,
2016-09-06,674.45,678.95,667.4,671.5,257976.0,
2016-09-07,672.3,681.5,670.1,672.8,301368.0,
2016-09-08,670.0,672.75,663.5,670.4,182463.0,
2016-09-09,671.2,681.4,633.65,642.35,513939.0,
2016-09-12,631.0,648.0,624.35,637.35,374859.0,
2016-09-14,638.0,658.0,636.6,653.55,831282.0,
2016-09-15,658.0,673.55,645.0,648.3,647827.0,
2016-09-16,657.0,663.8,649.3,653.2,281961.0,
2016-09-19,654.7,660.4,646.35,648.8,148588.0,
2016-09-20,644.05,650.75,639.0,641.75,146682.0,
2016-09-21,638.1,651.0,636.7,643.35,280625.0,
2016-09-22,654.0,654.0,639.7,644.0,184731.0,
2016-09-23,641.35,651.6,641.35,645.5,214367.0,
2016-09-26,650.0,650.0,639.55,641.05,169749.0,
2016-09-27,645.0,648.9,614.0,617.15,437587.0,
2016-09-28,618.7,626.85,607.0,622.0,771243.0,
2016-09-29,624.7,631.95,604.2,609.5,545582.0,
2016-09-30,601.05,614.6,600.0,610.75,254608.0,
2016-10-03,611.0,630.2,611.0,624.6,370573.0,
2016-10-04,627.0,638.0,625.0,632.4,384443.0,
2016-10-05,633.0,635.45,609.4,614.0,542225.0,
2016-10-06,614.0,628.8,609.05,623.65,465957.0,
2016-10-07,623.65,634.5,619.85,629.35,259474.0,
2016-10-10,629.35,641.75,623.8,626.2,306007.0,
2016-10-13,624.1,624.95,596.0,600.75,573809.0,
2016-10-14,599.5,606.75,590.3,602.65,679986.0,
2016-10-17,602.7,604.5,591.25,594.8,430630.0,
2016-10-18,598.0,606.25,596.5,604.15,269722.0,
2016-10-19,604.5,616.9,603.15,613.2,233942.0,
2016-10-20,618.0,622.0,608.0,613.2,299151.0,
2016-10-21,614.0,618.9,607.75,616.3,150064.0,
2016-10-24,619.9,620.4,610.25,615.2,154097.0,
2016-10-25,618.0,621.55,609.05,617.3,110859.0,
2016-10-26,617.55,617.95,597.4,602.2,235743.0,
2016-10-27,599.0,618.0,592.0,614.05,497287.0,
2016-10-28,612.0,631.4,610.0,628.45,368217.0,
2016-11-01,634.0,634.3,625.05,628.6,323026.0,
2016-11-02,628.0,632.35,615.15,626.05,278274.0,
2016-11-03,625.0,628.3,570.2,593.6,3150717.0,
2016-11-04,585.0,596.05,578.4,586.2,507220.0,
2016-11-07,590.5,599.9,587.05,596.35,333669.0,
2016-11-08,595.0,601.0,581.55,591.95,500235.0,
2016-11-09,536.0,592.0,533.0,584.3,415589.0,
2016-11-10,591.1,598.55,581.4,594.65,263982.0,
2016-11-11,608.4,621.7,588.0,593.45,1133019.0,
2016-11-15,594.15,596.1,567.0,580.4,332810.0,
2016-11-16,584.5,595.95,578.2,588.35,435585.0,
2016-11-17,582.25,598.2,579.0,593.5,253598.0,
2016-11-18,598.0,604.9,590.05,595.0,327296.0,
2016-11-21,595.0,603.7,573.65,578.3,698649.0,
2016-11-22,578.55,586.85,564.1,574.9,374142.0,
2016-11-23,579.0,582.0,565.4,568.75,408222.0,
2016-11-24,569.0,582.0,555.25,568.4,832764.0,
2016-11-25,573.9,578.9,568.0,574.6,144636.0,
2016-11-28,581.0,589.0,572.3,584.6,238722.0,
2016-11-29,583.55,592.85,581.05,584.4,213666.0,
2016-11-30,586.0,590.9,583.1,586.3,150402.0,
2016-12-01,586.35,603.9,585.2,595.05,671535.0,
2016-12-02,590.0,596.4,574.75,578.0,382516.0,
2016-12-05,578.0,585.0,569.1,581.3,137306.0,
2016-12-06,587.0,596.4,582.65,589.4,182066.0,
2016-12-07,595.85,595.85,581.55,587.8,138832.0,
2016-12-08,589.0,597.2,589.0,594.25,196427.0,
2016-12-09,599.8,629.8,595.0,625.35,651899.0,
2016-12-12,617.1,634.9,609.1,622.5,984322.0,
2016-12-13,627.95,638.0,621.8,626.45,680385.0,
2016-12-14,629.0,630.8,612.1,614.8,395622.0,
2016-12-15,610.0,630.0,608.75,627.4,507928.0,
2016-12-16,628.0,630.0,619.55,626.05,209678.0,
2016-12-19,626.8,634.9,620.2,628.05,402137.0,
2016-12-20,628.8,636.5,617.7,620.75,388113.0,
2016-12-21,625.4,628.4,621.0,622.65,149615.0,
2016-12-22,616.1,622.75,608.35,614.35,154031.0,
2016-12-23,615.0,626.9,608.65,620.55,371783.0,
2016-12-26,621.6,624.75,601.2,609.5,498502.0,
2016-12-27,607.0,630.4,604.3,627.95,391620.0,
2016-12-28,630.4,642.95,627.0,632.35,696745.0,
2016-12-29,639.7,640.65,629.3,637.6,530209.0,
2016-12-30,641.0,646.45,634.0,638.5,334936.0,
2017-01-02,638.5,650.55,638.5,645.05,321655.0,
2017-01-03,649.8,649.8,636.3,643.95,246382.0,
2017-01-04,640.8,654.75,640.8,646.35,341132.0,
2017-01-05,646.9,654.6,645.0,647.2,233453.0,
2017-01-06,648.95,651.6,638.0,640.2,206439.0,
2017-01-09,640.2,649.75,638.2,647.75,239556.0,
2017-01-10,649.8,660.6,644.0,655.85,531588.0,
2017-01-11,656.15,669.8,655.55,667.55,488076.0,
2017-01-12,668.95,673.25,660.8,664.55,401825.0,
2017-01-13,666.0,679.65,662.5,674.4,505202.0,
2017-01-16,675.0,692.6,670.65,689.15,456392.0,
2017-01-17,690.0,692.0,677.55,679.9,461531.0,
2017-01-18,683.5,700.7,677.0,687.8,802279.0,
2017-01-19,688.95,691.0,680.1,685.4,280669.0,
2017-01-20,688.75,704.0,681.15,687.4,987888.0,
2017-01-23,687.1,702.5,684.0,697.25,450544.0,
2017-01-24,698.55,743.7,692.55,736.25,1665060.0,
2017-01-25,736.15,742.0,724.2,736.75,827436.0,
2017-01-27,737.5,750.8,732.25,735.5,614902.0,
2017-01-30,733.0,745.0,722.5,740.15,320035.0,
2017-01-31,746.0,747.0,728.0,738.15,598319.0,
2017-02-01,732.0,767.2,728.7,762.85,488479.0,
2017-02-02,760.0,766.2,752.85,760.4,267529.0,
2017-02-03,755.2,777.55,749.0,772.15,527818.0,
2017-02-06,777.4,782.2,764.8,772.45,506885.0,
2017-02-07,780.0,813.7,771.65,804.85,788051.0,
2017-02-08,809.95,820.0,790.95,806.1,932030.0,
2017-02-09,810.0,831.0,804.1,827.65,1410505.0,
2017-02-10,829.0,848.75,810.0,841.55,1975106.0,
2017-02-13,842.0,868.5,841.0,866.15,1632743.0,
2017-02-14,870.95,871.0,850.0,856.95,837774.0,
2017-02-15,853.7,860.25,838.35,847.3,798942.0,
2017-02-16,843.0,858.5,842.0,853.6,415285.0,
2017-02-17,859.0,874.4,855.45,859.75,691392.0,
2017-02-20,862.7,871.0,852.35,866.65,424538.0,
