,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,167.0,167.0,163.05,164.65,3056.0,
2016-08-18,167.0,167.0,161.1,164.45,2394.0,
2016-08-19,163.9,166.95,163.5,163.65,1187.0,
2016-08-22,161.15,177.0,161.05,171.9,6985.0,
2016-08-23,168.25,180.0,167.05,176.35,10114.0,
2016-08-24,176.35,193.1,176.35,185.15,86614.0,
2016-08-25,186.95,190.95,185.1,185.25,11622.0,
2016-08-26,187.9,187.9,181.55,184.3,4988.0,
2016-08-29,186.9,187.95,180.0,180.8,10194.0,
2016-08-30,180.75,189.9,180.75,186.0,9863.0,
2016-08-31,188.0,188.0,181.1,182.15,8745.0,
2016-09-01,184.9,190.1,183.0,186.05,14926.0,
2016-09-02,188.0,201.35,185.5,196.8,38409.0,
2016-09-06,199.85,203.95,198.0,198.3,14204.0,
2016-09-07,199.3,209.0,199.25,207.3,23851.0,
2016-09-08,209.9,245.0,205.95,238.55,92847.0,
2016-09-09,244.9,248.7,235.0,237.4,22826.0,
2016-09-12,231.95,231.95,222.05,222.95,15463.0,
2016-09-14,222.95,240.0,221.1,234.25,9835.0,
2016-09-15,237.95,238.9,229.2,229.85,11094.0,
2016-09-16,234.45,235.95,230.0,230.3,5174.0,
2016-09-19,232.0,232.95,227.5,229.9,4492.0,
2016-09-20,232.9,232.9,226.0,227.25,4456.0,
2016-09-21,229.9,230.0,218.1,220.9,6921.0,
2016-09-22,225.0,264.35,225.0,257.25,125081.0,
2016-09-23,257.6,298.4,257.5,288.85,318207.0,
2016-09-26,287.85,345.8,284.9,337.9,578159.0,
2016-09-27,338.6,368.0,337.65,341.2,335003.0,
2016-09-28,339.9,349.8,313.5,317.35,171945.0,
2016-09-29,320.85,328.0,285.65,285.65,95946.0,
2016-09-30,275.0,314.2,265.6,314.2,150565.0,
2016-10-03,327.45,344.5,325.0,339.5,133380.0,
2016-10-04,342.4,349.7,332.55,336.95,40575.0,
2016-10-05,339.85,370.6,336.55,370.6,126881.0,
2016-10-06,380.0,407.65,372.7,383.7,211299.0,
2016-10-07,393.2,402.85,379.0,385.05,56625.0,
2016-10-10,397.0,397.0,365.8,368.05,42695.0,
2016-10-13,368.0,377.0,356.0,370.6,58644.0,
2016-10-14,374.85,381.9,361.0,364.0,20541.0,
2016-10-17,362.15,375.0,350.0,351.5,21370.0,
2016-10-18,355.05,362.4,345.2,347.7,20084.0,
2016-10-19,354.9,356.8,345.0,346.5,16633.0,
2016-10-20,348.1,354.7,339.0,343.3,15584.0,
2016-10-21,339.0,356.8,336.0,351.4,21539.0,
2016-10-24,355.9,356.9,349.1,351.85,7736.0,
2016-10-25,354.55,359.5,348.0,351.95,7373.0,
2016-10-26,348.2,354.9,341.0,345.15,7602.0,
2016-10-27,344.0,345.0,332.1,334.75,9015.0,
2016-10-28,331.1,348.95,331.1,346.65,7396.0,
2016-11-01,352.3,353.0,342.65,345.15,4950.0,
2016-11-02,341.1,341.1,330.0,331.8,9237.0,
2016-11-03,339.0,339.0,332.2,335.45,2288.0,
2016-11-04,339.7,340.0,319.9,325.25,10001.0,
2016-11-07,321.1,334.5,320.0,330.6,4293.0,
2016-11-08,334.9,334.95,328.1,330.1,2091.0,
2016-11-09,310.0,322.4,297.1,321.05,13474.0,
2016-11-10,330.0,353.15,326.1,353.15,13060.0,
2016-11-11,369.9,385.9,338.95,360.25,78577.0,
2016-11-15,360.0,376.0,324.25,329.5,50225.0,
2016-11-16,335.0,345.0,305.1,325.2,7383.0,
2016-11-17,334.5,334.5,310.1,312.65,5696.0,
2016-11-18,313.85,313.85,296.3,297.8,10049.0,
2016-11-21,313.9,313.9,270.2,274.3,5974.0,
2016-11-22,283.9,283.9,261.0,278.5,6873.0,
2016-11-23,54.55,58.45,54.5,58.45,4260.0,
2016-11-24,60.9,61.35,60.9,61.35,29931.0,
2016-11-25,61.55,64.4,61.55,64.4,42198.0,
2016-11-28,67.4,67.4,64.0,66.25,57747.0,
2016-11-29,67.45,69.55,65.5,67.2,106361.0,
2016-11-30,66.35,69.0,66.0,66.65,65172.0,
2016-12-01,66.05,67.85,66.0,67.15,66454.0,
2016-12-02,67.4,67.4,63.8,63.8,61777.0,
