,Open,High,Low,Close,Volume,DeliveryPct
2017-03-08,71.15,71.4,67.85,70.05,3622306.0,
2017-03-09,70.0,70.25,69.1,69.3,901609.0,
2017-03-10,69.3,70.4,68.05,68.5,1660525.0,
2017-03-14,71.0,71.35,69.25,70.9,4077779.0,
2017-03-15,71.0,71.35,69.6,69.9,2168400.0,
2017-03-16,70.05,74.0,70.05,73.55,5510518.0,
2017-03-17,74.1,74.5,72.1,73.3,5136854.0,
2017-03-20,73.4,74.4,73.0,73.6,1837578.0,
2017-03-21,74.0,74.0,72.65,73.15,897196.0,
2017-03-22,71.75,74.5,71.7,73.15,1707572.0,
2017-03-23,73.15,74.85,73.1,74.5,1983764.0,
2017-03-24,74.8,77.65,74.4,77.3,4203394.0,
2017-03-27,77.5,78.25,76.4,77.25,2540383.0,
2017-03-28,77.5,78.25,76.45,77.0,1975448.0,
2017-03-29,77.75,77.75,76.6,77.15,1561634.0,
2017-03-30,77.05,78.05,76.25,76.8,2860789.0,
2017-03-31,77.0,78.4,75.0,77.65,2003215.0,
2017-04-03,77.8,80.0,77.4,79.8,1953043.0,
2017-04-05,80.45,81.0,79.75,80.55,1984639.0,
2017-04-06,80.9,81.2,79.0,79.65,3094287.0,
2017-04-07,79.9,79.95,78.5,78.95,967629.0,
2017-04-10,78.95,80.15,78.65,79.7,1341144.0,
2017-04-11,79.6,80.5,78.9,80.0,1837837.0,
2017-04-12,80.05,80.65,78.9,79.5,2318279.0,
2017-04-13,79.05,80.1,78.85,79.85,1568161.0,
2017-04-17,80.2,80.5,79.4,79.75,1486609.0,
2017-04-18,80.0,80.25,78.1,78.6,1954703.0,
2017-04-19,78.8,80.4,77.7,79.65,1339715.0,
2017-04-20,79.4,82.2,79.2,79.8,2908968.0,
2017-04-21,80.5,80.7,78.5,79.55,1546549.0,
2017-04-24,78.55,80.4,78.55,79.8,1623683.0,
2017-04-25,79.5,80.2,78.95,79.55,2060599.0,
2017-04-26,79.5,79.9,77.55,78.05,2136374.0,
