,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,65.9,66.25,65.3,65.8,139848.0,
2016-08-18,65.35,66.0,65.0,65.8,144010.0,
2016-08-19,65.4,67.2,65.3,66.7,437205.0,
2016-08-22,66.9,68.3,66.3,67.95,801193.0,
2016-08-23,68.45,69.45,67.5,68.05,450474.0,
2016-08-24,68.0,69.7,67.95,69.2,559142.0,
2016-08-25,69.25,69.7,67.95,68.15,324658.0,
2016-08-26,67.9,68.25,67.1,67.35,203458.0,
2016-08-29,67.35,68.4,67.15,67.7,226510.0,
2016-08-30,68.2,68.45,67.7,68.05,342556.0,
2016-08-31,67.5,68.5,67.5,67.95,401978.0,
2016-09-01,65.9,65.9,64.4,64.65,312016.0,
2016-09-02,64.5,65.0,64.35,64.8,133005.0,
2016-09-06,65.9,65.9,64.15,64.3,236831.0,
2016-09-07,64.2,64.95,64.2,64.4,169744.0,
2016-09-08,64.5,65.05,64.1,64.75,293675.0,
2016-09-09,64.8,65.05,64.15,64.35,316351.0,
2016-09-12,63.7,63.8,61.6,61.9,262961.0,
2016-09-14,62.35,62.45,61.4,61.75,368724.0,
2016-09-15,62.0,62.8,61.7,61.75,135771.0,
2016-09-16,61.9,62.4,60.0,60.7,436122.0,
2016-09-19,61.1,61.35,60.7,60.9,484353.0,
2016-09-20,60.9,61.25,59.3,59.95,315642.0,
2016-09-21,59.9,60.85,59.6,59.8,337745.0,
2016-09-22,60.4,60.95,59.25,60.0,635499.0,
2016-09-23,60.3,60.8,59.2,59.95,781199.0,
2016-09-26,59.8,60.15,58.9,59.05,186907.0,
2016-09-27,59.05,60.1,59.0,59.2,174523.0,
2016-09-28,59.25,60.05,59.0,59.5,253359.0,
2016-09-29,59.5,60.65,57.2,58.05,939160.0,
2016-09-30,57.2,58.9,57.2,58.25,271670.0,
2016-10-03,58.4,61.0,58.2,60.05,1652514.0,
2016-10-04,60.85,60.85,59.3,59.5,1031062.0,
2016-10-05,59.8,60.7,59.65,59.8,588313.0,
2016-10-06,60.0,60.2,59.05,59.2,390217.0,
2016-10-07,59.5,60.05,59.3,59.55,407911.0,
2016-10-10,59.85,59.9,58.25,58.6,440680.0,
2016-10-13,58.95,58.95,57.45,57.7,494325.0,
2016-10-14,57.8,57.9,56.7,57.0,589905.0,
2016-10-17,57.0,58.5,56.55,56.75,611925.0,
2016-10-18,57.0,58.2,56.8,57.95,742699.0,
2016-10-19,57.9,64.8,57.7,63.2,3676831.0,
2016-10-20,63.6,64.45,62.4,62.95,1310596.0,
2016-10-21,63.25,63.25,61.85,62.1,738485.0,
2016-10-24,62.25,63.05,62.1,62.3,1007651.0,
2016-10-25,62.6,62.6,60.5,61.8,1027700.0,
2016-10-26,62.1,63.2,61.6,62.45,608473.0,
2016-10-27,62.6,63.5,62.35,62.85,793895.0,
2016-10-28,63.0,63.5,62.6,63.0,473848.0,
2016-11-01,64.2,66.8,62.75,65.95,1318117.0,
2016-11-02,65.1,65.2,63.6,64.0,536486.0,
2016-11-03,64.0,64.85,62.1,62.4,579174.0,
2016-11-04,62.7,64.5,61.95,63.9,1295198.0,
2016-11-07,64.65,64.7,62.15,62.35,511101.0,
2016-11-08,62.75,63.1,61.15,61.4,325546.0,
2016-11-09,54.05,59.8,54.05,59.45,563105.0,
2016-11-10,59.9,62.7,59.75,61.6,309358.0,
2016-11-11,60.1,61.5,59.75,59.9,387991.0,
2016-11-15,59.8,60.0,57.2,58.3,396334.0,
2016-11-16,58.65,59.05,57.3,57.85,382203.0,
2016-11-17,57.6,58.45,53.55,55.0,935426.0,
2016-11-18,54.75,57.15,54.05,56.6,740620.0,
2016-11-21,56.75,57.4,55.75,56.85,335227.0,
2016-11-22,57.05,58.4,55.65,58.05,729518.0,
2016-11-23,58.0,59.4,57.5,58.25,704160.0,
2016-11-24,59.4,62.8,57.9,62.05,576539.0,
2016-11-25,63.4,63.7,61.35,63.35,610045.0,
2016-11-28,63.35,63.75,61.1,62.35,251321.0,
2016-11-29,62.05,62.75,61.3,61.55,252908.0,
2016-11-30,62.0,63.8,61.2,63.15,519218.0,
2016-12-01,62.55,65.0,62.35,63.55,966534.0,
2016-12-02,62.6,64.75,62.5,63.85,443646.0,
2016-12-05,63.55,68.25,63.55,67.8,1973327.0,
2016-12-06,68.1,68.75,66.25,66.75,650089.0,
2016-12-07,67.3,70.7,66.5,69.9,1268131.0,
2016-12-08,72.5,74.5,70.5,72.8,3204016.0,
2016-12-09,73.15,73.7,70.75,72.0,820288.0,
2016-12-12,71.3,72.5,70.65,71.45,361287.0,
2016-12-13,71.45,73.6,69.1,71.0,1301199.0,
2016-12-14,71.0,72.8,70.55,71.0,922519.0,
2016-12-15,70.55,72.35,70.15,71.15,487986.0,
2016-12-16,71.0,71.65,68.55,68.95,515824.0,
2016-12-19,68.8,72.8,68.4,70.55,862313.0,
2016-12-20,70.95,71.5,68.25,68.95,403841.0,
2016-12-21,69.15,70.15,68.55,68.95,245616.0,
2016-12-22,69.0,69.75,66.65,67.15,293811.0,
2016-12-23,67.0,67.5,65.2,65.85,322116.0,
2016-12-26,65.0,68.95,64.5,68.15,708521.0,
2016-12-27,69.05,70.45,68.0,70.0,642902.0,
2016-12-28,70.0,71.75,68.9,69.7,426173.0,
2016-12-29,68.6,71.9,68.6,71.25,470794.0,
2016-12-30,71.6,72.4,70.25,71.05,450147.0,
2017-01-02,71.6,72.2,70.85,71.35,274197.0,
2017-01-03,71.5,72.0,70.45,70.8,273602.0,
2017-01-04,70.9,80.25,70.6,78.7,5904763.0,
2017-01-05,80.0,84.0,78.1,83.15,5762526.0,
2017-01-06,83.45,86.45,82.0,85.95,4574413.0,
2017-01-09,85.1,87.25,82.55,86.3,3223425.0,
2017-01-10,86.8,86.9,83.1,83.6,1632830.0,
2017-01-11,84.0,84.0,81.45,82.2,1015715.0,
2017-01-12,82.3,82.7,79.65,80.35,1164493.0,
2017-01-13,80.5,85.5,80.1,83.5,2332125.0,
2017-01-16,83.3,85.65,82.8,84.95,1380419.0,
2017-01-17,85.4,87.8,83.65,86.8,2073356.0,
2017-01-18,86.5,87.4,84.65,85.3,1185442.0,
2017-01-19,85.3,88.55,84.15,86.75,1749203.0,
2017-01-20,86.6,86.6,81.95,82.6,838468.0,
2017-01-23,83.05,84.7,82.15,83.25,456981.0,
2017-01-24,83.65,84.6,82.1,82.4,532881.0,
2017-01-25,82.7,83.7,81.65,82.15,539369.0,
2017-01-27,82.15,85.1,82.15,82.6,968337.0,
2017-01-30,82.5,85.25,81.5,81.95,1442179.0,
2017-01-31,81.8,82.5,80.1,80.5,621912.0,
2017-02-01,80.55,83.35,77.0,78.3,3052609.0,
2017-02-02,78.05,80.45,77.55,78.35,1105147.0,
2017-02-03,78.6,80.8,78.05,79.25,1670525.0,
2017-02-06,80.15,87.4,80.0,84.05,3304455.0,
2017-02-07,83.5,84.7,81.25,82.3,588163.0,
2017-02-08,82.6,82.7,80.1,80.75,874863.0,
2017-02-09,80.55,82.5,80.5,80.75,571724.0,
2017-02-10,81.5,83.85,79.5,80.05,1885410.0,
2017-02-13,80.7,83.5,79.6,80.1,992588.0,
2017-02-14,80.1,81.15,79.15,79.6,509873.0,
2017-02-15,79.9,80.9,79.3,80.25,1135901.0,
2017-02-16,80.5,80.7,79.4,80.1,672821.0,
2017-02-17,80.2,83.6,80.05,81.05,1383098.0,
2017-02-20,81.35,82.9,81.1,81.85,719585.0,
2017-02-21,82.1,84.9,81.8,84.15,1192532.0,
2017-02-22,84.8,86.85,83.95,84.4,1468715.0,
2017-02-23,84.65,84.75,81.05,82.05,672024.0,
2017-02-27,82.1,83.9,81.55,82.55,1014678.0,
2017-02-28,82.8,83.15,81.65,82.5,462101.0,
2017-03-01,82.05,83.8,82.05,83.05,494769.0,
2017-03-02,83.7,83.8,81.6,82.1,438478.0,
2017-03-03,81.7,82.3,80.35,81.0,446074.0,
2017-03-06,81.35,81.9,77.6,78.4,738471.0,
2017-03-07,78.65,79.95,77.6,79.1,327100.0,
2017-03-08,78.5,79.55,76.75,77.0,469026.0,
2017-03-09,76.75,79.75,76.0,77.15,505770.0,
2017-03-10,77.5,79.65,77.5,79.15,733688.0,
2017-03-14,81.5,82.0,78.95,81.4,1189032.0,
2017-03-15,81.45,83.55,80.95,82.35,735092.0,
2017-03-16,82.7,83.55,81.85,82.0,971802.0,
2017-03-17,82.45,83.0,79.8,80.8,815354.0,
2017-03-20,81.5,84.5,80.2,84.25,1131452.0,
2017-03-21,84.6,84.9,82.25,82.85,593376.0,
2017-03-22,82.0,83.8,81.0,81.6,585039.0,
2017-03-23,81.75,82.8,81.0,81.3,354941.0,
2017-03-24,81.7,82.55,80.7,81.0,250148.0,
2017-03-27,81.35,82.6,81.05,81.35,544502.0,
2017-03-28,81.0,84.1,81.0,82.35,736003.0,
2017-03-29,83.05,83.2,81.85,82.7,538078.0,
2017-03-30,82.3,84.2,82.3,83.75,471095.0,
2017-03-31,85.0,91.0,85.0,86.75,5503197.0,
2017-04-03,86.25,90.35,85.65,87.15,1997505.0,
2017-04-05,87.9,89.5,87.5,88.7,840894.0,
2017-04-06,88.5,89.1,86.0,87.1,488979.0,
2017-04-07,86.75,89.3,85.8,86.3,883433.0,
2017-04-10,86.55,87.55,86.05,86.65,433674.0,
2017-04-11,86.95,88.2,84.0,85.95,494035.0,
2017-04-12,85.9,86.7,84.25,85.4,483565.0,
2017-04-13,85.4,85.65,83.5,83.85,300038.0,
2017-04-17,83.8,86.0,83.8,84.5,388855.0,
2017-04-18,84.9,86.75,84.85,85.15,446589.0,
2017-04-19,85.5,85.85,84.0,84.15,241747.0,
2017-04-20,84.6,94.0,83.2,92.1,3544805.0,
2017-04-21,92.9,94.65,90.75,93.05,2313231.0,
2017-04-24,93.7,97.7,93.05,96.05,1754604.0,
2017-04-25,96.5,96.9,93.7,96.0,741083.0,
2017-04-26,96.55,101.0,95.1,98.25,2480916.0,
2017-04-27,99.0,100.85,96.4,99.4,1636414.0,
2017-04-28,99.9,101.0,96.2,100.1,1113286.0,
2017-05-02,101.05,104.2,100.15,100.8,2002330.0,
2017-05-03,101.55,103.2,99.5,101.5,887514.0,
2017-05-04,101.5,118.6,101.05,113.35,6599386.0,
2017-05-05,112.7,115.6,109.1,113.8,3549141.0,
2017-05-08,113.95,119.9,111.7,119.0,2987545.0,
2017-05-09,120.1,122.3,116.6,120.75,2139458.0,
2017-05-10,121.5,138.3,121.5,128.75,7661047.0,
2017-05-11,129.65,133.2,127.6,129.9,3409585.0,
2017-05-12,129.5,131.3,126.2,127.2,1501543.0,
2017-05-15,131.0,133.1,129.15,129.9,1632868.0,
2017-05-16,129.15,131.15,124.1,125.3,1130240.0,
2017-05-17,125.0,125.0,121.0,121.8,2915710.0,
2017-05-18,120.8,126.0,116.55,118.15,1508774.0,
2017-05-19,118.85,121.45,115.1,116.65,859467.0,
2017-05-22,117.7,119.5,113.15,114.3,1016350.0,
2017-05-23,114.85,115.0,106.25,112.55,1280829.0,
2017-05-24,112.6,113.65,104.1,105.6,1643202.0,
2017-05-25,106.25,116.9,105.25,115.45,1744567.0,
2017-05-26,116.2,124.1,115.1,122.95,1761138.0,
2017-05-29,123.85,124.4,118.0,119.15,713543.0,
2017-05-30,117.25,122.75,115.5,118.05,884688.0,
2017-05-31,117.75,124.5,116.9,122.9,1623985.0,
2017-06-01,122.05,125.8,121.1,122.45,946117.0,
2017-06-02,123.0,125.8,122.2,124.85,762449.0,
2017-06-05,124.9,125.4,121.75,123.75,532665.0,
2017-06-06,123.8,124.15,120.0,121.1,469274.0,
2017-06-07,121.4,126.85,120.15,122.1,1311319.0,
2017-06-08,122.0,129.3,121.0,128.25,2136371.0,
2017-06-09,128.9,129.5,125.0,126.95,1410422.0,
2017-06-12,125.6,128.2,124.85,126.75,670160.0,
2017-06-13,126.7,129.2,125.6,126.95,480035.0,
2017-06-14,127.5,130.7,126.5,127.4,2040745.0,
2017-06-15,127.65,128.3,123.35,123.75,750748.0,
2017-06-16,124.45,125.5,120.7,123.45,742204.0,
2017-06-19,124.55,124.8,121.0,121.45,381613.0,
2017-06-20,122.05,123.5,118.0,118.75,528969.0,
2017-06-21,118.4,122.9,118.25,122.25,686005.0,
2017-06-22,123.0,125.95,121.7,122.75,713170.0,
2017-06-23,123.0,123.9,117.05,117.75,550306.0,
2017-06-27,118.1,118.45,111.9,113.35,488239.0,
2017-06-28,111.5,118.95,110.25,117.9,966981.0,
2017-06-29,118.45,123.65,116.75,122.85,1783025.0,
2017-06-30,121.05,122.1,117.0,117.35,1505199.0,
2017-07-03,120.4,122.5,119.5,120.85,1418122.0,
2017-07-04,121.25,129.4,121.0,128.15,2526788.0,
2017-07-05,128.9,139.4,127.0,136.95,4171663.0,
2017-07-06,139.05,140.8,132.0,133.25,1701212.0,
2017-07-07,133.4,135.6,130.1,131.05,847859.0,
2017-07-10,134.0,134.5,115.3,131.75,89931.0,
2017-07-11,132.4,133.5,128.4,129.9,753715.0,
2017-07-12,130.5,131.4,126.0,126.65,858538.0,
2017-07-13,127.2,131.15,126.5,127.3,1033095.0,
2017-07-14,127.5,128.45,124.5,125.35,649863.0,
2017-07-17,125.85,133.45,125.7,132.25,1728840.0,
2017-07-18,132.3,134.2,129.0,130.3,1425678.0,
2017-07-19,130.7,131.5,128.4,129.05,796051.0,
2017-07-20,129.25,132.5,128.55,129.1,645998.0,
2017-07-21,128.1,129.95,127.1,127.75,658075.0,
2017-07-24,127.6,136.8,127.5,134.85,1721557.0,
2017-07-25,135.2,137.15,132.3,135.5,1595564.0,
2017-07-26,135.0,138.6,133.7,137.5,1422928.0,
2017-07-27,136.95,137.7,130.5,131.55,896204.0,
2017-07-28,130.1,134.5,129.6,133.9,777573.0,
2017-07-31,133.7,138.7,132.5,135.45,1046400.0,
2017-08-01,135.45,136.3,133.8,135.2,461860.0,
2017-08-02,135.45,144.5,135.2,141.4,3302948.0,
2017-08-03,141.4,141.5,136.55,138.4,1058256.0,
2017-08-04,139.0,144.9,135.3,140.55,1795170.0,
2017-08-07,141.5,142.8,138.1,141.5,806524.0,
2017-08-08,142.0,145.45,137.65,139.75,1576241.0,
2017-08-09,139.75,142.0,134.8,135.7,1044294.0,
2017-08-10,134.3,136.65,121.1,124.6,1388153.0,
2017-08-11,122.0,134.7,117.05,132.95,1429226.0,
2017-08-14,133.3,139.85,132.9,137.65,764496.0,
2017-08-16,137.0,141.3,134.0,140.45,976057.0,
2017-08-17,138.35,144.4,138.35,141.25,1073332.0,
2017-08-18,141.0,143.3,138.1,140.3,714529.0,
2017-08-21,141.0,141.5,139.1,140.15,566833.0,
2017-08-22,140.4,142.7,139.4,141.5,672047.0,
2017-08-23,142.0,146.7,142.0,144.1,1443900.0,
2017-08-24,143.0,145.6,142.7,143.95,531347.0,
2017-08-28,150.0,151.0,147.5,148.85,1335611.0,
2017-08-29,148.0,149.45,145.1,147.8,651782.0,
2017-08-30,149.25,151.0,145.5,146.45,895940.0,
2017-08-31,146.5,148.2,145.3,146.0,853142.0,
2017-09-01,147.1,148.5,144.25,145.05,431839.0,
2017-09-04,145.6,150.7,142.45,149.7,1212553.0,
2017-09-05,150.5,152.5,147.3,148.35,1452578.0,
2017-09-06,146.95,151.0,145.2,150.05,1819140.0,
2017-09-07,151.4,151.5,147.55,147.95,528660.0,
2017-09-08,148.0,150.15,147.1,148.1,544863.0,
2017-09-11,149.9,149.9,147.1,148.05,553677.0,
2017-09-12,149.4,149.4,145.55,146.35,441005.0,
2017-09-13,146.5,151.4,146.0,147.5,806677.0,
2017-09-14,148.5,149.6,146.6,147.4,335286.0,
2017-09-15,146.8,150.4,146.3,149.55,579524.0,
