,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,271.9,279.3,270.9,276.3,1098165.0,
2016-08-18,277.0,281.6,274.05,278.05,847420.0,
2016-08-19,278.6,279.1,268.5,270.4,706975.0,
2016-08-22,271.3,275.9,265.0,269.05,874018.0,
2016-08-23,271.0,273.5,261.55,264.55,841488.0,
2016-08-24,264.7,284.0,262.7,281.95,2420749.0,
2016-08-25,283.0,286.85,273.35,275.8,1334172.0,
2016-08-26,277.0,283.8,273.15,281.1,1136845.0,
2016-08-29,281.95,301.0,278.2,283.3,4119394.0,
2016-08-30,282.5,290.6,281.5,289.05,1421742.0,
2016-08-31,289.0,296.3,288.05,294.5,1382885.0,
2016-09-01,296.5,303.0,292.0,295.75,1605609.0,
2016-09-02,297.5,304.0,295.0,300.5,1402686.0,
2016-09-06,302.0,309.5,301.5,305.35,1202629.0,
2016-09-07,307.0,312.4,295.1,298.2,2253589.0,
2016-09-08,294.0,297.7,287.25,289.0,1021237.0,
2016-09-09,285.25,291.0,282.3,285.25,1014212.0,
2016-09-12,276.0,290.4,276.0,283.1,914110.0,
2016-09-14,284.0,293.8,284.0,291.8,819809.0,
2016-09-15,292.95,294.0,286.35,287.95,330753.0,
2016-09-16,290.55,307.0,285.3,301.7,1562556.0,
2016-09-19,304.5,306.5,297.0,300.05,651310.0,
2016-09-20,300.0,309.9,298.3,303.25,1114988.0,
2016-09-21,304.9,307.2,300.1,301.9,389701.0,
2016-09-22,304.0,307.0,302.5,303.75,407525.0,
2016-09-23,303.6,305.7,300.7,302.9,371267.0,
2016-09-26,303.0,309.0,301.05,302.75,641975.0,
2016-09-27,305.0,307.5,299.65,304.0,475402.0,
2016-09-28,305.8,305.8,296.3,299.2,344106.0,
2016-09-29,302.7,303.5,274.15,280.0,662478.0,
2016-09-30,280.1,292.0,279.55,287.25,450740.0,
2016-10-03,290.0,301.8,289.55,297.3,509196.0,
2016-10-04,299.0,300.65,289.7,291.4,574441.0,
2016-10-05,292.5,294.95,287.55,289.5,637982.0,
2016-10-06,290.6,303.25,288.2,293.95,1650027.0,
2016-10-07,297.0,304.0,294.75,297.75,1251297.0,
2016-10-10,299.9,299.9,291.8,292.9,390130.0,
2016-10-13,293.0,296.8,287.2,289.9,606535.0,
2016-10-14,291.35,294.0,286.5,287.65,461954.0,
2016-10-17,291.0,294.65,285.35,286.85,541628.0,
2016-10-18,288.8,292.45,286.1,290.25,279703.0,
2016-10-19,291.6,295.0,288.5,292.95,374571.0,
2016-10-20,293.5,293.9,289.1,289.8,335831.0,
2016-10-21,290.4,291.4,286.0,287.6,344059.0,
2016-10-24,288.0,293.55,286.8,291.45,316626.0,
2016-10-25,293.0,293.0,286.5,287.2,184262.0,
2016-10-26,286.1,289.7,285.2,286.4,198168.0,
2016-10-27,285.1,286.9,281.1,281.95,194045.0,
2016-10-28,282.15,286.7,279.0,281.15,237520.0,
2016-11-01,284.0,290.8,284.0,285.65,359063.0,
2016-11-02,282.25,284.8,273.3,274.85,294842.0,
2016-11-03,276.0,276.95,257.5,259.2,530933.0,
2016-11-04,261.05,262.5,251.0,253.0,402781.0,
2016-11-07,256.0,272.4,255.5,268.0,657914.0,
2016-11-08,272.1,272.85,267.95,270.8,219435.0,
2016-11-09,226.65,273.25,226.65,270.05,676958.0,
2016-11-10,275.0,280.65,273.2,274.35,270135.0,
2016-11-11,271.6,271.8,260.0,261.45,293854.0,
2016-11-15,262.0,264.0,230.05,233.85,579667.0,
