,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,1110.0,1131.0,1105.0,1127.55,25375.0,
2016-08-18,1126.0,1135.0,1105.0,1112.85,222106.0,
2016-08-19,1103.05,1139.0,1103.05,1117.2,64718.0,
2016-08-22,1114.0,1131.9,1098.7,1106.0,39691.0,
2016-08-23,1110.0,1121.95,1075.0,1088.5,293138.0,
2016-08-24,1114.2,1116.1,1079.0,1087.25,148183.0,
2016-08-25,1090.0,1115.0,1087.75,1104.3,191861.0,
2016-08-26,1106.9,1178.0,1098.05,1159.65,202779.0,
2016-08-29,1166.9,1194.0,1131.65,1167.15,122708.0,
2016-08-30,1170.0,1183.75,1160.0,1170.25,26609.0,
2016-08-31,1167.0,1172.7,1155.1,1159.5,31921.0,
2016-09-01,1169.8,1172.0,1159.95,1166.1,70576.0,
2016-09-02,1170.0,1215.0,1083.0,1098.6,8193966.0,
2016-09-06,1107.3,1115.8,1063.3,1109.3,581077.0,
2016-09-07,1116.0,1119.4,1090.5,1113.3,483058.0,
2016-09-08,1110.0,1119.75,1093.0,1099.5,158332.0,
2016-09-09,1081.0,1117.0,1081.0,1102.85,535847.0,
2016-09-12,1072.9,1097.0,1056.65,1062.15,201313.0,
2016-09-14,1057.15,1083.65,1057.15,1074.3,154946.0,
2016-09-15,1097.0,1104.0,1081.05,1099.1,155588.0,
2016-09-16,1109.9,1114.2,1055.0,1098.25,1209087.0,
2016-09-19,1098.0,1104.75,1075.0,1084.8,110306.0,
2016-09-20,1084.0,1104.8,1080.05,1083.3,109673.0,
2016-09-21,1089.0,1094.3,1071.0,1077.0,119775.0,
2016-09-22,1090.7,1127.7,1083.1,1115.05,481947.0,
2016-09-23,1116.0,1134.8,1102.0,1117.15,128523.0,
2016-09-26,1119.7,1145.7,1104.0,1131.65,139045.0,
2016-09-27,1134.0,1171.0,1122.25,1135.85,164153.0,
2016-09-28,1139.95,1147.65,1123.85,1138.6,135821.0,
2016-09-29,1147.3,1160.75,1039.95,1123.4,314191.0,
2016-09-30,1136.9,1189.95,1096.9,1157.35,181338.0,
2016-10-03,1175.0,1207.0,1151.45,1181.05,117197.0,
2016-10-04,1183.0,1225.5,1179.05,1210.85,273455.0,
2016-10-05,1215.0,1234.9,1200.1,1228.15,84263.0,
2016-10-06,1235.0,1243.0,1200.0,1210.6,55638.0,
2016-10-07,1210.0,1230.0,1190.0,1198.9,44077.0,
2016-10-10,1198.9,1210.15,1181.1,1183.75,133221.0,
2016-10-13,1194.3,1195.0,1154.2,1186.0,150210.0,
2016-10-14,1196.25,1209.0,1182.65,1204.75,48048.0,
2016-10-17,1214.0,1229.0,1189.0,1201.6,199057.0,
2016-10-18,1201.0,1211.0,1178.0,1195.65,53917.0,
2016-10-19,1204.2,1212.0,1181.5,1187.75,46592.0,
2016-10-20,1180.5,1203.0,1180.5,1185.45,38367.0,
2016-10-21,1194.9,1217.95,1192.0,1208.65,50508.0,
2016-10-24,1208.0,1219.0,1182.1,1189.75,31109.0,
2016-10-25,1189.0,1198.9,1168.4,1175.7,88409.0,
2016-10-26,1175.05,1194.4,1120.0,1153.55,95630.0,
2016-10-27,1167.8,1168.0,1133.6,1139.15,53196.0,
2016-10-28,1147.0,1198.0,1145.0,1185.4,139101.0,
2016-11-01,1185.8,1186.35,1155.25,1166.45,32695.0,
2016-11-02,1175.4,1175.4,1136.0,1162.55,114335.0,
2016-11-03,1167.9,1168.0,1121.1,1136.35,178408.0,
2016-11-04,1138.0,1159.85,1090.0,1118.3,143576.0,
2016-11-07,1160.0,1160.0,1106.2,1116.7,233881.0,
2016-11-08,1134.9,1134.95,1098.4,1108.2,37901.0,
2016-11-09,1049.95,1078.75,933.25,1050.2,175921.0,
2016-11-10,1071.4,1076.0,976.35,987.5,401631.0,
2016-11-11,987.5,998.0,870.0,935.7,534637.0,
2016-11-15,938.0,940.0,816.0,907.35,321040.0,
2016-11-16,920.0,1000.0,904.1,976.55,414163.0,
2016-11-17,970.0,1080.0,905.65,1014.55,333644.0,
2016-11-18,1036.0,1044.0,955.0,984.4,287222.0,
2016-11-21,985.0,1011.0,950.0,984.05,422122.0,
2016-11-22,984.0,1025.0,983.9,997.2,479125.0,
2016-11-23,999.0,1007.8,977.2,990.3,1033352.0,
2016-11-24,990.0,990.0,952.55,966.0,109829.0,
