,Open,High,Low,Close,Volume,DeliveryPct
2019-04-09,491.0,497.9,486.0,494.9,9862.0,
2019-04-10,493.15,499.9,478.0,486.8,39431.0,
2019-04-11,482.3,489.85,475.95,484.55,7874.0,
2019-04-12,484.65,487.35,480.3,485.7,5794.0,
2019-04-15,492.95,495.0,487.05,494.0,122806.0,
2019-04-16,503.95,509.0,494.05,508.2,32297.0,
2019-04-18,508.2,508.2,489.3,497.45,32919.0,
2019-04-22,488.05,506.0,487.5,499.45,75677.0,
2019-04-23,490.05,510.0,490.05,505.1,928471.0,
2019-04-24,505.1,507.1,504.95,506.25,54205.0,
2019-04-25,507.0,513.0,505.1,510.15,50454.0,
2019-04-26,499.9,520.0,498.95,516.95,34971.0,
2019-04-30,527.0,527.0,508.0,516.15,125095.0,
2019-05-02,511.15,519.55,502.7,510.9,691288.0,
2019-05-03,510.9,517.4,495.0,515.05,244685.0,
2019-05-06,515.1,515.1,505.0,514.5,37839.0,
2019-05-07,514.95,514.95,502.5,509.85,69833.0,
2019-05-08,505.1,508.75,503.0,507.65,16156.0,
2019-05-09,499.95,508.5,499.95,506.45,26189.0,
2019-05-10,506.9,514.75,503.55,511.55,83505.0,
2019-05-13,511.8,513.6,504.15,509.9,282652.0,
2019-05-14,506.1,513.95,505.3,509.0,61912.0,
2019-05-15,508.25,515.3,507.95,512.6,24943.0,
2019-05-16,511.75,511.95,508.0,510.75,21380.0,
2019-05-17,511.0,514.15,500.55,506.7,45945.0,
2019-05-20,501.1,521.7,483.3,520.25,68385.0,
2019-05-21,517.1,522.0,504.6,516.15,50947.0,
2019-05-22,511.85,517.7,507.35,515.0,15581.0,
2019-05-23,514.05,521.0,503.1,506.4,116692.0,
2019-05-24,510.25,522.0,500.05,519.15,62154.0,
2019-05-27,521.85,521.9,507.2,508.35,32135.0,
2019-05-28,511.0,522.0,490.05,497.25,107792.0,
2019-05-29,493.1,503.75,489.0,491.95,11286.0,
2019-05-30,499.9,499.9,488.1,495.85,27981.0,
2019-05-31,499.65,505.6,484.4,499.15,172489.0,
2019-06-03,496.2,502.0,493.95,498.35,8449.0,
2019-06-04,499.35,501.85,493.0,500.2,12204.0,
2019-06-06,490.2,504.9,490.2,495.6,16963.0,
2019-06-07,501.95,502.0,490.85,499.75,21413.0,
2019-06-10,499.75,504.9,496.5,500.5,13414.0,
2019-06-11,495.6,504.85,495.6,500.75,74411.0,
2019-06-12,495.1,500.5,493.1,496.6,50993.0,
2019-06-13,495.15,497.95,490.85,495.8,60017.0,
2019-06-14,495.75,498.35,483.65,489.5,34122.0,
2019-06-17,497.85,497.85,478.85,486.65,26602.0,
2019-06-18,476.9,488.85,476.9,486.0,11435.0,
2019-06-19,476.3,490.0,476.3,483.05,13108.0,
2019-06-20,478.0,489.0,472.9,480.05,63548.0,
2019-06-21,484.0,488.45,475.5,481.4,13748.0,
2019-06-24,475.0,486.0,472.95,474.3,8818.0,
2019-06-25,464.8,482.0,463.35,478.95,10372.0,
2019-06-26,487.0,487.0,468.0,471.4,591695.0,
2019-06-27,462.0,477.6,462.0,471.45,731927.0,
2019-06-28,470.0,470.0,463.05,466.75,39868.0,
2019-07-01,465.0,473.5,465.0,467.15,210018.0,
2019-07-02,467.15,474.45,456.4,472.9,41033.0,
2019-07-03,472.0,485.0,466.5,471.5,11323.0,
2019-07-04,473.0,473.0,465.0,466.3,156729.0,
2019-07-05,468.0,477.8,462.6,475.35,597507.0,
2019-07-08,477.0,479.35,463.1,474.5,28138.0,
2019-07-09,471.45,487.35,466.0,481.05,30028.0,
2019-07-10,480.0,502.9,480.0,496.8,30212.0,
2019-07-11,503.2,503.2,490.0,495.65,7322.0,
2019-07-12,496.0,498.55,481.3,488.15,333262.0,
2019-07-15,481.7,488.75,474.95,481.2,18639.0,
2019-07-16,480.0,495.85,479.2,494.45,54694.0,
2019-07-17,493.55,496.05,480.05,493.85,39499.0,
2019-07-18,491.6,499.0,482.25,493.65,20007.0,
2019-07-19,484.5,493.85,475.3,489.7,920089.0,
2019-07-22,481.0,495.0,480.3,491.95,64908.0,
2019-07-23,482.1,492.95,482.1,488.7,31695.0,
2019-07-24,480.3,495.25,471.65,489.85,449575.0,
2019-07-25,480.0,495.25,476.5,482.45,25586.0,
2019-07-26,472.05,483.0,462.35,465.1,128917.0,
2019-07-29,463.0,465.5,452.7,462.0,168347.0,
2019-07-30,462.0,465.9,450.0,454.0,108198.0,
2019-07-31,445.15,459.95,428.2,455.4,26479.0,
2019-08-01,457.0,471.9,445.0,454.0,953012.0,
2019-08-02,473.85,479.0,442.3,470.35,511469.0,
2019-08-05,470.35,473.45,446.15,467.65,72989.0,
2019-08-06,450.0,478.0,450.0,475.1,36007.0,
2019-08-07,467.6,482.5,467.0,481.0,34828.0,
2019-08-08,472.3,488.5,471.7,483.6,11488.0,
2019-08-09,483.6,493.65,475.3,479.0,16570.0,
2019-08-13,465.2,480.05,461.45,470.1,886013.0,
2019-08-14,460.5,483.7,460.5,481.2,8039.0,
2019-08-16,466.0,472.0,464.45,470.4,17142.0,
2019-08-19,461.0,483.95,461.0,482.05,9716.0,
2019-08-20,470.0,479.35,465.2,468.85,3994.0,
2019-08-21,462.35,473.95,461.0,462.95,185104.0,
2019-08-22,458.0,472.0,458.0,464.35,363309.0,
2019-08-23,457.0,464.95,453.3,456.65,77495.0,79.9
2019-09-30,462.0,477.6,462.0,471.45,731927.0,97.49
2019-10-01,484.05,489.95,468.0,483.3,55979.0,63.84
2019-10-02,484.05,489.95,468.0,483.3,55979.0,63.84
2019-10-03,487.65,488.45,472.05,483.35,21570.0,57.74
2019-10-04,481.85,482.25,470.0,475.0,34450.0,72.44
2019-10-07,476.15,478.0,463.55,475.15,18726.0,56.71
2019-10-08,476.15,478.0,463.55,475.15,18726.0,56.71
2019-10-09,475.15,483.1,462.3,477.95,32367.0,64.3
2019-10-10,475.2,478.0,466.3,475.05,25481.0,61.24
2019-10-11,472.55,476.35,455.45,459.8,14899.0,64.29
2019-10-14,461.45,476.0,455.0,472.2,44204.0,69.74
2019-10-15,465.1,476.9,463.0,465.95,26602.0,74.08
2019-10-16,466.0,469.85,456.3,466.15,43769.0,67.61
2019-10-17,466.95,469.7,457.7,462.75,61325.0,73.24
2019-10-18,462.35,467.3,459.1,464.9,444249.0,96.54
2019-10-21,462.35,467.3,459.1,464.9,444249.0,96.54
2019-10-22,467.55,470.95,453.2,462.9,159568.0,84.44
2019-10-23,465.5,465.5,456.05,460.15,10476.0,48.0
2019-10-24,464.9,464.95,448.35,454.4,174489.0,89.64
2019-10-25,452.2,457.5,441.3,446.6,22512.0,69.11
2019-10-28,445.35,454.0,445.3,451.6,3652.0,84.86
2019-10-29,451.5,460.95,448.95,459.05,34030.0,74.2
2019-10-30,459.2,460.85,450.3,459.15,17374.0,56.98
2019-10-31,460.75,460.75,453.0,456.2,13261.0,72.75
2019-11-01,452.95,487.05,452.95,470.6,27988.0,53.6
2019-11-04,478.65,479.0,466.0,470.0,228107.0,95.16
2019-11-05,475.7,478.45,469.2,474.4,33662.0,83.1
2019-11-06,480.0,480.0,467.25,468.75,30565.0,73.7
2019-11-07,465.0,480.0,461.35,475.4,114977.0,87.44
2019-11-08,474.55,484.85,465.1,479.95,25903.0,56.48
2019-11-11,481.6,492.55,466.65,472.25,34643.0,63.54
2019-11-12,481.6,492.55,466.65,472.25,34643.0,63.54
2019-11-13,468.75,473.75,451.35,467.25,51556.0,61.63
2019-11-14,465.65,478.8,457.0,470.15,29941.0,59.79
2019-11-15,475.1,480.0,465.85,478.8,13068.0,58.87
2019-11-18,478.8,480.0,470.1,477.85,23839.0,51.61
2019-11-19,479.85,499.95,472.85,492.0,264929.0,88.87
2019-11-20,499.0,501.5,485.45,499.9,112176.0,68.26
2019-11-21,499.9,503.0,483.75,487.2,14744.0,61.05
2019-11-22,481.1,489.95,471.0,485.75,36771.0,58.91
2019-11-25,476.5,489.95,476.5,488.55,11696.0,59.34
2019-11-26,489.9,495.0,462.65,471.65,467890.0,96.38
2019-11-27,474.0,476.5,462.75,471.95,69612.0,71.65
2019-11-28,469.1,482.95,467.7,479.8,16814.0,64.11
2019-11-29,475.15,498.95,475.15,496.15,41601.0,83.56
2019-12-02,510.0,510.0,478.0,481.75,32557.0,69.09
2019-12-03,480.95,486.8,472.1,484.0,49275.0,72.97
2019-12-04,479.3,499.0,474.3,496.0,271710.0,92.4
2019-12-05,495.0,499.75,482.0,485.85,113254.0,90.28
2019-12-06,489.25,499.2,484.2,492.9,30867.0,65.96
2019-12-09,491.9,500.5,485.15,493.25,162526.0,92.45
2019-12-10,490.7,495.35,485.2,490.05,30885.0,73.88
