,Open,High,Low,Close,Volume,DeliveryPct
2023-06-19,508.8,531.9,505.0,526.4,1177733.0,58.58
2023-06-20,529.0,534.4,493.2,511.25,541164.0,46.81
2023-06-21,502.2,516.5,502.0,513.2,484748.0,41.95
2023-06-22,513.2,525.0,508.0,520.25,589900.0,49.64
2023-06-23,522.9,523.8,507.0,513.25,540533.0,48.13
2023-06-26,513.0,521.0,505.5,518.45,475318.0,43.41
2023-06-27,518.45,530.0,514.0,518.05,380345.0,68.78
2023-06-28,518.95,521.3,512.85,519.05,222020.0,58.43
2023-06-29,518.95,521.3,512.85,519.05,222020.0,58.43
2023-06-30,520.0,521.0,513.1,515.5,246402.0,53.67
2023-07-03,515.5,521.55,512.1,516.2,481345.0,66.3
2023-07-04,517.0,535.5,516.4,525.9,896568.0,46.97
2023-07-05,525.0,535.4,524.0,531.35,589108.0,57.03
2023-07-06,531.3,542.3,526.1,529.3,640490.0,49.48
2023-07-07,528.9,537.65,526.2,532.9,267625.0,45.59
2023-07-10,533.0,540.6,525.4,530.25,331787.0,53.05
2023-07-11,529.85,548.95,529.85,546.1,636118.0,54.46
2023-07-12,548.0,559.7,544.0,549.45,612210.0,35.03
2023-07-13,551.9,557.5,541.0,544.45,334985.0,50.55
2023-07-14,545.9,549.4,537.2,542.6,291920.0,45.48
2023-07-17,545.0,546.85,538.0,541.05,358405.0,61.98
2023-07-18,543.45,546.4,522.15,530.35,438800.0,59.5
2023-07-19,546.0,579.75,508.75,517.85,4468666.0,27.78
2023-07-20,520.0,537.8,519.25,524.1,1364467.0,45.86
2023-07-21,525.45,525.5,487.0,492.1,1367695.0,53.6
2023-07-24,491.0,503.95,486.0,491.7,1037418.0,48.38
2023-07-25,490.0,492.95,473.05,478.1,1584324.0,59.86
2023-07-26,481.8,487.85,476.0,477.65,678469.0,52.99
2023-07-27,479.2,484.45,473.05,475.55,635580.0,65.37
2023-07-28,470.15,475.5,458.8,473.5,1091182.0,43.43
2023-07-31,473.7,515.75,473.7,509.85,2211633.0,37.47
2023-08-01,508.95,510.0,485.35,497.85,1250824.0,45.12
2023-08-02,500.7,509.25,489.6,497.2,771511.0,42.3
2023-08-03,497.95,504.95,488.95,502.2,460147.0,48.36
2023-08-04,502.25,505.4,494.75,495.85,333744.0,45.64
2023-08-07,501.5,501.5,483.0,485.4,425724.0,65.51
2023-08-08,486.0,494.0,473.2,476.35,421831.0,64.23
2023-08-09,474.05,481.6,467.8,470.75,401243.0,59.07
2023-08-10,470.0,476.0,464.4,467.35,609359.0,60.01
2023-08-11,471.95,492.9,471.95,490.35,991641.0,47.74
2023-08-14,490.35,492.0,477.75,485.25,445368.0,53.43
2023-08-15,490.35,492.0,477.75,485.25,445368.0,53.43
2023-08-16,484.0,490.6,473.75,480.4,379849.0,66.23
2023-08-17,480.5,482.45,472.05,480.2,447023.0,62.77
2023-08-18,480.0,485.1,479.75,483.25,277223.0,60.52
2023-08-21,484.4,505.0,478.1,500.5,986605.0,36.97
2023-08-22,498.65,503.65,493.5,496.25,275525.0,50.45
2023-08-23,506.0,520.95,504.45,513.45,1211705.0,37.07
2023-08-24,519.45,524.5,512.0,517.1,704275.0,53.73
2023-08-25,519.0,519.15,504.5,505.5,412132.0,60.23
2023-08-28,508.95,514.2,507.0,508.2,266165.0,57.34
2023-08-29,511.9,512.0,502.05,506.75,243890.0,58.23
2023-08-30,508.8,517.1,502.0,514.95,669842.0,30.37
2023-08-31,518.0,525.95,509.5,522.7,946430.0,78.51
2023-09-01,528.0,531.1,515.05,519.45,478728.0,47.48
2023-09-04,522.0,525.1,512.5,513.75,579991.0,73.89
2023-09-05,514.6,516.9,506.0,510.75,309686.0,54.34
2023-09-06,511.85,515.65,502.3,507.7,585476.0,70.16
2023-09-07,508.1,509.5,493.5,498.6,921219.0,72.26
2023-09-08,498.0,512.6,496.7,503.35,519179.0,50.83
2023-09-11,503.25,508.0,495.0,500.3,510570.0,58.38
2023-09-12,503.3,503.3,483.0,495.55,564550.0,62.53
2023-09-13,496.25,496.95,486.0,494.05,237189.0,57.96
2023-09-14,499.9,506.0,489.1,493.8,491554.0,54.89
2023-09-15,495.2,512.0,489.8,508.25,840424.0,41.1
2023-09-18,512.0,513.75,492.5,495.1,421542.0,41.02
2023-09-19,512.0,513.75,492.5,495.1,421542.0,41.02
2023-09-20,497.0,497.0,489.05,491.3,335041.0,53.21
2023-09-21,491.95,491.95,477.55,482.55,298404.0,55.79
2023-09-22,483.05,486.2,469.0,473.6,312483.0,56.92
2023-09-25,473.0,483.0,468.8,480.35,238319.0,53.95
2023-09-26,486.0,486.05,473.8,482.6,277091.0,56.02
2023-09-27,479.95,481.0,472.5,474.75,297770.0,55.98
2023-09-28,479.4,488.8,467.25,483.95,868533.0,65.46
2023-09-29,488.0,488.25,476.5,480.75,393741.0,48.82
2023-10-02,488.0,488.25,476.5,480.75,393741.0,48.82
2023-10-03,485.0,487.95,473.5,475.85,311522.0,58.51
2023-10-04,477.05,479.4,458.2,465.15,646509.0,61.73
2023-10-05,468.9,478.1,466.3,474.85,567481.0,54.67
2023-10-06,476.0,480.45,468.2,470.1,540423.0,69.08
2023-10-09,469.5,469.5,459.0,460.95,321123.0,64.83
2023-10-10,460.6,466.0,459.55,460.8,643812.0,74.99
2023-10-11,464.8,466.7,457.15,461.8,714805.0,78.86
2023-10-12,463.1,469.3,459.65,466.05,758096.0,67.6
2023-10-13,466.2,469.3,462.2,463.25,328511.0,73.68
2023-10-16,461.5,477.95,460.25,476.3,443878.0,45.59
2023-10-17,479.9,495.95,478.2,493.85,991745.0,38.76
2023-10-18,500.0,500.0,480.0,483.75,1478607.0,47.66
2023-10-19,483.75,484.0,463.75,466.2,1307268.0,72.28
2023-10-20,466.0,466.0,440.4,454.45,2114285.0,50.9
2023-10-23,454.95,457.55,446.45,449.3,631593.0,59.17
2023-10-24,454.95,457.55,446.45,449.3,631593.0,59.17
2023-10-25,453.0,461.5,443.05,459.25,458971.0,56.29
2023-10-26,453.9,460.0,448.35,452.9,812035.0,65.41
2023-10-27,455.25,462.2,453.0,460.2,569743.0,67.82
2023-10-30,463.6,473.6,452.0,472.95,511212.0,52.4
2023-10-31,473.3,473.9,459.25,460.15,493337.0,59.11
2023-11-01,463.95,463.95,450.75,454.65,849488.0,72.37
2023-11-02,455.25,469.5,455.25,468.3,801741.0,72.55
2023-11-03,471.55,486.15,465.1,481.7,797458.0,50.81
2023-11-06,485.15,487.8,480.2,481.85,451680.0,55.74
2023-11-07,482.95,486.0,472.5,484.05,267152.0,45.59
2023-11-08,485.0,486.2,473.1,476.85,281321.0,54.84
2023-11-09,477.45,477.45,466.5,473.1,368353.0,56.31
2023-11-10,470.35,472.3,467.2,470.25,304043.0,71.3
2023-11-13,473.9,488.6,472.05,485.2,678168.0,56.59
2023-11-14,473.9,488.6,472.05,485.2,678168.0,56.59
2023-11-15,492.75,498.0,487.35,494.55,670593.0,51.04
2023-11-16,498.0,499.0,484.75,491.6,251258.0,46.92
2023-11-17,494.75,498.0,489.3,493.15,244045.0,47.73
2023-11-20,500.0,508.5,498.0,500.6,682969.0,49.23
2023-11-21,508.1,508.5,492.0,494.2,489098.0,60.38
2023-11-22,495.1,495.7,482.75,486.95,414105.0,72.01
2023-11-23,487.2,488.9,474.4,477.95,289135.0,56.79
2023-11-24,478.0,480.3,472.65,474.75,276589.0,64.82
2023-11-27,478.0,480.3,472.65,474.75,276589.0,64.82
2023-11-28,480.0,480.0,464.2,469.95,984974.0,75.93
2023-11-29,474.75,485.4,471.75,479.2,861961.0,70.48
2023-11-30,480.05,482.5,474.1,477.9,858910.0,81.94
2023-12-01,480.0,487.9,480.0,485.0,553260.0,68.36
2023-12-04,492.0,497.2,488.15,493.4,459169.0,54.73
2023-12-05,494.0,500.75,489.95,494.75,599121.0,66.62
2023-12-06,494.0,496.95,488.45,491.6,623048.0,69.47
2023-12-07,491.8,495.35,487.55,490.9,225634.0,57.83
2023-12-08,491.0,493.2,475.05,484.05,423479.0,56.52
2023-12-11,485.0,496.0,484.0,492.6,291319.0,38.57
2023-12-12,492.6,494.65,479.05,483.8,491533.0,68.88
2023-12-13,488.0,488.0,474.15,479.35,775099.0,80.91
2023-12-14,481.9,486.1,478.3,480.85,337796.0,70.04
2023-12-15,480.85,484.8,471.5,477.6,537417.0,63.16
2023-12-18,478.8,486.75,474.0,480.4,662779.0,50.55
2023-12-19,480.0,481.9,471.8,473.9,400114.0,67.54
2023-12-20,477.5,477.5,458.25,465.1,434477.0,71.86
2023-12-21,455.0,471.95,455.0,465.25,516273.0,68.69
2023-12-22,463.55,479.4,462.75,478.1,474035.0,57.65
2023-12-25,463.55,479.4,462.75,478.1,474035.0,57.65
2023-12-26,479.0,479.95,469.3,474.2,542262.0,65.54
2023-12-27,475.4,477.0,468.1,471.35,521452.0,64.63
2023-12-28,472.8,479.5,469.6,475.0,393841.0,65.24
2023-12-29,478.0,478.95,469.55,470.7,1515861.0,81.2
2024-01-01,472.3,498.5,471.0,495.8,1838941.0,38.98
2024-01-02,495.0,497.35,477.35,489.45,1424262.0,55.12
2024-01-03,489.45,492.0,479.35,487.45,552484.0,55.7
2024-01-04,489.85,491.75,481.6,487.35,440878.0,54.1
2024-01-05,487.55,489.8,480.25,484.75,286602.0,61.62
2024-01-08,485.0,487.4,471.6,474.55,641751.0,72.96
2024-01-09,476.9,484.8,476.3,481.2,293038.0,62.97
2024-01-10,482.15,484.0,473.5,482.5,327858.0,56.15
2024-01-11,485.0,497.9,480.5,489.5,839458.0,37.46
2024-01-12,489.4,496.5,485.3,491.9,522241.0,51.4
2024-01-15,494.4,496.4,487.5,490.05,281029.0,55.5
2024-01-16,489.9,494.7,487.5,491.5,412571.0,61.35
2024-01-17,487.75,494.0,482.5,492.4,434366.0,63.9
2024-01-18,489.0,502.95,478.25,493.7,571802.0,41.46
2024-01-19,495.7,497.5,487.75,491.0,459219.0,62.99
2024-01-22,493.0,493.5,485.3,490.0,282390.0,74.05
2024-01-23,490.3,492.1,475.5,480.0,435146.0,59.59
2024-01-24,480.0,488.0,472.85,486.55,338476.0,53.84
2024-01-25,486.55,490.3,482.35,485.4,154069.0,50.31
2024-01-26,486.55,490.3,482.35,485.4,154069.0,50.31
2024-01-29,485.4,486.45,475.25,478.6,349815.0,58.13
2024-01-30,480.1,482.0,475.3,478.05,274526.0,67.51
2024-01-31,481.0,490.95,476.1,485.45,881529.0,50.15
2024-02-01,486.4,491.2,479.05,480.5,545669.0,68.23
2024-02-02,483.0,490.65,482.6,486.75,526634.0,72.67
2024-02-05,487.6,502.8,484.0,494.05,998769.0,45.31
2024-02-06,500.0,501.45,490.0,493.15,450326.0,55.3
2024-02-07,491.2,493.8,485.85,489.6,339363.0,64.28
2024-02-08,492.15,493.1,480.0,481.1,194578.0,58.5
2024-02-09,480.0,487.5,477.0,484.75,406133.0,58.48
2024-02-12,487.5,491.0,480.0,484.45,434768.0,59.77
2024-02-13,482.9,483.2,468.35,474.55,364955.0,61.73
2024-02-14,471.2,486.6,467.0,483.55,237135.0,57.44
2024-02-15,487.0,492.9,478.7,480.55,490191.0,53.21
2024-02-16,484.0,485.95,477.0,483.6,314076.0,52.77
2024-02-19,490.1,496.5,481.2,483.25,375543.0,45.8
2024-02-20,483.25,494.1,470.0,472.85,1430233.0,58.66
