,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,553.7,557.5,548.0,552.65,1434412.0,
2016-08-19,552.85,560.55,552.5,556.8,1598177.0,
2016-08-22,557.0,564.9,552.3,557.6,1218782.0,
2016-08-23,557.6,557.75,552.05,555.65,874783.0,
2016-08-24,559.8,572.0,553.85,567.2,2340210.0,
2016-08-25,570.0,574.55,560.0,562.9,3471437.0,
2016-08-26,567.5,571.7,562.35,567.25,2196070.0,
2016-08-29,568.3,570.35,562.9,568.0,1085860.0,
2016-08-30,570.0,581.45,567.7,576.1,1075723.0,
2016-08-31,581.05,587.5,570.0,572.95,3596264.0,
2016-09-01,575.0,581.3,571.0,579.15,960422.0,
2016-09-02,580.3,581.1,571.5,577.95,880437.0,
2016-09-06,585.0,586.3,576.0,578.6,1189215.0,
2016-09-07,580.05,585.95,575.1,580.75,1786522.0,
2016-09-08,581.2,598.4,581.2,595.15,1573263.0,
2016-09-09,595.1,595.6,578.0,580.5,1513978.0,
2016-09-12,572.2,579.2,562.3,570.1,1296182.0,
2016-09-14,570.0,583.7,569.8,577.5,1579482.0,
2016-09-15,579.0,591.0,576.85,585.4,1294197.0,
2016-09-16,587.1,596.0,586.1,593.55,2145891.0,
2016-09-19,594.9,600.0,593.25,597.8,1213754.0,
2016-09-20,598.7,607.5,596.0,602.85,2209606.0,
2016-09-21,602.85,607.0,597.1,601.35,1578461.0,
2016-09-22,605.0,610.95,603.9,609.1,1926725.0,
2016-09-23,609.0,617.8,604.7,611.55,1225528.0,
2016-09-26,609.0,615.0,603.0,604.5,1796225.0,
2016-09-27,604.0,610.3,601.85,607.2,1443938.0,
2016-09-28,608.7,612.4,602.25,605.8,1561039.0,
2016-09-29,608.0,611.0,585.75,602.85,2252434.0,
2016-09-30,601.85,603.9,562.25,580.05,6967821.0,
2016-10-03,584.7,591.7,582.2,588.85,1146677.0,
2016-10-04,590.3,603.85,590.3,597.8,1656807.0,
2016-10-05,600.0,600.15,590.0,591.65,961556.0,
2016-10-06,592.5,596.8,576.85,578.8,1504743.0,
2016-10-07,578.85,583.4,566.5,570.05,1317543.0,
2016-10-10,570.25,584.4,570.25,580.65,929998.0,
2016-10-13,596.95,599.0,580.5,582.0,3834775.0,
2016-10-14,584.75,590.0,583.0,587.0,1054501.0,
2016-10-17,589.0,592.05,583.65,586.0,1344977.0,
2016-10-18,587.0,594.0,582.25,592.75,1213156.0,
2016-10-19,591.2,598.8,591.2,596.35,1001409.0,
2016-10-20,596.5,600.5,593.8,596.6,913371.0,
2016-10-21,597.5,597.5,570.0,583.25,1792780.0,
2016-10-24,585.0,594.4,582.0,584.7,992033.0,
2016-10-25,586.0,594.5,582.7,584.5,831989.0,
2016-10-26,583.0,584.9,575.15,577.65,814132.0,
2016-10-27,578.0,588.0,570.5,585.75,779140.0,
2016-10-28,585.5,586.85,573.7,575.15,911117.0,
2016-11-01,579.45,579.45,570.1,571.75,880843.0,
2016-11-02,569.95,569.95,557.55,560.1,806345.0,
2016-11-03,556.0,563.8,556.0,560.0,701598.0,
2016-11-04,556.1,565.5,538.0,544.7,1517311.0,
2016-11-07,549.5,555.75,544.0,545.75,939497.0,
2016-11-08,549.7,550.9,530.2,535.3,1015538.0,
2016-11-09,512.1,532.0,486.55,526.3,3810958.0,
2016-11-10,545.0,568.0,545.0,563.7,3982787.0,
2016-11-11,559.7,564.0,545.25,547.95,1232505.0,
2016-11-15,547.6,561.05,528.6,552.4,1505372.0,
2016-11-16,562.0,564.85,535.5,538.15,1169205.0,
2016-11-17,539.0,549.35,536.1,545.7,924167.0,
2016-11-18,541.2,555.65,541.2,550.95,1214083.0,
2016-11-21,550.0,555.35,542.1,545.1,1056778.0,
2016-11-22,547.1,559.35,543.5,550.5,1300502.0,
2016-11-23,554.9,559.4,547.15,552.8,1520986.0,
2016-11-24,551.4,558.3,545.05,553.65,1816603.0,
2016-11-25,557.0,569.95,548.5,565.05,1022658.0,
2016-11-28,569.3,577.0,568.05,570.55,1224023.0,
2016-11-29,573.0,573.95,564.3,569.15,832424.0,
2016-11-30,570.0,573.25,563.5,566.6,1366319.0,
2016-12-01,567.0,579.85,566.1,568.2,1064251.0,
2016-12-02,566.0,573.9,566.0,571.2,984594.0,
2016-12-05,573.5,581.4,571.35,573.0,1158108.0,
2016-12-06,575.0,580.45,570.95,574.85,779936.0,
2016-12-07,577.45,577.6,569.4,570.85,694556.0,
2016-12-08,573.5,583.9,570.2,582.75,1177494.0,
2016-12-09,586.0,586.0,576.45,578.9,539344.0,
2016-12-12,576.4,582.0,572.6,574.8,848042.0,
2016-12-13,574.1,581.2,570.5,578.85,553306.0,
2016-12-14,579.0,579.65,564.25,568.0,585671.0,
2016-12-15,568.0,576.55,559.1,563.15,1032429.0,
2016-12-16,562.9,569.9,561.35,566.2,665505.0,
2016-12-19,565.0,574.5,561.4,569.15,997716.0,
2016-12-20,572.85,573.8,562.0,563.1,873053.0,
2016-12-21,565.0,567.4,561.9,562.8,743830.0,
2016-12-22,562.3,565.95,560.0,561.4,1870565.0,
2016-12-23,561.0,589.15,552.0,582.3,2585856.0,
2016-12-26,581.3,581.3,548.1,554.95,2106357.0,
2016-12-27,559.0,566.2,555.15,563.65,1063407.0,
2016-12-28,567.0,572.0,560.8,562.4,743252.0,
2016-12-29,563.1,569.0,562.75,564.85,985947.0,
2016-12-30,565.6,573.45,565.6,568.8,673901.0,
2017-01-02,569.75,572.45,563.25,566.0,520139.0,
2017-01-03,566.8,576.8,562.0,573.65,626867.0,
2017-01-04,572.95,576.0,567.5,568.25,729355.0,
2017-01-05,570.2,581.5,569.3,579.85,919562.0,
2017-01-06,580.05,591.0,577.2,582.85,851729.0,
2017-01-09,583.55,588.95,574.9,576.7,545949.0,
2017-01-10,577.5,582.9,573.6,574.9,430654.0,
2017-01-11,576.95,579.0,569.5,576.95,543706.0,
2017-01-12,573.95,587.8,567.3,586.25,1086059.0,
2017-01-13,587.0,589.1,579.45,583.4,557024.0,
2017-01-16,577.4,592.0,577.4,588.8,634510.0,
2017-01-17,590.5,592.0,581.2,587.25,737937.0,
