,Open,High,Low,Close,Volume,DeliveryPct
2021-07-19,1755.0,1770.65,1555.05,1585.25,13548172.0,53.59
2021-07-20,1585.8,1760.0,1576.8,1737.55,6980467.0,22.94
2021-07-21,1585.8,1760.0,1576.8,1737.55,6980467.0,22.94
2021-07-22,1751.0,1779.0,1672.15,1694.45,1731678.0,38.28
2021-07-23,1700.0,1701.05,1605.0,1635.4,1084767.0,49.11
2021-07-26,1635.0,1688.0,1620.0,1652.5,747225.0,37.62
2021-07-27,1664.5,1715.2,1620.05,1677.25,676427.0,38.26
2021-07-28,1672.25,1674.8,1628.55,1634.55,256379.0,42.09
2021-07-29,1636.0,1651.1,1600.0,1622.45,351507.0,49.03
2021-07-30,1629.5,1726.85,1626.1,1682.0,1271880.0,35.16
2021-08-02,1693.5,1709.9,1660.0,1666.45,288875.0,47.54
2021-08-03,1673.5,1707.0,1666.65,1672.65,234059.0,49.15
2021-08-04,1680.0,1683.5,1640.0,1645.25,172637.0,49.29
2021-08-05,1650.95,1653.5,1600.1,1637.4,210820.0,47.0
2021-08-06,1640.0,1679.0,1623.0,1656.95,312272.0,40.16
2021-08-09,1664.9,1681.0,1575.7,1602.4,499926.0,39.21
2021-08-10,1617.9,1629.0,1510.0,1520.45,643538.0,56.9
2021-08-11,1520.0,1593.5,1435.6,1575.35,678501.0,43.51
2021-08-12,1580.0,1598.0,1557.4,1576.95,153642.0,40.4
2021-08-13,1582.0,1635.0,1570.45,1612.35,289245.0,42.55
2021-08-16,1620.0,1621.55,1519.0,1527.7,539674.0,68.29
2021-08-17,1535.0,1552.0,1490.0,1496.95,327596.0,53.09
2021-08-18,1512.0,1597.9,1470.0,1544.65,1365679.0,68.5
2021-08-19,1512.0,1597.9,1470.0,1544.65,1365679.0,68.5
2021-08-20,1580.0,1599.0,1526.6,1544.1,365365.0,36.21
2021-08-23,1545.0,1563.35,1466.0,1484.65,431169.0,52.03
2021-08-24,1484.65,1484.65,1446.05,1462.9,399166.0,62.65
2021-08-25,1476.0,1490.0,1451.0,1459.4,419543.0,51.93
2021-08-26,1465.0,1465.0,1422.1,1429.45,315671.0,43.71
