,Open,High,Low,Close,Volume,DeliveryPct
2020-08-20,2000.0,2028.0,1990.45,2002.5,102303.0,24.89
2020-08-21,2009.95,2019.4,1974.15,1984.6,126598.0,41.45
2020-08-24,1988.0,2000.0,1945.4,1955.45,140538.0,31.45
2020-08-25,1958.0,1973.25,1931.6,1943.55,113506.0,22.05
2020-08-26,1950.0,1958.6,1920.15,1950.1,102513.0,28.15
2020-08-27,1970.0,1975.0,1934.0,1940.15,149884.0,30.57
2020-08-28,1945.2,2024.45,1945.2,2001.45,156148.0,36.15
2020-08-31,2020.0,2035.0,1910.1,1924.0,190664.0,18.64
2020-09-01,1933.5,1949.95,1880.5,1891.0,113377.0,16.8
2020-09-02,1895.0,1959.9,1892.5,1945.95,83162.0,14.73
2020-09-03,1965.2,1992.55,1942.25,1960.45,153257.0,22.37
2020-09-04,1921.0,1974.7,1910.9,1919.1,83977.0,24.72
2020-09-07,1922.0,1947.15,1885.0,1922.5,79638.0,12.3
2020-09-08,1932.0,1984.9,1910.0,1944.15,225447.0,12.57
2020-09-09,1938.0,1938.0,1897.0,1909.75,94690.0,25.69
2020-09-10,1923.0,1933.15,1887.9,1911.75,86090.0,24.08
2020-09-11,1915.0,2102.9,1915.0,2090.6,1772918.0,9.22
2020-09-14,2087.3,2190.15,2062.8,2154.7,1091182.0,8.17
2020-09-15,2155.0,2173.25,2125.0,2144.85,354351.0,9.93
2020-09-16,2140.0,2199.7,2131.55,2181.55,254580.0,11.79
2020-09-17,2178.0,2272.0,2156.2,2257.7,691066.0,8.25
2020-09-18,2249.0,2249.0,2184.0,2193.7,293783.0,29.24
2020-09-21,2205.0,2265.5,2083.7,2102.75,743398.0,23.37
2020-09-22,2105.0,2200.0,2057.4,2161.3,507668.0,5.9
2020-09-23,2190.0,2242.0,2150.0,2223.4,580960.0,16.05
2020-09-24,2210.0,2215.55,2099.3,2114.45,297312.0,20.46
2020-09-25,2135.0,2325.85,2114.45,2304.35,1170054.0,9.35
2020-09-28,2328.05,2393.0,2301.2,2384.0,625090.0,20.81
2020-09-29,2395.0,2420.0,2316.0,2330.85,428105.0,10.19
2020-09-30,2340.0,2347.95,2280.0,2322.2,331363.0,23.5
2020-10-01,2338.0,2356.0,2305.0,2335.8,305728.0,22.46
2020-10-02,2338.0,2356.0,2305.0,2335.8,305728.0,22.46
2020-10-05,2354.8,2438.95,2330.35,2345.1,558324.0,16.74
2020-10-06,2354.5,2414.8,2322.0,2403.6,411099.0,26.9
2020-10-07,2405.0,2429.0,2351.45,2395.4,244624.0,17.53
2020-10-08,2450.0,2554.9,2437.25,2467.35,1017006.0,9.0
2020-10-09,2468.95,2499.95,2420.0,2466.45,328969.0,8.18
2020-10-12,2467.0,2710.0,2467.0,2667.6,1741341.0,11.13
2020-10-13,2677.7,2814.0,2642.0,2797.5,1700016.0,8.28
2020-10-14,2701.25,2767.2,2595.0,2606.7,1356657.0,20.73
2020-10-15,2631.0,2649.8,2483.05,2508.65,1055096.0,16.21
2020-10-16,2528.0,2598.0,2467.25,2577.2,1066656.0,9.62
2020-10-19,2588.0,2627.75,2518.0,2543.45,691197.0,12.01
2020-10-20,2536.0,2635.9,2523.15,2576.0,810729.0,19.31
2020-10-21,2582.0,2618.5,2480.55,2511.6,640089.0,28.4
2020-10-22,2521.05,2563.3,2433.15,2456.65,751377.0,24.17
2020-10-23,2500.0,2533.95,2340.0,2380.1,1667509.0,13.16
2020-10-26,2365.0,2399.15,2181.5,2212.15,6184703.0,54.92
2020-10-27,2180.0,2273.0,2178.4,2228.7,1004134.0,21.28
2020-10-28,2228.7,2280.0,2220.0,2242.3,554290.0,31.18
2020-10-29,2235.0,2255.8,2170.0,2200.7,635824.0,35.62
2020-10-30,2209.0,2278.8,2165.55,2205.65,800257.0,14.51
2020-11-02,2205.0,2226.05,2101.95,2117.9,429330.0,15.52
2020-11-03,2133.9,2171.5,2077.5,2129.55,688573.0,25.18
2020-11-04,2142.1,2229.4,2142.05,2183.75,832575.0,15.07
2020-11-05,2222.0,2229.0,2180.0,2197.75,357307.0,15.19
2020-11-06,2209.25,2222.8,2180.7,2218.05,391952.0,18.1
2020-11-09,2246.3,2339.0,2226.25,2330.15,1026412.0,23.77
2020-11-10,2340.0,2346.0,2210.7,2223.9,758606.0,24.88
2020-11-11,2224.0,2301.75,2214.25,2289.7,570470.0,24.97
2020-11-12,2276.0,2354.5,2237.0,2335.25,706611.0,26.98
2020-11-13,2328.0,2358.7,2284.0,2304.3,386871.0,20.78
2020-11-16,2319.9,2341.2,2306.0,2318.95,45252.0,31.23
