,Open,High,Low,Close,Volume,DeliveryPct
2025-05-19,1048.2,1074.9,990.0,1068.6,376416.0,53.45
2025-05-20,1068.6,1088.6,1050.0,1055.5,119229.0,61.32
2025-05-21,1055.5,1082.8,1043.7,1075.2,221782.0,75.44
2025-05-22,1075.2,1088.0,1059.0,1080.5,90109.0,57.0
2025-05-23,1080.5,1098.6,1069.7,1088.7,121252.0,57.36
2025-05-26,1090.0,1104.0,1083.9,1092.1,91362.0,45.09
2025-05-27,1100.0,1100.0,1084.2,1092.2,66728.0,50.17
2025-05-28,1092.2,1119.0,1087.1,1108.8,130132.0,47.94
2025-05-29,1055.0,1099.0,1055.0,1066.5,319130.0,57.99
2025-05-30,1066.6,1080.0,1032.5,1047.7,358137.0,65.85
2025-06-02,1047.5,1069.6,1006.6,1022.5,209388.0,51.61
2025-06-03,1034.7,1045.0,1010.1,1014.2,107808.0,52.31
2025-06-04,1014.0,1031.9,1001.1,1021.8,135934.0,64.98
2025-06-05,1021.8,1072.9,1021.5,1063.7,190368.0,68.26
2025-06-06,1063.7,1069.8,1044.0,1055.1,209682.0,68.82
2025-06-09,1055.0,1061.5,1022.4,1027.0,248184.0,69.28
2025-06-10,1028.0,1030.6,1003.6,1015.0,155584.0,65.42
2025-06-11,1010.0,1024.9,995.7,1002.3,415296.0,79.84
2025-06-12,1015.0,1043.9,997.4,1009.3,336846.0,50.02
2025-06-13,996.0,1007.4,974.9,1004.5,284738.0,49.99
2025-06-16,1004.5,1013.8,980.6,993.5,126051.0,53.87
2025-06-17,985.0,1008.6,982.2,995.1,115331.0,60.73
2025-06-18,1002.8,1020.5,986.5,1009.6,534042.0,70.48
2025-06-19,1015.0,1018.5,982.0,990.7,132445.0,57.19
2025-06-20,983.2,999.0,975.9,983.0,1026900.0,93.16
2025-06-23,983.0,1004.1,980.0,982.5,191635.0,23.79
2025-06-24,987.5,994.2,973.9,985.4,62496.0,52.6
2025-06-25,980.0,1007.0,973.4,976.9,405245.0,74.09
2025-06-26,984.9,1004.6,982.0,1002.0,106218.0,65.53
2025-06-27,998.0,1002.7,930.3,944.1,907488.0,62.73
2025-06-30,940.5,978.5,934.2,967.9,533262.0,45.97
2025-07-01,964.0,972.0,936.0,960.3,345784.0,50.16
2025-07-02,960.0,972.55,952.0,967.8,229295.0,68.02
2025-07-03,968.75,1016.95,968.75,1007.4,394907.0,49.32
2025-07-04,1008.0,1049.9,990.9,1036.5,477135.0,48.31
2025-07-07,1033.15,1034.2,1004.8,1019.45,184710.0,55.53
2025-07-08,1016.7,1018.4,988.3,998.15,145124.0,55.13
2025-07-09,999.5,1002.15,985.25,990.45,127901.0,64.2
2025-07-10,1009.95,1009.95,990.5,995.95,151441.0,67.12
2025-07-11,1000.75,1029.15,988.0,1017.95,322114.0,41.94
2025-07-14,1017.95,1035.0,995.0,1031.25,201430.0,59.88
2025-07-15,1031.25,1074.9,1030.0,1056.65,509252.0,63.49
2025-07-16,1059.0,1071.95,1054.4,1063.8,191992.0,65.61
