,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,272.1,275.05,270.1,272.45,269629.0,
2016-08-19,274.25,274.3,268.05,270.65,99103.0,
2016-08-22,269.0,278.8,266.5,275.4,324875.0,
2016-08-23,277.45,277.45,268.5,269.45,201856.0,
2016-08-24,268.0,274.9,268.0,270.2,127403.0,
2016-08-25,271.5,274.85,269.75,271.75,94534.0,
2016-08-26,273.65,273.65,265.0,267.35,105300.0,
2016-08-29,268.0,269.0,261.35,264.1,75981.0,
2016-08-30,266.5,272.3,260.65,270.4,118713.0,
2016-08-31,271.0,272.5,266.0,269.15,89652.0,
2016-09-01,270.0,271.3,262.4,264.3,50042.0,
2016-09-02,267.0,268.8,264.0,266.75,50022.0,
2016-09-06,267.8,281.05,265.6,272.05,322168.0,
2016-09-07,274.95,274.95,263.0,264.25,121329.0,
2016-09-08,264.25,269.95,263.05,266.95,163328.0,
2016-09-09,268.6,268.6,256.0,257.25,119111.0,
2016-09-12,252.0,256.5,247.15,251.3,91467.0,
2016-09-14,251.15,262.9,249.15,253.8,205157.0,
2016-09-15,251.85,255.7,251.0,252.95,98797.0,
2016-09-16,255.2,261.4,251.5,252.85,472157.0,
2016-09-19,254.4,256.2,252.6,253.95,63487.0,
2016-09-20,253.8,256.5,248.0,249.4,191029.0,
2016-09-21,249.0,253.8,247.75,250.65,97008.0,
2016-09-22,251.0,255.85,247.35,249.9,151947.0,
2016-09-23,251.8,253.5,244.05,246.05,273356.0,
2016-09-26,246.0,254.2,243.5,244.6,275625.0,
2016-09-27,246.75,248.5,244.0,244.75,412282.0,
2016-09-28,247.0,249.7,244.0,246.6,140618.0,
2016-09-29,248.55,250.0,230.0,239.2,257022.0,
2016-09-30,239.0,247.5,237.0,246.0,100965.0,
2016-10-03,249.0,249.35,244.0,247.45,73000.0,
2016-10-04,249.8,259.2,247.9,255.25,337624.0,
2016-10-05,255.0,259.0,252.4,254.9,171437.0,
2016-10-06,257.1,265.0,256.6,257.65,546996.0,
2016-10-07,257.65,273.4,256.4,269.85,1254002.0,
2016-10-10,272.95,273.0,261.0,262.7,194297.0,
2016-10-13,264.8,271.2,257.0,267.7,858821.0,
2016-10-14,263.5,270.85,261.9,264.7,235450.0,
2016-10-17,267.3,267.4,257.05,257.7,152834.0,
2016-10-18,259.9,264.5,258.3,261.5,256966.0,
2016-10-19,261.6,274.75,260.15,270.45,761439.0,
2016-10-20,275.0,281.0,268.4,270.0,783262.0,
2016-10-21,272.0,279.2,269.0,276.6,299927.0,
2016-10-24,278.95,288.4,274.1,281.65,614244.0,
2016-10-25,281.9,284.5,276.0,279.35,235463.0,
2016-10-26,279.35,286.6,269.5,275.25,1177984.0,
2016-10-27,277.4,284.95,268.05,282.05,505160.0,
2016-10-28,283.6,289.0,278.2,286.05,359779.0,
2016-11-01,288.65,293.9,282.45,284.25,309147.0,
2016-11-02,281.7,281.7,271.3,273.25,265081.0,
2016-11-03,276.0,278.95,266.3,269.35,251195.0,
2016-11-04,267.1,272.0,254.9,257.55,223419.0,
2016-11-07,263.9,265.9,259.0,262.65,133012.0,
2016-11-08,262.0,267.8,261.4,265.8,271365.0,
2016-11-09,248.0,264.85,230.0,253.55,199152.0,
2016-11-10,260.95,268.0,256.05,257.4,184033.0,
2016-11-11,256.0,265.0,246.0,248.3,525023.0,
2016-11-15,245.35,251.95,231.8,237.15,187005.0,
2016-11-16,240.0,247.85,235.0,245.45,1356483.0,
2016-11-17,243.0,245.2,237.25,240.6,68932.0,
2016-11-18,241.9,243.0,237.8,241.45,74950.0,
2016-11-21,247.7,247.7,229.05,230.5,593265.0,
2016-11-22,233.1,245.0,229.0,243.2,134941.0,
2016-11-23,244.65,254.0,242.4,252.4,126975.0,
2016-11-24,252.0,252.5,247.0,247.5,122271.0,
2016-11-25,250.25,252.55,246.5,247.95,198861.0,
2016-11-28,244.9,250.05,244.9,246.4,52318.0,
2016-11-29,247.6,259.8,244.85,257.0,271510.0,
2016-11-30,257.1,267.0,253.6,264.1,325015.0,
2016-12-01,264.0,270.0,260.0,266.85,237398.0,
2016-12-02,267.4,267.4,252.65,255.35,96637.0,
2016-12-05,258.0,258.0,249.0,251.3,163997.0,
2016-12-06,252.5,258.0,252.5,255.25,64903.0,
2016-12-07,256.0,261.0,252.0,259.35,114287.0,
2016-12-08,263.0,272.0,262.6,270.0,221716.0,
2016-12-09,271.8,284.9,271.8,284.0,698573.0,
2016-12-12,281.95,283.95,272.9,282.4,152170.0,
2016-12-13,284.5,284.9,277.25,278.8,98731.0,
2016-12-14,280.0,284.5,278.0,279.8,194383.0,
2016-12-15,275.0,283.9,274.0,274.95,90760.0,
2016-12-16,274.95,282.0,274.95,278.3,254592.0,
2016-12-19,278.45,283.9,274.0,279.15,140676.0,
2016-12-20,281.1,283.1,278.45,279.7,83253.0,
2016-12-21,279.3,284.85,278.95,281.7,138603.0,
2016-12-22,284.0,289.75,275.05,277.8,318768.0,
2016-12-23,277.8,281.2,273.15,275.5,216581.0,
2016-12-26,274.0,276.95,270.0,273.15,83650.0,
2016-12-27,270.15,274.45,267.25,270.75,69119.0,
2016-12-28,270.05,282.8,269.0,278.6,141822.0,
2016-12-29,279.0,288.5,278.1,286.85,274303.0,
2016-12-30,289.75,299.75,289.05,292.45,864704.0,
2017-01-02,296.8,304.0,292.25,302.35,372164.0,
2017-01-03,303.35,306.75,297.05,300.3,300801.0,
2017-01-04,302.85,306.0,299.0,303.3,398793.0,
2017-01-05,305.0,314.9,304.0,313.0,689523.0,
2017-01-06,314.95,317.75,311.35,313.5,168511.0,
2017-01-09,312.0,332.9,311.95,329.6,1016641.0,
2017-01-10,328.2,341.65,328.2,339.05,953568.0,
2017-01-11,341.0,341.95,327.6,335.45,417696.0,
2017-01-12,335.45,340.0,321.6,327.65,262290.0,
2017-01-13,330.0,332.95,325.0,329.1,237080.0,
2017-01-16,329.9,330.0,324.0,325.15,91351.0,
2017-01-17,328.4,331.7,322.9,325.05,442518.0,
2017-01-18,328.95,332.9,324.5,330.2,248715.0,
2017-01-19,331.6,335.0,328.0,330.4,242775.0,
2017-01-20,331.85,332.0,319.5,324.4,290881.0,
2017-01-23,324.5,327.0,316.5,319.65,363197.0,
2017-01-24,317.55,329.5,315.0,327.65,272534.0,
2017-01-25,328.0,347.4,326.0,334.6,904004.0,
2017-01-27,335.95,338.0,328.0,332.35,145682.0,
2017-01-30,332.5,339.9,317.6,321.25,256502.0,
2017-01-31,323.0,329.0,306.85,313.6,245693.0,
2017-02-01,313.6,329.95,310.1,326.6,508993.0,
2017-02-02,326.0,333.8,318.2,330.05,567263.0,
2017-02-03,332.0,342.0,332.0,337.65,509197.0,
2017-02-06,338.0,340.0,331.05,333.25,88997.0,
2017-02-07,333.8,341.6,331.15,336.6,242067.0,
2017-02-08,333.3,342.2,333.3,340.8,217720.0,
2017-02-09,344.0,346.0,338.0,341.3,268180.0,
2017-02-10,344.0,350.9,339.2,349.35,326052.0,
2017-02-13,352.8,356.5,347.4,353.45,345876.0,
2017-02-14,355.9,355.9,348.5,350.45,65038.0,
2017-02-15,350.35,358.4,340.2,343.25,196599.0,
2017-02-16,345.0,347.5,340.6,344.45,88046.0,
2017-02-17,350.0,350.0,340.05,341.45,110397.0,
2017-02-20,342.9,342.9,332.05,333.35,124000.0,
2017-02-21,335.35,342.55,333.05,334.1,108625.0,
2017-02-22,335.05,339.0,330.0,334.2,156764.0,
2017-02-23,335.05,337.45,331.25,333.3,119933.0,
2017-02-27,333.0,336.8,327.3,329.75,147995.0,
2017-02-28,331.3,336.55,327.0,330.6,119656.0,
2017-03-01,329.55,335.45,329.55,331.0,76941.0,
2017-03-02,330.65,333.9,327.0,328.95,116663.0,
