,Open,High,Low,Close,Volume,DeliveryPct
2025-08-05,1015.0,1104.0,1015.0,1082.65,19682593.0,49.97
2025-08-06,1070.0,1091.15,1026.0,1065.9,2928924.0,30.08
2025-08-07,1060.0,1167.8,1042.5,1134.3,1673531.0,30.6
2025-08-08,1150.0,1224.0,1071.05,1090.85,3019630.0,21.44
2025-08-11,1094.0,1122.5,1047.85,1063.55,1064058.0,26.55
2025-08-12,1063.0,1078.95,1045.55,1061.55,381708.0,30.24
2025-08-13,1065.0,1085.0,1051.1,1066.6,346148.0,21.29
2025-08-14,1071.0,1080.0,1046.65,1057.05,342055.0,57.86
2025-08-18,1069.9,1098.95,1059.0,1090.55,420901.0,46.59
2025-08-19,1095.9,1159.2,1093.6,1112.5,774435.0,27.8
2025-08-20,1124.95,1223.75,1086.15,1223.75,1604181.0,37.0
2025-08-21,1275.0,1320.0,1187.0,1288.95,4279584.0,21.78
2025-08-22,1293.35,1385.0,1267.2,1360.45,1717335.0,19.01
2025-08-25,1354.0,1354.0,1292.45,1319.75,727098.0,27.01
2025-08-26,1316.85,1325.95,1261.1,1283.0,438144.0,52.12
2025-08-28,1283.0,1285.65,1232.0,1250.3,316022.0,45.97
2025-08-29,1250.3,1303.0,1244.9,1264.0,395742.0,35.8
2025-09-01,1262.7,1262.7,1200.8,1248.2,785420.0,49.86
2025-09-02,1260.0,1310.6,1257.0,1310.6,296171.0,33.33
2025-09-03,1322.0,1376.1,1281.6,1357.7,465965.0,34.84
2025-09-04,1384.0,1425.5,1361.6,1386.5,613397.0,25.91
2025-09-05,1389.9,1401.6,1356.3,1368.2,199086.0,30.94
2025-09-08,1383.7,1423.8,1352.1,1356.8,207478.0,25.94
2025-09-09,1372.0,1374.0,1334.0,1347.9,130923.0,29.52
2025-09-10,1360.0,1363.7,1325.1,1349.5,219632.0,54.27
2025-09-11,1354.8,1414.8,1351.2,1398.4,483141.0,49.41
2025-09-12,1410.9,1462.0,1398.4,1435.0,397113.0,43.95
2025-09-15,1449.0,1469.9,1433.0,1441.8,250838.0,40.62
2025-09-16,1445.0,1452.8,1413.3,1425.1,100286.0,42.98
2025-09-17,1430.9,1476.0,1430.0,1464.3,291168.0,56.26
2025-09-18,1464.9,1474.0,1435.0,1445.9,150691.0,51.08
2025-09-19,1448.0,1452.3,1395.4,1403.3,183322.0,58.33
2025-09-22,1398.9,1428.3,1380.2,1422.2,368727.0,63.93
2025-09-23,1429.9,1433.1,1384.7,1394.6,90727.0,46.41
2025-09-24,1394.0,1395.0,1362.6,1375.4,116040.0,45.01
2025-09-25,1372.1,1373.8,1311.1,1320.7,126370.0,47.51
2025-09-26,1324.8,1327.8,1254.7,1254.7,255519.0,59.57
