,Open,High,Low,Close,Volume,DeliveryPct
2021-03-25,1359.0,1490.0,1350.0,1435.6,3479695.0,42.02
2021-03-26,1430.0,1530.0,1428.3,1494.5,1002138.0,29.19
2021-03-29,1430.0,1530.0,1428.3,1494.5,1002138.0,29.19
2021-03-30,1501.0,1510.0,1435.5,1486.55,170145.0,38.42
2021-03-31,1476.1,1489.85,1409.95,1419.45,146087.0,54.94
2021-04-01,1425.1,1476.0,1425.1,1449.05,67232.0,40.34
2021-04-02,1425.1,1476.0,1425.1,1449.05,67232.0,40.34
2021-04-05,1435.0,1459.95,1422.0,1424.95,37221.0,42.4
2021-04-06,1430.0,1470.0,1422.05,1455.25,71043.0,56.27
2021-04-07,1459.0,1488.95,1443.65,1455.05,62183.0,31.82
2021-04-08,1464.0,1481.95,1450.0,1456.35,62787.0,40.58
2021-04-09,1461.0,1477.0,1441.45,1444.8,32379.0,48.63
2021-04-12,1423.0,1430.0,1351.1,1366.0,76484.0,39.36
2021-04-13,1372.0,1387.95,1361.15,1368.4,36743.0,20.33
2021-04-14,1372.0,1387.95,1361.15,1368.4,36743.0,20.33
2021-04-15,1371.05,1380.85,1336.7,1341.8,38327.0,21.09
2021-04-16,1377.0,1377.0,1335.0,1338.3,31669.0,26.89
2021-04-19,1314.0,1320.0,1295.0,1296.1,32114.0,34.45
2021-04-20,1305.1,1339.7,1286.0,1294.85,52698.0,16.07
2021-04-21,1305.1,1339.7,1286.0,1294.85,52698.0,16.07
2021-04-22,1290.0,1333.0,1245.0,1273.2,194559.0,70.13
2021-04-23,1299.0,1315.0,1275.0,1284.1,58253.0,69.16
2021-04-26,1290.0,1316.0,1285.0,1300.5,86599.0,67.84
2021-04-27,1308.8,1313.9,1292.5,1305.0,83136.0,84.47
2021-04-28,1307.0,1365.0,1307.0,1359.1,68163.0,57.6
2021-04-29,1363.25,1377.75,1339.3,1358.15,32211.0,39.47
2021-04-30,1350.0,1367.15,1336.55,1345.6,28684.0,45.1
2021-05-03,1345.15,1345.55,1291.75,1293.6,56238.0,40.46
2021-05-04,1307.0,1340.0,1296.1,1331.15,44843.0,40.57
2021-05-05,1335.0,1400.0,1299.0,1378.2,72070.0,36.0
