,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,129.65,134.4,129.25,133.8,487546.0,
2016-08-19,135.0,136.4,133.85,134.9,292163.0,
2016-08-22,134.4,134.4,125.45,133.45,282330.0,
2016-08-23,133.1,133.8,131.0,132.85,155629.0,
2016-08-24,132.4,133.5,128.1,129.6,247875.0,
2016-08-25,130.1,131.9,129.8,131.15,273793.0,
2016-08-26,131.6,131.6,127.65,129.95,235995.0,
2016-08-29,129.75,131.9,128.1,131.05,185114.0,
2016-08-30,131.55,134.95,130.85,134.1,336521.0,
2016-08-31,134.25,136.0,129.6,131.7,296749.0,
2016-09-01,132.2,132.5,130.0,131.9,183972.0,
2016-09-02,132.35,133.95,131.0,133.25,316984.0,
2016-09-06,133.2,134.5,128.2,129.55,775384.0,
2016-09-07,132.55,133.0,129.75,131.75,295775.0,
2016-09-08,131.35,135.9,131.35,135.15,571333.0,
2016-09-09,134.65,147.9,131.9,139.15,1809928.0,
2016-09-12,138.15,138.15,133.8,135.75,501681.0,
2016-09-14,134.1,135.8,132.35,133.65,534423.0,
2016-09-15,134.15,134.65,131.6,132.25,236497.0,
2016-09-16,133.0,135.25,131.7,132.15,728590.0,
2016-09-19,133.45,133.45,130.4,130.95,284893.0,
2016-09-20,130.15,132.0,129.1,130.35,271304.0,
2016-09-21,130.35,132.4,129.65,131.65,157645.0,
2016-09-22,132.0,134.0,129.55,130.35,329800.0,
2016-09-23,130.85,131.1,128.2,128.75,354181.0,
2016-09-26,129.2,131.5,128.75,130.6,290877.0,
2016-09-27,131.1,132.0,130.2,130.95,448375.0,
2016-09-28,131.0,133.5,130.95,132.85,523954.0,
2016-09-29,133.0,133.9,130.5,132.95,902771.0,
2016-09-30,131.55,133.0,130.05,132.1,500039.0,
2016-10-03,131.6,142.0,131.55,135.3,1491254.0,
2016-10-04,136.3,139.9,134.0,138.6,556290.0,
2016-10-05,138.6,139.1,134.5,137.6,840854.0,
2016-10-06,137.9,138.9,135.05,136.7,200908.0,
2016-10-07,138.8,138.8,134.9,137.6,204105.0,
2016-10-10,137.55,140.8,137.5,140.05,263168.0,
2016-10-13,140.0,141.6,135.8,140.65,737332.0,
2016-10-14,140.15,145.95,140.0,143.9,439179.0,
2016-10-17,145.4,145.4,140.2,143.0,756661.0,
2016-10-18,142.5,144.5,141.7,142.3,207107.0,
2016-10-19,141.8,143.9,141.4,143.0,1403717.0,
2016-10-20,142.55,150.0,141.65,146.0,2947495.0,
2016-10-21,147.1,147.25,143.8,144.2,961087.0,
2016-10-24,146.8,148.0,141.5,142.5,673722.0,
2016-10-25,143.0,145.4,142.95,143.95,430459.0,
2016-10-26,144.95,145.9,143.1,144.4,279521.0,
2016-10-27,144.4,146.15,142.7,145.25,1222782.0,
2016-10-28,145.65,150.0,145.05,149.15,4289189.0,
2016-11-01,149.1,150.95,147.5,149.6,615890.0,
2016-11-02,149.0,150.9,147.95,150.05,694983.0,
2016-11-03,150.0,150.55,148.8,149.5,355867.0,
2016-11-04,150.0,150.0,144.5,149.55,650508.0,
2016-11-07,151.0,151.0,149.15,150.5,2904311.0,
2016-11-08,152.0,152.0,150.55,151.6,383125.0,
2016-11-09,145.6,149.9,143.45,147.5,2067436.0,
2016-11-10,149.8,152.5,147.7,151.15,3866092.0,
2016-11-11,151.5,153.0,142.8,148.85,2697015.0,
2016-11-15,145.85,146.65,138.0,139.55,724047.0,
2016-11-16,141.0,143.25,133.35,134.85,371782.0,
2016-11-17,136.0,138.0,131.0,131.6,503464.0,
2016-11-18,131.6,139.2,128.0,137.5,649847.0,
2016-11-21,138.0,141.0,128.5,129.9,1294254.0,
2016-11-22,131.0,134.95,129.4,134.45,696513.0,
