,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,897.9,902.95,892.55,895.85,137675.0,
2016-08-19,895.0,901.0,892.0,895.1,114081.0,
2016-08-22,897.0,898.55,875.1,878.35,88255.0,
2016-08-23,876.0,892.1,873.6,885.5,95382.0,
2016-08-24,890.0,917.3,883.95,902.15,272503.0,
2016-08-25,912.5,915.0,893.4,897.55,278738.0,
2016-08-26,905.0,905.0,886.45,894.75,178094.0,
2016-08-29,895.0,904.95,887.4,900.5,85320.0,
2016-08-30,903.0,931.95,902.85,917.2,468928.0,
2016-08-31,923.0,933.75,913.0,920.4,177971.0,
2016-09-01,926.9,927.35,918.0,922.1,123984.0,
2016-09-02,922.1,938.5,918.4,924.0,327330.0,
2016-09-06,933.0,933.0,907.05,922.1,229006.0,
2016-09-07,925.05,932.0,916.6,926.45,172946.0,
2016-09-08,927.0,944.7,918.0,935.6,429986.0,
2016-09-09,935.65,947.0,927.85,933.95,178990.0,
2016-09-12,927.0,933.45,911.25,928.6,414521.0,
2016-09-14,933.0,937.5,907.75,913.8,450302.0,
2016-09-15,913.85,918.0,897.15,906.05,297083.0,
2016-09-16,909.7,927.4,909.7,921.4,198978.0,
2016-09-19,923.0,929.85,917.95,922.15,205562.0,
2016-09-20,925.0,927.35,910.6,916.5,90304.0,
2016-09-21,916.0,916.9,897.0,900.3,326222.0,
2016-09-22,905.1,914.4,897.2,906.75,78866.0,
2016-09-23,910.05,911.0,891.6,896.45,256870.0,
2016-09-26,900.0,906.3,891.2,893.15,229079.0,
2016-09-27,894.05,909.0,892.35,903.3,292422.0,
2016-09-28,903.3,910.25,895.3,902.75,142091.0,
2016-09-29,902.8,909.0,875.1,887.85,581583.0,
2016-09-30,886.0,915.95,886.0,905.5,176975.0,
2016-10-03,901.0,931.7,900.6,928.65,263434.0,
2016-10-04,928.7,935.4,917.6,929.3,162118.0,
2016-10-05,929.0,940.0,922.9,934.65,117217.0,
2016-10-06,934.65,934.65,913.05,916.65,121947.0,
2016-10-07,916.65,919.3,908.35,910.45,42450.0,
2016-10-10,910.5,916.9,895.0,900.8,263969.0,
2016-10-13,903.9,903.9,873.7,875.4,121427.0,
2016-10-14,879.8,881.75,866.1,869.7,108579.0,
2016-10-17,869.9,882.8,845.6,852.2,465207.0,
2016-10-18,854.55,875.45,848.6,860.1,361227.0,
2016-10-19,864.4,868.35,837.45,844.7,288771.0,
2016-10-20,849.7,863.8,841.6,859.8,190652.0,
2016-10-21,861.25,866.3,843.3,851.75,181786.0,
2016-10-24,862.0,862.0,849.6,851.2,199944.0,
2016-10-25,854.0,874.7,849.75,867.2,184526.0,
2016-10-26,867.35,901.05,865.2,877.05,358703.0,
2016-10-27,895.0,895.0,836.55,850.0,974685.0,
2016-10-28,855.25,861.85,846.45,849.05,199613.0,
2016-11-01,865.0,865.0,848.0,852.75,354242.0,
2016-11-02,852.75,857.85,832.05,841.25,253660.0,
2016-11-03,838.55,848.45,837.3,839.55,336047.0,
2016-11-04,841.0,847.25,825.0,828.4,161863.0,
2016-11-07,833.9,842.95,828.1,838.7,178815.0,
2016-11-08,842.5,848.7,837.5,841.25,116605.0,
2016-11-09,819.0,832.0,757.2,821.65,225505.0,
2016-11-10,820.2,843.0,820.2,825.05,249040.0,
2016-11-11,822.85,825.05,800.1,805.05,221195.0,
2016-11-15,807.0,807.4,765.0,786.4,418789.0,
2016-11-16,809.0,809.0,779.0,800.35,134408.0,
2016-11-17,793.0,806.8,765.0,778.9,184529.0,
2016-11-18,782.25,803.0,775.0,790.5,144029.0,
2016-11-21,790.0,790.0,760.0,762.5,201101.0,
2016-11-22,768.0,778.0,756.95,772.2,247576.0,
2016-11-23,772.25,781.75,747.55,762.95,240788.0,
2016-11-24,750.0,789.8,750.0,776.1,208762.0,
2016-11-25,776.0,782.25,766.05,776.7,111091.0,
2016-11-28,776.75,779.8,760.65,764.85,211016.0,
2016-11-29,764.9,783.95,759.0,776.0,99989.0,
2016-11-30,776.05,792.0,775.5,788.85,121245.0,
2016-12-01,788.0,798.65,771.1,772.85,178335.0,
2016-12-02,772.0,775.05,751.5,756.15,190942.0,
2016-12-05,755.0,776.0,751.0,774.0,80875.0,
2016-12-06,772.0,782.7,760.0,777.8,333327.0,
2016-12-07,783.9,783.9,764.9,769.0,114539.0,
2016-12-08,771.6,798.5,765.3,794.5,100734.0,
2016-12-09,792.65,808.05,785.0,794.3,110949.0,
2016-12-12,804.0,804.0,771.45,774.9,141842.0,
2016-12-13,773.15,788.4,768.15,779.45,158115.0,
2016-12-14,783.95,788.05,774.45,784.75,51953.0,
2016-12-15,783.75,807.8,777.0,802.8,155521.0,
2016-12-16,802.8,831.0,802.8,817.95,490662.0,
