,Open,High,Low,Close,Volume,DeliveryPct
2021-12-24,856.05,864.0,743.85,755.0,13492548.0,33.6
2021-12-27,738.5,741.7,702.35,705.75,2137929.0,25.58
2021-12-28,705.75,748.0,702.0,734.6,1586404.0,26.09
2021-12-29,748.0,824.0,740.2,787.25,5408945.0,14.35
2021-12-30,792.45,814.0,772.05,778.3,1904086.0,16.13
2021-12-31,783.75,793.05,756.1,759.9,980471.0,27.05
2022-01-03,764.0,782.9,757.65,773.55,773259.0,30.48
2022-01-04,778.5,783.85,753.25,758.35,448706.0,31.41
2022-01-05,760.0,789.0,740.5,772.35,953044.0,20.9
2022-01-06,759.95,774.0,758.2,761.35,276248.0,35.75
2022-01-07,766.7,769.0,739.25,740.65,425068.0,44.0
2022-01-10,746.9,774.9,741.95,759.6,561329.0,29.92
2022-01-11,759.0,782.5,748.75,763.3,564979.0,27.46
2022-01-12,770.0,776.6,750.0,753.95,232552.0,40.41
2022-01-13,760.0,760.0,743.45,746.0,189888.0,47.72
2022-01-14,748.0,764.4,735.05,738.6,322468.0,44.83
2022-01-17,750.0,834.0,742.45,814.4,2841269.0,24.9
2022-01-18,821.65,824.5,772.55,780.05,823370.0,30.5
2022-01-19,780.0,812.3,756.4,795.1,812554.0,23.6
2022-01-20,792.0,806.0,775.5,783.35,381920.0,33.57
2022-01-21,784.0,804.0,748.6,758.75,529262.0,29.9
2022-01-24,755.0,765.0,706.0,720.45,471275.0,36.86
2022-01-25,718.0,757.5,705.6,735.9,298283.0,26.82
2022-01-26,718.0,757.5,705.6,735.9,298283.0,26.82
2022-01-27,722.0,738.9,715.0,717.65,185855.0,39.2
2022-01-28,726.0,776.95,724.0,741.35,771322.0,44.23
2022-01-31,748.9,755.0,711.05,721.8,275063.0,37.92
2022-02-01,727.6,748.0,726.0,732.6,201773.0,24.38
2022-02-02,737.9,753.85,713.35,720.85,429933.0,46.61
2022-02-03,724.0,743.9,722.85,737.1,251681.0,33.09
2022-02-04,739.95,744.1,728.45,731.05,125290.0,32.24
2022-02-07,725.1,737.2,709.55,714.35,193955.0,44.15
2022-02-08,719.0,726.45,694.85,704.0,161360.0,37.6
2022-02-09,717.8,729.95,700.2,718.3,365106.0,33.9
2022-02-10,725.0,731.4,714.0,718.8,128661.0,39.06
2022-02-11,711.0,726.0,710.1,713.25,215967.0,56.46
2022-02-14,690.5,712.0,639.05,650.05,368995.0,43.12
2022-02-15,652.1,685.0,630.25,679.3,470238.0,33.34
2022-02-16,696.0,696.0,671.25,677.55,117711.0,28.4
2022-02-17,680.0,684.85,660.0,664.6,113764.0,22.48
2022-02-18,660.0,672.8,645.05,649.1,111159.0,36.05
2022-02-21,640.0,646.85,611.0,620.55,180059.0,40.42
2022-02-22,608.9,608.9,584.25,597.6,291970.0,45.25
2022-02-23,604.0,624.8,604.0,615.0,117971.0,31.29
2022-02-24,578.3,594.2,575.0,585.35,214539.0,46.24
2022-02-25,599.95,619.5,597.65,607.9,164327.0,41.2
2022-02-28,598.0,623.95,591.25,613.55,195975.0,42.61
2022-03-01,598.0,623.95,591.25,613.55,195975.0,42.61
