,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,211.05,221.45,211.05,215.75,123356.0,
2016-08-19,216.05,219.0,213.0,214.4,76843.0,
2016-08-22,215.15,223.6,215.0,221.05,155398.0,
2016-08-23,224.0,229.0,219.6,221.5,186749.0,
2016-08-24,220.6,227.5,218.1,224.65,129264.0,
2016-08-25,226.9,227.0,221.55,223.9,78970.0,
2016-08-26,223.9,225.05,219.9,221.4,49843.0,
2016-08-29,221.4,231.0,220.0,224.15,150984.0,
2016-08-30,226.3,231.9,224.55,227.7,152161.0,
2016-08-31,229.9,233.0,225.55,227.05,131159.0,
2016-09-01,226.95,228.5,223.25,225.35,58492.0,
2016-09-02,224.0,227.75,219.1,221.15,35277.0,
2016-09-06,221.2,229.5,218.8,223.5,40636.0,
2016-09-07,223.5,228.0,221.05,226.05,72500.0,
2016-09-08,225.0,236.9,225.0,231.35,339161.0,
2016-09-09,231.6,232.5,226.0,226.95,91444.0,
2016-09-12,222.0,223.5,218.05,220.4,74699.0,
2016-09-14,219.1,224.5,219.1,222.8,33339.0,
2016-09-15,221.05,224.85,217.55,218.55,59419.0,
2016-09-16,219.4,234.4,218.7,232.0,347382.0,
2016-09-19,231.7,233.0,226.2,230.15,60460.0,
2016-09-20,229.2,234.0,223.0,223.75,70876.0,
2016-09-21,223.75,232.9,223.0,229.1,145971.0,
2016-09-22,230.0,233.8,227.7,229.35,45561.0,
2016-09-23,229.35,234.8,227.55,229.65,88876.0,
2016-09-26,228.0,229.5,221.6,224.6,66119.0,
2016-09-27,225.1,227.0,221.15,222.8,41324.0,
2016-09-28,222.8,224.6,220.05,220.95,60743.0,
2016-09-29,221.7,228.0,201.0,204.8,157478.0,
2016-09-30,205.15,214.8,203.0,212.8,75179.0,
2016-10-03,213.9,222.9,202.0,209.85,230695.0,
2016-10-04,211.6,215.8,210.0,213.15,59904.0,
2016-10-05,213.9,217.2,209.3,214.35,52964.0,
2016-10-06,214.55,223.9,212.3,213.7,151860.0,
2016-10-07,214.6,218.05,213.3,216.65,54453.0,
2016-10-10,216.0,219.0,214.45,216.85,39327.0,
2016-10-13,213.85,216.9,209.0,210.9,49279.0,
2016-10-14,212.35,215.0,211.0,214.05,52272.0,
2016-10-17,213.0,221.7,213.0,215.95,111173.0,
2016-10-18,216.45,219.45,213.0,215.75,54070.0,
2016-10-19,216.45,228.05,214.5,224.65,170574.0,
2016-10-20,228.1,269.55,228.0,256.55,1733048.0,
2016-10-21,258.5,268.4,247.45,260.6,577824.0,
2016-10-24,262.0,283.0,262.0,275.3,560713.0,
2016-10-25,276.2,286.7,276.0,281.4,341896.0,
2016-10-26,278.5,279.85,262.0,264.55,220002.0,
2016-10-27,260.1,273.95,241.65,255.7,287048.0,
2016-10-28,256.9,271.0,250.05,256.9,269849.0,
2016-11-01,263.0,269.35,255.75,257.75,134683.0,
2016-11-02,255.0,261.4,245.3,246.85,137986.0,
2016-11-03,248.6,254.0,238.0,239.65,149767.0,
2016-11-04,240.0,244.5,229.5,230.65,85643.0,
2016-11-07,234.0,245.9,234.0,237.65,83585.0,
2016-11-08,238.55,243.0,233.1,237.55,69055.0,
2016-11-09,208.25,233.75,201.3,218.9,298450.0,
2016-11-10,231.95,240.0,225.95,230.1,135144.0,
2016-11-11,227.55,227.55,211.7,220.05,262556.0,
2016-11-15,227.0,227.0,199.1,200.95,122574.0,
2016-11-16,202.85,212.0,202.85,206.95,56580.0,
2016-11-17,207.95,209.65,203.15,203.7,38279.0,
2016-11-18,204.95,211.0,201.05,208.25,113640.0,
2016-11-21,208.5,209.95,198.1,199.95,68356.0,
2016-11-22,200.95,206.6,198.05,201.4,81152.0,
2016-11-23,203.0,217.95,202.0,213.2,177132.0,
2016-11-24,211.0,218.0,208.0,210.6,92391.0,
2016-11-25,210.95,215.4,209.3,210.95,51228.0,
2016-11-28,210.0,219.7,209.4,212.45,65356.0,
2016-11-29,212.6,218.0,209.2,211.6,59118.0,
2016-11-30,212.6,214.6,210.15,211.5,60414.0,
2016-12-01,217.1,222.0,216.0,217.35,122819.0,
2016-12-02,214.5,216.8,209.4,211.5,44044.0,
2016-12-05,210.8,214.95,209.3,209.9,46368.0,
2016-12-06,210.05,214.0,210.05,212.8,24308.0,
2016-12-07,213.0,217.0,210.25,211.1,51441.0,
2016-12-08,212.6,216.05,212.6,213.8,27005.0,
2016-12-09,214.0,223.4,213.5,220.55,120209.0,
2016-12-12,223.9,223.9,215.4,216.15,103914.0,
2016-12-13,216.0,219.0,211.55,213.05,39532.0,
2016-12-14,212.7,216.0,212.0,213.55,18210.0,
2016-12-15,212.5,221.7,211.0,217.3,90333.0,
2016-12-16,217.75,228.55,215.55,223.6,172688.0,
2016-12-19,222.7,224.75,214.05,215.65,63846.0,
2016-12-20,215.0,219.95,209.15,210.15,137085.0,
2016-12-21,211.05,214.95,209.25,210.4,54790.0,
2016-12-22,210.6,210.75,199.3,200.4,116899.0,
2016-12-23,200.1,207.0,199.35,203.65,66892.0,
2016-12-26,202.55,206.6,197.0,197.85,53321.0,
2016-12-27,198.45,206.5,196.35,204.5,33400.0,
2016-12-28,205.0,216.05,204.55,206.6,108542.0,
2016-12-29,206.25,210.95,205.95,209.3,42077.0,
2016-12-30,207.25,220.0,207.25,213.85,112140.0,
2017-01-02,214.0,218.9,210.85,217.35,78867.0,
2017-01-03,219.6,224.0,218.0,222.6,69448.0,
2017-01-04,222.75,225.65,217.1,218.2,48091.0,
2017-01-05,218.85,227.2,218.85,225.6,78566.0,
2017-01-06,227.0,245.7,226.25,239.45,401702.0,
2017-01-09,239.0,247.6,238.2,241.3,239007.0,
2017-01-10,242.5,268.4,242.0,265.15,551151.0,
2017-01-11,280.3,287.7,268.3,272.2,806484.0,
2017-01-12,273.7,273.7,256.3,262.95,341014.0,
2017-01-13,265.0,268.0,259.6,263.55,93442.0,
2017-01-16,262.0,265.75,259.0,263.0,78576.0,
2017-01-17,262.0,265.4,259.1,263.75,56559.0,
2017-01-18,263.75,264.5,260.0,263.05,79870.0,
2017-01-19,262.45,273.35,261.0,262.4,119557.0,
2017-01-20,260.9,265.5,260.9,262.45,59212.0,
2017-01-23,260.9,267.1,260.9,262.35,49615.0,
2017-01-24,262.5,267.2,262.5,266.0,50716.0,
2017-01-25,267.0,277.0,265.1,276.15,191060.0,
2017-01-27,277.5,280.95,274.55,277.1,88470.0,
2017-01-30,276.0,278.0,271.3,276.45,50720.0,
2017-01-31,272.0,275.0,263.2,265.1,54020.0,
2017-02-01,263.1,277.0,260.8,273.45,69517.0,
2017-02-02,274.0,282.0,274.0,279.45,105445.0,
2017-02-03,280.5,283.85,273.7,279.65,62946.0,
2017-02-06,281.95,295.0,281.0,283.5,165312.0,
2017-02-07,285.0,294.0,280.0,284.5,90437.0,
2017-02-08,286.3,291.9,283.0,289.6,141627.0,
2017-02-09,292.35,292.75,273.35,279.8,188145.0,
2017-02-10,281.05,281.8,273.5,277.5,82770.0,
2017-02-13,278.95,284.1,269.05,276.45,430393.0,
2017-02-14,281.95,296.9,276.5,283.85,378435.0,
2017-02-15,283.15,285.85,274.0,275.3,79311.0,
2017-02-16,275.0,281.0,272.15,274.5,62488.0,
2017-02-17,275.25,281.0,275.25,277.4,75525.0,
2017-02-20,278.0,284.1,274.95,276.85,59592.0,
2017-02-21,276.9,289.95,275.9,287.75,179608.0,
2017-02-22,290.0,293.3,284.7,286.3,192832.0,
2017-02-23,285.85,291.15,285.0,288.65,68724.0,
2017-02-27,287.0,289.0,275.6,278.75,47848.0,
2017-02-28,278.75,281.5,273.9,274.55,44911.0,
2017-03-01,278.45,283.0,275.45,278.45,112276.0,
2017-03-02,281.0,283.9,274.55,277.4,122439.0,
2017-03-03,271.25,284.0,271.25,282.4,125384.0,
2017-03-06,283.0,287.0,275.5,278.6,93706.0,
2017-03-07,279.95,281.0,272.05,274.3,60031.0,
2017-03-08,277.1,280.3,274.5,276.15,78682.0,
2017-03-09,276.7,278.55,270.05,271.4,70893.0,
2017-03-10,273.85,280.95,271.5,273.35,49955.0,
2017-03-14,282.0,284.4,272.6,274.25,68010.0,
2017-03-15,276.85,279.5,274.15,276.2,56605.0,
2017-03-16,277.3,279.0,274.0,275.75,39948.0,
2017-03-17,277.85,283.0,275.3,280.15,80176.0,
2017-03-20,280.5,286.9,277.15,282.05,75943.0,
2017-03-21,282.0,284.05,277.05,279.0,38051.0,
2017-03-22,278.05,285.0,275.5,280.2,49788.0,
2017-03-23,282.0,282.95,275.5,276.55,81217.0,
2017-03-24,278.25,309.8,277.25,298.5,905922.0,
2017-03-27,299.8,305.9,294.0,294.55,133679.0,
2017-03-28,296.75,297.0,291.6,292.4,69970.0,
2017-03-29,292.1,304.0,291.6,292.9,126752.0,
2017-03-30,299.0,300.0,288.65,291.4,83255.0,
2017-03-31,293.5,298.7,291.3,295.35,120461.0,
